Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,123.42,124.14,122.97,123.47,123.47,1040400,0,0
2015-04-28,123.37,126.18,122.5,125.59,125.59,1296000,0,0
2015-04-29,125.47,125.85,123.22,123.75,123.75,1326600,0,0
2015-04-30,123.33,123.65,121.61,122.02,122.02,1062600,0,0
2015-05-01,122.28,123.9,121.81,123.37,123.37,845400,0,0
2015-05-04,121.8,124.62,121.6,124.41,124.41,862900,0,0
2015-05-05,123.74,123.98,121.52,121.96,121.96,812000,0,0
2015-05-06,122.77,123.37,121.28,122.98,122.98,888600,0,0
2015-05-07,123.36,124.89,122.01,124.43,124.43,782600,0,0
2015-05-08,125.0,126.5,124.7,126.05,126.05,752000,0,0
2015-05-11,126.21,126.6,125.33,126.28,126.28,887000,0,0
2015-05-12,125.42,125.54,124.11,125.03,125.03,640700,0,0
2015-05-13,124.98,126.72,124.83,126.24,126.24,848900,0,0
2015-05-14,127.0,127.68,125.96,127.6,127.6,791300,0,0
2015-05-15,127.84,128.08,126.87,127.79,127.79,580600,0,0
2015-05-18,127.14,127.7,125.53,127.35,127.35,670600,0,0
2015-05-19,127.76,127.99,126.58,126.93,126.93,579300,0,0
2015-05-20,127.13,127.39,126.42,126.96,126.96,622600,0,0
2015-05-21,126.77,127.38,126.26,126.9,126.9,622900,0,0
2015-05-22,126.65,127.12,126.2,126.77,126.77,388200,0,0
2015-05-26,126.92,126.92,124.79,126.08,126.08,804200,0,0
2015-05-27,126.53,126.53,125.16,125.96,125.96,897100,0,0
2015-05-28,126.13,126.97,125.56,126.83,126.83,854700,0,0
2015-05-29,126.45,126.77,125.06,125.69,125.69,1036800,0,0
2015-06-01,124.4,125.78,123.54,125.11,125.11,869100,0,0
2015-06-02,125.08,126.7,123.71,125.26,125.26,1238500,0,0
2015-06-03,124.88,126.76,124.55,126.25,126.25,816900,0,0
2015-06-04,125.63,126.81,124.43,124.58,124.58,1955300,0,0
2015-06-05,124.68,124.74,123.71,124.52,124.52,800800,0,0
2015-06-08,124.51,125.43,124.05,124.85,124.85,708200,0,0
2015-06-09,124.96,125.05,123.67,124.69,124.69,583500,0,0
2015-06-10,125.37,127.13,124.85,126.93,126.93,569500,0,0
2015-06-11,127.56,127.9,126.39,126.48,126.48,588900,0,0
2015-06-12,126.15,126.2,125.08,125.19,125.19,671300,0,0
2015-06-15,124.64,126.0,123.9,125.81,125.81,669700,0,0
2015-06-16,126.15,126.79,125.81,126.32,126.32,533000,0,0
2015-06-17,126.67,127.35,125.72,126.48,126.48,477900,0,0
2015-06-18,126.92,127.75,126.35,126.94,126.94,797200,0,0
2015-06-19,126.88,127.21,125.96,126.92,126.92,733200,0,0
2015-06-22,127.72,127.88,126.4,127.88,127.88,634400,0,0
2015-06-23,128.0,128.0,126.64,127.54,127.54,524500,0,0
2015-06-24,127.84,127.85,125.79,126.04,126.04,509400,0,0
2015-06-25,126.11,127.44,125.65,126.55,126.55,669600,0,0
2015-06-26,126.69,126.69,122.77,123.57,123.57,1069300,0,0
2015-06-29,120.93,122.48,119.93,120.05,120.05,1102800,0,0
2015-06-30,118.58,121.6,118.56,120.35,120.35,672600,0,0
2015-07-01,121.08,121.26,119.65,120.26,120.26,726900,0,0
2015-07-02,120.65,121.15,119.7,120.44,120.44,469400,0,0
2015-07-06,118.76,119.0,115.04,117.55,117.55,1794000,0,0
2015-07-07,118.42,118.9,116.38,118.32,118.32,777900,0,0
2015-07-08,117.57,119.08,117.47,117.84,117.84,1018100,0,0
2015-07-09,119.32,119.98,115.33,115.35,115.35,1227100,0,0
2015-07-10,116.91,117.33,114.51,116.39,116.39,1015800,0,0
2015-07-13,116.71,117.28,116.19,116.99,116.99,623500,0,0
2015-07-14,117.7,118.69,117.6,118.25,118.25,835600,0,0
2015-07-15,118.5,118.79,117.65,117.85,117.85,825400,0,0
2015-07-16,118.13,119.01,117.02,117.93,117.93,568900,0,0
2015-07-17,117.9,117.97,115.54,116.28,116.28,724300,0,0
2015-07-20,116.62,117.0,115.88,116.26,116.26,719100,0,0
2015-07-21,116.1,118.6,116.1,118.27,118.27,835400,0,0
2015-07-22,117.31,119.6,116.86,118.5,118.5,1820900,0,0
2015-07-23,128.38,130.25,126.1,127.68,127.68,3245200,0,0
2015-07-24,128.01,129.05,127.33,127.49,127.49,1136700,0,0
2015-07-27,126.91,129.24,126.36,127.81,127.81,1190900,0,0
2015-07-28,128.68,132.2,127.35,131.52,131.52,1623600,0,0
2015-07-29,131.79,132.73,129.87,132.49,132.49,1194200,0,0
2015-07-30,132.25,134.57,131.51,134.31,134.31,1007800,0,0
2015-07-31,134.5,135.2,133.19,134.14,134.14,1270800,0,0
2015-08-03,130.99,132.74,130.14,131.2,131.2,1184600,0,0
2015-08-04,130.62,132.23,130.6,131.36,131.36,815700,0,0
2015-08-05,132.18,133.51,131.5,132.2,132.2,718400,0,0
2015-08-06,132.2,132.88,129.53,129.85,129.85,885400,0,0
2015-08-07,129.93,130.79,128.4,130.36,130.36,701500,0,0
2015-08-10,131.22,132.45,130.51,132.34,132.34,571700,0,0
2015-08-11,131.61,133.57,130.83,131.37,131.37,817000,0,0
2015-08-12,130.35,133.08,129.33,132.71,132.71,724000,0,0
2015-08-13,132.89,134.28,131.59,131.63,131.63,550800,0,0
2015-08-14,131.91,132.83,130.56,132.61,132.61,538900,0,0
2015-08-17,132.14,134.27,131.5,133.86,133.86,699400,0,0
2015-08-18,134.0,134.17,132.72,133.0,133.0,613300,0,0
2015-08-19,132.99,133.77,132.16,132.75,132.75,590600,0,0
2015-08-20,131.53,131.59,126.45,126.56,126.56,1233500,0,0
2015-08-21,125.61,126.82,122.5,122.51,122.51,1402500,0,0
2015-08-24,117.38,122.0,112.43,117.47,117.47,1907100,0,0
2015-08-25,120.42,123.84,117.42,117.47,117.47,1196900,0,0
2015-08-26,120.61,122.64,118.3,122.45,122.45,1126600,0,0
2015-08-27,123.4,125.66,120.29,122.79,122.79,1143200,0,0
2015-08-28,122.15,123.68,120.63,122.97,122.97,759100,0,0
2015-08-31,121.73,123.28,121.35,121.41,121.41,636600,0,0
2015-09-01,118.76,121.09,117.96,118.39,118.39,1119400,0,0
2015-09-02,120.05,121.01,118.4,121.0,121.0,1218200,0,0
2015-09-03,121.25,122.42,120.79,121.24,121.24,738300,0,0
2015-09-04,119.58,120.68,118.47,118.84,118.84,582600,0,0
2015-09-08,120.66,121.76,119.8,121.71,121.71,481600,0,0
2015-09-09,122.77,123.22,119.61,119.89,119.89,501800,0,0
2015-09-10,119.74,120.97,118.81,119.74,119.74,727100,0,0
2015-09-11,119.24,119.45,117.04,118.17,118.17,1367500,0,0
2015-09-14,118.07,118.65,116.69,117.09,117.09,800200,0,0
2015-09-15,117.59,119.07,117.19,118.17,118.17,686000,0,0
2015-09-16,118.03,119.44,117.87,119.12,119.12,479800,0,0
2015-09-17,119.12,120.21,117.82,118.22,118.22,538900,0,0
2015-09-18,116.87,118.15,114.81,115.18,115.18,1367200,0,0
2015-09-21,115.61,117.37,114.7,115.81,115.81,739400,0,0
2015-09-22,113.05,113.6,111.43,113.3,113.3,1106700,0,0
2015-09-23,112.81,114.43,112.15,113.9,113.9,686100,0,0
2015-09-24,113.24,116.35,111.99,115.87,115.87,1162500,0,0
2015-09-25,115.06,115.96,113.87,114.77,114.77,1219800,0,0
2015-09-28,113.86,115.44,113.24,114.08,114.08,1042200,0,0
2015-09-29,114.5,115.28,113.62,115.0,115.0,928300,0,0
2015-09-30,115.89,117.49,114.49,115.8,115.8,832800,0,0
2015-10-01,115.97,117.45,115.23,116.97,116.97,926500,0,0
2015-10-02,115.38,120.01,115.2,119.83,119.83,1133700,0,0
2015-10-05,120.65,123.25,120.65,122.94,122.94,921100,0,0
2015-10-06,117.03,119.67,116.02,117.96,117.96,1748300,0,0
2015-10-07,118.9,119.02,114.89,118.61,118.61,1348500,0,0
2015-10-08,118.18,119.84,115.06,118.93,118.93,822200,0,0
2015-10-09,119.12,120.36,117.83,119.27,119.27,733600,0,0
2015-10-12,119.67,119.81,118.72,119.4,119.4,523000,0,0
2015-10-13,119.37,121.5,118.5,120.62,120.62,601400,0,0
2015-10-14,120.38,120.41,117.16,117.47,117.47,1125900,0,0
2015-10-15,117.89,118.7,116.42,116.63,116.63,1280600,0,0
2015-10-16,117.13,119.0,116.13,118.31,118.31,1009300,0,0
2015-10-19,118.52,119.3,116.7,118.51,118.51,746100,0,0
2015-10-20,117.49,120.09,117.34,119.98,119.98,1188900,0,0
2015-10-21,120.35,120.55,116.96,117.07,117.07,963600,0,0
2015-10-22,117.99,121.26,117.99,120.54,120.54,908700,0,0
2015-10-23,121.63,122.0,119.32,119.5,119.5,855100,0,0
2015-10-26,119.5,120.54,118.25,119.94,119.94,792000,0,0
2015-10-27,119.83,121.06,119.05,120.29,120.29,1144200,0,0
2015-10-28,120.79,121.75,118.64,121.34,121.34,1606100,0,0
2015-10-29,108.02,114.25,108.0,110.08,110.08,6291300,0,0
