Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,64.38,64.38,63.84,64.01,59.93,1392900,0.0,0
2015-04-28,63.86,64.41,63.52,64.28,60.18,1462700,0.0,0
2015-04-29,64.11,64.59,64.01,64.15,60.06,1636400,0.0,0
2015-04-30,60.95,63.79,60.79,62.49,58.5,4084400,0.0,0
2015-05-01,62.7,63.15,62.18,63.11,59.08,2016400,0.0,0
2015-05-04,63.34,63.68,63.07,63.25,59.22,1630000,0.0,0
2015-05-05,63.02,63.55,62.99,63.37,59.33,2109300,0.0,0
2015-05-06,63.58,63.96,63.11,63.48,59.43,1354900,0.0,0
2015-05-07,63.5,64.32,63.41,64.06,59.97,1372400,0.0,0
2015-05-08,64.74,65.7,64.74,65.08,60.93,1308100,0.0,0
2015-05-11,64.87,65.28,64.54,64.54,60.42,882100,0.0,0
2015-05-12,64.04,64.33,63.66,64.0,59.92,1579100,0.0,0
2015-05-13,64.01,64.64,63.76,63.86,59.79,1038300,0.0,0
2015-05-14,64.17,64.61,64.01,64.55,60.43,1345000,0.0,0
2015-05-15,64.57,64.85,64.26,64.45,60.34,1050400,0.0,0
2015-05-18,64.34,64.77,64.2,64.65,60.53,866400,0.0,0
2015-05-19,64.81,64.97,64.56,64.78,60.65,839400,0.0,0
2015-05-20,64.98,65.19,64.63,64.78,60.65,646300,0.0,0
2015-05-21,64.6,64.83,64.48,64.54,60.42,663900,0.0,0
2015-05-22,64.41,64.72,64.28,64.37,60.26,794500,0.0,0
2015-05-26,64.14,64.23,63.14,63.25,59.22,1027600,0.0,0
2015-05-27,63.51,63.67,63.19,63.58,59.52,1539000,0.0,0
2015-05-28,63.46,63.66,63.08,63.4,59.36,877700,0.0,0
2015-05-29,63.3,63.45,62.58,62.7,58.7,1548000,0.0,0
2015-06-01,62.75,63.04,62.08,62.62,58.63,1606600,0.0,0
2015-06-02,62.41,62.59,62.05,62.44,58.46,1277900,0.0,0
2015-06-03,62.74,62.91,62.39,62.52,58.53,931900,0.0,0
2015-06-04,62.19,62.4,61.72,61.78,57.84,1213700,0.0,0
2015-06-05,61.69,62.31,61.54,62.2,58.23,1599300,0.0,0
2015-06-08,62.09,62.47,61.84,61.97,58.02,1060400,0.0,0
2015-06-09,62.01,62.17,61.63,61.79,57.85,1019500,0.0,0
2015-06-10,62.01,62.71,61.97,62.53,58.54,559200,0.0,0
2015-06-11,63.3,64.39,63.1,64.16,60.07,1744300,0.0,0
2015-06-12,63.71,63.86,63.19,63.26,59.47,879400,0.26,0
2015-06-15,62.63,62.96,62.15,62.86,59.09,1049900,0.0,0
2015-06-16,62.84,63.26,62.63,63.03,59.25,1168600,0.0,0
2015-06-17,63.24,63.3,62.64,62.94,59.17,648100,0.0,0
2015-06-18,63.08,63.49,62.85,63.4,59.6,1451900,0.0,0
2015-06-19,63.47,64.05,63.47,63.94,60.11,1356600,0.0,0
2015-06-22,64.25,64.93,64.11,64.59,60.72,959500,0.0,0
2015-06-23,64.66,64.71,64.15,64.27,60.42,882000,0.0,0
2015-06-24,64.15,64.19,63.3,63.3,59.5,691300,0.0,0
2015-06-25,63.51,63.59,63.03,63.13,59.34,780800,0.0,0
2015-06-26,63.25,63.43,63.04,63.37,59.57,2518300,0.0,0
2015-06-29,62.99,63.19,62.33,62.41,58.67,1456900,0.0,0
2015-06-30,62.9,62.9,61.69,61.8,58.09,1313800,0.0,0
2015-07-01,62.15,62.48,61.98,62.32,58.58,861300,0.0,0
2015-07-02,62.51,62.52,62.0,62.37,58.63,697000,0.0,0
2015-07-06,61.81,62.58,61.66,62.52,58.77,943300,0.0,0
2015-07-07,62.62,62.77,61.77,62.7,58.94,728000,0.0,0
2015-07-08,62.13,62.46,61.58,61.58,57.89,832500,0.0,0
2015-07-09,62.42,62.74,62.23,62.33,58.59,884900,0.0,0
2015-07-10,63.0,63.78,62.91,63.57,59.76,964100,0.0,0
2015-07-13,63.95,64.1,63.74,64.02,60.18,1244900,0.0,0
2015-07-14,64.03,64.28,63.75,64.16,60.31,711700,0.0,0
2015-07-15,64.24,64.49,64.02,64.15,60.3,677500,0.0,0
2015-07-16,64.48,64.67,64.02,64.5,60.63,2172500,0.0,0
2015-07-17,64.65,64.65,63.91,64.09,60.25,681800,0.0,0
2015-07-20,64.19,64.69,64.12,64.26,60.41,865200,0.0,0
2015-07-21,64.15,64.48,63.66,63.8,59.97,966300,0.0,0
2015-07-22,63.79,64.29,63.65,64.13,60.28,1111300,0.0,0
2015-07-23,63.93,64.35,62.08,62.58,58.83,2976600,0.0,0
2015-07-24,62.51,62.95,62.16,62.64,58.88,1291800,0.0,0
2015-07-27,62.32,62.36,61.57,62.13,58.4,1531400,0.0,0
2015-07-28,62.39,62.51,61.84,62.42,58.68,1387500,0.0,0
2015-07-29,62.36,63.34,62.3,63.24,59.45,890100,0.0,0
2015-07-30,63.1,66.65,62.59,65.85,61.9,7446600,0.0,0
2015-07-31,66.17,66.17,65.08,65.43,61.51,1691200,0.0,0
2015-08-03,65.5,65.72,64.67,65.49,61.56,1005300,0.0,0
2015-08-04,65.49,65.85,65.18,65.28,61.36,756000,0.0,0
2015-08-05,65.5,65.98,65.46,65.74,61.8,753100,0.0,0
2015-08-06,65.76,65.79,64.56,64.68,60.8,585900,0.0,0
2015-08-07,64.59,64.84,64.31,64.77,60.89,644200,0.0,0
