Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,30.57,31.28,30.5,30.89,28.76,872200,0.0,0
2015-04-28,30.97,31.17,30.67,31.15,29.0,899300,0.0,0
2015-04-29,30.92,31.04,30.52,30.99,28.85,992200,0.0,0
2015-04-30,30.74,30.94,30.55,30.89,28.76,1111600,0.0,0
2015-05-01,30.95,31.27,30.77,31.26,29.1,806600,0.0,0
2015-05-04,31.13,31.55,31.13,31.52,29.34,815100,0.0,0
2015-05-05,31.4,31.59,31.1,31.26,29.1,2457100,0.0,0
2015-05-06,31.35,31.35,30.87,31.0,28.86,905700,0.0,0
2015-05-07,31.08,31.36,30.97,31.28,29.12,861700,0.0,0
2015-05-08,31.41,31.62,31.21,31.55,29.37,657800,0.0,0
2015-05-11,31.51,31.62,31.34,31.53,29.35,733900,0.0,0
2015-05-12,31.32,31.73,31.32,31.61,29.43,843100,0.0,0
2015-05-13,31.62,32.05,31.46,31.8,29.6,688100,0.0,0
2015-05-14,31.92,32.0,31.66,31.92,29.72,412200,0.0,0
2015-05-15,31.96,31.96,31.58,31.72,29.53,414400,0.0,0
2015-05-18,31.67,32.0,31.61,31.93,29.72,354400,0.0,0
2015-05-19,31.92,31.93,31.75,31.86,29.66,442700,0.0,0
2015-05-20,31.7,31.9,31.59,31.8,29.71,601700,0.11,0
2015-05-21,31.75,31.88,31.55,31.64,29.56,713500,0.0,0
2015-05-22,31.52,31.73,31.48,31.6,29.52,699700,0.0,0
2015-05-26,31.54,31.61,30.91,31.0,28.96,847700,0.0,0
2015-05-27,31.03,31.26,30.81,31.07,29.02,556000,0.0,0
2015-05-28,30.96,31.15,30.73,30.97,28.93,702500,0.0,0
2015-05-29,30.95,30.95,30.43,30.55,28.54,969200,0.0,0
2015-06-01,30.67,31.06,30.5,30.53,28.52,800400,0.0,0
2015-06-02,30.5,30.7,30.33,30.49,28.48,331800,0.0,0
2015-06-03,30.55,31.12,30.53,31.02,28.98,433800,0.0,0
2015-06-04,30.9,30.97,30.46,30.58,28.57,417600,0.0,0
2015-06-05,30.59,30.8,30.42,30.72,28.7,522300,0.0,0
2015-06-08,30.74,30.84,30.55,30.68,28.66,484800,0.0,0
2015-06-09,30.7,30.91,30.58,30.87,28.84,664400,0.0,0
2015-06-10,31.0,31.44,30.82,31.35,29.29,402700,0.0,0
2015-06-11,31.45,31.45,31.2,31.32,29.26,455700,0.0,0
2015-06-12,31.29,31.29,30.92,31.15,29.1,686500,0.0,0
2015-06-15,30.92,31.06,30.52,30.96,28.92,345100,0.0,0
2015-06-16,30.9,31.03,30.85,30.94,28.9,323400,0.0,0
2015-06-17,31.07,31.24,30.85,31.06,29.01,235600,0.0,0
2015-06-18,31.13,31.62,30.95,31.45,29.38,473100,0.0,0
2015-06-19,31.37,31.57,31.25,31.4,29.33,768700,0.0,0
2015-06-22,30.14,31.53,30.14,31.25,29.19,348500,0.0,0
2015-06-23,31.29,31.3,30.99,31.06,29.01,359400,0.0,0
2015-06-24,31.05,31.07,30.75,30.87,28.84,351200,0.0,0
2015-06-25,30.92,31.29,30.74,31.25,29.19,728900,0.0,0
2015-06-26,31.3,31.6,31.17,31.55,29.47,1125300,0.0,0
2015-06-29,31.47,31.69,30.96,31.21,29.15,1392600,0.0,0
2015-06-30,31.42,31.65,30.74,30.82,28.79,911400,0.0,0
2015-07-01,31.02,31.13,30.77,31.07,29.02,511400,0.0,0
2015-07-02,31.07,31.32,30.66,30.85,28.82,783800,0.0,0
2015-07-06,30.57,30.92,30.5,30.89,28.86,634000,0.0,0
2015-07-07,30.88,31.06,30.45,31.04,29.0,749400,0.0,0
2015-07-08,30.88,31.04,30.36,30.38,28.38,878500,0.0,0
2015-07-09,30.59,30.77,30.06,30.08,28.1,552800,0.0,0
2015-07-10,30.38,30.6,30.16,30.57,28.56,354200,0.0,0
2015-07-13,30.77,31.11,30.62,31.09,29.04,586800,0.0,0
2015-07-14,31.06,31.1,30.95,31.03,28.99,459200,0.0,0
2015-07-15,31.02,31.05,30.62,30.72,28.7,385700,0.0,0
2015-07-16,30.8,30.89,30.39,30.64,28.62,640800,0.0,0
2015-07-17,30.58,30.66,30.03,30.2,28.21,366400,0.0,0
2015-07-20,30.31,30.31,30.03,30.16,28.17,430100,0.0,0
2015-07-21,30.21,30.21,29.67,29.73,27.77,792800,0.0,0
2015-07-22,29.62,29.92,29.62,29.87,27.9,551400,0.0,0
2015-07-23,29.87,30.2,29.85,29.87,27.9,796000,0.0,0
2015-07-24,29.61,30.88,29.53,30.77,28.74,1063100,0.0,0
2015-07-27,30.6,30.6,30.16,30.25,28.26,1025400,0.0,0
2015-07-28,30.27,30.62,29.81,30.31,28.31,1145500,0.0,0
2015-07-29,30.18,30.64,30.12,30.61,28.59,524700,0.0,0
2015-07-30,30.46,30.85,30.41,30.83,28.8,412800,0.0,0
2015-07-31,30.86,31.07,30.77,30.79,28.76,491600,0.0,0
2015-08-03,30.84,30.99,30.35,30.72,28.7,618900,0.0,0
2015-08-04,30.71,30.76,30.39,30.44,28.44,347700,0.0,0
2015-08-05,30.49,30.98,30.49,30.75,28.73,465600,0.0,0
2015-08-06,30.88,31.02,30.68,30.75,28.73,812800,0.0,0
2015-08-07,30.79,31.1,30.79,31.07,29.02,1096400,0.0,0
2015-08-10,31.37,32.1,31.29,31.99,29.88,881400,0.0,0
2015-08-11,31.82,31.85,31.09,31.31,29.25,686900,0.0,0
2015-08-12,31.14,31.21,30.39,30.69,28.67,903700,0.0,0
2015-08-13,30.58,30.89,30.4,30.44,28.44,578800,0.0,0
2015-08-14,30.32,30.61,30.3,30.54,28.53,505400,0.0,0
2015-08-17,30.49,30.66,30.23,30.57,28.56,421500,0.0,0
2015-08-18,30.65,30.7,30.36,30.37,28.37,493100,0.0,0
2015-08-19,30.1,30.29,30.01,30.03,28.15,673500,0.11,0
2015-08-20,29.9,29.97,29.6,29.6,27.75,786700,0.0,0
2015-08-21,29.3,29.69,28.74,28.75,26.95,953000,0.0,0
2015-08-24,27.46,27.98,26.34,27.5,25.78,1858400,0.0,0
2015-08-25,28.06,28.5,27.03,27.06,25.37,1294100,0.0,0
2015-08-26,27.76,27.88,27.1,27.63,25.9,1527100,0.0,0
2015-08-27,27.83,28.93,27.82,28.62,26.83,2017200,0.0,0
2015-08-28,28.49,28.7,28.31,28.57,26.79,1223400,0.0,0
2015-08-31,28.33,28.8,28.22,28.63,26.84,1030900,0.0,0
2015-09-01,28.08,28.27,27.95,28.02,26.27,1514300,0.0,0
2015-09-02,28.3,28.38,28.07,28.29,26.52,1488800,0.0,0
2015-09-03,28.32,28.77,28.29,28.38,26.61,1126500,0.0,0
2015-09-04,27.99,28.28,27.82,27.9,26.16,1096600,0.0,0
2015-09-08,28.37,28.99,28.2,28.97,27.16,920000,0.0,0
2015-09-09,29.21,29.23,28.59,28.66,26.87,751200,0.0,0
2015-09-10,28.62,28.8,28.29,28.58,26.8,689500,0.0,0
2015-09-11,28.47,28.68,28.31,28.41,26.64,688700,0.0,0
2015-09-14,28.46,28.46,28.15,28.21,26.45,436000,0.0,0
2015-09-15,28.37,28.59,28.24,28.57,26.79,659400,0.0,0
2015-09-16,28.49,28.82,28.49,28.76,26.96,903800,0.0,0
2015-09-17,28.78,28.96,28.53,28.66,26.87,1327400,0.0,0
2015-09-18,28.37,28.53,28.24,28.36,26.59,1467700,0.0,0
2015-09-21,28.5,28.72,28.18,28.31,26.54,757000,0.0,0
2015-09-22,27.83,27.99,27.75,27.81,26.07,913000,0.0,0
2015-09-23,27.94,28.09,27.52,27.76,26.03,1849800,0.0,0
2015-09-24,27.46,27.59,26.97,27.46,25.75,1266700,0.0,0
2015-09-25,27.63,27.77,27.4,27.58,25.86,563800,0.0,0
2015-09-28,27.38,27.47,27.1,27.1,25.41,552000,0.0,0
2015-09-29,27.23,27.8,27.1,27.45,25.74,967600,0.0,0
2015-09-30,27.62,28.05,27.62,27.99,26.24,997100,0.0,0
2015-10-01,28.01,28.14,27.48,27.56,25.84,755700,0.0,0
2015-10-02,27.16,28.2,27.16,28.2,26.44,596600,0.0,0
2015-10-05,28.38,28.82,28.31,28.62,26.83,976100,0.0,0
2015-10-06,28.65,28.69,27.96,28.42,26.65,629700,0.0,0
2015-10-07,28.55,28.92,28.39,28.57,26.79,919700,0.0,0
2015-10-08,28.47,29.0,28.41,28.77,26.97,621200,0.0,0
2015-10-09,28.81,28.94,28.56,28.67,26.88,494700,0.0,0
2015-10-12,28.7,28.7,28.41,28.54,26.76,679600,0.0,0
2015-10-13,28.5,28.66,28.15,28.23,26.47,463500,0.0,0
2015-10-14,28.23,28.42,27.98,28.04,26.29,833100,0.0,0
2015-10-15,28.1,28.35,27.8,28.27,26.5,777600,0.0,0
2015-10-16,28.26,28.26,27.55,27.82,26.08,1005200,0.0,0
2015-10-19,27.74,27.82,27.55,27.65,25.92,454500,0.0,0
2015-10-20,27.55,27.8,27.55,27.7,25.97,991900,0.0,0
2015-10-21,27.77,27.77,27.36,27.45,25.74,726600,0.0,0
2015-10-22,27.64,27.81,27.57,27.7,25.97,1006700,0.0,0
