Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,51.0,51.15,50.69,51.04,47.2,2023100,0.0,0.0
2015-04-28,51.08,51.34,50.7,51.26,47.4,1194300,0.0,0.0
2015-04-29,51.01,52.19,50.81,51.98,48.07,943300,0.0,0.0
2015-04-30,51.8,52.04,51.23,51.44,47.57,746300,0.0,0.0
2015-05-01,51.68,52.37,51.65,52.24,48.31,966400,0.0,0.0
2015-05-04,52.24,52.77,52.23,52.36,48.42,776500,0.0,0.0
2015-05-05,52.52,52.84,51.44,51.47,47.6,564200,0.0,0.0
2015-05-06,51.75,51.91,51.14,51.6,47.72,518800,0.0,0.0
2015-05-07,51.43,51.74,51.08,51.56,47.68,603400,0.0,0.0
2015-05-08,52.04,53.0,52.04,52.86,48.89,1745800,0.0,0.0
2015-05-11,51.5,52.69,51.41,52.63,48.67,2427700,0.0,0.0
2015-05-12,52.1,52.19,49.44,50.1,46.34,4496400,0.0,0.0
2015-05-13,50.11,51.25,49.25,51.06,47.22,2966400,0.0,0.0
2015-05-14,51.34,51.34,50.34,50.56,46.75,1300400,0.0,0.0
2015-05-15,50.44,50.63,50.28,50.62,46.81,719800,0.0,0.0
2015-05-18,50.56,50.56,49.77,50.03,46.27,839700,0.0,0.0
2015-05-19,49.91,50.2,49.47,49.73,45.99,777800,0.0,0.0
2015-05-20,49.87,49.87,49.46,49.65,45.92,505400,0.0,0.0
2015-05-21,49.61,50.2,49.45,50.12,46.35,703400,0.0,0.0
2015-05-22,50.1,50.65,49.99,50.53,46.73,774800,0.0,0.0
2015-05-26,50.25,50.49,49.94,50.06,46.3,890900,0.0,0.0
2015-05-27,50.08,50.38,49.78,50.26,46.48,785000,0.0,0.0
2015-05-28,50.08,50.27,49.93,50.23,46.46,853500,0.0,0.0
2015-05-29,50.16,50.22,49.38,49.58,45.86,1216900,0.0,0.0
2015-06-01,49.7,49.7,48.95,49.09,45.4,1131700,0.0,0.0
2015-06-02,49.0,49.34,48.72,48.94,45.26,2242900,0.0,0.0
2015-06-03,49.11,49.96,48.8,49.9,46.15,971400,0.0,0.0
2015-06-04,49.51,49.78,48.92,48.98,45.29,719700,0.0,0.0
2015-06-05,48.9,49.18,48.44,48.63,44.97,727100,0.0,0.0
2015-06-08,48.49,48.63,48.1,48.2,44.58,967700,0.0,0.0
2015-06-09,48.27,48.42,47.7,47.81,44.22,945600,0.0,0.0
2015-06-10,48.26,48.4,47.74,48.18,44.56,1288000,0.0,0.0
2015-06-11,48.28,48.68,47.97,48.15,44.53,824000,0.0,0.0
2015-06-12,48.04,48.12,47.63,47.75,44.16,836900,0.0,0.0
2015-06-15,47.5,47.65,47.3,47.61,44.04,802800,0.0,0.0
2015-06-16,47.54,48.12,47.38,48.02,44.41,591700,0.0,0.0
2015-06-17,48.14,48.53,47.75,48.25,44.62,560700,0.0,0.0
2015-06-18,48.44,48.7,48.15,48.4,44.77,680000,0.0,0.0
2015-06-19,48.26,48.57,47.62,47.65,44.07,1149500,0.0,0.0
2015-06-22,47.86,47.94,47.66,47.89,44.29,526800,0.0,0.0
2015-06-23,47.91,48.0,47.6,47.71,44.12,771900,0.0,0.0
2015-06-24,47.67,47.9,46.41,46.44,42.94,1392000,0.0,0.0
2015-06-25,46.62,46.77,46.08,46.15,42.68,1132200,0.0,0.0
2015-06-26,46.17,46.53,46.15,46.38,43.05,1650000,0.165,0.0
2015-06-29,45.98,46.1,44.88,44.9,41.67,848600,0.0,0.0
2015-06-30,45.28,45.72,44.39,45.58,42.3,1949800,0.0,0.0
2015-07-01,45.74,45.74,44.81,44.92,41.69,1615200,0.0,0.0
2015-07-02,45.07,45.14,44.27,44.63,41.42,1001100,0.0,0.0
2015-07-06,43.98,44.39,43.54,43.63,40.49,1161700,0.0,0.0
2015-07-07,43.63,43.69,42.61,43.36,40.24,1436400,0.0,0.0
2015-07-08,42.97,43.04,42.18,42.25,39.22,718000,0.0,0.0
2015-07-09,42.81,43.0,42.14,42.21,39.18,884800,0.0,0.0
2015-07-10,42.66,43.01,42.52,42.95,39.86,731300,0.0,0.0
2015-07-13,43.18,43.55,43.05,43.52,40.39,574500,0.0,0.0
2015-07-14,43.41,44.15,43.17,44.15,40.97,999600,0.0,0.0
2015-07-15,43.88,44.19,43.52,43.63,40.49,1079500,0.0,0.0
2015-07-16,43.72,43.82,43.48,43.6,40.47,631700,0.0,0.0
2015-07-17,43.41,43.43,43.03,43.15,40.05,1111900,0.0,0.0
2015-07-20,43.07,43.32,42.84,42.9,39.81,1103600,0.0,0.0
2015-07-21,42.93,43.2,42.43,42.49,39.44,664400,0.0,0.0
2015-07-22,42.43,42.65,42.23,42.35,39.31,678000,0.0,0.0
2015-07-23,42.58,42.67,42.18,42.38,39.33,805100,0.0,0.0
2015-07-24,42.25,42.48,41.3,41.47,38.49,999100,0.0,0.0
2015-07-27,41.13,41.4,40.82,40.95,38.01,873700,0.0,0.0
2015-07-28,41.1,41.92,40.95,41.84,38.83,847900,0.0,0.0
2015-07-29,42.02,42.19,41.57,41.69,38.7,891900,0.0,0.0
2015-07-30,41.73,42.27,41.35,41.95,38.94,755700,0.0,0.0
2015-07-31,42.15,42.25,41.71,42.1,39.07,834800,0.0,0.0
2015-08-03,42.11,42.31,41.47,42.03,39.01,1327600,0.0,0.0
2015-08-04,41.99,42.71,41.63,42.23,39.19,835100,0.0,0.0
2015-08-05,42.49,42.89,42.03,42.06,39.04,971700,0.0,0.0
2015-08-06,41.94,43.61,41.58,42.56,39.5,1720200,0.0,0.0
2015-08-07,42.4,42.54,41.03,41.08,38.13,1088800,0.0,0.0
2015-08-10,41.39,42.79,41.16,42.69,39.62,1365800,0.0,0.0
2015-08-11,42.18,42.18,41.79,41.9,38.89,980100,0.0,0.0
2015-08-12,41.39,41.66,40.95,41.1,38.15,1078600,0.0,0.0
2015-08-13,40.94,40.95,40.15,40.31,37.42,1254400,0.0,0.0
2015-08-14,40.34,40.48,40.14,40.33,37.43,1144200,0.0,0.0
2015-08-17,40.84,41.47,40.33,41.39,38.41,765100,0.0,0.0
2015-08-18,41.27,41.49,40.96,41.16,38.2,786600,0.0,0.0
2015-08-19,40.87,40.99,40.21,40.73,37.8,962000,0.0,0.0
2015-08-20,40.47,40.54,39.81,39.81,36.95,690800,0.0,0.0
2015-08-21,39.47,39.78,38.71,38.72,35.93,1563000,0.0,0.0
2015-08-24,37.08,38.73,36.66,37.42,34.73,2191900,0.0,0.0
2015-08-25,38.44,38.47,34.8,34.92,32.41,3230000,0.0,0.0
2015-08-26,35.52,35.58,34.22,34.93,32.42,4302300,0.0,0.0
2015-08-27,35.55,37.18,35.47,36.7,34.06,2063200,0.0,0.0
2015-08-28,36.14,36.84,35.2,36.77,34.13,1686300,0.0,0.0
2015-08-31,36.7,37.06,36.02,36.7,34.06,1307700,0.0,0.0
2015-09-01,35.78,36.18,35.02,35.16,32.63,1474900,0.0,0.0
2015-09-02,35.7,36.18,34.75,36.18,33.58,2110100,0.0,0.0
2015-09-03,36.41,36.95,36.11,36.7,34.06,1544600,0.0,0.0
2015-09-04,36.19,36.27,35.76,35.98,33.39,1522700,0.0,0.0
2015-09-08,36.61,36.9,36.35,36.71,34.07,1183000,0.0,0.0
2015-09-09,37.01,37.28,35.76,35.85,33.27,916200,0.0,0.0
2015-09-10,35.73,36.04,35.21,35.85,33.27,1318100,0.0,0.0
2015-09-11,35.72,36.27,35.62,36.08,33.49,1277700,0.0,0.0
2015-09-14,35.99,36.08,34.79,34.95,32.44,1224000,0.0,0.0
2015-09-15,35.13,35.33,34.72,34.92,32.41,2196500,0.0,0.0
2015-09-16,34.98,35.36,34.75,34.8,32.3,2783400,0.0,0.0
2015-09-17,34.86,35.0,33.56,33.64,31.23,3101900,0.0,0.0
2015-09-18,33.62,33.75,32.59,32.75,30.4,4823100,0.0,0.0
2015-09-21,32.89,33.1,32.37,32.52,30.19,2505200,0.0,0.0
2015-09-22,32.05,32.26,31.85,32.13,29.82,4209000,0.0,0.0
2015-09-23,32.45,32.75,31.41,31.53,29.26,2819000,0.0,0.0
2015-09-24,31.01,31.07,29.84,30.33,28.15,3337900,0.0,0.0
2015-09-25,30.62,30.81,29.72,29.89,27.74,1814500,0.0,0.0
2015-09-28,29.36,30.25,28.26,28.61,26.7,3045700,0.165,0.0
2015-09-29,28.61,29.33,28.33,28.56,26.66,2531700,0.0,0.0
2015-09-30,28.84,29.66,28.83,29.41,27.45,2283800,0.0,0.0
2015-10-01,29.49,29.75,29.12,29.38,27.42,2491500,0.0,0.0
2015-10-02,28.97,30.41,28.87,30.4,28.37,1775900,0.0,0.0
2015-10-05,30.61,31.5,30.55,31.07,28.99,2134700,0.0,0.0
2015-10-06,31.06,31.89,30.94,31.43,29.33,2775900,0.0,0.0
2015-10-07,31.34,32.43,31.27,32.38,30.22,3243300,0.0,0.0
2015-10-08,32.27,33.98,32.2,33.56,31.33,3286200,0.0,0.0
2015-10-09,33.63,33.87,32.97,33.37,31.15,1873100,0.0,0.0
2015-10-12,33.3,33.33,32.19,32.55,30.38,1306000,0.0,0.0
2015-10-13,30.19,31.79,30.19,31.53,29.42,6842100,0.0,0.0
2015-10-14,31.39,33.84,31.24,33.43,31.2,3529600,0.0,0.0
2015-10-15,33.39,33.69,31.92,33.0,30.8,3228200,0.0,0.0
2015-10-16,33.15,33.15,32.58,32.78,30.6,1356600,0.0,0.0
2015-10-19,32.38,33.08,32.2,32.49,30.32,1657600,0.0,0.0
2015-10-20,32.45,33.14,32.24,32.55,30.38,2138600,0.0,0.0
2015-10-21,32.63,32.63,31.53,31.58,29.47,2385700,0.0,0.0
2015-10-22,31.97,32.67,31.87,32.4,30.24,1871800,0.0,0.0
2015-10-23,32.73,32.85,32.44,32.52,30.35,1286600,0.0,0.0
2015-10-26,32.43,32.66,31.95,32.02,29.88,1032700,0.0,0.0
2015-10-27,32.34,32.34,31.13,31.47,29.37,1583200,0.0,0.0
2015-10-28,31.6,32.59,31.36,32.54,30.37,1995700,0.0,0.0
2015-10-29,32.14,34.71,31.58,34.49,32.19,4897700,0.0,0.0
2015-10-30,34.62,35.98,34.5,35.31,32.95,4348500,0.0,0.0
2015-11-02,35.38,36.01,35.37,35.72,33.33,2640000,0.0,0.0
2015-11-03,35.62,36.5,35.42,35.88,33.49,1788300,0.0,0.0
2015-11-04,35.91,36.81,35.76,36.0,33.6,1488600,0.0,0.0
2015-11-05,35.86,36.38,35.78,35.97,33.57,1576700,0.0,0.0
2015-11-06,35.7,36.02,35.06,35.57,33.2,1270100,0.0,0.0
2015-11-09,35.45,35.68,34.78,35.21,32.86,1118200,0.0,0.0
2015-11-10,35.07,35.2,34.48,34.83,32.51,799200,0.0,0.0
2015-11-11,34.87,34.96,34.23,34.48,32.18,883800,0.0,0.0
2015-11-12,34.06,34.82,33.88,34.48,32.18,1223400,0.0,0.0
2015-11-13,34.46,35.65,34.38,35.2,32.86,1160800,0.0,0.0
2015-11-16,35.19,36.06,35.12,35.98,33.58,1409400,0.0,0.0
2015-11-17,36.05,36.76,35.67,36.36,33.93,1834700,0.0,0.0
2015-11-18,36.47,37.61,36.45,37.32,34.83,3707500,0.0,0.0
2015-11-19,37.19,37.55,36.86,36.96,34.49,804400,0.0,0.0
2015-11-20,37.05,37.16,36.27,36.35,33.92,1035500,0.0,0.0
2015-11-23,36.28,36.73,35.99,36.34,33.92,1149500,0.0,0.0
2015-11-24,36.24,37.14,35.87,36.99,34.52,1365700,0.0,0.0
2015-11-25,36.89,37.36,36.69,37.06,34.59,840000,0.0,0.0
2015-11-27,36.95,37.32,36.38,36.59,34.15,298600,0.0,0.0
2015-11-30,36.74,37.61,36.62,37.27,34.78,1731600,0.0,0.0
2015-12-01,37.44,37.44,36.1,36.4,33.97,1353000,0.0,0.0
2015-12-02,36.3,37.14,35.56,35.68,33.3,1728300,0.0,0.0
2015-12-03,35.84,36.83,35.72,36.36,33.93,1881200,0.0,0.0
2015-12-04,36.37,37.03,35.98,36.81,34.35,1321600,0.0,0.0
2015-12-07,36.51,36.6,35.59,35.92,33.52,1493200,0.0,0.0
2015-12-08,35.55,35.76,34.68,34.7,32.39,1758000,0.0,0.0
2015-12-09,35.01,36.17,34.8,35.12,32.77,2148300,0.0,0.0
2015-12-10,34.93,35.21,34.16,34.24,31.96,1359700,0.0,0.0
2015-12-11,33.43,33.66,32.84,32.97,30.77,1613200,0.0,0.0
2015-12-14,32.94,32.94,31.6,32.14,30.0,2603100,0.0,0.0
2015-12-15,32.52,32.92,32.26,32.86,30.67,1728600,0.0,0.0
2015-12-16,32.99,33.67,32.77,33.55,31.31,1390000,0.0,0.0
2015-12-17,33.5,33.62,32.45,32.56,30.39,1631000,0.0,0.0
2015-12-18,32.39,33.26,32.31,32.9,30.7,2586600,0.0,0.0
2015-12-21,33.15,33.85,32.9,33.17,30.95,1408700,0.0,0.0
2015-12-22,33.35,34.35,33.23,34.04,31.77,1029000,0.0,0.0
2015-12-23,34.42,35.76,34.36,35.37,33.01,1105200,0.0,0.0
2015-12-24,35.43,35.52,34.93,35.2,32.85,419000,0.0,0.0
2015-12-28,34.96,35.07,34.52,34.63,32.32,818800,0.0,0.0
2015-12-29,34.79,35.24,34.41,35.03,32.85,834800,0.165,0.0
2015-12-30,34.83,35.17,34.41,34.42,32.28,723500,0.0,0.0
2015-12-31,34.25,34.61,33.94,33.94,31.83,805700,0.0,0.0
2016-01-04,32.79,33.05,32.08,32.94,30.89,2017000,0.0,0.0
2016-01-05,32.99,33.43,32.39,32.59,30.56,1630300,0.0,0.0
2016-01-06,31.99,32.08,31.03,31.24,29.3,1671900,0.0,0.0
2016-01-07,30.79,31.42,30.27,30.99,29.06,2487500,0.0,0.0
2016-01-08,31.17,31.68,30.87,30.94,29.01,1785500,0.0,0.0
2016-01-11,31.06,31.2,30.24,30.49,28.6,1732000,0.0,0.0
2016-01-12,30.95,31.08,30.07,30.83,28.91,1460100,0.0,0.0
2016-01-13,30.88,31.24,29.61,29.77,27.92,1452600,0.0,0.0
2016-01-14,29.89,30.82,29.35,30.67,28.76,1705000,0.0,0.0
2016-01-15,29.71,30.56,29.65,30.39,28.5,1675500,0.0,0.0
2016-01-19,30.76,30.81,29.48,30.19,28.31,1948200,0.0,0.0
2016-01-20,29.77,30.38,29.01,30.19,28.31,1961100,0.0,0.0
2016-01-21,30.0,31.07,30.0,30.45,28.56,1837300,0.0,0.0
2016-01-22,30.91,31.33,30.0,30.57,28.67,1996100,0.0,0.0
2016-01-25,30.28,30.44,29.17,29.18,27.37,1094700,0.0,0.0
2016-01-26,29.46,30.33,29.35,30.21,28.33,1441900,0.0,0.0
2016-01-27,29.98,31.02,29.88,30.1,28.23,1297500,0.0,0.0
2016-01-28,30.44,30.58,29.65,30.03,28.16,772100,0.0,0.0
2016-01-29,30.23,31.02,30.0,30.98,29.05,1124400,0.0,0.0
2016-02-01,30.57,31.01,29.78,30.94,29.01,1270000,0.0,0.0
2016-02-02,30.54,30.64,29.76,29.95,28.08,1382400,0.0,0.0
