Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,58.79,59.68,58.4,58.53,47.18,646200,0.0,0
2015-04-28,58.37,59.3,57.98,59.11,47.77,431200,0.15,0
2015-04-29,58.85,59.5,58.63,59.1,47.76,357900,0.0,0
2015-04-30,59.02,59.38,57.98,58.29,47.1,890900,0.0,0
2015-05-01,58.41,59.06,57.95,58.12,46.97,380800,0.0,0
2015-05-04,58.19,58.64,57.84,58.42,47.21,841500,0.0,0
2015-05-05,58.25,59.01,58.15,58.38,47.18,528400,0.0,0
2015-05-06,58.5,58.6,57.66,58.58,47.34,721000,0.0,0
2015-05-07,58.61,58.62,57.95,58.42,47.21,548500,0.0,0
2015-05-08,58.5,59.71,58.42,59.31,47.93,616000,0.0,0
2015-05-11,59.3,59.5,58.94,59.29,47.91,413900,0.0,0
2015-05-12,59.0,60.0,58.7,59.82,48.34,619700,0.0,0
2015-05-13,60.0,60.47,59.67,60.37,48.78,571600,0.0,0
2015-05-14,60.67,61.05,60.17,61.04,49.33,540700,0.0,0
2015-05-15,61.22,61.22,59.73,60.07,48.54,346700,0.0,0
2015-05-18,60.07,60.99,60.07,60.94,49.25,655300,0.0,0
2015-05-19,60.8,61.94,60.77,61.83,49.96,1118600,0.0,0
2015-05-20,61.73,61.73,61.03,61.14,49.41,415800,0.0,0
2015-05-21,61.23,61.35,60.99,61.26,49.5,453100,0.0,0
2015-05-22,61.12,61.28,60.81,61.02,49.31,504500,0.0,0
2015-05-26,60.77,61.02,60.29,60.65,49.01,478500,0.0,0
2015-05-27,61.04,61.74,60.81,61.67,49.84,503400,0.0,0
2015-05-28,61.66,61.67,61.18,61.38,49.6,402200,0.0,0
2015-05-29,61.14,61.22,60.14,60.55,48.93,1388300,0.0,0
2015-06-01,60.89,60.89,59.8,60.31,48.74,596000,0.0,0
2015-06-02,60.35,61.01,60.15,60.95,49.25,720500,0.0,0
2015-06-03,61.25,62.47,61.04,61.99,50.09,1142200,0.0,0
2015-06-04,61.86,62.28,61.53,61.8,49.94,859000,0.0,0
2015-06-05,62.35,62.92,62.23,62.91,50.84,639200,0.0,0
2015-06-08,62.7,63.3,62.58,62.66,50.64,906100,0.0,0
2015-06-09,62.8,63.74,62.49,63.54,51.35,627700,0.0,0
2015-06-10,63.86,64.43,63.51,64.27,51.94,935500,0.0,0
2015-06-11,64.29,64.63,63.99,64.39,52.03,873600,0.0,0
2015-06-12,64.15,64.21,63.64,63.99,51.71,693500,0.0,0
2015-06-15,63.54,64.07,63.14,63.78,51.54,525000,0.0,0
2015-06-16,63.98,64.51,63.81,63.99,51.71,828300,0.0,0
2015-06-17,64.21,64.61,63.28,63.49,51.31,872900,0.0,0
2015-06-18,63.72,63.84,63.27,63.37,51.21,951200,0.0,0
2015-06-19,63.49,63.51,62.61,62.61,50.59,1560800,0.0,0
2015-06-22,63.23,63.66,63.1,63.48,51.3,805500,0.0,0
2015-06-23,63.74,64.43,63.32,64.41,52.05,630500,0.0,0
2015-06-24,64.25,64.47,63.7,63.85,51.6,541300,0.0,0
2015-06-25,64.08,64.37,63.51,63.71,51.48,601700,0.0,0
2015-06-26,64.16,64.4,63.93,64.33,51.98,725000,0.0,0
2015-06-29,63.41,63.81,63.11,63.17,51.05,846800,0.0,0
2015-06-30,63.8,63.95,62.71,63.03,50.93,1484900,0.0,0
2015-07-01,63.88,64.26,63.57,64.18,51.86,925700,0.0,0
2015-07-02,64.18,64.18,62.95,63.56,51.36,616100,0.0,0
2015-07-06,62.13,63.53,62.13,63.49,51.31,756100,0.0,0
2015-07-07,63.52,63.52,62.21,62.65,50.63,1050300,0.0,0
2015-07-08,62.26,62.47,61.6,61.72,49.88,809800,0.0,0
2015-07-09,62.5,62.92,62.05,62.51,50.51,1081400,0.0,0
2015-07-10,63.46,63.83,63.28,63.52,51.33,681900,0.0,0
2015-07-13,64.0,64.44,63.94,64.25,51.92,683000,0.0,0
2015-07-14,64.25,64.64,63.84,64.61,52.21,712700,0.0,0
2015-07-15,64.93,65.18,64.47,64.69,52.28,746100,0.0,0
2015-07-16,64.69,65.05,63.42,63.95,51.68,1265800,0.0,0
2015-07-17,63.5,63.98,63.0,63.68,51.46,860700,0.0,0
2015-07-20,63.77,64.18,63.48,63.77,51.53,564900,0.0,0
2015-07-21,63.8,64.38,63.15,63.29,51.14,639600,0.0,0
2015-07-22,63.32,64.82,63.32,64.39,52.03,671300,0.0,0
2015-07-23,64.4,64.74,63.72,63.78,51.54,583300,0.0,0
2015-07-24,63.74,64.11,63.38,63.59,51.39,452800,0.0,0
2015-07-27,63.0,63.11,62.33,62.55,50.55,517700,0.0,0
2015-07-28,62.9,62.97,62.16,62.52,50.64,749900,0.15,0
2015-07-29,62.69,63.42,62.5,63.29,51.27,376600,0.0,0
2015-07-30,63.16,63.95,63.16,63.95,51.8,429200,0.0,0
2015-07-31,63.97,64.46,63.54,63.79,51.67,721400,0.0,0
2015-08-03,63.75,64.02,63.14,63.62,51.53,408400,0.0,0
2015-08-04,63.72,64.44,63.68,63.88,51.75,404200,0.0,0
2015-08-05,64.05,64.59,63.46,64.05,51.88,409900,0.0,0
2015-08-06,64.16,64.39,63.22,63.55,51.48,235600,0.0,0
2015-08-07,63.49,64.0,63.04,63.59,51.51,450900,0.0,0
2015-08-10,64.36,65.13,64.08,65.11,52.74,415600,0.0,0
2015-08-11,64.49,64.78,63.38,63.86,51.73,720500,0.0,0
2015-08-12,63.49,63.54,61.75,62.9,50.95,712200,0.0,0
2015-08-13,63.09,63.29,62.55,63.0,51.03,492400,0.0,0
2015-08-14,63.19,64.41,63.14,64.4,52.17,660000,0.0,0
2015-08-17,64.0,64.87,63.4,64.38,52.15,346300,0.0,0
2015-08-18,64.37,64.96,64.08,64.14,51.96,349600,0.0,0
2015-08-19,64.0,64.22,63.36,63.4,51.36,495600,0.0,0
2015-08-20,62.67,62.9,61.47,61.47,49.79,428400,0.0,0
2015-08-21,60.74,61.28,60.17,60.18,48.75,622500,0.0,0
2015-08-24,57.44,59.63,56.65,57.46,46.54,1084900,0.0,0
2015-08-25,59.02,59.07,56.59,56.6,45.85,830400,0.0,0
2015-08-26,58.08,58.92,57.16,58.81,47.64,939200,0.0,0
2015-08-27,59.74,60.53,59.28,60.36,48.89,649400,0.0,0
2015-08-28,60.08,60.75,59.81,60.42,48.94,520800,0.0,0
2015-08-31,60.05,60.63,59.89,60.31,48.85,776700,0.0,0
2015-09-01,59.1,59.63,58.33,58.74,47.58,1163600,0.0,0
2015-09-02,59.73,59.82,58.41,59.8,48.44,820300,0.0,0
2015-09-03,59.97,60.99,59.68,60.87,49.31,858400,0.0,0
2015-09-04,60.0,60.45,59.6,60.18,48.75,631000,0.0,0
2015-09-08,61.0,61.85,60.8,61.73,50.0,902800,0.0,0
2015-09-09,62.32,62.54,61.08,61.17,49.55,831000,0.0,0
