Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,25.92,25.96,25.78,25.85,22.42,37666400,0.0,0.0
2015-04-28,25.91,26.12,25.62,26.08,22.62,39963600,0.0,0.0
2015-04-29,25.91,26.2,25.87,26.05,22.6,38640100,0.0,0.0
2015-04-30,26.02,26.3,25.93,26.04,22.59,44704400,0.0,0.0
2015-05-01,26.05,26.27,25.95,26.26,22.78,29435400,0.0,0.0
2015-05-04,26.31,26.55,26.2,26.22,22.75,27249700,0.0,0.0
2015-05-05,26.2,26.31,25.82,25.88,22.46,31561100,0.0,0.0
2015-05-06,25.96,26.13,25.59,25.78,22.36,28871400,0.0,0.0
2015-05-07,25.75,26.08,25.63,26.0,22.56,32279700,0.0,0.0
2015-05-08,26.2,26.43,26.17,26.31,22.82,38710300,0.0,0.0
2015-05-11,26.2,26.25,25.83,25.88,22.46,33751500,0.0,0.0
2015-05-12,25.79,26.05,25.72,25.99,22.55,30981300,0.0,0.0
2015-05-13,25.98,26.19,25.88,26.16,22.7,38657200,0.0,0.0
2015-05-14,26.27,26.38,26.11,26.36,22.86,28055100,0.0,0.0
2015-05-15,26.33,26.38,26.2,26.22,22.75,37199400,0.0,0.0
2015-05-18,26.16,26.34,26.16,26.26,22.78,23389000,0.0,0.0
2015-05-19,26.22,26.34,26.16,26.3,22.81,30316800,0.0,0.0
2015-05-20,26.29,26.63,26.15,26.58,23.06,41780500,0.0,0.0
2015-05-21,26.62,26.72,26.49,26.65,23.12,41923500,0.0,0.0
2015-05-22,26.62,26.71,26.56,26.62,23.09,24220800,0.0,0.0
2015-05-26,26.46,26.52,26.33,26.46,22.96,49363800,0.0,0.0
2015-05-27,26.51,26.56,26.4,26.46,22.96,26339800,0.0,0.0
2015-05-28,26.44,26.57,26.25,26.57,23.05,27475000,0.0,0.0
2015-05-29,26.44,26.44,26.22,26.22,22.75,43327400,0.0,0.0
2015-06-01,26.21,26.29,26.03,26.23,22.76,34655200,0.0,0.0
2015-06-02,26.17,26.37,26.11,26.28,22.8,27378300,0.0,0.0
2015-06-03,26.38,26.5,26.31,26.47,22.96,27358500,0.0,0.0
2015-06-04,26.37,26.56,26.16,26.21,22.74,34694900,0.0,0.0
2015-06-05,26.21,26.33,26.12,26.24,22.76,31873600,0.0,0.0
2015-06-08,26.27,26.31,26.16,26.19,22.72,31005300,0.0,0.0
2015-06-09,26.23,26.41,26.12,26.28,22.8,32358400,0.0,0.0
2015-06-10,26.31,26.62,26.27,26.57,23.05,34502700,0.0,0.0
2015-06-11,26.51,26.58,26.31,26.45,22.95,32643900,0.0,0.0
2015-06-12,26.38,26.42,26.23,26.34,22.85,23057400,0.0,0.0
2015-06-15,26.34,26.34,26.07,26.16,22.7,29638600,0.0,0.0
2015-06-16,26.12,26.19,25.96,26.17,22.71,28672200,0.0,0.0
2015-06-17,26.14,26.35,26.07,26.22,22.75,38010200,0.0,0.0
2015-06-18,26.04,26.36,25.99,26.32,23.03,39187900,0.23,0.0
2015-06-19,26.22,26.33,26.13,26.19,22.92,62678300,0.0,0.0
2015-06-22,26.25,26.44,26.24,26.37,23.07,28604800,0.0,0.0
2015-06-23,26.37,26.54,26.34,26.49,23.18,33811300,0.0,0.0
2015-06-24,26.49,26.53,26.2,26.21,22.94,33754900,0.0,0.0
2015-06-25,26.23,26.3,25.98,26.0,22.75,24275700,0.0,0.0
2015-06-26,26.0,26.09,25.88,26.05,22.8,26808400,0.0,0.0
2015-06-29,25.87,25.93,25.51,25.62,22.42,34707100,0.0,0.0
2015-06-30,25.79,25.92,25.51,25.55,22.36,36980100,0.0,0.0
2015-07-01,25.64,25.84,25.45,25.63,22.43,31644400,0.0,0.0
2015-07-02,25.67,25.8,25.58,25.75,22.54,27042300,0.0,0.0
2015-07-06,25.51,25.62,25.19,25.3,22.14,28972400,0.0,0.0
2015-07-07,25.37,25.53,24.93,25.45,22.28,33952900,0.0,0.0
2015-07-08,25.09,25.23,24.88,24.89,21.79,33311900,0.0,0.0
2015-07-09,25.16,25.38,25.01,25.02,21.9,31627800,0.0,0.0
2015-07-10,25.38,25.42,25.04,25.26,22.11,26374100,0.0,0.0
2015-07-13,25.47,25.51,25.23,25.45,22.28,25297500,0.0,0.0
2015-07-14,25.34,25.7,25.34,25.63,22.43,23186300,0.0,0.0
2015-07-15,25.59,25.76,25.58,25.74,22.53,29042100,0.0,0.0
2015-07-16,25.94,26.0,25.81,26.0,22.75,31860800,0.0,0.0
2015-07-17,26.21,26.28,25.99,26.19,22.92,42838600,0.0,0.0
2015-07-20,26.08,26.16,25.97,26.1,22.84,25674000,0.0,0.0
2015-07-21,25.97,26.11,25.77,25.82,22.59,30453500,0.0,0.0
2015-07-22,25.85,25.92,25.55,25.61,22.41,25098700,0.0,0.0
2015-07-23,25.56,25.58,25.19,25.25,22.1,24129200,0.0,0.0
2015-07-24,25.3,25.31,24.68,24.76,21.67,32369100,0.0,0.0
2015-07-27,24.56,24.98,24.54,24.95,21.84,37728000,0.0,0.0
2015-07-28,25.1,25.23,24.95,25.1,21.96,28868600,0.0,0.0
2015-07-29,25.09,25.27,25.05,25.25,22.1,24947400,0.0,0.0
2015-07-30,25.22,25.23,25.01,25.12,21.98,23003600,0.0,0.0
2015-07-31,25.22,25.28,25.05,25.1,21.96,24125400,0.0,0.0
2015-08-03,25.12,25.12,24.62,24.88,21.77,33883500,0.0,0.0
2015-08-04,24.89,25.06,24.84,24.9,21.8,22864600,0.0,0.0
2015-08-05,25.09,25.32,25.03,25.1,21.96,26490200,0.0,0.0
2015-08-06,25.14,25.17,24.96,25.03,21.9,17990100,0.0,0.0
2015-08-07,24.95,25.06,24.62,24.8,21.7,26952800,0.0,0.0
2015-08-10,24.9,25.29,24.9,25.23,22.08,24418300,0.0,0.0
2015-08-11,25.03,25.03,24.65,24.72,21.64,29364700,0.0,0.0
2015-08-12,24.56,24.88,24.38,24.87,21.76,32733700,0.0,0.0
2015-08-13,24.78,24.91,24.63,24.8,21.7,17075400,0.0,0.0
2015-08-14,24.66,25.1,24.63,25.08,21.95,21617700,0.0,0.0
2015-08-17,24.95,25.23,24.81,25.2,22.06,19992600,0.0,0.0
2015-08-18,25.16,25.2,24.94,25.07,21.94,21162700,0.0,0.0
2015-08-19,24.9,25.03,24.63,24.74,21.65,30315800,0.0,0.0
2015-08-20,24.53,24.65,24.21,24.22,21.2,36031600,0.0,0.0
2015-08-21,23.94,24.16,23.62,23.64,20.69,67705900,0.0,0.0
2015-08-24,21.96,23.12,18.62,22.95,20.09,94885900,0.0,0.0
2015-08-25,23.78,23.79,22.38,22.38,19.58,63209100,0.0,0.0
2015-08-26,22.93,23.14,22.38,23.09,20.2,82124500,0.0,0.0
2015-08-27,23.49,24.05,23.44,24.05,21.05,67489900,0.0,0.0
2015-08-28,23.96,24.2,23.83,24.19,21.17,34260200,0.0,0.0
2015-08-31,24.02,24.02,23.63,23.87,20.89,38487000,0.0,0.0
2015-09-01,23.31,23.42,22.77,22.96,20.1,67957700,0.0,0.0
2015-09-02,23.21,23.63,22.91,23.62,20.68,52500000,0.0,0.0
2015-09-03,23.81,23.99,23.45,23.57,20.63,34907300,0.0,0.0
2015-09-04,23.25,23.25,22.93,23.08,20.2,37053500,0.0,0.0
2015-09-08,23.57,24.02,23.34,24.0,21.0,48061300,0.0,0.0
2015-09-09,24.23,24.25,23.54,23.61,20.66,35995600,0.0,0.0
2015-09-10,23.62,23.9,23.56,23.73,20.77,36444800,0.0,0.0
2015-09-11,23.79,24.0,23.56,23.99,21.0,33179100,0.0,0.0
2015-09-14,24.01,24.02,23.65,23.82,20.84,27287100,0.0,0.0
2015-09-15,23.94,24.47,23.75,24.33,21.29,48188000,0.0,0.0
2015-09-16,24.55,25.03,24.44,24.93,21.82,64001700,0.0,0.0
2015-09-17,24.52,24.93,24.3,24.38,21.53,50797800,0.23,0.0
2015-09-18,24.18,24.24,23.76,23.85,21.06,80984000,0.0,0.0
2015-09-21,23.93,24.23,23.88,24.12,21.31,30803600,0.0,0.0
2015-09-22,23.81,24.19,23.65,24.14,21.33,45973200,0.0,0.0
2015-09-23,24.05,24.36,24.02,24.17,21.35,42837600,0.0,0.0
2015-09-24,23.91,24.47,23.7,23.95,21.16,55369000,0.0,0.0
2015-09-25,24.04,24.08,23.9,23.96,21.17,40508100,0.0,0.0
2015-09-28,23.74,23.79,23.38,23.38,20.65,44346900,0.0,0.0
2015-09-29,23.39,23.65,23.33,23.62,20.87,43251300,0.0,0.0
2015-09-30,23.78,24.27,23.74,24.25,21.42,45508600,0.0,0.0
2015-10-01,24.18,24.34,23.84,24.22,21.4,41312500,0.0,0.0
2015-10-02,23.91,24.51,23.88,24.49,21.63,44383200,0.0,0.0
2015-10-05,25.36,26.15,25.21,25.79,22.78,109640200,0.0,0.0
