Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,104.18,104.53,102.01,102.94,89.34,10829200,0.0,0
2015-04-28,103.12,103.83,101.14,103.72,90.02,9793700,0.0,0
2015-04-29,103.12,103.9,101.62,102.32,88.8,8932200,0.0,0
2015-04-30,102.15,102.7,99.8,100.51,87.23,14009500,0.0,0
2015-05-01,103.2,106.34,102.5,105.01,91.14,22306500,0.0,0
2015-05-04,105.65,107.5,105.22,105.66,91.7,13215600,0.0,0
2015-05-05,105.3,105.73,102.73,102.99,89.38,15046500,0.0,0
2015-05-06,103.45,103.83,101.52,102.27,88.76,10065200,0.0,0
2015-05-07,102.17,102.35,99.66,101.79,88.34,13878300,0.0,0
2015-05-08,103.0,103.96,102.88,103.85,90.13,9651700,0.0,0
2015-05-11,104.19,105.36,104.0,104.73,90.89,9956100,0.0,0
2015-05-12,104.21,106.15,103.45,105.56,91.61,9552600,0.0,0
2015-05-13,105.97,107.43,105.95,106.39,92.34,10814500,0.0,0
2015-05-14,107.27,108.85,106.66,108.74,94.37,12761300,0.0,0
2015-05-15,109.05,110.24,108.29,109.3,94.86,13419600,0.0,0
2015-05-18,109.59,111.33,109.36,111.0,96.34,13716000,0.0,0
2015-05-19,111.12,111.55,110.05,110.56,95.95,8676900,0.0,0
2015-05-20,110.09,110.91,108.15,110.17,95.62,10335100,0.0,0
2015-05-21,109.9,111.47,109.81,111.22,96.53,8374000,0.0,0
2015-05-22,110.7,112.66,110.7,111.71,96.95,12079000,0.0,0
2015-05-26,111.49,111.53,109.54,109.77,95.27,16006900,0.0,0
2015-05-27,110.34,112.6,109.98,112.46,97.6,11722000,0.0,0
2015-05-28,112.01,113.43,111.82,112.85,97.94,8252400,0.0,0
2015-05-29,113.15,113.37,111.85,112.27,97.44,11343500,0.0,0
2015-06-01,113.17,114.76,112.65,114.08,99.01,11417600,0.0,0
2015-06-02,113.85,114.2,113.14,113.94,98.89,10189800,0.0,0
2015-06-03,114.27,114.93,113.87,114.65,99.5,7413400,0.0,0
2015-06-04,113.9,114.58,113.26,113.93,98.88,8637600,0.0,0
2015-06-05,113.82,114.28,112.52,113.96,98.91,8435700,0.0,0
2015-06-08,113.96,114.77,113.53,113.7,98.68,10742900,0.0,0
2015-06-09,113.22,115.3,113.15,114.75,99.59,9566700,0.0,0
2015-06-10,115.02,117.93,114.81,117.67,102.13,11986000,0.0,0
2015-06-11,118.08,119.7,117.9,119.13,103.39,14474700,0.0,0
2015-06-12,118.59,118.75,116.76,117.66,102.49,9266000,0.43,0
2015-06-15,116.72,118.39,116.4,118.16,102.92,9605800,0.0,0
2015-06-16,118.27,119.45,117.42,119.07,103.71,8447800,0.0,0
2015-06-17,119.09,119.45,117.86,118.88,103.55,12078300,0.0,0
2015-06-18,119.18,121.78,119.02,121.21,105.58,13653000,0.0,0
2015-06-19,120.47,121.0,119.55,119.8,104.35,21020000,0.0,0
2015-06-22,120.77,121.87,120.56,121.49,105.82,8040700,0.0,0
2015-06-23,121.82,122.4,121.1,122.21,106.45,8429200,0.0,0
2015-06-24,121.89,123.37,121.65,122.01,106.28,8354800,0.0,0
2015-06-25,122.48,122.61,119.81,120.23,104.72,8575000,0.0,0
2015-06-26,120.3,120.61,118.89,119.5,104.09,9730800,0.0,0
2015-06-29,117.88,119.14,115.3,115.46,100.57,12491100,0.0,0
2015-06-30,117.29,118.3,116.78,117.08,101.98,11345200,0.0,0
2015-07-01,118.11,118.6,115.4,116.01,101.05,10248500,0.0,0
2015-07-02,116.33,116.49,114.91,115.04,100.2,8832000,0.0,0
2015-07-06,114.46,116.44,114.12,115.66,100.74,13543300,0.0,0
2015-07-07,115.95,116.42,113.13,115.13,100.28,10183000,0.0,0
2015-07-08,114.25,114.41,112.41,112.94,98.38,9238800,0.0,0
2015-07-09,114.4,114.75,113.33,113.36,98.74,9007800,0.0,0
2015-07-10,114.88,115.0,113.2,113.74,99.07,9703400,0.0,0
2015-07-13,115.0,115.11,114.31,114.55,99.78,9632800,0.0,0
2015-07-14,115.22,117.81,114.87,117.36,102.23,11295900,0.0,0
2015-07-15,119.06,119.72,117.21,117.39,102.25,10479200,0.0,0
2015-07-16,118.33,119.4,118.06,118.85,103.52,7514600,0.0,0
2015-07-17,118.75,118.85,117.22,118.26,103.01,8170100,0.0,0
2015-07-20,118.8,118.95,117.84,118.2,102.96,7218700,0.0,0
2015-07-21,118.21,118.98,116.92,117.78,102.59,6489100,0.0,0
2015-07-22,116.82,118.4,116.56,117.44,102.29,6977100,0.0,0
2015-07-23,117.86,118.6,117.42,117.66,102.49,6110300,0.0,0
2015-07-24,116.14,117.15,112.66,112.83,98.28,15067600,0.0,0
2015-07-27,112.63,112.88,108.0,110.54,96.28,14883600,0.0,0
