Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,56.44,56.5,56.0,56.05,46.53,1696300,0.0,0
2015-04-28,56.0,56.23,55.76,56.1,46.58,1805500,0.0,0
2015-04-29,56.01,56.19,55.47,55.57,46.14,2069200,0.0,0
2015-04-30,55.58,55.68,55.11,55.34,45.94,1815600,0.0,0
2015-05-01,55.51,55.82,55.26,55.7,46.24,2573900,0.0,0
2015-05-04,55.73,55.93,55.67,55.85,46.37,1425600,0.0,0
2015-05-05,56.0,56.16,55.41,55.63,46.19,2097800,0.0,0
2015-05-06,55.86,55.93,54.94,55.3,45.91,2197800,0.0,0
2015-05-07,55.25,55.79,55.14,55.63,46.19,1620900,0.0,0
2015-05-08,55.94,56.53,55.92,56.27,46.72,1884800,0.0,0
2015-05-11,56.14,56.44,56.04,56.07,46.55,1351600,0.0,0
2015-05-12,55.92,56.49,55.77,56.4,46.82,1780100,0.0,0
2015-05-13,56.36,56.8,56.11,56.22,46.68,1735500,0.0,0
2015-05-14,56.6,56.87,56.39,56.84,47.19,2412600,0.0,0
2015-05-15,56.78,57.25,56.7,57.14,47.44,2170500,0.0,0
2015-05-18,56.9,57.03,56.71,56.85,47.2,2545300,0.0,0
2015-05-19,56.79,56.96,56.61,56.86,47.21,1566600,0.0,0
2015-05-20,56.84,57.25,56.83,56.97,47.3,1391100,0.0,0
2015-05-21,56.95,57.02,56.66,56.82,47.17,1572500,0.0,0
2015-05-22,56.71,56.86,56.52,56.52,46.92,1813500,0.0,0
2015-05-26,56.51,56.57,55.93,55.98,46.48,2141300,0.0,0
2015-05-27,56.13,56.56,56.01,56.47,46.88,1617200,0.0,0
2015-05-28,56.35,56.45,56.08,56.25,46.7,1841900,0.0,0
2015-05-29,56.22,56.28,55.87,56.15,46.62,3132300,0.0,0
2015-06-01,56.32,56.39,55.91,56.29,46.73,2285400,0.0,0
2015-06-02,56.13,56.26,55.63,55.86,46.38,1244900,0.0,0
2015-06-03,56.05,56.1,55.57,55.7,46.24,1820400,0.0,0
2015-06-04,55.39,55.69,54.97,55.06,45.71,2186300,0.0,0
2015-06-05,54.87,54.92,54.14,54.42,45.18,2454900,0.0,0
2015-06-08,54.48,54.62,54.29,54.36,45.13,1609600,0.0,0
2015-06-09,54.54,54.89,54.35,54.45,45.21,2178500,0.0,0
2015-06-10,54.67,55.29,54.5,55.09,45.74,2287900,0.0,0
2015-06-11,55.15,55.32,55.0,55.11,45.75,1843200,0.0,0
