Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,56.21,56.5,55.77,55.87,53.59,658400,0.0,0
2015-04-28,55.77,56.31,55.62,56.27,53.97,375700,0.0,0
2015-04-29,55.97,56.8,55.93,56.51,54.2,550400,0.0,0
2015-04-30,56.24,56.83,56.05,56.11,53.82,785600,0.0,0
2015-05-01,56.43,56.75,55.89,56.38,54.08,781000,0.0,0
2015-05-04,56.43,56.9,56.27,56.8,54.48,450900,0.0,0
2015-05-05,56.68,57.0,56.41,56.58,54.27,590100,0.0,0
2015-05-06,56.84,57.1,56.48,56.84,54.52,634100,0.0,0
2015-05-07,56.81,57.29,56.53,56.98,54.65,471100,0.0,0
2015-05-08,57.31,57.44,57.09,57.2,54.86,537000,0.0,0
2015-05-11,57.22,57.49,57.17,57.18,54.85,497900,0.0,0
2015-05-12,57.02,57.16,56.58,56.67,54.36,968000,0.0,0
2015-05-13,56.75,56.93,56.57,56.6,54.29,793800,0.0,0
2015-05-14,56.85,56.94,56.55,56.75,54.43,887900,0.0,0
2015-05-15,56.79,56.94,56.39,56.45,54.14,785700,0.0,0
2015-05-18,56.51,57.06,56.41,56.95,54.62,979300,0.0,0
2015-05-19,57.13,57.72,56.99,57.66,55.31,815800,0.0,0
2015-05-20,57.68,58.03,57.29,57.94,55.57,700700,0.0,0
2015-05-21,57.82,58.1,57.69,57.87,55.51,615100,0.0,0
2015-05-22,57.78,58.16,57.65,57.68,55.32,516500,0.0,0
2015-05-26,57.58,57.74,56.91,56.99,54.66,466100,0.0,0
2015-05-27,56.98,57.49,56.9,57.37,55.03,368400,0.0,0
2015-05-28,57.34,57.44,57.08,57.44,55.09,372600,0.0,0
2015-05-29,57.43,57.43,56.77,57.07,54.74,559300,0.0,0
2015-06-01,57.34,57.34,56.83,56.94,54.61,427000,0.0,0
2015-06-02,56.9,57.41,56.78,57.22,54.88,515200,0.0,0
2015-06-03,57.57,57.82,57.35,57.59,55.24,800700,0.0,0
2015-06-04,57.29,57.53,57.11,57.27,54.93,533400,0.0,0
2015-06-05,57.65,57.99,57.24,57.52,55.17,686400,0.0,0
2015-06-08,57.44,57.8,57.27,57.27,54.93,602800,0.0,0
2015-06-09,57.24,57.69,57.14,57.54,55.19,663900,0.0,0
2015-06-10,57.86,58.4,57.56,58.0,55.63,919100,0.0,0
2015-06-11,58.08,58.42,57.9,58.34,55.96,1873300,0.0,0
2015-06-12,58.33,58.36,57.93,58.19,55.81,991600,0.0,0
2015-06-15,57.66,58.16,57.53,57.91,55.55,977700,0.0,0
2015-06-16,57.86,58.46,57.85,58.27,55.89,430200,0.0,0
2015-06-17,58.51,58.74,58.35,58.43,56.04,595600,0.0,0
2015-06-18,58.55,59.0,58.43,58.94,56.53,566600,0.0,0
2015-06-19,58.71,58.89,58.53,58.71,56.31,1259600,0.0,0
2015-06-22,59.17,59.22,58.82,59.03,56.62,575900,0.0,0
2015-06-23,59.18,59.34,58.82,59.06,56.65,692400,0.0,0
2015-06-24,58.91,59.16,58.68,58.71,56.31,385100,0.0,0
2015-06-25,58.97,59.06,58.58,58.69,56.29,479200,0.0,0
2015-06-26,58.92,59.17,58.74,59.15,56.73,852800,0.0,0
2015-06-29,58.22,58.75,57.81,57.83,55.47,738100,0.0,0
2015-06-30,58.49,58.5,57.85,58.22,55.97,932600,0.135,0
