Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,92.35,92.66,91.26,91.46,78.94,613400,0.0,0
2015-04-28,91.24,91.67,90.81,91.34,78.84,586400,0.0,0
2015-04-29,91.28,91.38,90.39,90.94,78.49,746200,0.0,0
2015-04-30,90.6,91.23,89.47,89.85,77.55,1054300,0.0,0
2015-05-01,90.59,91.56,90.11,91.47,78.95,692300,0.0,0
2015-05-04,92.57,92.98,92.22,92.83,80.13,720000,0.0,0
2015-05-05,92.69,93.16,91.72,91.81,79.25,508300,0.0,0
2015-05-06,92.03,92.32,91.1,91.64,79.1,404800,0.0,0
2015-05-07,92.02,92.98,91.74,92.59,79.92,454600,0.0,0
2015-05-08,93.47,94.31,93.22,94.08,81.2,764500,0.0,0
2015-05-11,93.83,94.74,93.53,94.21,81.32,1230900,0.0,0
2015-05-12,93.75,94.26,93.21,94.01,81.14,696400,0.0,0
2015-05-13,94.04,94.47,92.55,92.69,80.01,943600,0.0,0
2015-05-14,93.21,94.1,92.5,94.04,81.17,690300,0.0,0
2015-05-15,94.01,94.18,93.5,93.84,81.0,1251300,0.0,0
2015-05-18,93.78,94.36,93.36,93.76,80.93,387600,0.0,0
2015-05-19,93.95,94.21,93.36,93.7,80.88,389100,0.0,0
2015-05-20,93.91,94.18,93.04,93.74,80.91,562700,0.0,0
2015-05-21,93.42,93.82,92.99,93.57,80.76,420500,0.0,0
2015-05-22,93.65,94.06,93.21,93.54,80.74,407800,0.0,0
2015-05-26,93.17,93.75,92.3,92.58,79.91,630900,0.0,0
2015-05-27,92.9,93.06,92.12,92.87,80.16,413300,0.0,0
2015-05-28,92.94,93.1,91.95,92.41,79.76,398400,0.0,0
2015-05-29,92.22,92.22,90.31,90.47,78.09,1243300,0.0,0
2015-06-01,90.54,90.91,89.9,90.23,77.88,742300,0.0,0
2015-06-02,90.01,90.72,89.71,90.34,77.98,506200,0.0,0
2015-06-03,90.25,90.84,89.75,90.75,78.87,495700,0.615,0
2015-06-04,91.84,91.87,90.63,91.0,79.08,689300,0.0,0
2015-06-05,91.02,91.59,90.59,91.53,79.55,661300,0.0,0
2015-06-08,91.09,91.44,90.79,90.84,78.95,575600,0.0,0
2015-06-09,90.73,90.98,90.16,90.23,78.42,568000,0.0,0
2015-06-10,90.77,91.84,90.66,91.43,79.46,481900,0.0,0
2015-06-11,91.51,91.88,90.73,90.85,78.95,602300,0.0,0
2015-06-12,90.58,90.94,90.11,90.84,78.95,478200,0.0,0
2015-06-15,90.14,90.6,89.85,90.49,78.64,559100,0.0,0
2015-06-16,90.39,90.94,90.3,90.81,78.92,285800,0.0,0
2015-06-17,91.17,91.62,90.63,91.19,79.25,367900,0.0,0
2015-06-18,92.07,92.95,91.79,92.63,80.5,539100,0.0,0
2015-06-19,92.5,92.87,92.17,92.21,80.14,634400,0.0,0
2015-06-22,92.68,92.87,91.99,92.28,80.2,303100,0.0,0
2015-06-23,92.52,92.75,92.1,92.27,80.19,271600,0.0,0
2015-06-24,92.25,92.57,91.73,91.75,79.74,429600,0.0,0
2015-06-25,91.82,92.04,91.26,91.6,79.61,442300,0.0,0
2015-06-26,92.07,92.45,91.75,92.07,80.01,391500,0.0,0
2015-06-29,91.08,91.23,89.17,89.28,77.59,784500,0.0,0
2015-06-30,90.01,90.24,89.38,89.53,77.81,774400,0.0,0
2015-07-01,89.46,90.79,89.35,90.66,78.79,715200,0.0,0
2015-07-02,90.83,90.91,89.61,90.03,78.24,497200,0.0,0
2015-07-06,89.67,90.4,89.06,89.49,77.77,852300,0.0,0
2015-07-07,89.25,89.5,87.91,89.44,77.73,568700,0.0,0
2015-07-08,88.93,88.93,87.83,87.85,76.35,654300,0.0,0
2015-07-09,88.93,88.95,87.96,88.27,76.71,639800,0.0,0
2015-07-10,89.2,89.3,87.97,88.98,77.33,691000,0.0,0
2015-07-13,89.71,90.53,89.29,90.48,78.63,650300,0.0,0
2015-07-14,90.47,90.65,89.67,90.21,78.4,1319000,0.0,0
2015-07-15,90.05,90.57,89.52,90.49,78.64,673700,0.0,0
2015-07-16,90.97,91.02,90.58,90.87,78.97,428100,0.0,0
2015-07-17,90.39,90.88,89.95,90.64,78.77,690800,0.0,0
2015-07-20,89.33,89.78,87.06,88.81,77.18,1562400,0.0,0
2015-07-21,88.61,89.31,87.83,87.87,76.36,969700,0.0,0
2015-07-22,87.71,88.06,86.93,87.84,76.34,724900,0.0,0
2015-07-23,87.94,88.71,87.59,87.97,76.45,550700,0.0,0
2015-07-24,87.97,88.22,86.77,86.88,75.5,468900,0.0,0
2015-07-27,86.44,86.72,85.8,86.18,74.9,835100,0.0,0
2015-07-28,86.46,87.23,85.95,87.09,75.69,621100,0.0,0
2015-07-29,87.14,88.55,86.99,88.41,76.83,559700,0.0,0
2015-07-30,88.36,89.08,87.9,88.61,77.01,604600,0.0,0
2015-07-31,89.25,89.31,88.48,88.95,77.3,648600,0.0,0
2015-08-03,88.77,88.89,88.04,88.51,76.92,357800,0.0,0
2015-08-04,88.39,89.25,88.26,88.45,76.87,435900,0.0,0
