Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,46.34,46.65,46.14,46.43,36.92,1517900,0.0,0
2015-04-28,46.45,47.7,46.4,47.49,37.77,2314600,0.0,0
2015-04-29,45.52,46.89,44.81,45.54,36.22,4021300,0.0,0
2015-04-30,45.77,46.14,44.96,45.19,35.94,2518300,0.0,0
2015-05-01,45.32,45.96,45.25,45.86,36.47,912800,0.0,0
2015-05-04,45.79,46.0,45.55,45.7,36.34,1144200,0.0,0
2015-05-05,45.55,45.83,45.2,45.29,36.02,1314000,0.0,0
2015-05-06,45.35,45.52,44.96,45.3,36.02,1103500,0.0,0
2015-05-07,45.3,45.62,45.17,45.41,36.11,799200,0.0,0
2015-05-08,45.77,46.11,45.65,45.94,36.53,827000,0.0,0
2015-05-11,45.89,46.76,45.76,46.72,37.15,1703000,0.0,0
2015-05-12,46.57,46.65,45.9,45.94,36.53,878300,0.0,0
2015-05-13,45.96,46.3,45.75,46.12,36.68,1320900,0.0,0
2015-05-14,46.38,46.51,45.99,46.17,36.72,1165200,0.0,0
2015-05-15,46.35,46.46,45.91,46.2,36.74,691100,0.0,0
2015-05-18,46.08,46.22,45.74,46.12,36.68,803300,0.0,0
2015-05-19,46.34,46.46,45.71,46.06,36.63,1021400,0.0,0
2015-05-20,46.06,46.41,45.94,46.05,36.62,762700,0.0,0
2015-05-21,45.92,46.32,45.69,45.94,36.53,852600,0.0,0
2015-05-22,45.92,46.01,45.72,45.95,36.54,676300,0.0,0
2015-05-26,45.89,45.92,45.04,45.17,35.92,914200,0.0,0
2015-05-27,45.2,45.65,45.09,45.46,36.15,847400,0.0,0
2015-05-28,45.6,46.27,45.53,46.22,36.76,1393000,0.0,0
2015-05-29,46.37,46.42,45.46,45.48,36.17,1807300,0.0,0
2015-06-01,45.59,45.77,45.01,45.47,36.16,823600,0.0,0
2015-06-02,45.3,45.93,45.14,45.58,36.25,533400,0.0,0
2015-06-03,45.96,46.38,45.71,46.04,36.61,1552400,0.0,0
2015-06-04,46.13,46.13,45.21,45.5,36.18,1047700,0.0,0
2015-06-05,45.36,45.67,44.84,45.62,36.28,1267600,0.0,0
2015-06-08,45.57,45.72,45.44,45.47,36.16,1295700,0.0,0
2015-06-09,45.44,45.82,45.27,45.72,36.36,1200700,0.0,0
2015-06-10,46.18,46.59,45.88,46.43,36.92,1420800,0.0,0
2015-06-11,46.52,46.81,45.93,46.03,36.61,844800,0.0,0
2015-06-12,45.37,45.55,44.72,44.79,36.02,1207300,0.51,0
2015-06-15,44.5,44.66,44.03,44.21,35.55,1165800,0.0,0
2015-06-16,44.31,45.28,44.21,45.26,36.4,1182800,0.0,0
2015-06-17,45.32,45.64,44.94,45.22,36.36,1523700,0.0,0
2015-06-18,45.41,46.62,45.04,46.56,37.44,1992700,0.0,0
