Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,198.76,199.31,196.37,196.52,181.76,1767100,0.0,0
2015-04-28,196.2,197.61,194.4,197.49,182.65,1909400,0.0,0
2015-04-29,195.79,199.73,195.48,198.56,183.64,2480600,0.0,0
2015-04-30,198.4,199.75,195.4,196.42,181.66,2732800,0.0,0
2015-05-01,198.45,198.57,196.83,197.53,182.69,2029500,0.0,0
2015-05-04,198.26,199.72,197.9,199.3,184.33,1581600,0.0,0
2015-05-05,198.31,200.39,196.72,197.29,182.47,2287500,0.0,0
2015-05-06,197.75,198.59,194.01,196.25,181.51,2433700,0.0,0
2015-05-07,196.26,197.95,194.81,197.39,182.56,1795300,0.0,0
2015-05-08,199.1,201.34,199.1,200.5,185.44,3192500,0.0,0
2015-05-11,200.29,201.95,200.29,201.73,186.57,1966700,0.0,0
2015-05-12,200.48,201.04,198.07,200.53,185.46,2247500,0.0,0
2015-05-13,200.47,201.75,199.85,201.43,186.3,2143300,0.0,0
2015-05-14,202.33,202.88,201.43,202.62,187.4,1957000,0.0,0
2015-05-15,202.55,202.97,201.82,202.97,187.72,1742900,0.0,0
2015-05-18,202.65,205.18,202.64,204.66,189.28,2164600,0.0,0
2015-05-19,204.99,206.2,204.55,205.4,189.97,2370100,0.0,0
2015-05-20,205.17,205.96,204.15,205.08,189.67,1831200,0.0,0
2015-05-21,204.6,205.21,204.18,204.95,189.55,2225000,0.0,0
2015-05-22,204.66,208.26,204.63,207.8,192.19,3040400,0.0,0
2015-05-26,207.52,207.52,205.0,206.38,190.88,3336300,0.0,0
2015-05-27,206.89,209.68,205.87,209.06,193.35,3011500,0.0,0
2015-05-28,208.08,208.59,207.28,208.48,193.42,3084900,0.65,0
2015-05-29,208.23,208.27,205.62,206.19,191.29,2255500,0.0,0
2015-06-01,207.32,208.82,206.89,207.81,192.8,2088200,0.0,0
2015-06-02,206.85,207.84,205.65,206.43,191.52,2230700,0.0,0
2015-06-03,207.52,210.17,206.77,208.29,193.24,2417000,0.0,0
2015-06-04,207.6,210.06,207.0,208.87,193.78,3462500,0.0,0
2015-06-05,210.7,211.94,208.55,210.45,195.25,3225100,0.0,0
2015-06-08,211.15,211.7,209.45,209.79,194.63,2180700,0.0,0
2015-06-09,210.0,210.44,207.62,209.02,193.92,2278800,0.0,0
2015-06-10,209.72,213.4,209.36,213.13,197.73,2677300,0.0,0
2015-06-11,213.17,214.61,212.87,213.94,198.48,2024100,0.0,0
2015-06-12,213.48,214.01,212.01,213.06,197.67,2006200,0.0,0
2015-06-15,210.89,212.34,210.38,211.76,196.46,1903800,0.0,0
2015-06-16,211.85,213.57,211.13,213.56,198.13,1954200,0.0,0
2015-06-17,213.59,214.5,212.57,212.93,197.55,1778400,0.0,0
2015-06-18,213.45,215.01,212.01,214.6,199.1,2167200,0.0,0
2015-06-19,214.12,215.0,213.19,213.19,197.79,4163400,0.0,0
2015-06-22,215.06,216.81,215.0,216.51,200.87,2006100,0.0,0
2015-06-23,216.92,218.77,216.64,218.4,202.62,2735600,0.0,0
2015-06-24,216.2,217.0,213.7,214.43,198.94,3945200,0.0,0
2015-06-25,215.15,215.8,212.49,212.82,197.45,2434700,0.0,0
2015-06-26,213.62,214.61,212.55,213.17,197.77,2762600,0.0,0
2015-06-29,210.14,211.22,207.65,207.65,192.65,3292800,0.0,0
