Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,71.69,71.98,70.84,71.01,62.66,1050100,0.0,0
2015-04-28,71.11,71.36,70.33,71.11,62.74,1310500,0.0,0
2015-04-29,70.65,71.14,70.06,70.55,62.66,985100,0.46,0
2015-04-30,70.32,70.95,69.91,70.79,62.87,1319400,0.0,0
2015-05-01,71.15,72.22,71.11,71.66,63.64,1316500,0.0,0
2015-05-04,72.26,72.33,70.56,71.19,63.22,906900,0.0,0
2015-05-05,71.02,71.19,69.93,70.18,62.33,665600,0.0,0
2015-05-06,70.49,70.57,69.9,70.39,62.51,791400,0.0,0
2015-05-07,70.77,71.49,70.73,71.12,63.16,1177000,0.0,0
2015-05-08,71.57,71.89,71.08,71.22,63.25,552700,0.0,0
2015-05-11,71.56,72.26,71.24,72.0,63.94,1263600,0.0,0
2015-05-12,71.62,71.93,70.66,70.96,63.02,738300,0.0,0
2015-05-13,71.0,71.26,70.3,70.44,62.56,866100,0.0,0
2015-05-14,70.61,72.0,70.24,71.97,63.92,828900,0.0,0
2015-05-15,72.06,72.52,70.75,72.39,64.29,633300,0.0,0
2015-05-18,72.26,72.31,71.59,71.97,63.92,746300,0.0,0
2015-05-19,72.09,72.26,71.36,71.83,63.79,644900,0.0,0
2015-05-20,71.74,72.2,71.34,71.79,63.76,704000,0.0,0
2015-05-21,71.93,72.74,71.9,72.55,64.43,583100,0.0,0
2015-05-22,72.62,73.02,72.55,72.9,64.74,619300,0.0,0
2015-05-26,72.85,73.16,72.03,72.18,64.1,587300,0.0,0
2015-05-27,72.1,72.7,72.01,72.4,64.3,519400,0.0,0
2015-05-28,72.35,72.81,72.02,72.45,64.34,412500,0.0,0
2015-05-29,72.48,72.75,71.6,72.13,64.06,1023000,0.0,0
2015-06-01,71.95,73.01,71.53,72.39,64.29,627600,0.0,0
2015-06-02,72.06,72.65,71.54,72.17,64.09,615200,0.0,0
2015-06-03,72.72,73.25,72.26,72.78,64.64,1114500,0.0,0
2015-06-04,72.59,73.06,72.05,72.19,64.11,806400,0.0,0
2015-06-05,72.34,72.65,71.54,72.22,64.14,773400,0.0,0
2015-06-08,72.31,73.01,72.14,72.34,64.25,640500,0.0,0
2015-06-09,72.23,72.79,72.01,72.05,63.99,530900,0.0,0
2015-06-10,72.44,72.98,71.89,72.69,64.56,565000,0.0,0
2015-06-11,72.8,73.48,72.78,73.27,65.07,894300,0.0,0
2015-06-12,72.92,73.24,72.34,72.82,64.67,752900,0.0,0
2015-06-15,72.81,73.09,72.24,72.89,64.73,675900,0.0,0
2015-06-16,73.12,73.5,72.91,73.04,64.87,734300,0.0,0
2015-06-17,73.12,74.83,73.04,74.59,66.24,807500,0.0,0
2015-06-18,74.84,75.81,74.62,75.49,67.04,786000,0.0,0
2015-06-19,75.65,76.49,75.33,76.18,67.66,1389900,0.0,0
2015-06-22,76.64,77.25,76.17,76.63,68.06,658900,0.0,0
2015-06-23,76.95,77.99,76.93,77.77,69.07,1192700,0.0,0
2015-06-24,77.99,78.64,77.76,78.34,69.57,1401100,0.0,0
2015-06-25,78.58,78.91,78.05,78.42,69.65,1022900,0.0,0
2015-06-26,78.24,78.55,77.22,77.69,69.0,1367400,0.0,0
2015-06-29,77.39,77.72,75.53,75.6,67.14,947400,0.0,0
2015-06-30,75.9,76.14,74.69,74.79,66.42,1998700,0.0,0
2015-07-01,74.03,76.26,74.02,75.78,67.3,1858100,0.0,0
2015-07-02,75.57,75.97,74.84,75.92,67.43,1399800,0.0,0
2015-07-06,74.69,76.38,74.66,75.85,67.36,1402900,0.0,0
2015-07-07,75.52,76.23,75.12,76.16,67.64,1356000,0.0,0
2015-07-08,76.17,77.5,76.14,77.05,68.43,2135900,0.0,0
2015-07-09,77.44,77.68,75.85,75.94,67.44,1589500,0.0,0
2015-07-10,76.86,77.67,76.14,77.22,68.58,1629800,0.0,0
2015-07-13,77.27,78.31,76.8,78.22,69.47,1088400,0.0,0
2015-07-14,78.24,78.94,77.85,78.69,69.89,2423700,0.0,0
2015-07-15,78.58,78.66,77.89,78.07,69.33,1061400,0.0,0
2015-07-16,78.36,78.99,78.01,78.42,69.65,1064200,0.0,0
2015-07-17,78.42,79.0,77.3,78.25,69.49,2458900,0.0,0
2015-07-20,81.69,84.42,81.69,83.15,73.85,3993900,0.0,0
2015-07-21,81.89,81.89,79.96,80.42,71.42,3089600,0.0,0
2015-07-22,80.51,80.67,79.45,79.85,70.92,1437500,0.0,0
2015-07-23,79.92,80.27,79.05,79.28,70.41,1026000,0.0,0
2015-07-24,79.33,79.8,79.06,79.64,70.73,1178700,0.0,0
2015-07-27,79.63,80.13,79.11,79.51,70.61,1084700,0.0,0
2015-07-28,79.9,79.9,79.05,79.57,70.67,1134600,0.0,0
2015-07-29,79.77,80.92,79.3,80.76,71.72,1273400,0.0,0
2015-07-30,80.13,80.34,79.52,79.99,71.45,1034400,0.46,0
2015-07-31,80.02,80.15,78.6,78.74,70.33,1874200,0.0,0
2015-08-03,78.74,79.02,77.22,77.74,69.44,986700,0.0,0
2015-08-04,77.74,79.69,77.49,78.83,70.41,907900,0.0,0
2015-08-05,79.09,79.65,78.78,79.24,70.78,729400,0.0,0
2015-08-06,79.46,79.59,76.9,76.93,68.71,1588900,0.0,0
2015-08-07,76.85,77.94,76.5,77.41,69.14,1080100,0.0,0
2015-08-10,78.16,79.55,78.06,79.51,71.02,1120300,0.0,0
2015-08-11,78.71,79.28,78.43,79.13,70.68,1142400,0.0,0
2015-08-12,78.74,79.58,78.23,79.49,71.0,1127700,0.0,0
2015-08-13,79.65,80.88,79.43,80.55,71.95,765800,0.0,0
2015-08-14,80.82,81.0,80.14,80.71,72.09,519800,0.0,0
2015-08-17,80.2,80.9,79.74,80.62,72.01,569600,0.0,0
2015-08-18,80.42,80.66,79.84,80.38,71.8,654000,0.0,0
2015-08-19,79.89,80.01,79.01,79.58,71.08,738900,0.0,0
2015-08-20,78.67,79.93,77.84,77.86,69.54,806200,0.0,0
2015-08-21,77.45,77.49,75.18,75.18,67.15,1476500,0.0,0
2015-08-24,69.81,73.53,60.38,71.18,63.58,2393100,0.0,0
2015-08-25,72.67,73.4,71.49,71.53,63.89,2737200,0.0,0
2015-08-26,73.28,73.28,71.1,72.79,65.02,1860800,0.0,0
2015-08-27,73.49,75.4,72.68,75.14,67.11,1181300,0.0,0
2015-08-28,74.89,76.16,74.65,75.51,67.45,1088500,0.0,0
2015-08-31,75.08,75.77,74.51,74.59,66.62,1242900,0.0,0
2015-09-01,73.96,73.96,72.07,72.52,64.77,1127600,0.0,0
2015-09-02,74.55,75.14,73.88,74.51,66.55,2911400,0.0,0
2015-09-03,76.0,77.45,75.55,76.86,68.65,1811900,0.0,0
2015-09-04,75.92,76.43,75.2,75.37,67.32,1575900,0.0,0
2015-09-08,76.64,76.67,75.42,76.29,68.14,1314400,0.0,0
2015-09-09,76.91,77.13,75.13,75.28,67.24,991300,0.0,0
2015-09-10,75.2,76.67,75.01,76.03,67.91,742400,0.0,0
2015-09-11,75.66,76.81,75.24,76.75,68.55,759200,0.0,0
2015-09-14,76.75,78.26,76.49,77.58,69.29,966200,0.0,0
2015-09-15,77.47,79.41,77.47,79.08,70.63,1181200,0.0,0
2015-09-16,79.01,80.38,78.41,80.25,71.68,1134000,0.0,0
2015-09-17,79.09,79.86,77.3,77.51,69.23,1631200,0.0,0
2015-09-18,76.74,77.68,76.66,77.06,68.83,1390800,0.0,0
2015-09-21,77.49,78.28,76.7,77.19,68.95,769900,0.0,0
2015-09-22,75.96,76.56,75.04,75.55,67.48,1028600,0.0,0
2015-09-23,75.84,75.98,75.03,75.38,67.33,879900,0.0,0
2015-09-24,75.03,75.52,73.29,74.65,66.68,934700,0.0,0
2015-09-25,75.07,75.46,74.37,74.95,66.95,593400,0.0,0
2015-09-28,74.7,74.95,72.1,72.13,64.43,844500,0.0,0
2015-09-29,72.31,72.97,71.6,72.69,64.93,971900,0.0,0
2015-09-30,72.24,72.59,70.5,72.14,64.44,2280300,0.0,0
2015-10-01,72.49,72.8,70.74,71.68,64.02,1632100,0.0,0
2015-10-02,70.48,71.53,70.11,71.36,63.74,1201500,0.0,0
2015-10-05,71.94,73.87,71.91,73.64,65.78,1200600,0.0,0
2015-10-06,73.53,73.91,72.22,72.86,65.08,761000,0.0,0
2015-10-07,72.17,74.11,72.05,73.42,65.58,973600,0.0,0
2015-10-08,72.93,74.77,72.82,73.8,65.92,1316500,0.0,0
2015-10-09,73.99,74.67,73.55,74.35,66.41,932600,0.0,0
2015-10-12,74.15,74.66,73.78,74.44,66.49,972700,0.0,0
2015-10-13,74.27,75.49,74.11,74.13,66.21,1144700,0.0,0
2015-10-14,74.11,74.75,73.48,73.67,65.8,998400,0.0,0
2015-10-15,74.0,75.36,73.83,75.33,67.28,1181200,0.0,0
2015-10-16,75.58,77.91,74.63,77.78,69.47,2667700,0.0,0
2015-10-19,76.77,77.5,70.82,72.18,64.47,5352700,0.0,0
2015-10-20,71.93,74.21,71.35,72.94,65.15,2228400,0.0,0
2015-10-21,73.45,74.48,73.32,73.99,66.09,1513800,0.0,0
2015-10-22,74.36,76.78,74.29,76.76,68.56,2125100,0.0,0
2015-10-23,77.25,79.24,77.02,78.87,70.45,2546200,0.0,0
2015-10-26,78.25,79.43,78.14,78.31,69.95,1902000,0.0,0
2015-10-27,77.76,78.49,77.46,78.22,69.87,1211500,0.0,0
2015-10-28,78.24,78.5,77.49,78.18,69.83,825800,0.0,0
2015-10-29,77.44,77.83,76.93,77.75,69.86,690600,0.46,0
2015-10-30,77.52,77.72,76.82,76.83,69.03,1065800,0.0,0
2015-11-02,77.28,77.33,76.65,77.24,69.4,1151600,0.0,0
2015-11-03,77.09,77.51,76.97,77.23,69.39,1185100,0.0,0
2015-11-04,77.46,77.75,76.78,77.01,69.19,743300,0.0,0
