Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,10.86,10.94,10.69,10.71,9.03,12057300,0.0,0
2015-04-28,10.73,10.84,10.67,10.79,9.1,13316500,0.0,0
2015-04-29,10.71,10.96,10.71,10.89,9.18,11457300,0.0,0
2015-04-30,10.89,11.01,10.84,10.86,9.15,11572800,0.0,0
2015-05-01,10.96,10.97,10.81,10.89,9.18,4677500,0.0,0
2015-05-04,10.92,11.06,10.89,11.05,9.31,7564200,0.0,0
2015-05-05,10.97,11.07,10.95,10.98,9.26,10847900,0.0,0
2015-05-06,11.01,11.04,10.81,10.88,9.17,8042900,0.0,0
2015-05-07,10.87,10.95,10.83,10.91,9.2,7402200,0.0,0
2015-05-08,10.91,11.0,10.88,11.0,9.27,4963800,0.0,0
2015-05-11,11.0,11.15,10.95,11.09,9.35,7250800,0.0,0
2015-05-12,11.04,11.13,10.95,11.1,9.36,6730300,0.0,0
2015-05-13,11.07,11.24,11.03,11.2,9.44,8314600,0.0,0
2015-05-14,11.25,11.25,11.13,11.23,9.47,6011800,0.0,0
2015-05-15,11.26,11.27,11.0,11.08,9.34,5403500,0.0,0
2015-05-18,11.08,11.3,11.07,11.26,9.49,6830100,0.0,0
2015-05-19,11.28,11.49,11.28,11.45,9.65,10554000,0.0,0
2015-05-20,11.44,11.45,11.33,11.35,9.57,5443200,0.0,0
2015-05-21,11.31,11.41,11.29,11.34,9.56,6637800,0.0,0
2015-05-22,11.34,11.4,11.26,11.26,9.49,4964200,0.0,0
2015-05-26,11.17,11.23,11.13,11.13,9.38,14093200,0.0,0
2015-05-27,11.14,11.3,11.12,11.27,9.5,10991400,0.0,0
2015-05-28,11.24,11.32,11.21,11.28,9.51,9811400,0.0,0
2015-05-29,11.3,11.31,11.12,11.13,9.38,12263500,0.0,0
2015-06-01,11.15,11.21,10.94,11.04,9.31,12028800,0.0,0
2015-06-02,11.04,11.2,11.02,11.17,9.42,7446100,0.0,0
