Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,77.85,78.1,76.22,76.38,74.3,2083900,0.0,0
2015-04-28,76.58,76.98,73.93,75.95,73.88,4146000,0.0,0
2015-04-29,75.52,76.48,75.22,76.06,73.99,2433900,0.0,0
2015-04-30,75.71,76.27,73.88,74.01,72.0,5310500,0.0,0
2015-05-01,74.31,74.59,73.68,74.5,72.47,2231500,0.0,0
2015-05-04,74.85,75.77,74.72,75.44,73.39,2081900,0.0,0
2015-05-05,75.5,75.76,73.02,73.61,71.61,4848300,0.0,0
2015-05-06,73.96,74.98,73.65,74.5,72.47,4557800,0.0,0
2015-05-07,74.7,77.37,74.54,76.59,74.51,4451900,0.0,0
2015-05-08,77.08,77.32,76.6,76.9,74.81,3334500,0.0,0
2015-05-11,76.74,77.92,76.68,77.63,75.52,2927000,0.0,0
2015-05-12,77.25,77.61,76.14,76.51,74.43,2267200,0.0,0
2015-05-13,76.51,78.09,76.5,77.73,75.61,4346300,0.0,0
2015-05-14,78.51,79.48,78.31,79.07,76.92,2874500,0.0,0
2015-05-15,79.04,79.85,78.64,79.84,77.67,2259500,0.0,0
2015-05-18,79.76,81.0,79.69,81.0,78.8,3901500,0.0,0
2015-05-19,81.0,83.88,80.68,82.52,80.27,5439700,0.0,0
2015-05-20,82.34,83.16,81.88,82.14,79.9,3684300,0.0,0
2015-05-21,82.22,82.39,81.56,81.59,79.37,2673100,0.0,0
2015-05-22,81.35,82.58,81.26,82.13,79.89,2820500,0.0,0
2015-05-26,82.0,82.51,81.74,82.19,79.95,3132100,0.0,0
2015-05-27,82.58,82.68,81.4,81.95,79.72,2846200,0.0,0
2015-05-28,81.74,82.01,80.95,81.8,79.57,1946100,0.0,0
2015-05-29,81.53,82.39,81.17,81.83,79.6,3423100,0.0,0
2015-06-01,82.39,82.69,81.22,82.39,80.15,3199400,0.0,0
2015-06-02,81.96,82.25,81.12,81.55,79.33,2311900,0.0,0
2015-06-03,81.91,82.01,80.97,81.09,78.88,2241200,0.0,0
2015-06-04,80.81,81.18,80.4,80.48,78.29,2062500,0.0,0
2015-06-05,80.8,81.42,80.39,81.28,79.07,2831600,0.0,0
2015-06-08,81.14,81.47,80.25,80.25,78.07,2209100,0.0,0
2015-06-09,80.34,81.51,80.3,81.32,79.11,2370700,0.0,0
2015-06-10,81.71,83.31,81.5,83.09,80.83,4702900,0.0,0
2015-06-11,82.83,84.11,82.62,83.62,81.34,3774400,0.0,0
2015-06-12,83.29,84.16,82.43,82.46,80.22,2377300,0.0,0
2015-06-15,81.67,84.03,81.67,83.83,81.55,2623100,0.0,0
2015-06-16,83.38,84.13,82.56,83.02,80.76,2266900,0.0,0
2015-06-17,83.15,84.58,82.72,84.12,81.83,3279100,0.0,0
2015-06-18,84.04,84.34,82.72,83.6,81.32,2899700,0.0,0
2015-06-19,83.71,85.06,83.65,84.4,82.1,3851600,0.0,0
2015-06-22,84.66,85.48,84.15,84.51,82.21,2136600,0.0,0
2015-06-23,84.69,85.21,83.93,83.96,81.67,2180400,0.0,0
2015-06-24,84.0,84.1,82.6,83.37,81.1,2795600,0.0,0
2015-06-25,84.02,92.63,83.74,90.72,88.25,15829700,0.0,0
2015-06-26,92.44,92.63,91.27,91.84,89.34,10373600,0.0,0
2015-06-29,91.02,93.09,90.4,90.61,88.14,5274700,0.0,0
2015-06-30,91.58,91.58,90.31,90.72,88.25,4654600,0.0,0
2015-07-01,91.2,91.4,90.41,90.87,88.4,4136600,0.0,0
2015-07-02,91.0,91.6,90.43,90.5,88.04,2785400,0.0,0
2015-07-06,90.05,92.66,90.01,92.1,89.59,4272800,0.0,0
2015-07-07,92.28,92.99,90.64,92.45,89.93,4289000,0.0,0
2015-07-08,91.94,92.55,90.93,91.04,88.56,2912000,0.0,0
2015-07-09,91.43,92.18,91.14,91.64,89.15,4195400,0.0,0
2015-07-10,92.51,93.24,91.88,92.97,90.44,2709300,0.0,0
2015-07-13,93.84,94.95,93.36,94.81,92.23,3802700,0.0,0
2015-07-14,94.45,95.49,94.37,94.72,92.14,3691000,0.0,0
2015-07-15,94.89,95.18,93.37,94.12,91.56,2676600,0.0,0
2015-07-16,93.74,93.99,91.9,93.74,91.19,4567300,0.0,0
2015-07-17,93.63,94.67,92.49,93.24,90.7,3670700,0.0,0
2015-07-20,93.68,93.89,92.82,93.17,90.63,1907500,0.0,0
2015-07-21,93.01,93.34,91.64,92.28,89.77,1897200,0.0,0
2015-07-22,92.07,93.76,91.93,93.27,90.73,2073200,0.0,0
2015-07-23,93.44,94.44,93.02,93.32,90.78,1451300,0.0,0
2015-07-24,92.97,93.39,92.21,92.83,90.3,1765900,0.0,0
2015-07-27,92.6,92.62,91.38,92.03,89.53,1525800,0.0,0
2015-07-28,92.2,92.66,90.93,92.29,89.78,2124300,0.0,0
2015-07-29,92.5,94.16,92.13,93.56,91.01,2167900,0.0,0
2015-07-30,93.3,93.59,92.09,92.96,90.43,1614300,0.0,0
2015-07-31,93.65,94.31,92.78,93.01,90.48,1800400,0.0,0
2015-08-03,92.88,94.17,92.44,92.88,90.35,1616400,0.0,0
2015-08-04,93.7,94.41,93.21,94.04,91.48,1749300,0.0,0
2015-08-05,93.73,94.15,87.28,92.26,89.75,6346800,0.0,0
2015-08-06,90.78,93.05,90.73,91.38,88.89,2616000,0.0,0
2015-08-07,91.8,92.38,90.65,91.46,88.97,1988100,0.0,0
2015-08-10,91.88,92.99,91.08,91.43,88.94,1637100,0.0,0
2015-08-11,90.69,91.27,89.08,90.46,88.0,2277000,0.0,0
2015-08-12,89.46,91.3,88.3,90.88,88.41,1923400,0.0,0
2015-08-13,91.11,91.89,90.46,90.85,88.38,1247100,0.0,0
2015-08-14,91.22,91.86,90.9,91.4,88.91,1875800,0.0,0
2015-08-17,90.81,91.52,89.76,91.32,88.83,2850700,0.0,0
2015-08-18,91.35,91.58,90.32,90.48,88.02,1913700,0.0,0
2015-08-19,90.26,90.54,89.27,89.82,87.38,2711400,0.0,0
2015-08-20,89.25,89.25,87.01,87.05,84.68,2861500,0.0,0
2015-08-21,86.21,87.0,84.1,86.25,83.9,6136800,0.0,0
2015-08-24,81.54,85.97,43.91,84.31,82.02,5482700,0.0,0
2015-08-25,85.9,86.61,83.08,83.11,80.85,4093200,0.0,0
2015-08-26,84.7,87.09,83.83,86.95,84.58,4152900,0.0,0
2015-08-27,87.48,89.84,86.76,88.84,86.42,3115500,0.0,0
2015-08-28,88.48,89.23,87.94,88.82,86.4,2195200,0.0,0
