Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,139.54,140.1,137.17,138.12,128.78,193000,0.0,0
2015-04-28,137.5,138.7,136.12,137.22,127.94,203400,0.0,0
2015-04-29,137.03,137.7,136.58,136.69,127.45,199000,0.0,0
2015-04-30,135.64,136.58,131.32,131.59,122.69,433200,0.0,0
2015-05-01,132.06,134.54,131.41,133.96,124.9,291600,0.0,0
2015-05-04,133.64,136.24,132.09,135.66,126.49,231900,0.0,0
2015-05-05,135.93,136.16,133.68,133.87,124.82,300800,0.0,0
2015-05-06,134.33,134.92,132.93,133.73,124.69,293900,0.0,0
2015-05-07,128.81,128.81,120.52,123.53,115.18,1337700,0.0,0
2015-05-08,121.42,122.57,116.9,118.75,110.72,1286800,0.0,0
2015-05-11,118.55,121.9,118.51,120.95,112.77,636100,0.0,0
2015-05-12,120.03,121.51,119.38,120.67,112.51,504100,0.0,0
2015-05-13,121.64,123.07,121.02,122.59,114.3,444400,0.0,0
2015-05-14,122.95,124.72,122.85,124.15,115.76,309900,0.0,0
2015-05-15,124.06,124.31,122.55,122.9,114.59,257600,0.0,0
2015-05-18,122.5,123.73,122.0,123.5,115.15,218100,0.0,0
2015-05-19,120.0,121.49,119.65,120.49,112.34,395600,0.0,0
2015-05-20,121.16,122.61,119.92,122.13,113.87,343100,0.0,0
2015-05-21,122.72,123.68,122.1,123.13,114.81,242200,0.0,0
2015-05-22,122.49,123.42,121.36,122.86,114.55,261300,0.0,0
2015-05-26,122.19,122.73,121.9,122.33,114.06,377200,0.0,0
2015-05-27,122.0,124.24,121.36,123.91,115.91,263200,0.4,0
2015-05-28,123.46,124.16,122.54,123.41,115.44,254300,0.0,0
2015-05-29,123.46,124.39,121.85,123.99,115.99,402700,0.0,0
2015-06-01,124.92,124.92,121.14,121.73,113.87,572000,0.0,0
2015-06-02,120.5,123.52,120.5,121.93,114.06,329100,0.0,0
2015-06-03,122.56,123.57,121.35,121.78,113.92,252800,0.0,0
2015-06-04,121.1,121.9,118.13,119.38,111.67,254200,0.0,0
2015-06-05,119.01,119.74,117.72,119.67,111.95,222800,0.0,0
2015-06-08,119.76,119.99,118.49,118.91,111.23,212200,0.0,0
2015-06-09,119.08,119.08,117.32,117.44,109.86,251400,0.0,0
2015-06-10,118.16,119.97,117.89,118.75,111.08,401000,0.0,0
2015-06-11,118.82,119.57,118.1,118.53,110.88,564200,0.0,0
2015-06-12,117.53,118.41,117.38,118.13,110.51,291100,0.0,0
2015-06-15,117.1,117.82,115.5,116.7,109.17,336200,0.0,0
2015-06-16,116.84,118.11,116.34,116.86,109.32,293700,0.0,0
2015-06-17,117.0,117.98,116.04,117.58,109.99,285100,0.0,0
2015-06-18,117.69,118.81,117.46,117.98,110.36,334300,0.0,0
2015-06-19,117.68,118.61,117.43,117.44,109.86,326700,0.0,0
2015-06-22,118.03,118.12,116.68,118.02,110.4,262300,0.0,0
2015-06-23,117.89,119.37,116.41,119.3,111.6,429000,0.0,0
2015-06-24,119.25,119.25,116.18,116.27,108.77,254900,0.0,0
2015-06-25,116.7,117.08,115.74,116.19,108.69,239400,0.0,0
2015-06-26,116.19,116.55,114.71,114.84,107.43,488200,0.0,0
2015-06-29,113.71,114.11,112.25,112.45,105.19,288600,0.0,0
2015-06-30,113.58,113.58,111.38,112.59,105.32,476300,0.0,0
2015-07-01,113.57,114.45,112.92,113.79,106.45,346200,0.0,0
2015-07-02,114.47,114.47,112.43,113.07,105.77,247800,0.0,0
2015-07-06,111.87,113.79,111.65,113.26,105.95,318100,0.0,0
2015-07-07,113.45,114.58,111.84,114.32,106.94,283900,0.0,0
2015-07-08,113.14,113.75,111.3,111.93,104.71,407100,0.0,0
2015-07-09,113.38,113.97,112.45,112.59,105.32,156200,0.0,0
2015-07-10,114.0,114.88,113.3,114.17,106.8,213600,0.0,0
2015-07-13,115.13,116.79,115.13,116.21,108.71,250600,0.0,0
2015-07-14,115.98,117.35,115.02,117.11,109.55,283700,0.0,0
