Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,98.08,98.45,97.63,97.76,87.84,1957100,0.0,0.0
2015-04-28,98.15,98.5,97.19,98.13,88.17,2208700,0.0,0.0
2015-04-29,97.48,98.04,96.81,97.0,87.15,2848600,0.0,0.0
2015-04-30,96.82,97.21,95.99,96.21,86.45,3281600,0.0,0.0
2015-05-01,96.82,97.74,96.69,97.72,87.8,2201800,0.0,0.0
2015-05-04,97.7,98.52,97.56,97.8,87.87,2499100,0.0,0.0
2015-05-05,97.74,98.08,96.56,96.81,86.98,2322000,0.0,0.0
2015-05-06,97.39,97.48,95.63,96.28,86.51,4022200,0.0,0.0
2015-05-07,95.96,96.44,95.48,96.3,86.53,4706500,0.0,0.0
2015-05-08,97.45,97.69,97.18,97.36,87.48,4148500,0.0,0.0
2015-05-11,98.18,98.57,97.78,97.9,87.97,3546100,0.0,0.0
2015-05-12,97.13,97.67,96.72,97.54,87.64,2602900,0.0,0.0
2015-05-13,98.29,100.32,98.23,99.57,89.46,4837500,0.0,0.0
2015-05-14,99.97,101.61,99.63,101.48,91.18,5188100,0.0,0.0
2015-05-15,101.7,101.93,101.13,101.87,91.53,5735500,0.0,0.0
2015-05-18,101.68,102.11,101.62,101.79,91.46,3187000,0.0,0.0
2015-05-19,101.45,101.66,100.7,100.88,91.1,2624300,0.5175,0.0
2015-05-20,100.98,101.61,100.68,101.28,91.46,3541900,0.0,0.0
2015-05-21,101.32,101.82,101.13,101.4,91.58,2789700,0.0,0.0
2015-05-22,101.31,101.53,100.9,100.98,91.2,1529200,0.0,0.0
2015-05-26,100.59,100.74,99.6,99.95,90.27,2288800,0.0,0.0
2015-05-27,100.25,100.66,99.89,100.47,90.73,2193900,0.0,0.0
2015-05-28,100.44,100.84,99.93,100.76,91.0,2524800,0.0,0.0
2015-05-29,100.54,100.63,99.15,99.34,89.72,2491800,0.0,0.0
2015-06-01,99.37,99.83,98.69,99.21,89.59,2256800,0.0,0.0
2015-06-02,99.12,100.23,98.35,99.68,90.03,2049900,0.0,0.0
2015-06-03,100.1,100.48,99.44,100.08,90.39,1590800,0.0,0.0
2015-06-04,99.44,99.97,98.61,98.88,89.3,2590300,0.0,0.0
2015-06-05,98.85,99.21,98.55,98.9,89.32,1671700,0.0,0.0
2015-06-08,98.93,99.07,98.44,98.44,88.91,1544900,0.0,0.0
2015-06-09,98.51,99.14,98.42,98.73,89.16,1598600,0.0,0.0
2015-06-10,99.44,100.11,98.83,99.88,90.21,2205900,0.0,0.0
2015-06-11,100.32,100.32,99.67,100.01,90.32,1711400,0.0,0.0
2015-06-12,99.57,99.91,98.85,99.2,89.59,1310700,0.0,0.0
2015-06-15,98.37,98.83,97.56,98.62,89.06,3009600,0.0,0.0
2015-06-16,98.37,99.47,98.28,99.25,89.63,1904800,0.0,0.0
2015-06-17,99.51,99.82,98.41,99.34,89.72,2799700,0.0,0.0
2015-06-18,99.45,100.98,99.45,100.61,90.86,2336500,0.0,0.0
2015-06-19,100.31,100.95,100.2,100.43,90.7,2918800,0.0,0.0
2015-06-22,100.96,101.26,99.67,100.46,90.72,2295800,0.0,0.0
2015-06-23,100.37,100.44,99.65,99.87,90.2,1897400,0.0,0.0
2015-06-24,99.87,100.35,99.25,99.25,89.63,2411200,0.0,0.0
2015-06-25,100.17,100.17,98.41,98.54,88.99,1520400,0.0,0.0
2015-06-26,98.89,98.91,98.37,98.71,89.15,2217700,0.0,0.0
2015-06-29,98.13,98.34,97.06,97.1,87.69,2243700,0.0,0.0
2015-06-30,97.88,98.31,96.83,97.22,87.8,2302700,0.0,0.0
2015-07-01,98.18,98.65,97.7,98.04,88.54,2277200,0.0,0.0
2015-07-02,98.33,98.49,97.42,97.73,88.26,1880700,0.0,0.0
2015-07-06,96.77,98.16,96.63,97.61,88.15,2373000,0.0,0.0
2015-07-07,97.64,98.18,96.34,98.04,88.54,2479900,0.0,0.0
2015-07-08,97.24,97.62,96.05,96.26,86.93,2460900,0.0,0.0
2015-07-09,97.55,97.93,96.42,96.46,87.12,2853500,0.0,0.0
2015-07-10,97.23,97.88,96.84,97.63,88.17,2700100,0.0,0.0
2015-07-13,98.52,99.03,98.31,98.93,89.35,1687100,0.0,0.0
2015-07-14,98.88,99.54,98.58,99.23,89.61,1513600,0.0,0.0
2015-07-15,99.23,99.59,98.73,99.0,89.41,2868900,0.0,0.0
2015-07-16,100.0,100.0,98.23,98.74,89.17,4854600,0.0,0.0
2015-07-17,100.03,101.65,99.41,100.62,90.87,5708500,0.0,0.0
2015-07-20,100.77,101.81,100.61,101.41,91.58,4743600,0.0,0.0
2015-07-21,101.08,101.44,100.28,100.49,90.75,3906400,0.0,0.0
2015-07-22,100.45,100.6,99.64,99.86,90.18,3280500,0.0,0.0
2015-07-23,99.89,100.55,99.35,99.46,89.82,2485100,0.0,0.0
2015-07-24,99.31,99.65,97.53,97.98,88.48,2940300,0.0,0.0
2015-07-27,97.24,97.29,96.63,96.9,87.51,3452100,0.0,0.0
2015-07-28,97.91,99.65,97.53,99.34,89.72,4120800,0.0,0.0
2015-07-29,99.34,100.9,99.1,100.62,90.87,2698600,0.0,0.0
2015-07-30,100.12,100.84,99.74,100.47,90.73,2320400,0.0,0.0
2015-07-31,100.83,100.98,100.04,100.15,90.45,2075600,0.0,0.0
2015-08-03,100.12,100.12,99.06,99.82,90.15,2462800,0.0,0.0
2015-08-04,99.84,100.49,99.24,99.74,90.08,3016600,0.0,0.0
2015-08-05,100.58,101.31,100.34,100.8,91.03,2051600,0.0,0.0
2015-08-06,100.87,101.34,100.49,100.86,91.08,2228300,0.0,0.0
2015-08-07,100.73,101.0,100.09,100.54,90.8,1910800,0.0,0.0
2015-08-10,101.49,102.4,101.37,102.3,92.38,2324100,0.0,0.0
2015-08-11,101.16,101.5,99.64,100.46,90.72,3392400,0.0,0.0
2015-08-12,100.38,100.85,98.8,100.62,90.87,3834300,0.0,0.0
2015-08-13,100.08,100.96,99.74,100.6,90.85,2173500,0.0,0.0
2015-08-14,100.73,101.26,100.52,101.13,91.33,1654000,0.0,0.0
2015-08-17,100.64,101.39,99.83,101.32,91.51,2393600,0.0,0.0
2015-08-18,100.84,101.7,100.65,101.26,91.92,3594400,0.5175,0.0
2015-08-19,100.58,101.05,99.91,100.14,90.9,2611100,0.0,0.0
2015-08-20,99.24,99.45,97.82,97.85,88.83,4193400,0.0,0.0
2015-08-21,97.12,97.29,94.24,94.27,85.57,7715700,0.0,0.0
2015-08-24,88.02,93.9,82.94,90.84,82.46,8065600,0.0,0.0
2015-08-25,93.76,93.95,89.44,89.55,81.29,6382900,0.0,0.0
2015-08-26,91.78,93.32,90.67,93.27,84.66,5521700,0.0,0.0
2015-08-27,94.52,95.81,93.78,95.23,86.45,5281300,0.0,0.0
2015-08-28,94.88,95.58,94.49,95.36,86.56,3625300,0.0,0.0
2015-08-31,94.97,95.7,94.48,94.64,85.91,4449200,0.0,0.0
2015-09-01,92.46,92.9,90.97,91.49,83.05,4484800,0.0,0.0
2015-09-02,92.51,93.44,92.01,93.44,84.82,4005800,0.0,0.0
2015-09-03,93.93,95.01,93.78,93.97,85.3,3277000,0.0,0.0
2015-09-04,92.77,93.14,91.58,92.09,83.59,3832300,0.0,0.0
2015-09-08,94.2,95.17,93.8,95.16,86.38,3896500,0.0,0.0
2015-09-09,95.76,96.31,94.04,94.25,85.55,3454500,0.0,0.0
2015-09-10,94.12,95.48,93.68,94.91,86.15,3696200,0.0,0.0
2015-09-11,94.83,94.99,93.84,94.97,86.21,2681900,0.0,0.0
2015-09-14,95.35,95.35,94.32,94.59,85.87,2627500,0.0,0.0
2015-09-15,94.99,96.04,94.65,95.64,86.82,3144400,0.0,0.0
2015-09-16,95.99,96.41,95.7,96.25,87.37,3402000,0.0,0.0
2015-09-17,96.22,97.52,95.63,95.84,87.0,2833300,0.0,0.0
2015-09-18,94.66,94.73,93.19,93.47,84.85,5140200,0.0,0.0
2015-09-21,93.6,93.99,92.67,93.18,84.59,2814400,0.0,0.0
2015-09-22,91.79,91.9,90.78,91.56,83.11,4805500,0.0,0.0
2015-09-23,91.73,91.95,89.74,90.18,81.86,5995400,0.0,0.0
2015-09-24,89.28,89.57,87.46,89.25,81.02,5848000,0.0,0.0
2015-09-25,90.34,90.37,88.7,89.16,80.93,4089000,0.0,0.0
2015-09-28,88.5,89.04,87.3,87.32,79.26,4576100,0.0,0.0
2015-09-29,87.68,88.76,87.43,88.21,80.07,3620600,0.0,0.0
2015-09-30,89.28,90.42,89.12,90.27,81.95,4613200,0.0,0.0
2015-10-01,90.32,91.6,89.24,90.29,81.96,3476800,0.0,0.0
2015-10-02,89.02,92.11,88.67,92.04,83.55,4004100,0.0,0.0
2015-10-05,92.55,94.32,92.38,93.79,85.14,3887600,0.0,0.0
2015-10-06,93.79,94.46,93.57,93.63,84.99,2733100,0.0,0.0
2015-10-07,94.41,95.67,94.15,94.85,86.1,3127000,0.0,0.0
2015-10-08,94.45,96.67,94.41,96.36,87.47,3235300,0.0,0.0
2015-10-09,96.4,97.35,96.3,96.44,87.55,3473400,0.0,0.0
2015-10-12,96.57,96.94,96.14,96.77,87.84,1848100,0.0,0.0
2015-10-13,95.99,96.38,95.07,95.17,86.39,3839100,0.0,0.0
2015-10-14,95.2,95.34,93.66,93.68,85.04,3724600,0.0,0.0
2015-10-15,94.22,94.22,92.87,93.91,85.24,6312400,0.0,0.0
2015-10-16,95.34,96.15,90.88,92.51,83.97,13263500,0.0,0.0
2015-10-19,92.28,92.98,92.0,92.65,84.1,6238700,0.0,0.0
2015-10-20,92.67,94.23,92.67,93.7,85.05,4876600,0.0,0.0
2015-10-21,94.26,95.25,93.65,94.16,85.48,3810500,0.0,0.0
2015-10-22,94.64,98.1,94.64,97.8,88.77,4632100,0.0,0.0
2015-10-23,98.49,98.96,97.33,98.32,89.25,4309600,0.0,0.0
2015-10-26,98.6,98.6,97.77,97.99,88.95,1994700,0.0,0.0
2015-10-27,97.8,98.19,97.27,97.67,88.66,2572300,0.0,0.0
2015-10-28,97.73,98.82,97.44,98.75,89.64,2638900,0.0,0.0
2015-10-29,98.43,99.0,97.56,98.14,89.09,3282000,0.0,0.0
2015-10-30,98.47,99.15,98.14,98.46,89.38,3066100,0.0,0.0
2015-11-02,98.45,99.48,98.2,99.32,90.16,2570100,0.0,0.0
