Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,76.83,77.75,75.76,75.88,58.18,2308000,0.0,0
2015-04-28,75.61,76.55,75.03,76.35,58.54,1593700,0.0,0
2015-04-29,76.09,79.11,75.37,78.41,60.12,1779100,0.0,0
2015-04-30,78.72,79.29,77.19,77.97,59.78,2284000,0.0,0
2015-05-01,77.72,78.8,76.57,78.47,60.17,1660200,0.0,0
2015-05-04,78.88,78.88,76.8,77.51,59.43,1114500,0.0,0
2015-05-05,78.44,79.9,77.21,77.61,59.51,1918400,0.0,0
2015-05-06,78.96,79.26,77.35,78.15,59.92,1916000,0.0,0
2015-05-07,77.34,77.34,75.51,75.99,58.27,2591500,0.0,0
2015-05-08,76.83,77.88,75.4,77.66,59.55,1395200,0.0,0
2015-05-11,77.65,77.66,75.31,75.49,57.88,1571500,0.0,0
2015-05-12,75.7,76.6,74.39,76.07,58.33,1504400,0.0,0
2015-05-13,76.06,76.43,74.91,75.81,58.66,1239600,0.6875,0
2015-05-14,75.3,76.25,73.61,74.28,57.47,1583000,0.0,0
2015-05-15,74.04,74.5,73.0,73.84,57.13,1518800,0.0,0
2015-05-18,73.86,74.84,73.32,74.57,57.7,1270700,0.0,0
2015-05-19,73.45,73.91,71.42,72.47,56.07,1511400,0.0,0
2015-05-20,72.8,74.14,72.18,73.68,57.01,1485200,0.0,0
2015-05-21,74.78,76.51,74.68,75.52,58.43,1500400,0.0,0
2015-05-22,74.67,76.31,74.36,75.27,58.24,982700,0.0,0
2015-05-26,74.16,75.01,72.47,72.66,56.22,1334100,0.0,0
2015-05-27,72.13,73.94,71.7,73.48,56.86,1738500,0.0,0
2015-05-28,72.76,73.46,71.85,73.09,56.55,1271800,0.0,0
2015-05-29,73.13,74.07,72.93,72.99,56.48,1574500,0.0,0
2015-06-01,72.98,73.07,71.74,72.01,55.72,1500600,0.0,0
2015-06-02,72.47,74.47,72.43,73.81,57.11,1221400,0.0,0
2015-06-03,73.86,74.79,72.85,73.44,56.82,1429400,0.0,0
2015-06-04,72.83,73.3,71.87,72.18,55.85,1398200,0.0,0
2015-06-05,71.81,74.72,71.73,73.65,56.99,1485700,0.0,0
2015-06-08,73.34,74.59,72.85,73.12,56.58,1093200,0.0,0
2015-06-09,73.9,74.76,72.68,72.69,56.24,1132200,0.0,0
2015-06-10,74.88,75.25,73.81,75.12,58.12,1307900,0.0,0
2015-06-11,74.91,75.18,73.62,73.72,57.04,1071700,0.0,0
2015-06-12,72.99,73.69,72.62,73.5,56.87,957300,0.0,0
2015-06-15,72.41,73.32,71.84,72.61,56.18,984100,0.0,0
2015-06-16,72.69,74.07,72.6,73.76,57.07,943800,0.0,0
2015-06-17,74.39,75.06,73.47,73.92,57.2,876000,0.0,0
2015-06-18,74.28,74.66,72.65,72.79,56.32,1426700,0.0,0
2015-06-19,72.27,72.69,71.5,72.1,55.79,1903100,0.0,0
2015-06-22,72.21,72.8,71.29,72.57,56.15,1149900,0.0,0
2015-06-23,72.46,73.22,72.28,72.94,56.44,1074300,0.0,0
2015-06-24,71.71,72.25,70.38,70.95,54.9,3544700,0.0,0
2015-06-25,70.96,71.34,70.57,70.8,54.78,1776700,0.0,0
2015-06-26,70.6,71.42,70.18,70.95,54.9,3095800,0.0,0
2015-06-29,69.65,70.72,69.0,69.83,54.03,1836000,0.0,0
2015-06-30,70.57,70.95,69.74,70.42,54.49,1707000,0.0,0
2015-07-01,70.29,70.34,67.91,68.01,52.62,2099100,0.0,0
2015-07-02,68.38,68.93,67.49,67.76,52.43,1593600,0.0,0
2015-07-06,66.25,66.96,65.18,65.5,50.68,2001400,0.0,0
2015-07-07,65.09,65.81,62.45,65.62,50.77,3430400,0.0,0
2015-07-08,64.61,66.18,62.84,63.68,49.27,2077100,0.0,0
2015-07-09,64.98,65.72,64.49,64.55,49.95,1633800,0.0,0
2015-07-10,65.29,65.78,63.91,64.11,49.61,1584000,0.0,0
2015-07-13,64.65,65.23,63.83,64.81,50.15,1687700,0.0,0
2015-07-14,64.48,66.21,64.4,65.94,51.02,1852800,0.0,0
2015-07-15,65.4,65.81,62.54,62.71,48.52,2471000,0.0,0
2015-07-16,63.2,63.54,61.47,61.94,47.93,2216900,0.0,0
2015-07-17,61.76,62.0,60.17,60.53,46.84,2894700,0.0,0
2015-07-20,60.51,60.7,59.34,59.78,46.25,2045400,0.0,0
2015-07-21,59.8,61.25,59.19,59.27,45.86,2236700,0.0,0
2015-07-22,58.99,59.25,58.17,58.82,45.51,2028400,0.0,0
2015-07-23,59.16,61.24,58.83,59.61,46.12,2359800,0.0,0
2015-07-24,59.6,59.61,55.54,55.92,43.27,4684200,0.0,0
2015-07-27,55.18,56.34,54.2,55.64,43.05,3164600,0.0,0
2015-07-28,56.14,58.37,54.93,57.77,44.7,2574300,0.0,0
2015-07-29,57.47,60.45,56.91,59.8,46.27,4116300,0.0,0
2015-07-30,59.68,60.89,58.27,58.73,45.44,3978200,0.0,0
2015-07-31,58.13,59.0,57.47,57.74,44.68,2024200,0.0,0
2015-08-03,57.45,58.88,56.72,57.76,44.69,2088700,0.0,0
2015-08-04,58.31,59.73,58.13,58.49,45.26,1887300,0.0,0
2015-08-05,59.3,60.19,56.88,57.46,44.46,2285100,0.0,0
2015-08-06,57.1,62.04,56.07,61.66,47.71,3499200,0.0,0
2015-08-07,61.18,62.98,59.07,59.46,46.01,2841200,0.0,0
2015-08-10,59.69,63.07,59.13,62.67,48.49,2298600,0.0,0
2015-08-11,60.77,62.35,60.19,61.74,47.77,2970200,0.0,0
2015-08-12,60.75,62.99,60.08,62.29,48.74,2567500,0.6875,0
2015-08-13,61.58,61.88,59.75,60.43,47.28,2040100,0.0,0
2015-08-14,60.49,61.75,58.2,58.26,45.59,2464400,0.0,0
2015-08-17,57.96,58.76,57.03,58.03,45.41,2262300,0.0,0
2015-08-18,58.07,59.28,57.78,58.63,45.88,1554700,0.0,0
2015-08-19,58.08,58.42,56.5,57.21,44.76,2251500,0.0,0
2015-08-20,57.76,58.54,56.46,56.46,44.18,1837500,0.0,0
2015-08-21,56.52,58.01,54.72,54.75,42.84,2671500,0.0,0
2015-08-24,50.31,53.9,49.99,51.37,40.2,4376100,0.0,0
2015-08-25,53.38,53.38,50.59,50.91,39.84,4287500,0.0,0
2015-08-26,52.15,53.58,50.32,51.49,40.29,4298800,0.0,0
2015-08-27,52.86,55.32,52.25,55.09,43.11,3468800,0.0,0
2015-08-28,55.11,59.17,54.51,57.65,45.11,4819400,0.0,0
2015-08-31,56.58,59.33,55.5,59.01,46.17,3651700,0.0,0
2015-09-01,56.9,58.51,55.39,55.92,43.76,2822400,0.0,0
2015-09-02,56.42,56.53,53.0,54.61,42.73,4051400,0.0,0
2015-09-03,54.64,56.83,54.05,54.7,42.8,3076600,0.0,0
2015-09-04,54.03,54.06,51.96,52.25,40.88,2902400,0.0,0
2015-09-08,52.46,53.49,51.34,52.95,41.43,2911100,0.0,0
2015-09-09,52.84,53.79,50.32,50.66,39.64,2889800,0.0,0
2015-09-10,50.7,51.48,49.54,51.29,40.13,3220600,0.0,0
2015-09-11,49.92,50.52,48.35,49.35,38.61,3687400,0.0,0
2015-09-14,49.31,49.35,47.59,49.01,38.35,3326700,0.0,0
2015-09-15,49.38,50.39,49.08,49.89,39.04,2151800,0.0,0
2015-09-16,50.56,53.07,50.36,52.85,41.35,3361900,0.0,0
2015-09-17,52.47,54.05,51.46,52.59,41.15,3663400,0.0,0
2015-09-18,50.5,51.22,48.85,49.27,38.55,4189200,0.0,0
2015-09-21,49.54,50.0,47.96,48.07,37.61,3486200,0.0,0
2015-09-22,47.06,48.86,47.02,47.44,37.12,2585000,0.0,0
2015-09-23,47.88,48.93,46.56,47.13,36.88,2490800,0.0,0
2015-09-24,46.82,48.0,46.61,47.38,37.07,3361600,0.0,0
2015-09-25,47.71,48.15,46.74,47.09,36.85,2444400,0.0,0
2015-09-28,46.27,46.86,46.16,46.5,36.38,3208400,0.0,0
2015-09-29,47.36,48.73,46.65,47.84,37.43,3445000,0.0,0
2015-09-30,48.19,49.05,46.72,47.26,36.98,4180100,0.0,0
2015-10-01,48.21,49.0,46.5,46.86,36.67,3042500,0.0,0
2015-10-02,46.36,49.38,46.32,49.28,38.56,2733400,0.0,0
2015-10-05,50.15,52.21,49.73,51.81,40.54,2951400,0.0,0
2015-10-06,52.3,56.22,51.66,56.17,43.95,5430600,0.0,0
2015-10-07,57.13,58.64,55.15,57.01,44.61,4063600,0.0,0
2015-10-08,57.25,60.19,55.75,59.58,46.62,3698200,0.0,0
2015-10-09,59.74,60.53,58.34,60.26,47.15,2788600,0.0,0
2015-10-12,60.25,60.5,57.9,58.5,45.77,2943300,0.0,0
2015-10-13,58.21,58.92,57.08,57.41,44.92,1981500,0.0,0
2015-10-14,57.41,57.78,56.47,57.6,45.07,2236000,0.0,0
2015-10-15,57.39,58.63,56.54,58.56,45.82,1918000,0.0,0
2015-10-16,58.66,58.8,55.19,56.22,43.99,2831500,0.0,0
2015-10-19,55.36,56.73,54.68,55.81,43.67,2261500,0.0,0
2015-10-20,55.66,57.27,55.32,56.61,44.3,2156500,0.0,0
2015-10-21,56.17,56.57,55.39,55.48,43.41,1627400,0.0,0
2015-10-22,56.52,57.62,55.9,56.71,44.37,1525700,0.0,0
2015-10-23,56.09,57.87,55.53,56.94,44.55,1625800,0.0,0
2015-10-26,56.78,56.86,54.52,54.86,42.93,1878600,0.0,0
2015-10-27,54.5,55.51,53.63,54.52,42.66,2099200,0.0,0
2015-10-28,55.06,57.38,53.97,55.96,43.79,2358300,0.0,0
2015-10-29,55.58,57.29,54.86,55.26,43.24,1985300,0.0,0
2015-10-30,55.63,56.62,54.16,56.27,44.03,1806000,0.0,0
2015-11-02,55.92,58.47,55.65,58.35,45.66,1812300,0.0,0
2015-11-03,58.88,61.7,58.69,61.0,47.73,3454200,0.0,0
2015-11-04,61.0,61.5,59.8,60.27,47.16,2319400,0.0,0
2015-11-05,60.05,61.0,58.47,58.97,46.14,2100900,0.0,0
2015-11-06,58.23,59.9,58.1,58.95,46.13,1994000,0.0,0
2015-11-09,59.03,59.63,57.74,58.49,45.77,1790800,0.0,0
2015-11-10,57.48,58.74,56.95,58.53,46.34,2246300,0.6875,0
2015-11-11,58.44,58.45,55.18,55.42,43.88,2876400,0.0,0
2015-11-12,53.83,56.33,52.84,53.44,42.31,3864900,0.0,0
2015-11-13,53.13,54.89,52.37,54.19,42.91,2645600,0.0,0
2015-11-16,53.52,55.14,53.18,55.12,43.64,1986800,0.0,0
2015-11-17,54.64,55.75,53.34,54.48,43.14,1561400,0.0,0
2015-11-18,55.13,57.17,54.23,56.28,44.56,1852600,0.0,0
2015-11-19,55.46,56.36,53.99,54.74,43.34,1501700,0.0,0
2015-11-20,54.61,55.45,53.78,54.73,43.33,1776700,0.0,0
2015-11-23,54.51,56.05,54.21,55.61,44.03,1491300,0.0,0
2015-11-24,56.44,58.69,56.37,58.5,46.32,2093300,0.0,0
2015-11-25,58.54,59.25,56.66,58.49,46.31,1399800,0.0,0
2015-11-27,58.27,58.27,56.96,57.36,45.42,631700,0.0,0
2015-11-30,58.77,58.9,57.18,58.25,46.12,2266700,0.0,0
2015-12-01,57.85,58.68,57.25,58.51,46.33,1664600,0.0,0
2015-12-02,57.71,58.07,54.86,55.1,43.63,2402600,0.0,0
2015-12-03,55.78,56.13,54.84,55.61,44.03,2618000,0.0,0
2015-12-04,54.78,55.3,53.15,53.38,42.26,2454700,0.0,0
2015-12-07,51.94,52.18,49.97,50.79,40.21,2800200,0.0,0
2015-12-08,49.84,51.9,49.71,50.17,39.72,2807100,0.0,0
2015-12-09,50.82,53.06,50.57,51.73,40.96,2705800,0.0,0
2015-12-10,51.7,53.06,51.45,52.62,41.66,1858600,0.0,0
2015-12-11,51.89,52.39,51.07,51.37,40.67,2611300,0.0,0
2015-12-14,51.19,52.76,50.9,51.96,41.14,2558500,0.0,0
2015-12-15,52.82,54.98,52.78,54.77,43.37,2183500,0.0,0
2015-12-16,54.29,55.62,53.03,54.36,43.04,3088500,0.0,0
2015-12-17,54.09,54.49,51.67,51.8,41.01,2346700,0.0,0
2015-12-18,51.8,51.99,49.85,49.88,39.49,2771500,0.0,0
2015-12-21,50.03,50.62,48.82,50.0,39.59,2248200,0.0,0
2015-12-22,50.19,53.42,49.95,52.92,41.9,2079200,0.0,0
2015-12-23,54.29,56.22,53.2,55.94,44.29,2584200,0.0,0
2015-12-24,56.03,57.0,54.99,56.04,44.37,1198100,0.0,0
2015-12-28,54.89,55.32,53.07,53.38,42.26,1739100,0.0,0
2015-12-29,54.83,55.37,53.08,54.13,42.86,1016900,0.0,0
2015-12-30,53.42,54.15,52.35,52.76,41.77,1446000,0.0,0
2015-12-31,52.6,54.05,52.52,53.55,42.4,1375800,0.0,0
2016-01-04,53.31,54.55,52.61,54.18,42.9,1920000,0.0,0
2016-01-05,53.76,54.33,52.79,53.56,42.41,1769900,0.0,0
