Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,32.29,32.73,31.85,31.9,26.53,2222200,0.0,0
2015-04-28,31.84,31.96,31.03,31.26,26.0,2915800,0.0,0
2015-04-29,31.18,31.23,30.35,30.6,25.45,2279400,0.0,0
2015-04-30,30.52,30.7,30.1,30.24,25.15,2491200,0.0,0
2015-05-01,30.37,31.57,30.37,31.55,26.24,4000800,0.0,0
2015-05-04,31.6,31.69,30.84,30.85,25.66,3211100,0.0,0
2015-05-05,30.86,31.0,30.07,30.2,25.12,2698300,0.0,0
2015-05-06,30.3,30.48,30.1,30.21,25.13,2141000,0.0,0
2015-05-07,30.24,30.89,30.24,30.86,25.67,2096000,0.0,0
2015-05-08,31.16,31.4,30.99,31.02,25.8,1390200,0.0,0
2015-05-11,30.96,31.7,30.96,31.63,26.31,3919100,0.0,0
2015-05-12,31.47,31.56,31.19,31.36,26.08,1311800,0.0,0
2015-05-13,31.41,31.7,31.12,31.54,26.23,1876300,0.0,0
2015-05-14,31.69,32.05,31.43,32.03,26.64,1961800,0.0,0
2015-05-15,32.03,32.04,31.25,31.35,26.07,2259600,0.0,0
2015-05-18,31.38,31.92,31.27,31.63,26.31,2508900,0.0,0
2015-05-19,31.63,32.14,31.57,31.88,26.52,1978600,0.0,0
2015-05-20,31.92,32.18,31.68,31.93,26.56,1767000,0.0,0
2015-05-21,31.86,32.2,31.79,32.12,26.71,1531500,0.0,0
2015-05-22,32.2,32.41,32.01,32.09,26.69,1851700,0.0,0
2015-05-26,32.1,32.25,31.66,31.7,26.37,2137400,0.0,0
2015-05-27,31.8,32.18,31.7,32.13,26.72,2203300,0.0,0
2015-05-28,31.99,32.15,31.8,32.05,26.66,1690900,0.0,0
2015-05-29,32.14,32.17,31.72,31.73,26.39,2075900,0.0,0
2015-06-01,31.77,31.94,31.38,31.86,26.5,2787200,0.0,0
2015-06-02,31.69,32.06,31.58,31.96,26.58,2059000,0.0,0
2015-06-03,32.06,32.3,31.89,32.01,26.62,1830400,0.0,0
2015-06-04,31.82,31.89,31.32,31.41,26.12,1800300,0.0,0
2015-06-05,31.42,31.6,31.31,31.48,26.18,1566000,0.0,0
2015-06-08,31.48,31.96,31.25,31.25,25.99,1681400,0.0,0
2015-06-09,30.7,32.86,30.53,31.96,26.58,6634200,0.0,0
2015-06-10,31.5,31.56,30.24,30.3,25.2,6043400,0.0,0
2015-06-11,30.2,30.59,30.1,30.41,25.46,2823400,0.2,0
2015-06-12,30.22,30.92,30.2,30.62,25.64,3515100,0.0,0
2015-06-15,30.41,30.53,30.09,30.14,25.23,2607000,0.0,0
2015-06-16,30.15,30.47,30.1,30.45,25.49,2271900,0.0,0
2015-06-17,30.45,30.48,30.15,30.25,25.33,2042000,0.0,0
2015-06-18,30.3,30.56,30.23,30.37,25.43,2191000,0.0,0
2015-06-19,30.31,30.7,30.26,30.65,25.66,2942000,0.0,0
2015-06-22,30.84,31.28,30.68,31.26,26.17,2483500,0.0,0
2015-06-23,31.51,31.51,31.11,31.3,26.21,3227000,0.0,0
2015-06-24,31.23,31.25,30.39,30.5,25.54,3543100,0.0,0
2015-06-25,30.63,31.09,30.25,30.55,25.58,4347000,0.0,0
2015-06-26,30.65,30.72,30.4,30.58,25.6,2166800,0.0,0
2015-06-29,30.26,30.31,29.45,29.51,24.71,2534600,0.0,0
2015-06-30,29.73,29.82,29.42,29.65,24.82,2187000,0.0,0
2015-07-01,29.9,29.93,29.67,29.76,24.92,1684900,0.0,0
2015-07-02,29.77,29.87,29.51,29.61,24.79,2603800,0.0,0
2015-07-06,29.39,29.91,29.15,29.88,25.02,3013100,0.0,0
2015-07-07,29.89,30.27,29.63,30.16,25.25,2572700,0.0,0
2015-07-08,29.89,30.16,29.82,30.08,25.18,3183700,0.0,0
2015-07-09,30.32,30.74,30.18,30.47,25.51,4772100,0.0,0
2015-07-10,30.8,31.31,30.6,31.18,26.11,2656600,0.0,0
2015-07-13,31.37,31.57,31.37,31.53,26.4,1950500,0.0,0
2015-07-14,31.53,31.65,31.36,31.38,26.27,1631100,0.0,0
2015-07-15,31.44,31.66,31.3,31.65,26.5,1439100,0.0,0
