Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,27.42,27.55,27.31,27.38,24.29,1110000,0.0,0.0
2015-04-28,27.32,27.58,27.3,27.51,24.41,862600,0.0,0.0
2015-04-29,27.5,27.52,27.22,27.29,24.22,1621800,0.0,0.0
2015-04-30,27.31,27.42,27.08,27.17,24.12,2453000,0.0,0.0
2015-05-01,27.19,27.66,27.19,27.64,24.53,1475600,0.0,0.0
2015-05-04,27.6,27.95,27.57,27.87,24.73,1260200,0.0,0.0
2015-05-05,28.0,28.25,27.74,27.82,24.68,1719800,0.0,0.0
2015-05-06,27.9,27.92,27.38,27.55,24.44,1296200,0.0,0.0
2015-05-07,27.57,27.71,27.38,27.68,24.57,1089600,0.0,0.0
2015-05-08,27.92,28.09,27.77,27.99,24.84,930200,0.0,0.0
2015-05-11,27.97,28.01,27.86,27.9,24.76,995200,0.0,0.0
2015-05-12,27.76,27.97,27.61,27.88,24.74,1162800,0.0,0.0
2015-05-13,27.98,28.16,27.9,27.99,24.84,1143200,0.0,0.0
2015-05-14,28.14,28.4,28.14,28.36,25.17,1373600,0.0,0.0
2015-05-15,28.35,28.43,28.22,28.33,25.15,1932400,0.0,0.0
2015-05-18,28.22,28.32,27.84,27.86,24.72,2616400,0.0,0.0
2015-05-19,28.01,28.11,27.78,27.9,24.76,2563400,0.0,0.0
2015-05-20,28.2,29.68,28.15,29.07,25.8,5329800,0.0,0.0
2015-05-21,28.94,29.15,28.65,28.76,25.52,3006400,0.0,0.0
2015-05-22,28.68,28.74,28.41,28.46,25.26,1981600,0.0,0.0
2015-05-26,28.34,28.45,28.19,28.31,25.12,2143000,0.0,0.0
2015-05-27,29.24,29.43,28.84,29.22,25.93,3840800,0.0,0.0
2015-05-28,29.16,29.2,28.75,29.1,25.82,2903600,0.0,0.0
2015-05-29,29.01,29.1,28.61,28.61,25.39,4573600,0.0,0.0
2015-06-01,28.59,28.69,28.26,28.53,25.32,1765600,0.0,0.0
2015-06-02,28.5,28.5,28.17,28.38,25.19,1825200,0.0,0.0
2015-06-03,28.51,28.54,28.25,28.45,25.25,1206200,0.0,0.0
2015-06-04,28.39,28.42,28.11,28.15,24.98,1718800,0.0,0.0
2015-06-05,28.1,28.2,27.91,28.13,24.96,2346400,0.0,0.0
2015-06-08,28.13,28.2,28.0,28.08,24.92,1242600,0.0,0.0
2015-06-09,28.05,28.2,27.81,28.11,24.95,1325000,0.0,0.0
2015-06-10,28.17,28.59,28.17,28.41,25.21,1202800,0.0,0.0
2015-06-11,28.4,28.52,28.22,28.26,25.08,1002200,0.0,0.0
2015-06-12,28.18,28.33,28.03,28.23,25.05,1360800,0.0,0.0
2015-06-15,28.15,28.19,27.94,28.17,24.99,1724800,0.0,0.0
2015-06-16,28.23,28.39,28.07,28.33,25.14,1410400,0.0,0.0
2015-06-17,28.35,28.57,28.26,28.52,25.31,954600,0.0,0.0
2015-06-18,28.54,28.82,28.47,28.64,25.42,1199600,0.0,0.0
2015-06-19,28.64,28.86,28.47,28.62,25.4,1245400,0.0,0.0
2015-06-22,28.81,29.0,28.76,28.9,25.65,999200,0.0,0.0
2015-06-23,29.0,29.08,28.8,29.06,25.79,1220600,0.0,0.0
2015-06-24,29.07,29.15,28.94,29.03,25.76,1087400,0.0,0.0
2015-06-25,29.32,29.32,28.88,28.99,25.72,1164200,0.0,0.0
2015-06-26,29.01,29.01,28.67,28.86,25.61,1586200,0.0,0.0
2015-06-29,28.5,28.5,28.11,28.14,24.97,1132000,0.0,0.0
2015-06-30,28.32,28.5,28.17,28.18,25.01,1631400,0.0,0.0
2015-07-01,28.31,28.52,28.21,28.49,25.28,1565600,0.0,0.0
2015-07-02,28.58,28.67,28.27,28.42,25.23,1197400,0.0,0.0
2015-07-06,28.16,28.34,28.0,28.11,24.95,1711400,0.0,0.0
2015-07-07,28.19,28.72,27.94,28.67,25.45,1470800,0.0,0.0
2015-07-08,28.49,28.62,28.38,28.45,25.25,1032200,0.0,0.0
2015-07-09,28.76,28.86,28.59,28.61,25.39,1760200,0.0,0.0
2015-07-10,28.78,28.78,28.52,28.66,25.43,1685800,0.0,0.0
2015-07-13,28.9,29.12,28.78,29.1,25.83,1167000,0.0,0.0
2015-07-14,29.15,29.27,29.07,29.17,25.89,1262600,0.0,0.0
2015-07-15,29.1,29.22,28.89,28.93,25.67,1073800,0.0,0.0
2015-07-16,28.97,29.17,28.93,29.17,26.12,1147800,0.25,0.0
2015-07-17,29.09,29.15,28.6,28.81,25.79,1231400,0.0,0.0
2015-07-20,28.79,28.94,28.65,28.93,25.9,1223200,0.0,0.0
2015-07-21,28.92,29.03,28.71,28.73,25.72,1453200,0.0,0.0
2015-07-22,28.75,28.93,28.67,28.88,25.85,841800,0.0,0.0
2015-07-23,28.83,29.08,28.72,28.83,25.81,791800,0.0,0.0
2015-07-24,28.77,28.9,28.67,28.78,25.76,1020400,0.0,0.0
2015-07-27,28.66,28.77,28.44,28.71,25.7,1107000,0.0,0.0
2015-07-28,28.77,29.25,28.67,29.24,26.17,971000,0.0,0.0
2015-07-29,29.2,29.42,29.12,29.4,26.32,972800,0.0,0.0
2015-07-30,29.27,29.73,29.1,29.67,26.56,1246400,0.0,0.0
2015-07-31,29.8,29.82,29.52,29.6,26.5,2027800,0.0,0.0
2015-08-03,29.38,29.72,29.25,29.72,26.6,1521200,0.0,0.0
2015-08-04,29.66,30.29,29.62,30.15,26.99,1599200,0.0,0.0
2015-08-05,30.34,30.66,30.17,30.4,27.21,1795200,0.0,0.0
2015-08-06,30.5,30.5,30.02,30.14,26.98,1363200,0.0,0.0
2015-08-07,30.14,30.14,29.92,30.11,26.96,1170000,0.0,0.0
2015-08-10,30.22,30.58,30.14,30.43,27.24,1302600,0.0,0.0
2015-08-11,30.22,30.34,30.01,30.23,27.06,1233400,0.0,0.0
2015-08-12,30.0,30.48,29.86,30.44,27.25,1916400,0.0,0.0
2015-08-13,30.43,30.49,30.17,30.25,27.08,1507800,0.0,0.0
2015-08-14,30.28,30.63,30.19,30.6,27.4,1244800,0.0,0.0
