Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,20.73,20.89,20.54,20.63,16.46,6701600,0.0,0
2015-04-28,20.6,20.63,20.36,20.4,16.27,5314100,0.0,0
2015-04-29,20.26,20.66,20.25,20.27,16.17,10529000,0.0,0
2015-04-30,20.3,20.62,19.98,20.14,16.07,12303200,0.0,0
2015-05-01,20.19,20.47,20.09,20.32,16.21,5723400,0.0,0
2015-05-04,20.38,20.54,20.22,20.32,16.21,4364000,0.0,0
2015-05-05,20.21,20.26,19.74,19.83,15.82,8316300,0.0,0
2015-05-06,19.81,19.85,19.33,19.45,15.52,9659000,0.0,0
2015-05-07,19.45,19.9,19.43,19.8,15.8,6075400,0.0,0
2015-05-08,20.03,20.53,20.03,20.32,16.21,6212900,0.0,0
2015-05-11,20.29,20.48,20.06,20.14,16.07,6027200,0.0,0
2015-05-12,19.97,20.2,19.77,20.11,16.04,5120100,0.0,0
2015-05-13,20.16,20.4,19.94,19.99,15.95,7071700,0.0,0
2015-05-14,20.08,20.44,20.08,20.4,16.27,5938700,0.0,0
2015-05-15,20.44,20.71,20.39,20.6,16.43,11015800,0.0,0
2015-05-18,20.54,20.74,20.46,20.55,16.39,4871600,0.0,0
2015-05-19,20.54,20.66,20.33,20.61,16.44,5855500,0.0,0
2015-05-20,20.59,20.68,20.33,20.33,16.22,7334600,0.0,0
2015-05-21,20.39,20.64,20.16,20.22,16.13,8328100,0.0,0
2015-05-22,20.22,20.26,19.99,20.09,16.03,5829000,0.0,0
2015-05-26,20.12,20.17,19.91,20.02,15.97,7059100,0.0,0
2015-05-27,20.05,20.24,19.96,20.18,16.1,4858100,0.0,0
2015-05-28,20.23,20.23,19.99,20.09,16.03,3711800,0.0,0
2015-05-29,20.06,20.17,19.89,19.92,15.89,12653600,0.0,0
2015-06-01,19.96,20.37,19.91,20.27,16.17,5978100,0.0,0
2015-06-02,20.21,20.28,20.07,20.23,16.14,4377200,0.0,0
2015-06-03,20.22,20.36,20.06,20.1,16.03,5696100,0.0,0
2015-06-04,20.03,20.12,19.85,19.87,15.85,6451800,0.0,0
2015-06-05,19.71,19.8,19.48,19.57,15.61,6554300,0.0,0
2015-06-08,19.6,19.66,19.38,19.4,15.48,4906100,0.0,0
2015-06-09,19.47,19.65,19.38,19.43,15.5,5959100,0.0,0
2015-06-10,19.44,19.8,19.44,19.56,15.6,8459800,0.0,0
2015-06-11,19.69,19.83,19.65,19.71,15.72,4569400,0.0,0
2015-06-12,20.09,20.3,19.86,19.92,15.89,7373800,0.0,0
2015-06-15,19.75,19.89,19.66,19.71,15.72,7149300,0.0,0
2015-06-16,19.74,19.95,19.64,19.95,15.92,5386900,0.0,0
2015-06-17,19.94,20.14,19.84,20.11,16.04,11051200,0.0,0
2015-06-18,20.18,20.59,20.02,20.52,16.37,10216700,0.0,0
2015-06-19,20.45,20.52,20.23,20.41,16.28,9368500,0.0,0
2015-06-22,20.51,20.69,20.46,20.47,16.33,11016400,0.0,0
2015-06-23,20.41,20.47,20.13,20.29,16.19,5965900,0.0,0
2015-06-24,20.3,20.88,20.25,20.73,16.54,19191700,0.0,0
2015-06-25,20.73,20.78,20.3,20.3,16.19,9759200,0.0,0
2015-06-26,20.12,20.36,19.96,20.14,16.23,8204000,0.2,0
2015-06-29,20.05,20.25,19.54,19.56,15.76,8334000,0.0,0
2015-06-30,19.71,19.89,19.38,19.83,15.98,9626400,0.0,0
2015-07-01,20.64,20.95,19.84,20.4,16.44,9121100,0.0,0
2015-07-02,20.53,20.82,20.46,20.51,16.52,7556800,0.0,0
2015-07-06,20.4,20.76,20.27,20.56,16.57,6887100,0.0,0
2015-07-07,20.65,21.05,20.6,20.94,16.87,8606200,0.0,0
2015-07-08,20.82,20.93,20.62,20.65,16.64,5467000,0.0,0
2015-07-09,20.83,20.91,20.54,20.56,16.57,4669500,0.0,0
2015-07-10,20.74,20.86,20.59,20.65,16.64,5088500,0.0,0
2015-07-13,20.87,21.0,20.62,20.76,16.73,4552500,0.0,0
2015-07-14,20.87,20.99,20.64,20.91,16.85,3654800,0.0,0
2015-07-15,20.9,21.15,20.83,21.09,16.99,4414200,0.0,0
2015-07-16,21.2,21.4,21.11,21.29,17.15,5339600,0.0,0
2015-07-17,21.29,21.36,21.1,21.2,17.08,3375900,0.0,0
2015-07-20,21.18,21.25,21.05,21.13,17.02,2717900,0.0,0
2015-07-21,21.08,21.16,20.88,20.93,16.86,4279100,0.0,0
2015-07-22,20.96,21.09,20.86,20.9,16.84,4509500,0.0,0
2015-07-23,20.83,20.83,20.04,20.16,16.24,14570200,0.0,0
2015-07-24,20.1,20.13,19.46,19.73,15.9,10741300,0.0,0
2015-07-27,19.69,19.89,19.6,19.71,15.88,10480700,0.0,0
2015-07-28,19.82,20.16,19.76,20.06,16.16,8593200,0.0,0
2015-07-29,20.05,20.44,19.93,20.43,16.46,12468200,0.0,0
2015-07-30,20.11,20.15,19.46,19.55,15.75,11739600,0.0,0
2015-07-31,19.42,19.45,19.08,19.38,15.61,7960600,0.0,0
2015-08-03,19.31,19.43,19.23,19.35,15.59,5851400,0.0,0
2015-08-04,19.29,19.42,19.15,19.19,15.46,5730200,0.0,0
2015-08-05,19.31,19.34,18.74,18.83,15.17,8205100,0.0,0
2015-08-06,18.83,19.01,18.45,18.95,15.27,8145700,0.0,0
2015-08-07,18.87,18.99,18.74,18.97,15.28,6093600,0.0,0
2015-08-10,19.14,19.26,19.08,19.2,15.47,5272800,0.0,0
2015-08-11,19.05,19.33,19.03,19.16,15.44,4274000,0.0,0
2015-08-12,18.9,19.14,18.66,19.13,15.41,6225800,0.0,0
2015-08-13,19.05,19.34,18.85,19.24,15.5,6991500,0.0,0
2015-08-14,19.2,19.29,19.13,19.27,15.53,7830000,0.0,0
2015-08-17,19.22,19.64,19.13,19.6,15.79,6273900,0.0,0
2015-08-18,19.6,19.66,19.36,19.61,15.8,5752700,0.0,0
2015-08-19,19.41,19.43,19.06,19.15,15.43,8215300,0.0,0
2015-08-20,18.97,19.07,18.68,18.72,15.08,10191600,0.0,0
2015-08-21,18.58,18.71,18.28,18.29,14.74,9263600,0.0,0
2015-08-24,17.46,18.23,17.21,17.56,14.15,11332900,0.0,0
2015-08-25,18.06,18.07,17.0,17.0,13.7,10676900,0.0,0
