Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,94.67,94.78,93.18,93.71,82.98,2046800,0.0,0
2015-04-28,93.91,93.91,93.2,93.36,82.67,1648600,0.0,0
2015-04-29,93.31,93.44,91.25,91.37,80.91,3189200,0.0,0
2015-04-30,91.38,92.27,91.13,91.92,81.39,2093800,0.0,0
2015-05-01,92.31,93.96,92.31,93.6,82.88,2225700,0.0,0
2015-05-04,93.87,94.65,93.87,94.24,83.45,1361900,0.0,0
2015-05-05,94.24,94.63,93.28,93.89,83.14,1315000,0.0,0
2015-05-06,94.15,94.37,93.42,94.2,83.41,1179800,0.0,0
2015-05-07,93.85,94.52,93.54,94.37,83.56,882400,0.0,0
2015-05-08,94.53,95.16,94.35,94.44,83.62,1055500,0.0,0
2015-05-11,94.36,94.61,93.62,93.93,83.17,1076000,0.0,0
2015-05-12,93.73,94.63,93.51,94.37,83.56,784000,0.0,0
2015-05-13,94.5,95.35,94.12,94.3,83.5,823900,0.0,0
2015-05-14,94.96,96.26,94.71,96.12,85.11,1610200,0.0,0
2015-05-15,96.02,96.4,95.77,96.18,85.16,708000,0.0,0
2015-05-18,95.94,96.0,95.25,95.26,84.35,696400,0.0,0
2015-05-19,95.23,95.39,94.53,95.25,84.34,1019500,0.0,0
2015-05-20,95.34,95.71,94.95,95.08,84.19,1219100,0.0,0
2015-05-21,94.61,95.06,93.99,94.06,83.76,997900,0.535,0
2015-05-22,94.23,94.5,93.35,93.53,83.29,753100,0.0,0
2015-05-26,93.57,93.89,92.51,93.0,82.82,755400,0.0,0
2015-05-27,93.2,93.61,92.81,93.47,83.23,885600,0.0,0
2015-05-28,93.06,93.55,92.82,93.39,83.16,613900,0.0,0
2015-05-29,93.5,93.61,92.86,92.86,82.69,1015800,0.0,0
2015-06-01,92.92,93.23,92.45,92.73,82.57,695900,0.0,0
2015-06-02,92.49,92.73,92.11,92.53,82.4,570300,0.0,0
2015-06-03,92.29,92.54,91.37,91.7,81.66,1516800,0.0,0
2015-06-04,91.27,92.05,91.2,91.27,81.27,1076400,0.0,0
2015-06-05,91.19,91.34,90.79,90.87,80.92,1371300,0.0,0
2015-06-08,91.0,91.93,90.71,91.57,81.54,964800,0.0,0
2015-06-09,91.43,91.57,90.98,91.07,81.1,857200,0.0,0
2015-06-10,91.33,91.9,91.07,91.11,81.13,931400,0.0,0
2015-06-11,91.12,91.37,90.59,90.76,80.82,895000,0.0,0
2015-06-12,90.62,91.52,90.28,91.04,81.07,1420800,0.0,0
2015-06-15,90.68,91.47,90.27,90.86,80.91,712900,0.0,0
2015-06-16,90.82,92.65,90.79,92.1,82.01,1075900,0.0,0
2015-06-17,92.04,92.9,91.8,92.47,82.34,817700,0.0,0
2015-06-18,92.66,93.02,92.19,92.26,82.16,1134300,0.0,0
2015-06-19,90.37,91.45,88.71,89.04,79.29,5668100,0.0,0
2015-06-22,89.54,89.59,88.78,89.24,79.47,2170300,0.0,0
2015-06-23,89.35,89.48,89.1,89.12,79.36,1136100,0.0,0
2015-06-24,89.1,89.11,88.18,88.24,78.58,1236500,0.0,0
2015-06-25,88.43,88.5,87.79,87.86,78.24,1395800,0.0,0
2015-06-26,88.29,88.87,88.12,88.55,78.85,987500,0.0,0
