Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,182.5,182.96,179.79,180.12,174.0,1234800,0.0,0
2015-04-28,180.49,182.05,177.79,181.11,174.95,1546400,0.0,0
2015-04-29,175.81,177.45,165.84,168.05,162.34,4526900,0.0,0
2015-04-30,167.21,167.81,164.94,165.6,159.97,2279700,0.0,0
2015-05-01,167.0,167.99,165.07,166.36,160.71,1102900,0.0,0
2015-05-04,166.29,169.97,165.8,168.65,162.92,1115300,0.0,0
2015-05-05,167.42,168.4,163.94,164.25,158.67,1466900,0.0,0
2015-05-06,165.29,165.38,162.35,163.07,157.53,1579600,0.0,0
2015-05-07,162.63,166.27,162.63,164.54,158.95,917900,0.0,0
2015-05-08,165.86,168.2,165.09,167.9,162.19,1282700,0.0,0
2015-05-11,167.56,168.64,166.43,166.62,160.96,1064000,0.0,0
2015-05-12,166.63,174.0,166.52,173.38,167.49,3630200,0.0,0
2015-05-13,173.08,173.88,171.5,173.5,167.6,1727600,0.0,0
2015-05-14,174.77,176.24,173.86,174.25,168.33,1264900,0.0,0
2015-05-15,175.01,175.91,173.46,175.9,169.92,743200,0.0,0
2015-05-18,175.3,177.31,175.25,176.61,170.61,1143100,0.0,0
2015-05-19,176.35,178.96,176.3,177.74,171.7,1224800,0.0,0
2015-05-20,177.75,179.25,176.96,178.54,172.47,684100,0.0,0
2015-05-21,177.88,179.39,177.02,178.76,172.68,904500,0.0,0
2015-05-22,178.34,179.51,177.21,179.0,172.92,1144000,0.0,0
2015-05-26,178.1,178.84,176.53,177.88,171.83,1099400,0.0,0
2015-05-27,178.74,180.17,177.82,178.52,172.45,1046500,0.0,0
2015-05-28,178.08,179.75,177.27,178.41,172.35,1105200,0.0,0
2015-05-29,178.62,219.79,176.41,214.65,207.35,9938100,0.0,0
2015-06-01,213.15,217.0,210.33,214.92,207.62,5087400,0.0,0
2015-06-02,214.66,216.02,213.55,214.74,207.44,2159500,0.0,0
2015-06-03,214.5,215.1,212.3,213.61,206.35,2662300,0.0,0
2015-06-04,212.5,214.0,211.46,213.0,205.76,1725200,0.0,0
2015-06-05,212.48,214.8,211.14,214.38,207.09,1736000,0.0,0
2015-06-08,216.55,219.48,212.03,212.33,205.11,2782500,0.0,0
2015-06-09,211.94,213.74,211.4,212.47,205.25,1897200,0.0,0
2015-06-10,212.37,215.55,211.55,214.45,207.16,2558500,0.0,0
2015-06-11,215.07,216.66,213.37,214.17,206.89,1692800,0.0,0
2015-06-12,213.01,215.37,212.21,212.47,205.25,2334100,0.0,0
2015-06-15,211.66,217.77,198.8,206.58,199.56,8060500,0.0,0
2015-06-16,202.94,206.26,199.39,199.6,192.82,6326700,0.0,0
2015-06-17,200.5,205.3,200.5,200.89,194.06,3082000,0.0,0
