Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,116.35,117.22,115.24,116.18,104.7,260900,0.0,0
2015-04-28,115.96,116.98,115.64,116.95,105.4,345000,0.0,0
2015-04-29,116.0,116.94,115.6,116.24,104.76,297100,0.0,0
2015-04-30,115.66,116.61,114.11,114.75,103.42,438800,0.0,0
2015-05-01,115.48,117.55,115.48,117.42,105.82,310100,0.0,0
2015-05-04,117.51,118.6,117.24,118.23,106.55,345300,0.0,0
2015-05-05,118.02,118.87,116.19,116.6,105.08,267400,0.0,0
2015-05-06,117.36,118.12,115.8,118.1,106.43,410100,0.0,0
2015-05-07,117.66,118.41,116.81,118.22,106.54,256100,0.0,0
2015-05-08,119.54,120.61,119.01,119.44,107.64,298200,0.0,0
2015-05-11,119.02,119.61,118.49,119.3,107.52,535900,0.0,0
2015-05-12,115.68,117.32,113.34,114.4,103.1,1012800,0.0,0
2015-05-13,114.03,114.03,110.57,112.69,101.56,971100,0.0,0
2015-05-14,113.31,115.16,112.62,115.05,103.69,467500,0.0,0
2015-05-15,114.99,115.44,114.69,115.43,104.03,295400,0.0,0
2015-05-18,115.02,115.49,114.82,115.28,103.89,222500,0.0,0
2015-05-19,115.36,116.31,115.03,115.89,104.44,266700,0.0,0
2015-05-20,116.05,117.86,115.59,117.53,105.92,419100,0.0,0
2015-05-21,117.29,118.46,117.29,118.26,106.58,491500,0.0,0
2015-05-22,117.99,118.72,117.78,118.35,106.66,364700,0.0,0
2015-05-26,117.47,117.97,116.47,117.1,105.53,419500,0.0,0
2015-05-27,116.92,119.06,116.85,118.82,107.08,382200,0.0,0
2015-05-28,118.87,119.77,118.74,119.27,107.49,337200,0.0,0
2015-05-29,119.45,120.2,118.5,119.04,107.28,555700,0.0,0
2015-06-01,119.29,119.29,116.74,117.51,105.9,432200,0.0,0
2015-06-02,117.18,118.04,116.4,116.44,104.94,382000,0.0,0
2015-06-03,116.65,117.05,113.97,114.47,103.16,952100,0.0,0
2015-06-04,113.67,114.36,112.34,112.48,101.37,856500,0.0,0
2015-06-05,112.15,112.44,111.01,111.12,100.14,627600,0.0,0
2015-06-08,111.2,112.26,110.31,110.34,99.44,562400,0.0,0
2015-06-09,110.34,110.44,109.41,109.76,98.92,607400,0.0,0
2015-06-10,110.27,111.04,109.88,110.83,99.88,1131100,0.0,0
2015-06-11,110.9,112.07,110.69,111.45,100.44,754300,0.0,0
2015-06-12,111.32,111.59,110.08,110.33,99.43,362700,0.0,0
2015-06-15,109.39,109.92,108.82,109.37,98.57,420500,0.0,0
2015-06-16,109.43,111.92,109.38,111.24,100.25,634500,0.0,0
2015-06-17,111.6,112.57,111.35,111.58,100.56,625500,0.0,0
2015-06-18,112.22,113.66,111.46,113.34,102.15,552700,0.0,0
2015-06-19,113.48,114.6,112.8,112.82,101.68,536400,0.0,0
2015-06-22,113.59,114.09,113.0,113.53,102.32,355600,0.0,0
2015-06-23,113.98,114.04,113.03,113.21,102.03,376300,0.0,0
2015-06-24,112.64,113.9,112.25,112.65,101.95,421600,0.47,0
2015-06-25,112.73,113.53,112.5,112.62,101.92,339300,0.0,0
2015-06-26,113.0,113.4,112.45,112.62,101.92,401000,0.0,0
2015-06-29,111.6,112.36,109.23,109.29,98.91,325600,0.0,0
2015-06-30,110.22,110.56,108.87,109.29,98.91,441300,0.0,0
2015-07-01,110.28,110.79,109.66,110.22,99.75,361700,0.0,0
2015-07-02,110.77,110.87,109.84,110.33,99.85,374500,0.0,0
2015-07-06,109.17,110.64,108.91,109.7,99.28,278600,0.0,0
2015-07-07,109.62,110.12,108.2,109.66,99.24,410400,0.0,0
2015-07-08,108.67,109.24,108.25,108.45,98.15,515200,0.0,0
2015-07-09,109.73,110.31,108.81,108.91,98.56,333800,0.0,0
2015-07-10,110.4,111.35,109.58,111.15,100.59,278000,0.0,0
2015-07-13,112.15,112.92,111.17,112.65,101.95,331200,0.0,0
2015-07-14,112.51,113.33,112.4,113.16,102.41,270600,0.0,0
2015-07-15,112.93,113.77,112.57,112.69,101.98,315000,0.0,0
2015-07-16,112.98,113.55,112.18,113.35,102.58,374100,0.0,0
2015-07-17,113.07,113.44,112.41,112.64,101.94,220300,0.0,0
2015-07-20,112.18,112.39,111.42,111.61,101.01,403500,0.0,0
2015-07-21,111.93,114.31,111.52,111.6,101.0,493600,0.0,0
2015-07-22,112.4,113.99,111.5,112.27,101.6,339300,0.0,0
2015-07-23,112.59,113.0,111.85,112.18,101.52,380000,0.0,0
2015-07-24,112.04,112.07,110.0,111.1,100.54,381400,0.0,0
2015-07-27,110.51,111.42,110.11,111.11,100.55,365500,0.0,0
2015-07-28,111.56,113.84,110.97,113.7,102.9,439900,0.0,0
2015-07-29,113.65,114.82,112.75,114.57,103.68,350200,0.0,0
2015-07-30,114.29,116.06,114.06,115.51,104.53,468100,0.0,0
2015-07-31,116.38,116.87,115.37,115.59,104.61,474600,0.0,0
2015-08-03,115.45,115.75,114.68,115.3,104.34,258400,0.0,0
2015-08-04,115.51,116.8,115.51,116.0,104.98,258400,0.0,0
2015-08-05,117.19,118.08,116.61,117.24,106.1,384500,0.0,0
2015-08-06,117.23,118.09,115.72,116.42,105.36,458900,0.0,0
