Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,107.42,107.84,100.63,101.38,101.38,1431300,0,0
2015-04-28,101.73,104.01,97.14,99.6,99.6,1930100,0,0
2015-04-29,99.64,102.24,98.04,101.67,101.67,1502900,0,0
2015-04-30,99.64,102.72,96.02,97.16,97.16,1916700,0,0
2015-05-01,98.86,101.0,96.83,98.28,98.28,1622200,0,0
2015-05-04,99.26,104.77,98.51,101.0,101.0,1449500,0,0
2015-05-05,100.36,100.81,97.21,97.5,97.5,940700,0,0
2015-05-06,98.81,100.69,98.38,100.54,100.54,1322400,0,0
2015-05-07,100.63,103.64,100.32,102.08,102.08,1202500,0,0
2015-05-08,104.16,106.9,102.44,103.83,103.83,1363100,0,0
2015-05-11,104.0,105.42,103.62,104.61,104.61,780400,0,0
2015-05-12,103.59,105.7,102.75,105.0,105.0,794300,0,0
2015-05-13,105.63,106.17,103.07,104.26,104.26,598200,0,0
2015-05-14,104.99,107.7,102.88,106.78,106.78,1199900,0,0
2015-05-15,107.3,107.65,105.66,106.86,106.86,779100,0,0
2015-05-18,106.51,108.52,106.33,107.65,107.65,829600,0,0
2015-05-19,108.11,109.1,107.3,108.25,108.25,556800,0,0
2015-05-20,108.33,111.11,106.28,109.67,109.67,767600,0,0
2015-05-21,110.17,110.88,108.18,108.41,108.41,612000,0,0
2015-05-22,108.0,109.11,107.19,107.69,107.69,694700,0,0
2015-05-26,107.46,108.4,104.73,107.29,107.29,879900,0,0
2015-05-27,107.54,108.58,106.58,107.92,107.92,1075600,0,0
2015-05-28,107.92,108.69,106.11,108.14,108.14,639200,0,0
2015-05-29,107.9,111.08,107.06,110.15,110.15,1245600,0,0
2015-06-01,111.63,113.55,108.3,109.68,109.68,1135200,0,0
2015-06-02,109.52,111.0,107.8,108.0,108.0,1103500,0,0
2015-06-03,107.93,109.09,106.75,108.98,108.98,937300,0,0
2015-06-04,108.09,109.01,105.89,106.84,106.84,1183400,0,0
2015-06-05,107.29,109.14,106.01,108.94,108.94,1101200,0,0
2015-06-08,108.87,109.81,105.64,107.0,107.0,873000,0,0
2015-06-09,107.14,107.19,104.34,106.25,106.25,797100,0,0
2015-06-10,106.25,106.25,102.57,105.53,105.53,1078900,0,0
2015-06-11,105.69,106.18,103.83,106.11,106.11,795400,0,0
2015-06-12,105.31,106.51,104.29,105.49,105.49,568600,0,0
2015-06-15,105.17,105.76,103.23,103.68,103.68,821900,0,0
2015-06-16,103.09,104.55,103.0,104.07,104.07,769600,0,0
2015-06-17,104.42,105.79,104.06,105.39,105.39,492600,0,0
2015-06-18,105.68,110.99,105.4,108.9,108.9,880700,0,0
2015-06-19,109.5,109.5,106.56,107.77,107.77,1388000,0,0
2015-06-22,108.53,109.84,108.11,109.22,109.22,680400,0,0
2015-06-23,109.51,109.74,107.11,109.31,109.31,791100,0,0
2015-06-24,109.19,109.34,105.17,105.29,105.29,849500,0,0
2015-06-25,105.43,107.23,103.17,104.45,104.45,943200,0,0
2015-06-26,104.86,105.59,102.42,104.05,104.05,1865800,0,0
2015-06-29,101.86,104.55,100.59,100.82,100.82,874900,0,0
2015-06-30,103.01,104.34,101.71,104.21,104.21,1182300,0,0
2015-07-01,105.15,105.86,102.42,104.45,104.45,849400,0,0
2015-07-02,104.4,105.71,103.64,105.58,105.58,907400,0,0
2015-07-06,104.22,109.21,104.22,108.58,108.58,1248800,0,0
2015-07-07,108.73,109.5,106.52,109.32,109.32,811000,0,0
2015-07-08,108.23,108.93,105.31,106.0,106.0,716000,0,0
2015-07-09,106.8,109.36,106.64,108.11,108.11,625700,0,0
2015-07-10,109.77,109.82,107.04,108.33,108.33,736700,0,0
2015-07-13,109.25,113.5,108.58,113.0,113.0,1019200,0,0
2015-07-14,113.61,117.97,113.1,117.46,117.46,1365500,0,0
2015-07-15,118.83,121.7,115.39,115.88,115.88,1836000,0,0
2015-07-16,117.06,118.86,116.31,117.69,117.69,820600,0,0
2015-07-17,117.49,117.88,114.24,117.04,117.04,713500,0,0
2015-07-20,117.85,118.09,115.01,115.77,115.77,672200,0,0
2015-07-21,116.14,116.3,112.56,113.87,113.87,656200,0,0
2015-07-22,112.67,115.35,112.01,114.42,114.42,661300,0,0
2015-07-23,115.17,115.66,112.3,113.21,113.21,544200,0,0
2015-07-24,112.49,113.57,108.28,108.54,108.54,1012800,0,0
2015-07-27,108.0,108.13,103.73,104.37,104.37,1398600,0,0
2015-07-28,104.55,106.27,103.1,105.49,105.49,1295700,0,0
2015-07-29,106.18,106.67,101.55,103.74,103.74,1060900,0,0
2015-07-30,102.96,103.92,99.65,102.96,102.96,1121000,0,0
2015-07-31,104.26,105.24,102.72,104.28,104.28,1001300,0,0
2015-08-03,104.28,105.48,103.1,103.98,103.98,1139000,0,0
2015-08-04,109.23,111.42,105.23,109.74,109.74,1798000,0,0
2015-08-05,111.4,113.23,109.77,110.96,110.96,1123900,0,0
2015-08-06,111.95,113.62,104.2,104.35,104.35,1451300,0,0
2015-08-07,104.97,108.81,101.52,102.0,102.0,1655000,0,0
2015-08-10,103.59,106.71,103.41,103.94,103.94,1051700,0,0
2015-08-11,102.73,105.22,102.07,104.21,104.21,926000,0,0
2015-08-12,102.98,107.86,100.38,107.28,107.28,1732400,0,0
2015-08-13,107.69,109.94,104.24,107.91,107.91,924100,0,0
2015-08-14,106.89,108.63,104.28,105.8,105.8,781000,0,0
2015-08-17,105.08,115.0,104.21,114.6,114.6,2315200,0,0
2015-08-18,114.4,116.9,113.74,113.97,113.97,1602300,0,0
2015-08-19,112.72,114.74,110.87,112.4,112.4,1094600,0,0
2015-08-20,111.35,114.2,107.37,107.52,107.52,1361600,0,0
2015-08-21,105.48,110.22,103.58,104.31,104.31,1318700,0,0
2015-08-24,92.18,102.98,89.37,97.37,97.37,1839900,0,0
2015-08-25,101.26,103.91,100.7,101.65,101.65,1456900,0,0
2015-08-26,105.32,108.68,101.0,108.49,108.49,1728300,0,0
2015-08-27,109.8,113.87,109.38,113.85,113.85,1500200,0,0
2015-08-28,113.15,120.0,112.13,119.93,119.93,1816100,0,0
2015-08-31,119.48,121.93,115.82,116.19,116.19,1871800,0,0
2015-09-01,114.85,118.99,114.0,115.12,115.12,1717500,0,0
2015-09-02,116.63,123.31,114.35,123.28,123.28,2218000,0,0
2015-09-03,124.78,124.8,115.4,116.07,116.07,1559600,0,0
2015-09-04,115.03,117.8,112.75,115.88,115.88,1056800,0,0
2015-09-08,118.9,120.41,116.15,120.13,120.13,731700,0,0
2015-09-09,122.55,124.61,117.86,118.2,118.2,1363800,0,0
2015-09-10,118.16,126.94,118.16,124.5,124.5,1789600,0,0
2015-09-11,123.43,131.97,123.43,131.01,131.01,2078000,0,0
2015-09-14,131.17,131.7,125.35,128.21,128.21,1255900,0,0
2015-09-15,129.17,132.62,127.29,131.47,131.47,1230200,0,0
2015-09-16,130.69,133.62,128.26,130.8,130.8,852600,0,0
2015-09-17,130.9,133.0,128.51,130.11,130.11,1383800,0,0
2015-09-18,129.14,129.39,125.51,125.93,125.93,1399100,0,0
2015-09-21,127.0,127.38,114.72,118.66,118.66,1874400,0,0
2015-09-22,116.8,118.87,113.74,117.78,117.78,1634700,0,0
2015-09-23,118.47,119.28,114.94,116.49,116.49,799200,0,0
2015-09-24,115.21,116.54,109.13,111.95,111.95,1542400,0,0
2015-09-25,113.52,114.81,103.12,106.62,106.62,1978800,0,0
2015-09-28,105.55,105.55,89.21,95.16,95.16,3518400,0,0
2015-09-29,94.22,102.87,91.97,99.59,99.59,3510000,0,0
2015-09-30,103.0,110.75,102.79,110.33,110.33,3168000,0,0
2015-10-01,110.37,118.03,107.65,117.93,117.93,2930900,0,0
2015-10-02,115.03,131.33,114.68,126.46,126.46,4442600,0,0
2015-10-05,128.12,128.69,118.01,120.83,120.83,2561900,0,0
2015-10-06,122.29,122.98,106.0,112.46,112.46,7234000,0,0
2015-10-07,113.56,114.97,106.16,108.65,108.65,2894000,0,0
2015-10-08,108.63,108.71,99.8,103.44,103.44,3118400,0,0
2015-10-09,103.04,107.52,101.45,105.0,105.0,1597300,0,0
2015-10-12,105.49,106.65,101.23,106.01,106.01,1125000,0,0
2015-10-13,101.49,108.99,101.05,101.21,101.21,2209600,0,0
2015-10-14,103.5,108.46,102.29,105.91,105.91,2437000,0,0
2015-10-15,105.36,112.67,104.57,112.52,112.52,2206600,0,0
2015-10-16,111.72,112.28,106.62,107.78,107.78,2503200,0,0
2015-10-19,108.31,112.58,106.06,110.69,110.69,1600900,0,0
2015-10-20,110.63,111.48,106.78,107.5,107.5,1295100,0,0
2015-10-21,108.98,110.2,103.29,107.15,107.15,1768000,0,0
2015-10-22,107.03,110.79,103.87,109.02,109.02,1466500,0,0
2015-10-23,110.78,113.87,107.45,110.02,110.02,1440600,0,0
2015-10-26,109.8,114.0,107.11,112.29,112.29,1298700,0,0
2015-10-27,111.88,117.69,111.0,117.64,117.64,1372800,0,0
2015-10-28,117.22,120.42,113.3,120.36,120.36,1491700,0,0
2015-10-29,120.61,124.34,116.15,117.03,117.03,1544100,0,0
2015-10-30,117.41,118.88,113.91,117.53,117.53,1333600,0,0
2015-11-02,119.33,120.95,116.47,120.65,120.65,1524300,0,0
2015-11-03,124.5,124.98,115.1,119.99,119.99,2977400,0,0
2015-11-04,121.26,123.55,116.56,117.14,117.14,1706600,0,0
2015-11-05,117.2,119.1,113.2,116.76,116.76,1502900,0,0
2015-11-06,116.51,117.92,90.33,100.21,100.21,9134900,0,0
2015-11-09,101.5,108.29,101.5,105.86,105.86,2389300,0,0
2015-11-10,104.86,109.8,103.2,109.16,109.16,1784900,0,0
2015-11-11,109.97,109.97,104.18,106.15,106.15,1218400,0,0
2015-11-12,106.36,107.83,103.38,104.2,104.2,1070700,0,0
2015-11-13,103.23,108.91,102.26,107.36,107.36,1293900,0,0
2015-11-16,107.13,108.85,104.71,108.06,108.06,1176100,0,0
2015-11-17,108.6,113.71,106.76,113.48,113.48,1404700,0,0
2015-11-18,114.62,117.0,112.87,116.86,116.86,1464400,0,0
2015-11-19,116.66,117.86,113.66,116.43,116.43,896100,0,0
2015-11-20,117.9,117.9,112.02,113.13,113.13,1480900,0,0
2015-11-23,112.94,115.1,111.76,112.98,112.98,1019700,0,0
2015-11-24,112.13,113.39,110.66,111.72,111.72,855300,0,0
2015-11-25,111.74,115.5,109.0,115.41,115.41,1439400,0,0
2015-11-27,115.63,118.18,115.19,116.75,116.75,589900,0,0
2015-11-30,116.61,117.62,111.86,114.24,114.24,1574700,0,0
2015-12-01,114.99,114.99,109.15,112.21,112.21,1499100,0,0
2015-12-02,112.46,115.64,111.38,113.85,113.85,1237400,0,0
2015-12-03,113.15,113.44,105.5,106.83,106.83,1609300,0,0
2015-12-04,107.37,109.98,106.15,109.11,109.11,2126200,0,0
2015-12-07,109.19,109.33,105.11,107.72,107.72,1429000,0,0
2015-12-08,106.05,110.36,105.0,110.1,110.1,1256400,0,0
2015-12-09,109.81,110.32,107.05,108.21,108.21,972000,0,0
2015-12-10,107.96,110.92,107.02,110.2,110.2,823800,0,0
2015-12-11,108.77,111.1,106.1,106.5,106.5,1306700,0,0
