Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,32.08,32.69,32.08,32.5,28.33,25869600,0.0,0
2015-04-28,32.3,33.04,32.23,33.02,28.78,29572800,0.0,0
2015-04-29,32.56,33.0,32.55,32.89,28.67,21819000,0.0,0
2015-04-30,32.71,32.85,32.3,32.55,28.37,22013300,0.0,0
2015-05-01,32.63,33.49,32.62,33.42,29.13,27091200,0.0,0
2015-05-04,33.27,33.5,33.22,33.43,29.14,21397300,0.0,0
2015-05-05,33.0,33.1,32.57,32.64,28.66,29779200,0.24,0
2015-05-06,32.5,32.79,31.93,32.22,28.29,31985400,0.0,0
2015-05-07,32.27,32.63,32.18,32.24,28.31,21475300,0.0,0
2015-05-08,32.51,32.88,32.34,32.8,28.8,26926500,0.0,0
2015-05-11,32.68,32.71,32.43,32.69,28.7,18358600,0.0,0
2015-05-12,32.44,32.5,32.0,32.25,28.32,24530200,0.0,0
2015-05-13,32.27,32.9,32.27,32.64,28.66,20470800,0.0,0
2015-05-14,32.86,33.13,32.77,32.97,28.95,21098900,0.0,0
2015-05-15,33.09,33.12,32.75,32.99,28.97,17149700,0.0,0
2015-05-18,32.98,33.41,32.85,33.41,29.34,23689500,0.0,0
2015-05-19,33.36,33.38,32.99,33.15,29.11,21867100,0.0,0
2015-05-20,33.06,33.5,33.01,33.37,29.3,21359800,0.0,0
2015-05-21,33.21,33.56,33.07,33.55,29.46,21269800,0.0,0
2015-05-22,33.47,33.51,33.32,33.45,29.37,20845000,0.0,0
2015-05-26,33.27,33.29,32.84,33.1,29.06,28594500,0.0,0
2015-05-27,33.2,33.85,33.13,33.71,29.6,30172700,0.0,0
2015-05-28,33.74,34.15,33.68,34.01,29.86,27065700,0.0,0
2015-05-29,34.24,34.75,34.21,34.46,30.26,43545500,0.0,0
2015-06-01,34.37,34.59,33.68,33.91,29.77,46734500,0.0,0
2015-06-02,33.64,33.75,33.14,33.27,29.21,36351100,0.0,0
2015-06-03,33.17,33.24,32.59,32.73,28.74,38138700,0.0,0
2015-06-04,32.51,32.72,32.2,32.31,28.37,33761800,0.0,0
2015-06-05,32.28,32.3,31.83,31.84,27.96,27778500,0.0,0
2015-06-08,31.81,31.95,31.21,31.3,27.48,38171600,0.0,0
2015-06-09,31.33,31.66,31.15,31.25,27.44,33976700,0.0,0
2015-06-10,31.46,32.16,31.37,31.82,27.94,33336800,0.0,0
2015-06-11,31.95,32.1,31.84,31.85,27.97,24293600,0.0,0
2015-06-12,31.72,32.1,31.2,31.32,27.5,31629800,0.0,0
2015-06-15,31.12,31.51,30.94,31.39,27.56,23175000,0.0,0
2015-06-16,31.26,31.76,31.13,31.64,27.78,20254500,0.0,0
2015-06-17,31.75,32.09,31.69,31.95,28.05,28194200,0.0,0
2015-06-18,32.08,32.5,32.0,32.38,28.43,27722400,0.0,0
2015-06-19,32.4,32.57,31.96,32.07,28.16,39008400,0.0,0
2015-06-22,32.26,32.39,32.08,32.26,28.33,23608400,0.0,0
2015-06-23,32.31,32.34,31.93,32.09,28.18,17995900,0.0,0
2015-06-24,32.15,32.15,31.88,31.91,28.02,23313900,0.0,0
2015-06-25,32.02,32.32,31.99,31.99,28.09,22743300,0.0,0
2015-06-26,31.51,31.53,30.76,31.02,27.24,62157200,0.0,0
2015-06-29,30.7,30.98,30.31,30.39,26.68,35194500,0.0,0
2015-06-30,30.63,30.69,30.15,30.42,26.71,34412200,0.0,0
2015-07-01,30.49,30.55,30.01,30.18,26.5,27178900,0.0,0
2015-07-02,30.18,30.92,30.1,30.56,26.83,27105200,0.0,0
2015-07-06,30.24,30.45,29.84,30.04,26.38,32468100,0.0,0
2015-07-07,29.87,29.93,29.09,29.9,26.25,43833700,0.0,0
2015-07-08,29.4,29.67,29.15,29.5,25.9,45223800,0.0,0
2015-07-09,29.72,29.89,28.82,28.93,25.4,47167800,0.0,0
2015-07-10,29.2,29.35,28.94,29.17,25.61,31423800,0.0,0
2015-07-13,29.27,29.82,29.19,29.73,26.1,26452400,0.0,0
2015-07-14,29.66,30.11,29.44,29.65,26.03,39778300,0.0,0
2015-07-15,29.65,29.99,29.47,29.69,26.07,47852500,0.0,0
2015-07-16,30.47,30.48,29.1,29.9,26.25,81166700,0.0,0
2015-07-17,29.66,29.8,29.1,29.47,25.88,43697600,0.0,0
2015-07-20,29.62,29.62,29.07,29.1,25.55,33812900,0.0,0
2015-07-21,28.96,29.26,28.67,28.72,25.22,45191000,0.0,0
2015-07-22,28.57,28.85,28.43,28.61,25.12,36387200,0.0,0
2015-07-23,28.66,28.97,28.43,28.6,25.11,33775200,0.0,0
2015-07-24,28.53,28.64,28.06,28.06,24.64,31621000,0.0,0
2015-07-27,28.07,28.42,27.62,28.35,24.89,42161100,0.0,0
2015-07-28,28.51,29.18,28.44,28.96,25.43,33182400,0.0,0
2015-07-29,28.95,29.13,28.79,29.01,25.47,26470200,0.0,0
2015-07-30,29.1,29.45,28.85,28.91,25.38,26582400,0.0,0
2015-07-31,29.12,29.12,28.77,28.95,25.42,27158800,0.0,0
2015-08-03,29.0,29.35,28.9,29.05,25.51,26213600,0.0,0
2015-08-04,28.98,29.15,28.86,29.13,25.58,25741700,0.0,0
2015-08-05,29.19,29.39,29.02,29.12,25.78,23622700,0.24,0
2015-08-06,29.16,29.23,28.85,29.01,25.68,27958200,0.0,0
2015-08-07,28.8,28.96,28.69,28.88,25.57,25606100,0.0,0
2015-08-10,29.07,29.68,29.06,29.64,26.24,22807400,0.0,0
2015-08-11,29.47,29.48,28.96,28.97,25.65,23758900,0.0,0
2015-08-12,28.66,29.57,28.66,29.46,26.08,33589100,0.0,0
2015-08-13,29.4,29.45,28.87,28.87,25.56,18821900,0.0,0
2015-08-14,28.92,29.04,28.82,29.02,25.69,14302700,0.0,0
2015-08-17,28.83,29.2,28.71,29.08,25.75,15548300,0.0,0
2015-08-18,28.95,29.05,28.8,28.91,25.59,19182600,0.0,0
2015-08-19,28.65,28.8,28.28,28.36,25.11,30530100,0.0,0
2015-08-20,28.03,28.24,27.53,27.53,24.37,31936600,0.0,0
2015-08-21,27.33,27.63,26.56,26.56,23.51,52288400,0.0,0
2015-08-24,25.2,27.63,24.87,26.25,23.24,83234200,0.0,0
2015-08-25,27.04,27.15,25.87,25.87,22.9,59371900,0.0,0
2015-08-26,26.51,27.34,26.08,27.3,24.17,47386700,0.0,0
2015-08-27,27.72,27.91,27.01,27.72,24.54,38649400,0.0,0
2015-08-28,27.67,28.61,27.45,28.42,25.16,43452400,0.0,0
2015-08-31,28.33,29.13,28.16,28.54,25.27,42401800,0.0,0
2015-09-01,27.91,28.17,27.66,27.82,24.63,44144000,0.0,0
2015-09-02,28.35,28.6,28.14,28.6,25.32,34618800,0.0,0
2015-09-03,28.8,29.42,28.69,29.08,25.75,38665900,0.0,0
2015-09-04,28.57,28.9,28.41,28.52,25.25,29116500,0.0,0
2015-09-08,28.98,29.5,28.95,29.5,26.12,27805000,0.0,0
2015-09-09,29.72,30.12,29.17,29.24,25.89,30774100,0.0,0
2015-09-10,29.18,29.66,28.9,29.27,25.91,25195800,0.0,0
2015-09-11,29.08,29.52,29.04,29.47,26.09,21786900,0.0,0
2015-09-14,29.47,29.53,29.09,29.39,26.02,24065100,0.0,0
2015-09-15,29.56,29.94,29.48,29.73,26.32,29819000,0.0,0
2015-09-16,29.62,29.79,29.4,29.77,26.36,25957800,0.0,0
2015-09-17,29.62,30.2,29.55,29.71,26.3,29805200,0.0,0
2015-09-18,29.22,29.42,28.81,29.02,25.69,60693400,0.0,0
2015-09-21,29.09,29.34,28.94,29.16,25.82,24417100,0.0,0
2015-09-22,28.67,28.9,28.48,28.67,25.38,28576200,0.0,0
2015-09-23,29.02,29.09,28.59,28.74,25.44,25984000,0.0,0
2015-09-24,28.38,28.67,27.87,28.48,25.21,32754700,0.0,0
2015-09-25,28.94,29.12,28.63,28.81,25.51,29192300,0.0,0
2015-09-28,28.68,29.36,28.64,28.76,25.46,42291000,0.0,0
2015-09-29,28.83,29.35,28.76,29.24,25.89,34169600,0.0,0
2015-09-30,29.56,30.32,29.54,30.14,26.68,41051700,0.0,0
2015-10-01,30.21,30.28,29.46,30.0,26.56,29832800,0.0,0
2015-10-02,29.67,30.53,29.53,30.51,27.01,27901500,0.0,0
2015-10-05,30.73,31.38,30.56,31.21,27.63,34842500,0.0,0
2015-10-06,31.16,31.85,31.11,31.74,28.1,34899800,0.0,0
2015-10-07,32.0,32.42,31.72,32.32,28.61,36930100,0.0,0
2015-10-08,32.23,32.6,31.98,32.52,28.79,27794600,0.0,0
2015-10-09,32.37,32.55,31.94,32.14,28.45,24209900,0.0,0
2015-10-12,32.16,32.32,32.0,32.21,28.52,18795000,0.0,0
2015-10-13,32.03,32.48,31.98,32.04,28.37,35588600,0.0,0
2015-10-14,31.39,32.93,30.85,32.8,29.04,75954800,0.0,0
2015-10-15,32.84,33.06,32.46,32.75,28.99,37634800,0.0,0
2015-10-16,32.75,33.2,32.48,33.04,29.25,29371300,0.0,0
2015-10-19,32.88,33.62,32.87,33.59,29.74,37624000,0.0,0
2015-10-20,33.4,33.7,33.31,33.44,29.61,24416100,0.0,0
2015-10-21,33.67,34.05,33.32,33.37,29.54,31928800,0.0,0
