Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,101.46,101.94,101.0,101.6,96.71,958900,0.0,0
2015-04-28,101.12,102.17,100.83,101.65,96.75,885800,0.0,0
2015-04-29,100.92,102.09,100.8,101.18,96.31,1076800,0.0,0
2015-04-30,100.7,101.72,99.81,100.33,95.5,1267800,0.0,0
2015-05-01,100.33,100.86,100.05,100.59,95.75,1003600,0.0,0
2015-05-04,100.58,101.68,100.35,101.29,96.41,868000,0.0,0
2015-05-05,100.8,101.44,99.87,100.01,95.19,944400,0.0,0
2015-05-06,100.38,100.43,99.02,99.54,94.75,903000,0.0,0
2015-05-07,99.72,100.42,99.4,100.07,95.25,820800,0.0,0
2015-05-08,101.29,103.1,100.79,102.75,97.8,1440600,0.0,0
2015-05-11,102.4,102.94,102.18,102.33,97.4,647400,0.0,0
2015-05-12,101.85,102.74,101.01,102.26,97.34,732100,0.0,0
2015-05-13,101.88,102.76,101.34,102.24,97.32,581800,0.0,0
2015-05-14,102.9,103.85,102.49,103.82,98.82,1134700,0.0,0
2015-05-15,104.17,104.24,102.17,102.33,97.4,1322500,0.0,0
2015-05-18,102.06,102.55,101.55,102.34,97.41,1098800,0.0,0
2015-05-19,102.93,103.81,102.6,103.27,98.3,1393500,0.0,0
2015-05-20,103.64,103.88,102.77,103.38,98.4,1158000,0.0,0
2015-05-21,103.62,104.74,103.22,104.16,99.14,2266500,0.0,0
2015-05-22,105.49,109.21,105.35,106.76,101.62,3721900,0.0,0
2015-05-26,105.55,106.26,103.98,104.67,99.63,2369000,0.0,0
2015-05-27,104.79,105.47,104.33,105.19,100.12,1183000,0.0,0
2015-05-28,104.75,105.22,104.49,105.09,100.03,1051200,0.0,0
2015-05-29,104.95,105.0,103.53,104.15,99.13,2310700,0.0,0
2015-06-01,104.77,106.97,104.09,106.42,101.3,1805300,0.0,0
2015-06-02,105.75,106.86,105.26,106.22,101.1,1147600,0.0,0
2015-06-03,106.24,106.84,105.74,106.84,101.7,960500,0.0,0
2015-06-04,106.63,106.88,105.05,105.46,100.38,1063600,0.0,0
2015-06-05,104.67,106.17,104.67,105.6,100.51,1173600,0.0,0
2015-06-08,105.35,105.8,104.46,104.5,99.47,885300,0.0,0
2015-06-09,104.45,104.92,103.9,104.64,99.6,1304100,0.0,0
2015-06-10,105.26,107.88,105.0,107.48,102.3,1736700,0.0,0
2015-06-11,107.93,107.95,105.77,105.83,100.73,2473200,0.0,0
2015-06-12,105.16,105.55,104.47,104.73,99.69,1338600,0.0,0
2015-06-15,104.07,104.07,102.62,103.05,98.09,1771000,0.0,0
2015-06-16,103.15,104.0,102.77,103.73,98.73,1324500,0.0,0
2015-06-17,103.88,104.33,103.2,103.84,98.84,884900,0.0,0
2015-06-18,103.75,104.53,103.62,104.39,99.36,1533800,0.0,0
2015-06-19,104.08,104.76,103.7,104.32,99.3,1427600,0.0,0
2015-06-22,105.03,105.58,103.54,105.5,100.42,1262800,0.0,0
2015-06-23,105.65,105.67,104.24,104.76,99.72,1211100,0.0,0
2015-06-24,104.34,104.77,102.98,103.05,98.09,1460800,0.0,0
2015-06-25,103.36,104.18,102.92,103.6,98.61,1406500,0.0,0
2015-06-26,103.6,103.98,102.34,103.24,98.27,2310800,0.0,0
2015-06-29,102.2,102.65,100.83,101.02,96.16,1491000,0.0,0
2015-06-30,101.52,101.87,100.76,100.77,95.92,1722500,0.0,0
2015-07-01,101.64,102.38,100.78,101.62,96.73,1340500,0.0,0
2015-07-02,102.03,102.03,100.62,101.41,96.53,778200,0.0,0
2015-07-06,100.29,101.96,100.12,101.92,97.01,1908500,0.0,0
2015-07-07,101.08,103.71,101.08,103.58,98.59,2670200,0.0,0
2015-07-08,101.9,104.14,101.9,103.43,98.69,3095300,0.25,0
2015-07-09,104.47,105.1,103.53,103.58,98.83,1346800,0.0,0
2015-07-10,104.94,104.94,103.6,104.36,99.57,862600,0.0,0
2015-07-13,105.37,106.07,105.01,105.43,100.6,1334700,0.0,0
2015-07-14,105.52,106.11,105.21,105.83,100.98,676700,0.0,0
2015-07-15,106.05,106.64,105.67,106.33,101.45,870700,0.0,0
2015-07-16,107.23,108.11,106.88,108.1,103.14,1003700,0.0,0
2015-07-17,107.75,108.2,106.56,106.77,101.87,1475100,0.0,0
2015-07-20,106.82,107.17,106.48,106.63,101.74,994900,0.0,0
2015-07-21,106.29,107.15,106.06,106.15,101.28,996400,0.0,0
2015-07-22,106.16,107.12,106.16,106.72,101.83,812200,0.0,0
2015-07-23,106.87,107.89,106.52,107.25,102.33,792900,0.0,0
2015-07-24,107.55,107.81,106.48,106.69,101.8,834200,0.0,0
2015-07-27,106.12,106.49,104.77,105.0,100.19,1166400,0.0,0
2015-07-28,105.04,105.71,103.66,105.64,100.8,1288100,0.0,0
2015-07-29,105.36,105.74,104.42,105.52,100.68,991100,0.0,0
2015-07-30,104.94,106.06,103.98,105.74,100.89,593800,0.0,0
2015-07-31,106.29,106.48,105.4,105.77,100.92,904100,0.0,0
2015-08-03,104.67,105.78,104.3,105.05,100.23,987900,0.0,0
2015-08-04,105.24,105.83,104.96,105.59,100.75,777400,0.0,0
2015-08-05,106.04,107.75,106.04,106.78,101.88,700800,0.0,0
2015-08-06,106.99,107.45,104.05,104.17,99.39,1176100,0.0,0
2015-08-07,104.05,105.44,103.45,105.44,100.61,1604400,0.0,0
2015-08-10,103.09,104.99,102.01,104.99,100.18,1400200,0.0,0
2015-08-11,103.7,104.66,103.08,104.62,99.82,1327900,0.0,0
2015-08-12,104.01,105.08,103.11,104.72,99.92,963800,0.0,0
2015-08-13,105.02,105.34,103.76,104.9,100.09,767000,0.0,0
2015-08-14,104.55,106.2,104.44,105.62,100.78,768300,0.0,0
2015-08-17,105.2,105.77,104.5,105.56,100.72,871200,0.0,0
2015-08-18,106.04,106.76,105.51,105.72,100.87,832500,0.0,0
2015-08-19,106.49,107.07,104.78,106.27,101.4,1864300,0.0,0
2015-08-20,105.27,105.62,102.72,102.93,98.21,1510600,0.0,0
2015-08-21,91.06,93.0,85.11,89.28,85.19,8703000,0.0,0
2015-08-24,82.31,85.0,80.89,84.25,80.39,6761400,0.0,0
2015-08-25,86.72,86.85,79.63,79.87,76.21,4786900,0.0,0
2015-08-26,82.71,84.08,80.8,83.29,79.47,5663800,0.0,0
2015-08-27,84.39,86.63,83.63,86.6,82.63,4322200,0.0,0
2015-08-28,85.04,87.61,85.03,86.21,82.26,3537000,0.0,0
2015-08-31,85.46,85.96,84.45,85.75,81.82,3343900,0.0,0
2015-09-01,83.35,85.19,83.1,84.1,80.24,3803500,0.0,0
2015-09-02,85.69,85.96,84.06,85.83,81.89,2687700,0.0,0
2015-09-03,85.88,86.97,85.49,86.04,82.09,3230200,0.0,0
2015-09-04,84.62,85.82,84.11,85.13,81.23,3192000,0.0,0
2015-09-08,86.64,87.79,85.51,87.74,83.72,2377000,0.0,0
2015-09-09,87.78,88.33,86.31,86.64,82.67,3002900,0.0,0
2015-09-10,87.0,88.87,86.48,88.3,84.25,4118100,0.0,0
2015-09-11,87.46,89.41,87.15,89.31,85.21,2615900,0.0,0
2015-09-14,89.05,89.53,88.27,88.82,84.75,1517900,0.0,0
2015-09-15,89.13,89.77,88.36,88.99,84.91,1791200,0.0,0
2015-09-16,89.15,89.61,88.0,89.47,85.37,1609200,0.0,0
2015-09-17,86.9,87.37,85.28,85.77,81.84,6863300,0.0,0
2015-09-18,84.69,86.2,84.36,85.49,81.57,5609300,0.0,0
2015-09-21,85.55,87.3,85.17,86.81,82.83,3351900,0.0,0
2015-09-22,85.41,87.24,85.4,86.85,82.87,3121500,0.0,0
2015-09-23,86.46,88.37,86.31,87.59,83.57,2251100,0.0,0
2015-09-24,86.83,88.43,86.65,87.86,83.83,2898400,0.0,0
2015-09-25,88.68,89.59,87.44,87.88,83.85,2328200,0.0,0
2015-09-28,87.19,87.93,86.2,86.22,82.27,2301400,0.0,0
2015-09-29,86.18,87.18,85.87,86.83,82.85,1724800,0.0,0
2015-09-30,87.76,88.83,87.11,88.75,84.68,2469800,0.0,0
2015-10-01,88.66,89.72,87.83,88.86,84.79,2583900,0.0,0
2015-10-02,87.23,89.55,85.61,89.5,85.4,1778400,0.0,0
2015-10-05,90.0,91.5,89.46,91.31,87.12,1525800,0.0,0
2015-10-06,91.21,92.19,90.56,90.81,86.65,1714300,0.0,0
2015-10-07,90.9,91.49,89.28,90.96,87.08,1647000,0.3,0
2015-10-08,90.71,92.42,90.0,92.29,88.35,1373500,0.0,0
2015-10-09,92.33,93.26,92.29,92.7,88.74,1334200,0.0,0
2015-10-12,92.71,93.47,91.65,93.21,89.23,1553800,0.0,0
2015-10-13,92.51,93.2,91.26,91.36,87.46,1770600,0.0,0
2015-10-14,91.3,92.14,90.41,90.41,86.55,1926300,0.0,0
2015-10-15,91.05,92.48,90.82,92.43,88.48,2137300,0.0,0
2015-10-16,92.57,93.79,91.17,93.62,89.62,1919900,0.0,0
2015-10-19,93.53,94.39,92.49,94.08,90.06,1079900,0.0,0
2015-10-20,93.89,94.74,93.89,94.3,90.27,1014000,0.0,0
2015-10-21,94.9,94.98,93.36,93.87,89.86,1489300,0.0,0
2015-10-22,94.43,97.3,94.36,96.86,92.73,1500100,0.0,0
2015-10-23,97.56,98.0,96.12,97.94,93.76,1240700,0.0,0
2015-10-26,98.13,99.0,97.64,97.71,93.54,1440800,0.0,0
2015-10-27,97.65,98.23,97.15,98.03,93.85,1093400,0.0,0
2015-10-28,98.31,98.4,97.29,97.99,93.81,1846300,0.0,0
2015-10-29,97.9,98.27,97.58,97.75,93.58,1431000,0.0,0
2015-10-30,97.95,98.12,97.35,97.43,93.27,1233500,0.0,0
2015-11-02,98.05,98.2,97.37,97.51,93.35,1512300,0.0,0
2015-11-03,97.16,97.97,97.05,97.71,93.54,1455100,0.0,0
2015-11-04,97.72,99.15,97.0,98.85,94.63,1347200,0.0,0
2015-11-05,99.21,99.5,97.41,97.78,93.61,1348900,0.0,0
2015-11-06,97.79,98.54,97.13,98.28,94.08,960900,0.0,0
2015-11-09,98.18,98.21,96.75,97.51,93.35,1119400,0.0,0
2015-11-10,97.44,98.97,97.03,98.88,94.66,944100,0.0,0
2015-11-11,99.42,100.63,98.78,99.39,95.15,1314200,0.0,0
2015-11-12,99.17,99.79,98.0,98.05,93.86,849800,0.0,0
2015-11-13,98.03,98.69,96.26,96.53,92.41,1540100,0.0,0
2015-11-16,96.89,97.57,95.98,96.9,92.76,1599200,0.0,0
2015-11-17,96.6,97.46,96.05,96.43,92.31,1848500,0.0,0
2015-11-18,96.53,96.89,95.62,96.62,92.5,3705300,0.0,0
2015-11-19,96.93,97.68,95.79,97.42,93.26,3985900,0.0,0
2015-11-20,106.28,108.0,101.17,103.2,98.79,6622300,0.0,0
2015-11-23,102.52,103.83,100.91,101.03,96.72,2915900,0.0,0
2015-11-24,100.04,100.75,97.72,99.76,95.5,3368000,0.0,0
2015-11-25,99.98,100.87,99.43,99.85,95.59,1928500,0.0,0
2015-11-27,100.09,100.76,99.65,100.18,95.9,1109400,0.0,0
2015-11-30,100.38,100.76,99.01,100.2,95.92,4655000,0.0,0
2015-12-01,100.94,102.58,100.61,101.79,97.44,2322400,0.0,0
2015-12-02,101.33,101.8,99.26,99.5,95.25,1721800,0.0,0
2015-12-03,99.46,99.91,95.94,96.38,92.27,2878800,0.0,0
2015-12-04,97.94,98.86,96.73,98.63,94.42,2232400,0.0,0
2015-12-07,98.72,99.02,98.24,98.83,94.61,1721700,0.0,0
2015-12-08,97.82,99.0,97.5,98.32,94.12,1453200,0.0,0
2015-12-09,98.11,99.69,97.34,97.72,93.55,1571200,0.0,0
2015-12-10,98.02,98.55,96.96,96.99,92.85,1760300,0.0,0
2015-12-11,95.86,96.91,95.85,96.12,92.02,2269800,0.0,0
2015-12-14,96.36,96.93,94.93,96.3,92.19,2340300,0.0,0
2015-12-15,97.47,99.36,96.89,97.98,93.8,1747100,0.0,0
2015-12-16,98.46,99.14,97.0,99.05,94.82,1326300,0.0,0
2015-12-17,99.31,99.99,97.87,97.87,93.69,1596600,0.0,0
2015-12-18,97.2,97.64,94.86,95.57,91.49,4537700,0.0,0
2015-12-21,96.02,96.69,94.68,95.68,91.6,1322400,0.0,0
2015-12-22,96.47,97.27,95.55,97.21,93.06,1060200,0.0,0
2015-12-23,97.76,98.21,97.26,98.0,93.82,761800,0.0,0
2015-12-24,97.9,98.06,97.3,97.59,93.42,327200,0.0,0
2015-12-28,97.1,98.25,96.92,98.22,94.03,693000,0.0,0
2015-12-29,98.63,99.99,98.63,99.34,95.1,864000,0.0,0
2015-12-30,99.11,99.41,98.22,98.28,94.08,660900,0.0,0
2015-12-31,97.83,98.33,96.48,96.5,92.38,1189500,0.0,0
2016-01-04,94.19,94.89,93.14,94.38,90.35,2809000,0.0,0
2016-01-05,95.34,96.12,94.58,95.95,91.85,1859400,0.0,0
2016-01-06,94.43,96.48,94.16,96.29,92.18,2433200,0.0,0
2016-01-07,94.5,96.43,93.24,94.44,90.69,2477700,0.3,0
2016-01-08,94.94,96.0,93.02,93.14,89.44,2004700,0.0,0
2016-01-11,93.82,94.26,93.14,94.0,90.27,1889900,0.0,0
2016-01-12,94.69,95.16,93.56,94.85,91.08,1300800,0.0,0
2016-01-13,95.11,95.6,91.57,91.7,88.06,1907700,0.0,0
2016-01-14,92.31,95.47,91.14,94.32,90.58,2545900,0.0,0
2016-01-15,91.43,92.93,90.58,91.49,87.86,2774800,0.0,0
2016-01-19,92.84,93.14,90.04,90.88,87.27,2468100,0.0,0
2016-01-20,89.53,92.88,88.66,91.99,88.34,2904400,0.0,0
2016-01-21,92.8,93.67,91.21,91.95,88.3,1461700,0.0,0
2016-01-22,93.07,94.0,92.2,93.61,89.89,1076500,0.0,0
2016-01-25,93.47,93.66,91.59,91.73,88.09,1310200,0.0,0
2016-01-26,91.94,92.71,91.03,92.64,88.96,1139700,0.0,0
2016-01-27,92.41,93.26,90.45,90.77,87.17,944100,0.0,0
2016-01-28,91.73,92.22,90.7,92.03,88.38,1141600,0.0,0
2016-01-29,92.72,95.63,92.09,95.51,91.72,2120500,0.0,0
2016-02-01,95.28,96.97,94.36,96.37,92.54,1325700,0.0,0
2016-02-02,95.31,95.66,93.97,94.15,90.41,2436000,0.0,0
2016-02-03,95.0,96.41,94.0,95.89,92.08,1864200,0.0,0
2016-02-04,95.78,96.93,94.85,96.75,92.91,1653000,0.0,0
2016-02-05,96.09,96.25,91.24,91.79,88.15,2911100,0.0,0
2016-02-08,90.91,91.23,88.88,90.92,87.31,2744500,0.0,0
2016-02-09,90.08,92.14,89.49,90.13,86.55,1922800,0.0,0
2016-02-10,91.28,92.41,89.95,90.26,86.68,1897700,0.0,0
2016-02-11,88.17,92.07,88.17,91.41,87.78,1991700,0.0,0
2016-02-12,92.97,94.7,91.5,94.56,90.81,2177700,0.0,0
2016-02-16,93.7,95.81,93.68,95.36,91.57,2240200,0.0,0
2016-02-17,95.82,98.68,95.41,98.36,94.46,1726100,0.0,0
2016-02-18,97.79,98.66,96.1,96.47,92.64,1768500,0.0,0
2016-02-19,96.52,97.61,95.31,97.19,93.33,1901300,0.0,0
2016-02-22,98.18,98.71,97.0,98.25,94.35,1620700,0.0,0
2016-02-23,97.54,98.12,96.24,97.36,93.49,1859300,0.0,0
2016-02-24,96.35,98.98,95.41,98.83,94.91,2177200,0.0,0
2016-02-25,99.1,100.16,97.94,100.07,96.1,2335500,0.0,0
2016-02-26,100.91,101.0,94.1,95.75,91.95,3809500,0.0,0
2016-02-29,95.37,97.32,94.96,96.64,92.8,2671300,0.0,0
2016-03-01,97.67,98.86,96.58,98.86,94.94,2194700,0.0,0
2016-03-02,98.53,99.64,98.06,98.63,94.71,1607900,0.0,0
2016-03-03,98.06,98.48,96.39,97.71,93.83,1851500,0.0,0
2016-03-04,98.11,99.26,97.05,99.18,95.24,1904500,0.0,0
2016-03-07,98.15,99.75,97.59,99.38,95.43,1996800,0.0,0
2016-03-08,98.64,100.25,98.4,99.27,95.33,2051400,0.0,0
2016-03-09,99.39,100.01,98.91,99.47,95.52,1548800,0.0,0
2016-03-10,99.55,100.27,96.85,98.02,94.13,1677900,0.0,0
2016-03-11,98.78,100.28,98.05,99.96,95.99,1544200,0.0,0
2016-03-14,99.61,100.17,99.21,99.43,95.48,1181400,0.0,0
2016-03-15,99.14,99.69,98.71,99.33,95.39,1012300,0.0,0
2016-03-16,99.4,100.54,98.74,100.29,96.31,1221900,0.0,0
2016-03-17,100.11,101.22,99.6,100.83,96.83,1384700,0.0,0
2016-03-18,101.34,102.29,100.03,102.01,97.96,3012400,0.0,0
2016-03-21,101.46,102.01,100.93,102.01,97.96,968800,0.0,0
2016-03-22,101.67,102.52,101.29,102.15,98.09,1165400,0.0,0
2016-03-23,101.67,102.05,101.06,101.7,97.66,1630600,0.0,0
2016-03-24,101.38,102.12,100.69,101.89,97.85,1331800,0.0,0
2016-03-28,101.87,102.31,101.54,102.05,98.0,997800,0.0,0
2016-03-29,101.59,102.93,101.19,102.57,98.5,938000,0.0,0
2016-03-30,103.0,103.4,102.51,103.18,99.08,969700,0.0,0
2016-03-31,102.75,104.51,102.47,104.01,99.88,2232400,0.0,0
2016-04-01,103.77,104.78,103.52,104.69,100.53,844900,0.0,0
2016-04-04,104.91,105.28,104.63,104.96,100.79,894100,0.0,0
2016-04-05,104.43,104.86,103.78,103.9,99.78,956600,0.0,0
2016-04-06,103.92,105.32,103.6,105.13,100.96,807800,0.0,0
2016-04-07,104.33,104.44,102.64,103.17,99.36,1278200,0.3,0
2016-04-08,103.86,104.11,102.92,103.38,99.56,654100,0.0,0
2016-04-11,104.06,104.06,102.3,102.62,98.83,999700,0.0,0
2016-04-12,102.64,103.1,101.84,102.71,98.91,1451300,0.0,0
2016-04-13,102.97,103.55,102.71,103.31,99.49,1358600,0.0,0
2016-04-14,103.96,104.05,102.82,102.93,99.13,1270600,0.0,0
2016-04-15,103.17,103.65,102.09,102.83,99.03,1628000,0.0,0
2016-04-18,102.56,104.0,102.35,103.79,99.95,1158400,0.0,0
2016-04-19,104.09,104.34,103.1,103.92,100.08,767200,0.0,0
2016-04-20,104.25,104.51,103.55,103.74,99.91,880900,0.0,0
2016-04-21,103.74,103.93,102.28,102.3,98.52,1218900,0.0,0
2016-04-22,102.04,102.44,100.76,102.33,98.55,1614200,0.0,0
2016-04-25,102.15,102.59,101.89,102.36,98.58,888900,0.0,0
2016-04-26,104.59,105.0,103.12,103.92,100.08,1234700,0.0,0
2016-04-27,103.96,104.47,102.58,103.51,99.69,1026700,0.0,0
2016-04-28,102.66,102.81,101.07,101.37,97.62,1329300,0.0,0
2016-04-29,100.48,101.09,99.2,100.89,97.16,1613600,0.0,0
2016-05-02,101.4,102.33,100.62,102.21,98.43,1806200,0.0,0
2016-05-03,101.43,101.9,100.7,101.4,97.65,891700,0.0,0
2016-05-04,101.03,101.25,99.6,99.89,96.2,1189700,0.0,0
2016-05-05,100.15,101.34,100.0,100.4,96.69,1063300,0.0,0
2016-05-06,99.57,101.23,99.25,101.04,97.31,883200,0.0,0
2016-05-09,101.36,102.42,101.18,101.67,97.91,714800,0.0,0
2016-05-10,102.2,102.85,101.44,102.8,99.0,731900,0.0,0
2016-05-11,102.79,103.52,102.23,102.32,98.54,617300,0.0,0
2016-05-12,102.41,103.06,101.21,102.21,98.43,713300,0.0,0
2016-05-13,102.12,103.17,102.0,102.03,98.26,781900,0.0,0
2016-05-16,102.25,104.54,102.09,103.73,99.9,1046700,0.0,0
2016-05-17,103.52,103.62,101.88,102.15,98.38,912300,0.0,0
2016-05-18,102.22,103.11,101.81,102.7,98.91,1043100,0.0,0
2016-05-19,101.77,102.47,100.72,101.42,97.67,834400,0.0,0
2016-05-20,101.89,103.58,101.59,103.03,99.22,1169900,0.0,0
2016-05-23,103.64,105.04,103.55,104.62,100.75,2066300,0.0,0
2016-05-24,105.14,107.46,105.09,107.31,103.34,2834900,0.0,0
2016-05-25,103.03,105.95,101.81,105.02,101.14,4732600,0.0,0
2016-05-26,105.0,107.74,104.88,106.83,102.88,2659000,0.0,0
2016-05-27,107.29,107.93,106.84,107.89,103.9,1386300,0.0,0
2016-05-31,108.0,108.68,105.91,106.66,102.72,2598600,0.0,0
2016-06-01,105.85,107.46,105.63,107.2,103.24,1304200,0.0,0
2016-06-02,106.93,108.25,106.5,108.12,104.12,1137600,0.0,0
2016-06-03,107.61,107.77,106.72,107.45,103.48,1732600,0.0,0
2016-06-06,107.36,108.39,107.08,108.13,104.13,1548900,0.0,0
2016-06-07,108.3,108.95,108.24,108.45,104.44,1282500,0.0,0
2016-06-08,108.69,108.85,107.32,107.43,103.46,1436700,0.0,0
2016-06-09,107.08,107.58,106.7,107.52,103.55,1490600,0.0,0
2016-06-10,105.85,107.16,105.77,106.44,102.51,1397800,0.0,0
2016-06-13,105.59,106.97,105.59,105.66,101.76,1342800,0.0,0
2016-06-14,105.3,106.46,104.79,106.22,102.3,874300,0.0,0
2016-06-15,106.79,106.89,106.13,106.28,102.35,1197900,0.0,0
2016-06-16,105.84,106.71,105.24,106.49,102.56,863200,0.0,0
2016-06-17,106.28,106.44,104.72,105.36,101.47,1689300,0.0,0
2016-06-20,106.33,107.74,106.05,107.35,103.38,1397100,0.0,0
2016-06-21,107.63,108.24,107.11,107.9,103.91,1817600,0.0,0
2016-06-22,107.76,107.89,106.38,106.45,102.52,1453600,0.0,0
2016-06-23,108.03,108.95,107.12,108.95,104.92,1418500,0.0,0
2016-06-24,103.86,106.48,103.6,105.33,101.44,5050300,0.0,0
2016-06-27,104.24,104.82,103.03,104.18,100.33,1769400,0.0,0
2016-06-28,105.2,106.06,104.73,105.99,102.07,1643600,0.0,0
2016-06-29,106.61,109.37,106.61,109.29,105.25,1645800,0.0,0
2016-06-30,109.37,111.79,109.1,111.61,107.49,2191500,0.0,0
2016-07-01,111.73,112.48,111.35,111.91,107.77,1017500,0.0,0
2016-07-05,111.51,113.02,111.24,112.74,108.57,1578200,0.0,0
