Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,53.66,53.72,53.22,53.32,43.66,2056100,0.0,0
2015-04-28,53.34,53.58,52.72,53.46,43.77,3001900,0.0,0
2015-04-29,53.31,54.0,52.9,53.07,43.45,2302600,0.0,0
2015-04-30,53.05,54.13,53.0,53.72,43.99,2900300,0.0,0
2015-05-01,53.94,54.4,53.88,54.03,44.24,2211100,0.0,0
2015-05-04,53.81,54.05,53.62,53.74,44.0,2188900,0.0,0
2015-05-05,53.64,53.74,50.76,50.95,41.72,10531100,0.0,0
2015-05-06,51.09,51.96,50.8,51.81,42.42,6804700,0.0,0
2015-05-07,51.9,52.11,51.6,52.0,42.58,6154100,0.0,0
2015-05-08,52.78,53.19,52.34,52.49,42.98,3237000,0.0,0
2015-05-11,52.44,52.98,52.36,52.86,43.28,2928200,0.0,0
2015-05-12,52.69,52.69,52.11,52.12,42.67,1903800,0.0,0
2015-05-13,52.28,52.79,52.17,52.56,43.04,2283600,0.0,0
2015-05-14,53.06,53.87,52.99,53.62,43.9,4342600,0.0,0
2015-05-15,53.59,53.76,52.6,53.27,43.62,3093600,0.0,0
2015-05-18,53.03,53.7,52.76,53.62,43.9,1834100,0.0,0
2015-05-19,53.53,54.0,53.44,53.62,43.9,2642000,0.0,0
2015-05-20,53.56,53.59,53.04,53.24,43.59,2048900,0.0,0
2015-05-21,52.79,53.19,52.51,53.1,43.81,2222800,0.4,0
2015-05-22,53.1,53.21,52.95,53.1,43.81,1915500,0.0,0
2015-05-26,52.81,53.05,52.31,52.52,43.33,2183000,0.0,0
2015-05-27,52.81,53.17,52.63,52.91,43.65,1896000,0.0,0
2015-05-28,52.64,52.91,52.54,52.71,43.48,1257700,0.0,0
2015-05-29,52.9,53.09,51.65,51.83,42.76,2542800,0.0,0
2015-06-01,51.78,52.09,51.29,51.82,42.75,2488100,0.0,0
2015-06-02,51.76,51.85,51.06,51.17,42.21,3230500,0.0,0
2015-06-03,51.25,51.43,50.94,51.24,42.27,2274000,0.0,0
2015-06-04,50.84,51.2,50.77,51.15,42.2,2367300,0.0,0
2015-06-05,50.83,51.46,50.6,51.17,42.21,1928500,0.0,0
2015-06-08,50.9,51.13,50.5,50.53,41.69,2731200,0.0,0
2015-06-09,50.35,50.72,50.29,50.36,41.55,2649700,0.0,0
2015-06-10,50.72,51.21,50.53,50.9,41.99,3222700,0.0,0
2015-06-11,50.96,51.75,50.89,51.55,42.53,3050700,0.0,0
2015-06-12,51.4,51.59,51.15,51.15,42.2,2032800,0.0,0
2015-06-15,50.74,50.99,50.42,50.57,41.72,1921600,0.0,0
2015-06-16,50.63,50.88,50.29,50.54,41.69,2252000,0.0,0
2015-06-17,50.62,51.04,50.41,50.92,42.01,2324000,0.0,0
2015-06-18,51.14,51.39,50.79,51.04,42.11,2497200,0.0,0
2015-06-19,50.95,51.82,50.94,51.14,42.19,3648800,0.0,0
2015-06-22,49.35,50.44,48.71,49.67,40.98,8372100,0.0,0
2015-06-23,49.79,50.06,49.19,49.3,40.67,3577300,0.0,0
2015-06-24,49.29,49.79,49.05,49.09,40.5,2923600,0.0,0
2015-06-25,49.11,49.23,48.36,48.37,39.9,4412700,0.0,0
2015-06-26,48.6,48.75,48.22,48.25,39.81,8450400,0.0,0
2015-06-29,48.08,48.25,47.67,47.7,39.35,4238300,0.0,0
2015-06-30,48.21,48.38,47.39,47.59,39.26,3430100,0.0,0
2015-07-01,48.01,48.71,47.91,48.55,40.05,2803000,0.0,0
2015-07-02,48.55,48.82,47.96,47.96,39.57,2745800,0.0,0
2015-07-06,47.65,48.15,47.45,47.67,39.33,2613700,0.0,0
2015-07-07,47.74,48.04,46.98,48.0,39.6,3042300,0.0,0
2015-07-08,47.45,47.69,46.78,46.82,38.63,2720600,0.0,0
2015-07-09,47.37,47.43,46.58,46.6,38.44,2659800,0.0,0
2015-07-10,47.14,47.35,46.78,46.94,38.72,2577000,0.0,0
2015-07-13,47.33,47.87,47.25,47.8,39.43,2432400,0.0,0
2015-07-14,47.7,47.99,47.65,47.75,39.39,2335600,0.0,0
2015-07-15,47.74,47.84,46.95,47.22,38.96,2774800,0.0,0
