Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,21.78,21.82,20.72,20.8,17.6,8381800,0.0,0
2015-04-28,20.72,21.1,20.45,21.06,17.82,5853200,0.0,0
2015-04-29,21.0,21.16,20.72,20.75,17.55,4868200,0.0,0
2015-04-30,20.75,21.13,20.68,20.84,17.63,6042700,0.0,0
2015-05-01,21.0,21.04,20.85,21.01,17.77,5173200,0.0,0
2015-05-04,21.06,21.28,21.06,21.07,17.83,2796400,0.0,0
2015-05-05,21.0,21.28,20.81,20.83,17.62,3997200,0.0,0
2015-05-06,20.94,20.96,20.52,20.68,17.5,4274700,0.0,0
2015-05-07,20.64,20.89,20.53,20.71,17.52,3340800,0.0,0
2015-05-08,20.98,21.13,20.84,21.01,17.77,2521900,0.0,0
2015-05-11,21.0,21.28,21.0,21.03,17.79,5792700,0.0,0
2015-05-12,20.88,20.92,20.59,20.85,17.64,3287800,0.0,0
2015-05-13,20.84,20.95,20.68,20.8,17.6,3545000,0.0,0
2015-05-14,20.96,21.2,20.93,21.14,17.88,2336400,0.0,0
2015-05-15,21.18,21.27,21.03,21.08,17.83,3215600,0.0,0
2015-05-18,21.09,21.32,20.93,21.26,17.99,3498700,0.0,0
2015-05-19,21.34,21.35,20.93,20.95,17.72,2541400,0.0,0
2015-05-20,21.02,21.07,20.86,20.91,17.69,5831600,0.0,0
2015-05-21,20.91,21.21,20.78,21.02,17.78,2850300,0.0,0
2015-05-22,20.99,21.07,20.82,20.92,17.7,3514900,0.0,0
2015-05-26,20.87,20.93,20.52,20.65,17.47,2095200,0.0,0
2015-05-27,20.66,20.8,20.49,20.75,17.55,3094800,0.0,0
2015-05-28,20.75,20.8,20.52,20.64,17.46,2656100,0.0,0
2015-05-29,20.52,20.62,20.31,20.42,17.38,2520400,0.12,0
2015-06-01,20.45,20.53,20.22,20.43,17.39,1654200,0.0,0
2015-06-02,20.37,20.65,20.33,20.52,17.46,1590400,0.0,0
2015-06-03,20.54,20.7,20.39,20.63,17.56,1102800,0.0,0
2015-06-04,20.49,20.6,20.18,20.21,17.2,2088200,0.0,0
2015-06-05,20.16,20.29,19.95,20.19,17.18,2676100,0.0,0
2015-06-08,20.18,20.24,19.96,19.96,16.99,1842200,0.0,0
2015-06-09,19.97,20.01,19.63,19.87,16.91,2862500,0.0,0
2015-06-10,19.93,20.19,19.86,20.17,17.16,1725100,0.0,0
2015-06-11,20.19,20.24,19.99,20.15,17.15,2790000,0.0,0
2015-06-12,20.03,20.16,19.91,19.98,17.0,2693600,0.0,0
2015-06-15,19.8,19.96,19.72,19.89,16.93,3938800,0.0,0
2015-06-16,19.94,20.1,19.94,20.1,17.1,2046500,0.0,0
2015-06-17,20.14,20.23,20.01,20.04,17.05,2133000,0.0,0
2015-06-18,20.09,20.34,20.06,20.23,17.21,2771500,0.0,0
2015-06-19,20.18,20.26,20.06,20.11,17.11,2511800,0.0,0
2015-06-22,20.2,20.3,20.11,20.21,17.2,1504900,0.0,0
2015-06-23,20.21,20.26,19.92,19.93,16.96,3147600,0.0,0
2015-06-24,19.88,19.97,19.63,19.64,16.71,4664600,0.0,0
2015-06-25,19.75,19.95,19.66,19.79,16.84,4209600,0.0,0
2015-06-26,19.82,19.85,19.61,19.7,16.76,3524400,0.0,0
2015-06-29,19.52,19.73,19.09,19.1,16.25,4138900,0.0,0
2015-06-30,19.24,19.33,19.08,19.27,16.4,8261800,0.0,0
2015-07-01,19.42,19.51,19.26,19.4,16.51,2652900,0.0,0
2015-07-02,19.35,19.47,19.14,19.27,16.4,3725800,0.0,0
2015-07-06,19.07,19.17,18.98,19.07,16.23,5387900,0.0,0
2015-07-07,19.14,19.37,18.83,19.34,16.46,4683900,0.0,0
2015-07-08,19.19,19.24,18.97,19.0,16.17,4345900,0.0,0
2015-07-09,19.29,19.51,19.26,19.29,16.41,5113000,0.0,0
2015-07-10,19.55,19.7,19.49,19.65,16.72,2543100,0.0,0
2015-07-13,19.78,19.91,19.7,19.88,16.92,2465100,0.0,0
2015-07-14,19.82,20.0,19.82,19.91,16.94,2398800,0.0,0
2015-07-15,19.92,20.0,19.72,19.78,16.83,2273400,0.0,0
2015-07-16,19.89,20.12,19.75,20.11,17.11,3376600,0.0,0
2015-07-17,20.12,20.14,19.88,20.12,17.12,3907700,0.0,0
2015-07-20,20.06,20.12,19.89,19.99,17.01,2707400,0.0,0
2015-07-21,20.06,20.06,19.63,19.8,16.85,4130800,0.0,0
2015-07-22,19.78,20.9,19.78,20.87,17.76,9377700,0.0,0
2015-07-23,20.96,21.16,20.69,20.77,17.67,4374600,0.0,0
2015-07-24,20.88,21.12,20.72,20.8,17.7,3458900,0.0,0
2015-07-27,20.71,20.82,20.59,20.62,17.55,4365300,0.0,0
2015-07-28,20.76,21.11,20.59,21.08,17.94,4426400,0.0,0
2015-07-29,21.05,21.23,21.01,21.19,18.03,2917700,0.0,0
2015-07-30,21.13,21.27,20.87,21.22,18.06,2487300,0.0,0
2015-07-31,21.31,21.4,21.22,21.3,18.13,2779300,0.0,0
2015-08-03,21.32,21.44,21.0,21.1,17.96,3132600,0.0,0
2015-08-04,21.1,21.28,20.96,21.1,17.96,2189300,0.0,0
2015-08-05,21.24,21.33,21.01,21.15,18.0,4898100,0.0,0
2015-08-06,21.17,21.17,20.2,20.75,17.66,6837600,0.0,0
2015-08-07,20.75,21.03,20.71,20.9,17.79,3599300,0.0,0
2015-08-10,21.12,21.44,21.09,21.16,18.01,4776800,0.0,0
2015-08-11,21.02,21.33,20.93,21.27,18.1,4624100,0.0,0
2015-08-12,20.97,21.33,20.86,21.3,18.13,2792500,0.0,0
2015-08-13,21.32,21.35,21.07,21.08,17.94,2460700,0.0,0
2015-08-14,21.1,21.16,20.85,21.15,18.0,2284500,0.0,0
2015-08-17,21.1,21.28,20.96,21.22,18.06,1659700,0.0,0
2015-08-18,21.2,21.25,20.92,21.01,17.88,1465000,0.0,0
2015-08-19,20.92,21.12,20.7,20.96,17.84,2157100,0.0,0
2015-08-20,20.7,20.7,20.23,20.24,17.22,2388600,0.0,0
2015-08-21,20.0,20.08,19.6,19.61,16.69,3128500,0.0,0
2015-08-24,18.63,19.21,18.42,18.74,15.95,6702100,0.0,0
2015-08-25,19.35,19.35,18.46,18.49,15.73,5059500,0.0,0
2015-08-26,18.93,19.13,18.43,19.1,16.25,4675000,0.0,0
2015-08-27,19.28,19.41,18.88,19.24,16.37,5731300,0.0,0
2015-08-28,19.17,19.27,19.01,19.18,16.42,3179700,0.12,0
2015-08-31,19.15,19.19,18.86,18.88,16.17,2616400,0.0,0
2015-09-01,18.44,18.65,18.16,18.27,15.64,4114500,0.0,0
2015-09-02,18.5,18.9,18.41,18.89,16.18,4242300,0.0,0
2015-09-03,18.93,19.27,18.83,19.14,16.39,3989200,0.0,0
2015-09-04,18.8,19.08,18.7,18.83,16.12,4738300,0.0,0
2015-09-08,19.17,19.51,19.06,19.45,16.65,4897900,0.0,0
2015-09-09,19.6,19.65,19.11,19.15,16.4,3284700,0.0,0
2015-09-10,19.09,19.41,19.02,19.22,16.46,1931400,0.0,0
2015-09-11,19.35,19.67,19.12,19.66,16.83,4537900,0.0,0
2015-09-14,19.62,19.81,19.53,19.8,16.95,5495800,0.0,0
2015-09-15,19.83,19.93,19.64,19.86,17.01,3044500,0.0,0
2015-09-16,19.9,20.32,19.9,20.28,17.37,3744200,0.0,0
2015-09-17,20.3,20.72,20.25,20.48,17.54,4465000,0.0,0
2015-09-18,20.19,20.5,20.07,20.13,17.24,5480400,0.0,0
2015-09-21,20.25,20.33,20.05,20.12,17.23,3146000,0.0,0
2015-09-22,19.75,19.91,19.62,19.7,16.87,5858400,0.0,0
2015-09-23,19.68,19.77,19.56,19.62,16.8,2752800,0.0,0
2015-09-24,19.53,19.53,19.23,19.47,16.67,5527100,0.0,0
2015-09-25,19.57,19.6,19.19,19.3,16.53,3527800,0.0,0
2015-09-28,19.21,19.28,18.75,18.84,16.13,2636300,0.0,0
2015-09-29,18.91,18.91,18.54,18.74,16.05,3165500,0.0,0
2015-09-30,18.95,19.15,18.89,19.13,16.38,3946300,0.0,0
2015-10-01,19.11,19.23,18.81,19.19,16.43,4556600,0.0,0
2015-10-02,18.89,19.64,18.84,19.64,16.82,3932900,0.0,0
2015-10-05,19.73,20.11,19.7,20.03,17.15,5039800,0.0,0
2015-10-06,20.02,20.42,20.0,20.06,17.18,3170900,0.0,0
2015-10-07,20.15,20.32,20.06,20.26,17.35,5053800,0.0,0
2015-10-08,20.16,20.92,20.15,20.89,17.89,6173600,0.0,0
2015-10-09,20.93,21.05,20.67,21.04,18.02,3440900,0.0,0
2015-10-12,21.06,21.09,20.91,20.96,17.95,3341700,0.0,0
2015-10-13,20.83,21.12,20.79,20.96,17.95,3954200,0.0,0
2015-10-14,20.94,21.01,20.77,20.85,17.85,2304200,0.0,0
2015-10-15,20.99,21.32,20.83,21.24,18.19,4980700,0.0,0
2015-10-16,21.37,21.46,21.05,21.19,18.14,3212700,0.0,0
2015-10-19,21.14,21.41,21.03,21.4,18.32,3421800,0.0,0
2015-10-20,21.41,21.68,21.3,21.39,18.32,3965300,0.0,0
2015-10-21,21.75,22.31,21.6,21.72,18.6,7652200,0.0,0
2015-10-22,21.96,22.24,21.87,22.18,18.99,5624600,0.0,0
2015-10-23,22.38,22.44,22.09,22.4,19.18,4263200,0.0,0
2015-10-26,22.41,22.7,22.39,22.62,19.37,3629700,0.0,0
2015-10-27,22.54,22.6,22.32,22.48,19.25,2657300,0.0,0
2015-10-28,22.6,22.71,22.41,22.71,19.45,3858500,0.0,0
2015-10-29,22.63,22.87,22.55,22.76,19.49,3740100,0.0,0
2015-10-30,22.77,23.0,22.64,22.93,19.63,3597800,0.0,0
2015-11-02,22.91,23.63,22.88,23.47,20.1,4193800,0.0,0
2015-11-03,23.41,23.48,23.04,23.28,19.93,4913100,0.0,0
2015-11-04,23.31,23.43,22.96,23.0,19.69,3604100,0.0,0
2015-11-05,23.0,23.06,22.76,22.76,19.49,3612200,0.0,0
2015-11-06,22.71,22.83,22.5,22.82,19.54,3055800,0.0,0
2015-11-09,22.76,22.89,22.5,22.67,19.41,2855700,0.0,0
2015-11-10,22.62,23.08,22.62,23.03,19.72,2603500,0.0,0
2015-11-11,23.15,23.2,22.97,23.04,19.73,2557300,0.0,0
2015-11-12,22.81,23.1,22.73,22.87,19.58,2721600,0.0,0
2015-11-13,22.86,22.95,22.39,22.45,19.22,4682300,0.0,0
2015-11-16,22.44,22.87,22.38,22.81,19.53,2672100,0.0,0
2015-11-17,22.83,22.89,22.62,22.67,19.41,2447000,0.0,0
2015-11-18,22.75,23.14,22.7,23.12,19.8,2480800,0.0,0
2015-11-19,23.11,23.43,23.08,23.3,19.95,2628100,0.0,0
2015-11-20,23.44,23.57,23.3,23.35,19.99,2651000,0.0,0
2015-11-23,23.37,23.42,23.18,23.35,19.99,1570100,0.0,0
2015-11-24,23.15,23.16,22.84,22.97,19.67,4218500,0.0,0
2015-11-25,23.0,23.26,22.95,23.16,19.83,2309000,0.0,0
2015-11-27,23.05,23.2,22.9,23.15,19.93,1044000,0.12,0
2015-11-30,23.22,23.31,22.92,23.0,19.8,2844200,0.0,0
2015-12-01,23.14,23.4,23.04,23.34,20.09,4012900,0.0,0
2015-12-02,23.28,23.3,23.01,23.05,19.84,1985800,0.0,0
2015-12-03,23.17,23.27,22.79,22.95,19.75,3566700,0.0,0
2015-12-04,23.03,23.59,23.02,23.44,20.18,4092200,0.0,0
2015-12-07,23.44,23.66,23.41,23.52,20.25,4349300,0.0,0
2015-12-08,23.37,23.67,23.28,23.55,20.27,2866300,0.0,0
2015-12-09,23.38,23.59,23.02,23.15,19.93,2882500,0.0,0
2015-12-10,23.21,23.46,23.11,23.29,20.05,2900900,0.0,0
2015-12-11,22.94,22.95,22.23,22.39,19.27,4802600,0.0,0
2015-12-14,22.48,22.66,22.21,22.47,19.34,3040300,0.0,0
2015-12-15,22.66,22.79,22.36,22.39,19.27,3897800,0.0,0
2015-12-16,22.6,22.88,22.43,22.83,19.65,4580200,0.0,0
2015-12-17,22.86,22.92,22.49,22.49,19.36,2738200,0.0,0
2015-12-18,22.61,23.03,22.49,22.68,19.52,5159200,0.0,0
2015-12-21,22.81,22.94,22.7,22.93,19.74,2155600,0.0,0
2015-12-22,23.06,23.38,22.86,23.29,20.05,3370400,0.0,0
2015-12-23,23.45,23.64,23.34,23.46,20.19,2673200,0.0,0
2015-12-24,23.59,23.69,23.47,23.55,20.27,974300,0.0,0
2015-12-28,23.38,23.51,23.24,23.5,20.23,1962900,0.0,0
2015-12-29,23.66,23.74,23.5,23.65,20.36,1424300,0.0,0
2015-12-30,23.61,23.8,23.51,23.55,20.27,1385500,0.0,0
2015-12-31,23.47,23.51,23.04,23.28,20.04,3023100,0.0,0
2016-01-04,22.89,22.89,22.35,22.82,19.64,5941400,0.0,0
2016-01-05,22.89,23.39,22.87,23.26,20.02,6266200,0.0,0
2016-01-06,22.96,23.16,22.68,22.87,19.69,5143600,0.0,0
2016-01-07,22.38,22.7,22.1,22.16,19.07,3355700,0.0,0
2016-01-08,22.31,22.43,21.99,22.05,18.98,4176800,0.0,0
2016-01-11,22.17,22.21,21.73,21.93,18.88,3686400,0.0,0
2016-01-12,22.08,22.24,21.8,22.05,18.98,4077300,0.0,0
2016-01-13,22.05,22.19,21.56,21.68,18.66,7092200,0.0,0
2016-01-14,21.76,22.36,21.65,22.31,19.2,7386600,0.0,0
2016-01-15,21.77,22.0,21.51,21.72,18.7,5507000,0.0,0
2016-01-19,21.99,22.02,21.57,21.69,18.67,4442800,0.0,0
2016-01-20,21.35,21.57,20.64,21.1,18.16,6815000,0.0,0
2016-01-21,21.1,21.9,20.96,21.65,18.64,7485300,0.0,0
2016-01-22,22.0,22.28,21.86,22.14,19.06,5325800,0.0,0
2016-01-25,21.98,22.1,21.68,21.73,18.7,3460800,0.0,0
2016-01-26,21.86,22.37,21.79,22.35,19.24,5344500,0.0,0
2016-01-27,22.25,22.65,21.96,22.06,18.99,3778100,0.0,0
2016-01-28,22.31,22.31,21.91,22.0,18.94,3446400,0.0,0
2016-01-29,22.12,22.51,22.12,22.44,19.32,4522800,0.0,0
2016-02-01,22.31,22.64,22.14,22.47,19.34,6467000,0.0,0
2016-02-02,22.2,22.26,21.72,21.81,18.77,5776400,0.0,0
2016-02-03,21.98,22.1,21.69,22.04,18.97,5843000,0.0,0
2016-02-04,22.03,22.24,21.8,21.91,18.86,4555300,0.0,0
2016-02-05,21.8,21.9,21.0,21.08,18.14,5951700,0.0,0
2016-02-08,20.78,20.78,19.83,20.3,17.47,7741300,0.0,0
2016-02-09,20.04,20.66,19.79,20.5,17.65,7335400,0.0,0
2016-02-10,20.51,20.83,20.36,20.42,17.58,5289900,0.0,0
2016-02-11,20.08,20.55,19.97,20.36,17.53,6584100,0.0,0
2016-02-12,20.55,20.64,19.93,20.4,17.56,6865700,0.0,0
2016-02-16,20.56,20.85,20.32,20.7,17.82,9078600,0.0,0
2016-02-17,20.9,21.14,20.79,20.88,17.97,4156000,0.0,0
2016-02-18,20.89,21.05,20.7,20.87,17.96,4499000,0.0,0
2016-02-19,20.82,21.19,20.67,21.14,18.2,3679400,0.0,0
2016-02-22,21.14,21.39,21.04,21.23,18.27,4798600,0.0,0
2016-02-23,21.2,21.58,21.12,21.38,18.4,5369300,0.0,0
2016-02-24,21.13,21.41,20.93,21.37,18.39,2979400,0.0,0
2016-02-25,21.49,21.68,21.3,21.58,18.58,4945300,0.0,0
2016-02-26,21.59,21.71,21.31,21.36,18.51,5007800,0.15,0
2016-02-29,21.38,21.75,21.33,21.39,18.54,4497100,0.0,0
2016-03-01,21.52,21.74,21.37,21.65,18.77,6881100,0.0,0
2016-03-02,21.6,21.66,21.13,21.34,18.5,4071400,0.0,0
2016-03-03,21.39,21.47,21.15,21.44,18.58,3862900,0.0,0
2016-03-04,21.49,21.64,21.32,21.48,18.62,3831300,0.0,0
2016-03-07,21.32,21.54,21.09,21.38,18.53,5145200,0.0,0
2016-03-08,21.32,21.39,21.1,21.11,18.3,2332600,0.0,0
2016-03-09,21.24,21.38,21.06,21.17,18.35,2378500,0.0,0
2016-03-10,21.29,21.37,20.82,21.02,18.22,4228000,0.0,0
2016-03-11,21.21,21.39,21.16,21.28,18.45,3900700,0.0,0
2016-03-14,21.22,21.42,21.19,21.34,18.5,2828600,0.0,0
2016-03-15,21.21,21.29,21.05,21.2,18.38,3086600,0.0,0
2016-03-16,21.16,21.42,21.07,21.38,18.53,2524000,0.0,0
2016-03-17,21.38,21.64,21.33,21.53,18.66,2532300,0.0,0
2016-03-18,21.58,21.72,21.44,21.46,18.6,3829800,0.0,0
2016-03-21,21.43,21.53,21.34,21.5,18.64,1765600,0.0,0
2016-03-22,21.48,21.65,21.32,21.53,18.66,2435400,0.0,0
2016-03-23,21.53,21.7,21.42,21.64,18.76,3575500,0.0,0
2016-03-24,21.57,21.62,21.44,21.52,18.65,5081900,0.0,0
2016-03-28,21.68,22.05,21.65,21.99,19.06,4606000,0.0,0
2016-03-29,21.95,22.58,21.8,22.53,19.53,5547500,0.0,0
2016-03-30,22.6,22.92,22.55,22.88,19.83,4737400,0.0,0
2016-03-31,22.88,23.11,22.78,22.95,19.89,5536200,0.0,0
2016-04-01,22.79,23.08,22.7,23.07,20.0,4294600,0.0,0
2016-04-04,23.16,23.27,22.87,22.9,19.85,3704300,0.0,0
2016-04-05,22.74,22.95,22.62,22.78,19.75,4228400,0.0,0
2016-04-06,22.82,23.21,22.76,23.19,20.1,5514400,0.0,0
2016-04-07,23.02,23.06,22.72,22.76,19.73,3943900,0.0,0
2016-04-08,22.94,23.0,22.69,22.75,19.72,2116000,0.0,0
2016-04-11,22.89,22.98,22.69,22.7,19.68,2038600,0.0,0
2016-04-12,22.76,22.99,22.64,22.79,19.75,2891000,0.0,0
2016-04-13,22.9,23.49,22.84,23.46,20.33,7438000,0.0,0
2016-04-14,23.53,23.75,23.41,23.44,20.32,8347500,0.0,0
2016-04-15,23.45,23.59,23.37,23.58,20.44,3091700,0.0,0
2016-04-18,23.47,23.84,23.4,23.81,20.64,3868700,0.0,0
2016-04-19,23.9,23.96,23.36,23.41,20.29,5551400,0.0,0
2016-04-20,23.41,23.52,23.19,23.27,20.17,5164000,0.0,0
2016-04-21,23.3,23.51,23.21,23.43,20.31,4616000,0.0,0
2016-04-22,24.18,24.27,23.32,23.43,20.31,7695100,0.0,0
2016-04-25,23.43,23.5,22.87,23.44,20.32,8502200,0.0,0
