Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,83.47,83.96,82.93,83.12,83.12,354400,0,0
2015-04-28,83.24,83.52,82.53,83.28,83.28,349700,0,0
2015-04-29,83.14,83.77,82.61,83.14,83.14,320400,0,0
2015-04-30,82.78,84.02,82.55,82.98,82.98,586100,0,0
2015-05-01,83.38,84.76,83.09,84.09,84.09,454100,0,0
2015-05-04,84.35,85.44,84.35,84.69,84.69,464500,0,0
2015-05-05,84.69,84.81,83.45,83.63,83.63,353800,0,0
2015-05-06,83.64,84.19,83.27,84.1,84.1,442800,0,0
2015-05-07,84.46,85.96,84.15,84.98,84.98,391600,0,0
2015-05-08,86.03,87.32,85.34,85.61,85.61,504000,0,0
2015-05-11,85.34,86.33,84.41,84.47,84.47,362100,0,0
2015-05-12,84.2,84.24,82.95,83.75,83.75,288400,0,0
2015-05-13,85.09,86.36,84.17,86.2,86.2,783500,0,0
2015-05-14,86.5,88.12,86.41,88.04,88.04,760300,0,0
2015-05-15,87.69,88.15,86.89,87.47,87.47,715000,0,0
2015-05-18,87.2,87.87,87.16,87.76,87.76,481400,0,0
2015-05-19,87.64,87.94,87.25,87.42,87.42,348700,0,0
2015-05-20,87.65,88.51,87.31,88.13,88.13,808700,0,0
2015-05-21,88.3,88.3,87.63,87.72,87.72,459800,0,0
2015-05-22,87.47,88.0,87.19,87.21,87.21,850500,0,0
2015-05-26,87.02,87.33,86.5,86.97,86.97,1034600,0,0
2015-05-27,87.08,88.52,86.78,88.41,88.41,661600,0,0
2015-05-28,88.53,88.8,87.58,88.22,88.22,601300,0,0
2015-05-29,88.5,88.65,86.93,87.48,87.48,3523800,0,0
2015-06-01,87.88,88.73,86.58,86.88,86.88,802900,0,0
2015-06-02,86.45,86.98,85.96,86.67,86.67,372000,0,0
2015-06-03,86.67,87.89,86.46,87.31,87.31,442200,0,0
2015-06-04,86.52,87.12,86.35,86.59,86.59,382600,0,0
2015-06-05,86.4,87.12,85.96,87.06,87.06,391500,0,0
2015-06-08,86.82,87.27,85.91,86.0,86.0,364500,0,0
2015-06-09,85.74,86.33,85.25,85.87,85.87,253600,0,0
2015-06-10,86.36,86.91,85.92,86.71,86.71,270900,0,0
2015-06-11,86.74,87.44,86.72,87.41,87.41,260100,0,0
2015-06-12,87.1,87.26,86.55,86.99,86.99,246800,0,0
2015-06-15,86.16,86.68,85.06,86.59,86.59,279700,0,0
2015-06-16,86.46,87.63,86.4,87.53,87.53,256800,0,0
2015-06-17,87.75,87.98,87.41,87.71,87.71,320200,0,0
2015-06-18,87.9,88.33,87.55,88.05,88.05,360400,0,0
2015-06-19,87.84,88.15,87.45,87.78,87.78,754200,0,0
2015-06-22,87.95,88.43,87.56,88.36,88.36,419800,0,0
2015-06-23,88.58,89.07,88.21,89.07,89.07,310900,0,0
2015-06-24,89.1,89.1,87.6,87.74,87.74,270200,0,0
2015-06-25,87.94,88.13,87.19,87.79,87.79,203100,0,0
2015-06-26,88.08,88.41,87.2,87.62,87.62,513800,0,0
2015-06-29,87.03,87.44,85.42,85.51,85.51,287900,0,0
2015-06-30,86.02,86.15,85.2,85.78,85.78,465400,0,0
2015-07-01,86.5,87.09,85.64,86.14,86.14,379100,0,0
2015-07-02,86.46,86.62,85.42,86.5,86.5,321800,0,0
2015-07-06,85.84,87.12,85.84,86.34,86.34,223800,0,0
2015-07-07,86.54,86.8,85.29,86.05,86.05,327600,0,0
2015-07-08,85.61,86.01,84.79,85.28,85.28,293100,0,0
2015-07-09,86.41,86.41,85.31,85.33,85.33,182200,0,0
2015-07-10,86.78,86.85,85.84,86.12,86.12,300600,0,0
