Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,46.39,47.13,46.39,46.66,45.26,888400,0.0,0
2015-04-28,42.73,44.14,41.68,44.0,42.68,3938700,0.0,0
2015-04-29,43.57,44.45,43.31,44.15,42.83,2321000,0.0,0
2015-04-30,43.7,44.19,42.75,42.86,41.58,1575100,0.0,0
2015-05-01,42.75,43.37,42.67,42.75,41.47,1655900,0.0,0
2015-05-04,42.87,43.51,42.68,42.89,41.6,1640600,0.0,0
2015-05-05,43.02,43.67,42.64,42.8,41.52,1932900,0.0,0
2015-05-06,43.14,43.4,42.5,42.95,41.66,1190500,0.0,0
2015-05-07,43.0,43.41,42.89,43.29,41.99,887100,0.0,0
2015-05-08,43.79,44.12,43.42,43.75,42.44,1232900,0.0,0
2015-05-11,43.66,44.1,43.48,43.79,42.48,709200,0.0,0
2015-05-12,43.66,43.99,43.31,43.53,42.23,903500,0.0,0
2015-05-13,43.67,44.25,43.55,44.03,42.71,1036900,0.0,0
2015-05-14,44.32,44.52,43.75,44.29,42.96,939700,0.0,0
2015-05-15,44.26,44.3,43.78,44.0,42.68,1054600,0.0,0
2015-05-18,43.94,44.32,43.59,44.26,42.93,862900,0.0,0
2015-05-19,44.13,44.21,43.37,43.74,42.43,813900,0.0,0
2015-05-20,43.83,44.24,43.61,44.17,42.85,620900,0.0,0
2015-05-21,44.24,44.66,44.11,44.32,42.99,568900,0.0,0
2015-05-22,44.11,44.46,43.55,43.57,42.26,650300,0.0,0
2015-05-26,43.33,43.5,42.84,43.05,41.76,987900,0.0,0
2015-05-27,43.2,43.6,42.84,43.56,42.25,693800,0.0,0
2015-05-28,43.34,43.59,43.03,43.34,42.04,725100,0.0,0
2015-05-29,43.4,43.62,43.02,43.26,41.96,1531900,0.0,0
2015-06-01,43.38,43.79,43.12,43.45,42.15,835300,0.0,0
2015-06-02,43.19,43.91,43.04,43.66,42.35,1186900,0.0,0
2015-06-03,43.72,44.56,43.63,44.25,42.92,1113000,0.0,0
2015-06-04,43.88,43.88,43.1,43.16,41.87,1878500,0.0,0
2015-06-05,43.05,43.72,42.92,43.64,42.33,1652900,0.0,0
2015-06-08,43.35,43.53,42.56,42.65,41.37,1731200,0.0,0
2015-06-09,42.91,43.42,42.6,42.94,41.65,1085200,0.0,0
2015-06-10,43.3,43.72,43.18,43.67,42.36,1012700,0.0,0
2015-06-11,43.62,43.76,43.37,43.45,42.15,522200,0.0,0
2015-06-12,43.1,43.37,42.81,43.11,41.82,533600,0.0,0
2015-06-15,42.68,42.85,42.21,42.3,41.03,960300,0.0,0
2015-06-16,42.29,42.73,42.18,42.68,41.4,689600,0.0,0
2015-06-17,42.85,43.17,42.5,42.79,41.51,688800,0.0,0
2015-06-18,42.94,43.32,42.71,43.19,41.9,877000,0.0,0
2015-06-19,43.12,43.7,43.06,43.54,42.24,1794100,0.0,0
2015-06-22,43.82,44.1,43.57,43.76,42.45,1393100,0.0,0
2015-06-23,43.76,44.02,43.56,43.86,42.55,1065900,0.0,0
2015-06-24,43.78,44.07,43.02,43.03,41.74,1064300,0.0,0
2015-06-25,43.06,43.24,42.41,42.5,41.23,828400,0.0,0
2015-06-26,42.5,42.73,42.14,42.23,40.96,1643200,0.0,0
2015-06-29,41.77,42.19,40.51,40.65,39.43,1769000,0.0,0
2015-06-30,41.12,41.28,40.52,40.62,39.4,1666900,0.0,0
2015-07-01,41.03,41.2,40.32,40.64,39.42,1008100,0.0,0
2015-07-02,40.75,41.0,40.25,40.42,39.21,861500,0.0,0
2015-07-06,39.83,40.33,39.69,39.92,38.72,1396500,0.0,0
2015-07-07,39.86,40.13,39.27,40.05,38.85,1836800,0.0,0
2015-07-08,39.68,40.18,39.59,39.86,38.67,2320900,0.0,0
2015-07-09,40.42,41.55,39.77,39.84,38.65,1632200,0.0,0
2015-07-10,40.3,40.43,39.83,40.15,38.95,1109800,0.0,0
2015-07-13,40.38,41.01,40.35,40.83,39.61,759600,0.0,0
2015-07-14,40.74,41.53,40.71,41.3,40.06,1721200,0.0,0
2015-07-15,40.99,41.24,40.09,40.19,38.99,1069200,0.0,0
2015-07-16,40.5,40.68,40.23,40.45,39.24,665800,0.0,0
2015-07-17,40.53,40.7,39.63,39.98,38.78,1273900,0.0,0
2015-07-20,39.93,40.3,39.63,40.25,39.04,950200,0.0,0
2015-07-21,40.22,40.98,40.22,40.78,39.56,1282500,0.0,0
2015-07-22,40.59,41.04,40.54,40.76,39.54,1256300,0.0,0
2015-07-23,40.82,41.08,40.26,40.29,39.08,2182500,0.0,0
2015-07-24,40.31,40.42,39.24,39.56,38.37,1738400,0.0,0
2015-07-27,39.07,39.72,38.88,39.6,38.41,1999900,0.0,0
2015-07-28,39.49,41.89,39.37,41.69,40.44,2804400,0.0,0
2015-07-29,41.9,43.02,41.69,42.69,41.41,2479100,0.0,0
2015-07-30,42.58,43.0,42.38,42.91,41.62,1258900,0.0,0
2015-07-31,43.05,43.27,41.65,42.12,40.86,2016600,0.0,0
