Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,42.07,42.32,41.78,41.9,31.7,5573200,0.0,0.0
2015-04-28,41.93,41.97,41.43,41.85,31.67,2527500,0.0,0.0
2015-04-29,41.88,42.16,41.7,41.9,31.7,4054600,0.0,0.0
2015-04-30,41.72,41.83,41.11,41.24,31.2,4628600,0.0,0.0
2015-05-01,41.29,41.63,41.26,41.5,31.4,2680000,0.0,0.0
2015-05-04,41.52,41.93,41.52,41.75,31.59,2222600,0.0,0.0
2015-05-05,41.78,41.94,41.25,41.36,31.3,2324100,0.0,0.0
2015-05-06,41.65,41.78,41.15,41.46,31.37,2455700,0.0,0.0
2015-05-07,41.54,41.75,41.25,41.45,31.36,1363900,0.0,0.0
2015-05-08,41.7,42.0,41.48,41.64,31.51,2694700,0.0,0.0
2015-05-11,41.61,41.85,41.35,41.37,31.31,1720000,0.0,0.0
2015-05-12,41.27,41.37,40.87,40.89,30.94,2882500,0.0,0.0
2015-05-13,40.97,41.36,40.97,41.13,31.12,2791100,0.0,0.0
2015-05-14,41.36,41.56,41.01,41.48,31.38,3290800,0.0,0.0
2015-05-15,41.43,41.62,41.2,41.33,31.27,2327900,0.0,0.0
2015-05-18,41.2,41.78,41.16,41.62,31.5,2252300,0.0,0.0
2015-05-19,41.83,42.4,41.79,42.08,31.84,5706600,0.0,0.0
2015-05-20,41.81,42.8,41.81,42.75,32.35,8044700,0.0,0.0
2015-05-21,42.64,43.08,42.47,42.82,32.4,4762000,0.0,0.0
2015-05-22,42.72,42.99,42.58,42.86,32.43,2307600,0.0,0.0
2015-05-26,42.72,42.8,42.29,42.32,32.03,2873900,0.0,0.0
2015-05-27,42.29,42.72,42.27,42.69,32.3,1586800,0.0,0.0
2015-05-28,42.55,42.68,42.39,42.67,32.29,1744100,0.0,0.0
2015-05-29,42.7,42.7,42.19,42.26,31.98,3050100,0.0,0.0
2015-06-01,42.29,42.37,42.05,42.17,31.91,2103300,0.0,0.0
2015-06-02,42.12,42.32,41.94,42.26,31.98,3009800,0.0,0.0
2015-06-03,42.45,42.63,42.28,42.46,32.33,1140900,0.26,0.0
2015-06-04,42.14,42.35,41.95,42.01,31.99,1474300,0.0,0.0
2015-06-05,41.9,42.15,41.82,42.12,32.07,1298000,0.0,0.0
2015-06-08,42.02,42.17,41.92,41.97,31.95,2013900,0.0,0.0
2015-06-09,42.01,42.26,41.92,42.13,32.07,1773700,0.0,0.0
2015-06-10,42.22,42.59,42.17,42.38,32.26,1281400,0.0,0.0
2015-06-11,42.45,42.6,42.3,42.51,32.37,1252000,0.0,0.0
2015-06-12,42.41,42.42,42.02,42.18,32.11,1708300,0.0,0.0
2015-06-15,41.82,41.83,41.05,41.51,31.6,1920200,0.0,0.0
2015-06-16,41.51,41.83,41.24,41.8,31.83,1976800,0.0,0.0
2015-06-17,41.81,42.4,41.77,42.17,32.11,2393800,0.0,0.0
2015-06-18,42.3,42.63,42.15,42.36,32.25,2595000,0.0,0.0
2015-06-19,42.18,42.34,41.97,42.03,32.0,2280800,0.0,0.0
