Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,26.18,26.64,26.04,26.44,23.76,9979300,0.0,0
2015-04-28,26.3,26.93,26.15,26.83,24.11,6954100,0.0,0
2015-04-29,26.66,26.83,26.35,26.63,23.93,6384300,0.0,0
2015-04-30,26.46,26.7,26.28,26.43,23.75,3959200,0.0,0
2015-05-01,26.7,27.0,26.7,26.91,24.18,5920100,0.0,0
2015-05-04,26.9,27.09,26.87,27.07,24.33,3973700,0.0,0
2015-05-05,26.99,27.19,26.62,26.68,23.98,5360500,0.0,0
2015-05-06,26.84,27.06,26.51,26.67,23.97,4718600,0.0,0
2015-05-07,26.71,26.89,26.66,26.73,24.02,3343500,0.0,0
2015-05-08,26.95,27.23,26.94,26.98,24.25,4197100,0.0,0
2015-05-11,27.02,27.28,26.97,27.09,24.35,4597900,0.0,0
2015-05-12,27.36,27.38,26.8,27.05,24.31,4882700,0.0,0
2015-05-13,27.17,27.3,27.09,27.16,24.41,3682700,0.0,0
2015-05-14,27.23,27.44,27.17,27.44,24.66,3529600,0.0,0
2015-05-15,27.45,27.47,27.12,27.32,24.55,3546600,0.0,0
2015-05-18,27.35,27.69,27.27,27.62,24.82,3685400,0.0,0
2015-05-19,27.67,27.7,27.36,27.53,24.74,3720600,0.0,0
2015-05-20,27.51,27.74,27.38,27.6,24.8,3277400,0.0,0
2015-05-21,27.55,27.66,27.23,27.59,24.79,3318100,0.0,0
2015-05-22,27.59,27.67,27.32,27.6,24.8,2977700,0.0,0
2015-05-26,27.46,27.46,26.87,26.98,24.25,4404700,0.0,0
2015-05-27,27.25,28.26,27.25,27.81,24.99,10933400,0.0,0
2015-05-28,27.84,27.93,27.61,27.65,24.85,5143600,0.0,0
2015-05-29,27.54,28.0,27.54,27.8,25.07,8199200,0.1,0
2015-06-01,27.33,27.55,26.65,27.06,24.41,8273300,0.0,0
2015-06-02,27.07,27.42,27.06,27.25,24.58,3735400,0.0,0
2015-06-03,27.36,27.5,27.23,27.38,24.7,3979500,0.0,0
2015-06-04,27.38,27.47,27.07,27.15,24.49,3415400,0.0,0
2015-06-05,27.12,27.52,27.03,27.38,24.7,3447700,0.0,0
2015-06-08,27.42,27.56,27.03,27.18,24.52,2741900,0.0,0
2015-06-09,27.24,27.45,27.0,27.4,24.71,3662300,0.0,0
2015-06-10,27.52,27.74,27.51,27.68,24.97,3447600,0.0,0
2015-06-11,27.8,28.11,27.77,27.92,25.18,3626400,0.0,0
2015-06-12,27.69,27.76,27.37,27.39,24.7,3577200,0.0,0
2015-06-15,27.12,27.22,26.72,27.18,24.52,4614700,0.0,0
2015-06-16,27.17,27.51,27.09,27.44,24.75,3892800,0.0,0
2015-06-17,27.54,27.59,27.11,27.42,24.73,4931800,0.0,0
2015-06-18,27.96,28.1,27.45,27.89,25.16,6995400,0.0,0
2015-06-19,27.9,27.91,27.18,27.26,24.59,8004800,0.0,0
