Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,63.67,63.88,63.29,63.61,54.17,1437800,0.0,0
2015-04-28,63.66,63.82,63.34,63.67,54.22,1573900,0.0,0
2015-04-29,63.61,63.96,63.3,63.38,53.97,1239900,0.0,0
2015-04-30,63.47,63.54,63.03,63.33,53.93,1332300,0.0,0
2015-05-01,63.42,63.97,63.39,63.89,54.41,1613900,0.0,0
2015-05-04,63.87,64.43,63.85,64.13,54.61,2199100,0.0,0
2015-05-05,64.93,65.08,62.59,63.18,53.8,3151900,0.0,0
2015-05-06,63.39,63.5,62.46,63.01,53.66,1651400,0.0,0
2015-05-07,63.02,63.68,62.95,63.56,54.13,1268100,0.0,0
2015-05-08,64.0,64.37,63.57,63.61,54.17,1567600,0.0,0
2015-05-11,63.34,64.2,63.34,63.78,54.31,1421600,0.0,0
2015-05-12,63.49,63.71,63.2,63.67,54.22,1340400,0.0,0
2015-05-13,63.69,64.1,63.49,63.73,54.27,1386500,0.0,0
2015-05-14,64.13,64.75,63.9,64.58,55.0,1815100,0.0,0
2015-05-15,64.62,65.64,64.54,65.23,55.55,3109300,0.0,0
2015-05-18,65.08,65.08,64.5,64.64,55.05,1738500,0.0,0
2015-05-19,64.79,64.79,64.08,64.19,54.66,1741200,0.0,0
2015-05-20,64.31,64.61,64.21,64.23,54.7,1390400,0.0,0
2015-05-21,64.14,64.34,63.79,63.96,54.47,1022400,0.0,0
2015-05-22,63.92,64.16,63.66,63.68,54.23,978600,0.0,0
2015-05-26,63.54,63.66,62.87,63.0,53.65,1132000,0.0,0
2015-05-27,63.15,63.3,62.92,63.24,53.85,1426800,0.0,0
2015-05-28,62.62,62.84,62.24,62.56,53.69,1697400,0.49,0
2015-05-29,62.71,62.89,62.4,62.77,53.87,1995300,0.0,0
2015-06-01,62.6,62.99,62.13,62.55,53.68,1833300,0.0,0
2015-06-02,62.32,62.45,62.04,62.17,53.36,2204400,0.0,0
2015-06-03,62.26,62.39,61.74,62.27,53.44,3584400,0.0,0
2015-06-04,62.01,62.45,61.94,62.26,53.43,3161800,0.0,0
2015-06-05,61.96,62.11,61.19,61.45,52.74,1584100,0.0,0
2015-06-08,61.47,61.66,61.13,61.31,52.62,1727600,0.0,0
2015-06-09,61.46,62.1,61.3,61.51,52.79,1492900,0.0,0
2015-06-10,61.75,62.18,61.52,62.05,53.25,1111100,0.0,0
2015-06-11,62.17,62.42,62.1,62.22,53.4,1293300,0.0,0
2015-06-12,61.92,62.16,61.77,62.13,53.32,1027100,0.0,0
2015-06-15,61.88,62.12,61.67,61.69,52.94,1484500,0.0,0
2015-06-16,61.8,62.53,61.67,62.47,53.61,1056800,0.0,0
2015-06-17,62.4,62.94,62.17,62.82,53.91,1660100,0.0,0
2015-06-18,62.76,63.43,62.68,63.1,54.16,1381100,0.0,0
2015-06-19,63.09,63.88,63.06,63.34,54.36,1958400,0.0,0
2015-06-22,63.53,63.85,63.26,63.4,54.41,805800,0.0,0
2015-06-23,63.38,63.59,63.11,63.47,54.47,1666000,0.0,0
2015-06-24,63.23,63.74,63.17,63.41,54.42,1193400,0.0,0
2015-06-25,63.38,63.64,62.75,62.87,53.96,1229400,0.0,0
2015-06-26,62.99,63.21,62.61,63.05,54.11,4073300,0.0,0
2015-06-29,62.7,63.13,62.57,62.6,53.73,1554800,0.0,0
2015-06-30,62.87,63.21,62.4,62.7,53.81,1931600,0.0,0
2015-07-01,62.7,63.07,61.99,63.01,54.08,1936900,0.0,0
2015-07-02,63.29,63.56,62.94,63.14,54.19,1162500,0.0,0
2015-07-06,62.89,63.37,62.47,62.74,53.85,1189800,0.0,0
2015-07-07,62.9,64.24,62.68,64.12,55.03,1740700,0.0,0
2015-07-08,63.93,64.32,63.66,63.68,54.65,1511500,0.0,0
2015-07-09,64.29,64.38,63.59,63.59,54.58,1018100,0.0,0
2015-07-10,63.74,63.97,63.56,63.75,54.71,1175600,0.0,0
2015-07-13,64.11,64.28,63.91,64.18,55.08,709400,0.0,0
2015-07-14,64.09,64.22,63.9,64.12,55.03,645200,0.0,0
2015-07-15,63.68,64.23,63.6,63.68,54.65,793400,0.0,0
2015-07-16,63.93,64.63,63.93,64.5,55.36,1308100,0.0,0
2015-07-17,64.27,64.5,63.86,64.35,55.23,1503500,0.0,0
2015-07-20,64.28,64.42,63.96,64.14,55.05,595700,0.0,0
2015-07-21,64.28,64.28,63.88,64.02,54.94,671500,0.0,0
2015-07-22,64.03,64.72,63.89,64.39,55.26,691200,0.0,0
2015-07-23,64.31,64.69,64.03,64.33,55.21,1087700,0.0,0
2015-07-24,64.17,64.75,64.03,64.54,55.39,1326400,0.0,0
2015-07-27,64.24,64.83,63.98,64.68,55.51,1437500,0.0,0
2015-07-28,64.95,65.15,64.38,65.05,55.83,1121700,0.0,0
2015-07-29,65.09,65.61,65.04,65.43,56.15,898300,0.0,0
2015-07-30,65.21,66.24,65.13,66.09,56.72,1141500,0.0,0
2015-07-31,66.46,66.46,65.85,66.17,56.79,1246000,0.0,0
2015-08-03,65.93,66.4,65.45,66.07,56.7,1901800,0.0,0
2015-08-04,65.81,67.97,65.7,67.5,57.93,2513500,0.0,0
2015-08-05,68.0,68.9,67.99,68.66,58.93,2820400,0.0,0
2015-08-06,68.1,69.21,67.94,68.86,59.1,2322400,0.0,0
2015-08-07,68.86,69.07,68.52,68.92,59.15,1643500,0.0,0
2015-08-10,68.87,69.39,68.62,69.0,59.22,1488700,0.0,0
2015-08-11,68.64,69.24,68.41,69.2,59.39,1215400,0.0,0
2015-08-12,68.62,69.07,67.68,68.9,59.13,2005900,0.0,0
2015-08-13,68.78,69.2,68.57,68.89,59.12,1316200,0.0,0
2015-08-14,68.97,69.85,68.76,69.77,59.88,1327800,0.0,0
2015-08-17,69.46,69.83,69.21,69.6,59.73,2100900,0.0,0
2015-08-18,69.5,69.84,69.08,69.3,59.48,1566900,0.0,0
