Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,25.49,25.62,25.22,25.3,18.63,1877000,0.0,0
2015-04-28,25.22,25.49,24.97,25.4,18.71,3913100,0.0,0
2015-04-29,25.11,25.34,24.6,24.63,18.14,2615500,0.0,0
2015-04-30,24.46,24.57,24.07,24.1,17.75,4323500,0.0,0
2015-05-01,24.14,24.44,24.08,24.25,17.86,3799000,0.0,0
2015-05-04,24.37,24.6,24.3,24.41,17.98,2866300,0.0,0
2015-05-05,24.28,24.36,23.79,23.84,17.56,3143800,0.0,0
2015-05-06,23.88,23.92,23.68,23.89,17.59,3307300,0.0,0
2015-05-07,23.97,24.31,23.71,24.22,17.84,3662300,0.0,0
2015-05-08,24.5,25.03,24.46,24.55,18.08,3123800,0.0,0
2015-05-11,24.45,24.5,23.98,24.13,17.77,3808200,0.0,0
2015-05-12,23.97,24.2,23.71,24.13,17.77,2395100,0.0,0
2015-05-13,24.23,24.43,23.87,23.96,17.64,3147700,0.0,0
2015-05-14,24.05,24.47,24.05,24.47,18.02,2259000,0.0,0
2015-05-15,24.55,24.64,24.43,24.63,18.14,5271100,0.0,0
2015-05-18,24.51,24.64,24.37,24.54,18.07,1648400,0.0,0
2015-05-19,24.47,24.62,24.4,24.49,18.04,2207200,0.0,0
2015-05-20,24.47,24.68,24.41,24.46,18.01,1433500,0.0,0
2015-05-21,24.53,24.59,24.17,24.31,17.9,1897700,0.0,0
2015-05-22,24.32,24.51,24.14,24.34,17.92,1275800,0.0,0
2015-05-26,24.3,24.34,23.99,24.03,17.7,2970900,0.0,0
2015-05-27,24.07,24.36,24.01,24.31,17.9,1425600,0.0,0
2015-05-28,24.27,24.37,24.12,24.32,17.91,2177300,0.0,0
2015-05-29,24.32,24.41,23.87,23.96,17.64,4836100,0.0,0
2015-06-01,23.99,24.38,23.91,24.27,17.87,2570400,0.0,0
2015-06-02,24.21,24.21,23.85,24.03,17.7,2185200,0.0,0
2015-06-03,24.02,24.05,23.68,23.76,17.5,2347500,0.0,0
2015-06-04,23.73,23.86,23.6,23.65,17.42,2257000,0.0,0
2015-06-05,23.39,23.5,23.15,23.34,17.19,3008000,0.0,0
2015-06-08,23.39,23.46,23.22,23.31,17.17,2088700,0.0,0
2015-06-09,23.34,23.36,23.02,23.06,16.98,1340400,0.0,0
2015-06-10,23.04,23.47,22.98,23.27,17.14,2065100,0.0,0
2015-06-11,23.42,23.54,23.34,23.4,17.23,3094400,0.0,0
2015-06-12,23.32,23.42,23.22,23.27,17.14,3063500,0.0,0
2015-06-15,23.21,23.37,23.11,23.26,17.13,3648800,0.0,0
2015-06-16,23.26,23.51,23.19,23.44,17.26,2901300,0.0,0
2015-06-17,23.43,23.66,23.23,23.62,17.39,1793900,0.0,0
2015-06-18,23.65,24.14,23.65,24.02,17.69,2983000,0.0,0
2015-06-19,23.83,24.01,23.76,23.76,17.5,2653800,0.0,0
2015-06-22,23.96,23.96,23.48,23.5,17.31,2953100,0.0,0
2015-06-23,23.47,23.57,23.28,23.34,17.19,2280500,0.0,0
2015-06-24,23.35,23.46,23.15,23.25,17.12,2315500,0.0,0
2015-06-25,23.28,23.29,23.12,23.12,17.03,2056500,0.0,0
2015-06-26,23.11,23.33,23.04,23.13,17.03,2811700,0.0,0
2015-06-29,23.06,23.3,22.65,22.67,16.69,3060800,0.0,0
2015-06-30,22.83,22.93,22.48,22.54,16.6,3973900,0.0,0
2015-07-01,22.45,22.75,22.3,22.73,16.92,2957700,0.24,0
2015-07-02,23.11,23.19,22.86,22.9,17.05,2918200,0.0,0
2015-07-06,22.78,23.2,22.71,23.18,17.25,4495500,0.0,0
2015-07-07,23.26,23.69,23.26,23.68,17.63,4315700,0.0,0
2015-07-08,23.54,24.05,23.54,23.84,17.75,5626000,0.0,0
2015-07-09,24.02,24.13,23.56,23.63,17.59,2407100,0.0,0
2015-07-10,23.79,24.11,23.68,23.88,17.78,3161600,0.0,0
2015-07-13,24.07,24.24,23.84,24.04,17.89,3497000,0.0,0
2015-07-14,24.09,24.24,23.87,24.11,17.95,3878400,0.0,0
2015-07-15,24.04,24.41,23.92,24.26,18.06,3886400,0.0,0
2015-07-16,24.38,24.59,24.3,24.54,18.27,3549900,0.0,0
2015-07-17,24.54,24.65,24.37,24.45,18.2,3337200,0.0,0
2015-07-20,24.34,24.51,24.25,24.45,18.2,1527500,0.0,0
2015-07-21,24.45,24.59,24.32,24.33,18.11,2039700,0.0,0
2015-07-22,24.33,24.62,24.22,24.55,18.27,2396700,0.0,0
2015-07-23,24.54,24.58,24.01,24.15,17.98,2887600,0.0,0
2015-07-24,24.08,24.4,24.07,24.29,18.08,2773600,0.0,0
2015-07-27,24.32,24.51,24.23,24.33,18.11,2215800,0.0,0
2015-07-28,24.36,24.61,24.23,24.41,18.17,3647600,0.0,0
2015-07-29,24.4,24.64,24.22,24.51,18.24,3242500,0.0,0
2015-07-30,24.44,24.62,24.35,24.45,18.2,2970700,0.0,0
2015-07-31,24.69,24.99,24.65,24.71,18.39,3394600,0.0,0
2015-08-03,24.7,25.07,24.7,25.06,18.65,3921000,0.0,0
2015-08-04,25.0,25.33,24.85,24.88,18.52,2980600,0.0,0
2015-08-05,24.97,24.99,24.57,24.65,18.35,2837000,0.0,0
2015-08-06,24.62,24.86,24.35,24.82,18.47,3995200,0.0,0
2015-08-07,24.76,24.96,24.52,24.91,18.54,1959700,0.0,0
2015-08-10,24.98,25.06,24.57,24.67,18.36,2967300,0.0,0
2015-08-11,24.64,25.04,24.58,24.9,18.53,3080500,0.0,0
2015-08-12,24.83,25.17,24.74,25.16,18.73,4012300,0.0,0
2015-08-13,25.0,25.44,24.94,25.32,18.85,2876100,0.0,0
2015-08-14,25.25,25.42,25.1,25.4,18.91,1733200,0.0,0
2015-08-17,25.39,25.57,25.15,25.55,19.02,2209200,0.0,0
2015-08-18,25.47,25.7,25.43,25.66,19.1,1856400,0.0,0
2015-08-19,25.51,25.54,25.22,25.4,18.91,2820100,0.0,0
2015-08-20,25.29,25.4,25.06,25.18,18.74,2544400,0.0,0
2015-08-21,25.13,25.21,24.54,24.55,18.27,4181700,0.0,0
2015-08-24,24.9,25.57,23.23,23.3,17.34,7127700,0.0,0
2015-08-25,23.76,23.9,22.52,22.6,16.82,6017200,0.0,0
2015-08-26,23.23,23.61,22.78,23.55,17.53,7235800,0.0,0
2015-08-27,23.75,24.04,23.39,23.81,17.72,5283700,0.0,0
2015-08-28,23.78,23.78,23.46,23.58,17.55,4619800,0.0,0
2015-08-31,23.48,23.58,23.02,23.05,17.16,6912900,0.0,0
2015-09-01,22.64,22.97,22.34,22.54,16.78,4818800,0.0,0
2015-09-02,22.9,22.9,22.49,22.76,16.94,3909900,0.0,0
2015-09-03,22.88,23.03,22.55,22.83,16.99,3033800,0.0,0
2015-09-04,22.56,22.61,22.07,22.28,16.58,3187500,0.0,0
2015-09-08,22.57,22.7,22.34,22.64,16.85,3200600,0.0,0
2015-09-09,22.82,22.87,22.22,22.26,16.57,2743600,0.0,0
2015-09-10,22.22,22.64,22.12,22.46,16.72,4643600,0.0,0
2015-09-11,22.39,23.0,22.37,23.0,17.12,3175100,0.0,0
2015-09-14,23.09,23.1,22.84,22.96,17.09,2134500,0.0,0
2015-09-15,23.03,23.4,22.89,23.27,17.32,2805900,0.0,0
2015-09-16,23.25,23.67,23.25,23.59,17.56,2491900,0.0,0
2015-09-17,23.55,24.3,23.49,23.84,17.75,3344900,0.0,0
2015-09-18,23.47,24.33,23.45,24.13,17.96,7537400,0.0,0
2015-09-21,24.16,24.49,24.09,24.29,18.08,3756300,0.0,0
2015-09-22,23.93,24.26,23.84,24.06,17.91,3832000,0.0,0
2015-09-23,24.05,24.37,23.97,24.23,18.04,2195500,0.0,0
2015-09-24,24.12,24.32,23.75,23.93,17.81,3420800,0.0,0
2015-09-25,23.98,24.24,23.76,24.12,17.95,3616200,0.0,0
2015-09-28,24.01,24.08,23.44,23.68,17.63,3238300,0.0,0
2015-09-29,23.67,24.12,23.67,24.08,17.92,2872900,0.0,0
2015-09-30,24.41,24.48,24.14,24.43,18.18,4253400,0.0,0
2015-10-01,24.34,24.54,23.98,24.49,18.41,4779400,0.24,0
2015-10-02,24.3,24.89,24.2,24.89,18.71,4831600,0.0,0
2015-10-05,24.94,25.29,24.8,25.26,18.99,3424500,0.0,0
2015-10-06,25.26,25.42,24.99,25.01,18.8,2741000,0.0,0
2015-10-07,25.05,25.37,24.97,25.37,19.07,2982700,0.0,0
