Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,70.0,70.22,68.74,68.81,68.81,941500,0,0
2015-04-28,68.96,69.61,68.35,69.39,69.39,1221800,0,0
2015-04-29,69.21,69.28,68.37,68.76,68.76,947500,0,0
2015-04-30,68.44,68.83,67.69,68.11,68.11,1416400,0,0
2015-05-01,68.25,69.82,68.17,69.81,69.81,1296000,0,0
2015-05-04,70.05,71.36,69.93,71.33,71.33,1611000,0,0
2015-05-05,71.11,71.84,70.21,70.3,70.3,1637300,0,0
2015-05-06,70.35,70.71,69.4,69.97,69.97,1337100,0,0
2015-05-07,69.93,71.03,69.78,70.84,70.84,1240300,0,0
2015-05-08,71.56,72.14,71.46,71.53,71.53,1105000,0,0
2015-05-11,71.35,72.25,71.26,71.35,71.35,1350900,0,0
2015-05-12,70.96,71.65,70.73,71.27,71.27,834900,0,0
2015-05-13,71.82,71.87,70.84,71.11,71.11,960900,0,0
2015-05-14,71.91,72.05,71.28,71.72,71.72,1596800,0,0
2015-05-15,71.91,72.45,71.74,72.26,72.26,1741200,0,0
2015-05-18,72.45,73.2,72.32,73.0,73.0,1520200,0,0
2015-05-19,72.94,73.05,72.12,72.26,72.26,1036600,0,0
2015-05-20,72.38,72.63,72.1,72.3,72.3,996700,0,0
2015-05-21,72.01,72.94,71.92,72.51,72.51,1298400,0,0
2015-05-22,72.56,72.85,71.93,72.41,72.41,1286200,0,0
2015-05-26,72.36,72.68,71.61,71.71,71.71,868300,0,0
2015-05-27,72.15,72.99,71.87,72.84,72.84,1839400,0,0
2015-05-28,72.92,73.15,72.16,72.38,72.38,858800,0,0
2015-05-29,72.14,72.41,71.04,71.04,71.04,1481200,0,0
2015-06-01,71.44,72.05,70.83,71.7,71.7,856200,0,0
2015-06-02,71.37,72.23,71.36,72.1,72.1,874000,0,0
2015-06-03,72.15,73.14,72.1,72.81,72.81,1064300,0,0
2015-06-04,72.48,73.2,72.39,73.09,73.09,1287100,0,0
2015-06-05,73.11,73.76,72.85,73.7,73.7,1376500,0,0
2015-06-08,73.15,73.48,72.15,72.16,72.16,1706400,0,0
2015-06-09,72.05,72.85,72.05,72.59,72.59,819100,0,0
2015-06-10,72.85,73.34,72.81,73.15,73.15,1078800,0,0
2015-06-11,73.47,73.69,72.67,72.78,72.78,798700,0,0
2015-06-12,72.53,73.12,72.37,72.86,72.86,1182300,0,0
