Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,91.53,91.72,90.28,90.34,71.08,1215500,0.0,0
2015-04-28,90.4,90.64,89.35,90.06,70.86,1377900,0.0,0
2015-04-29,89.97,90.35,88.6,89.0,70.02,1555800,0.0,0
2015-04-30,88.84,90.59,88.48,89.36,70.31,2151100,0.0,0
2015-05-01,89.8,91.71,89.7,91.67,72.12,1328200,0.0,0
2015-05-04,91.62,92.13,90.34,90.57,71.26,1115300,0.0,0
2015-05-05,90.0,90.53,89.41,89.86,70.7,1775100,0.0,0
2015-05-06,90.28,90.88,89.65,90.83,71.46,1585800,0.0,0
2015-05-07,89.99,91.0,88.7,88.97,70.0,2210500,0.0,0
2015-05-08,89.75,91.08,89.63,90.27,71.02,1578400,0.0,0
2015-05-11,90.2,90.32,89.24,89.36,70.31,1488600,0.0,0
2015-05-12,89.05,89.09,87.62,88.01,69.24,3081500,0.0,0
2015-05-13,88.04,88.58,86.66,87.01,68.46,2216900,0.0,0
2015-05-14,87.73,88.23,86.56,87.64,68.95,1469400,0.0,0
2015-05-15,87.89,88.44,87.57,88.23,69.42,1025500,0.0,0
2015-05-18,88.32,89.15,88.11,88.9,69.94,1046500,0.0,0
2015-05-19,89.05,89.49,87.89,88.12,69.33,1449200,0.0,0
2015-05-20,88.66,89.22,87.78,88.7,69.79,2189600,0.0,0
2015-05-21,87.99,89.95,87.5,88.46,69.6,1650800,0.0,0
2015-05-22,88.34,88.82,86.71,87.46,68.81,1439800,0.0,0
2015-05-26,88.5,88.7,85.77,85.85,67.55,2135200,0.0,0
2015-05-27,86.04,87.77,86.04,87.28,68.67,1511100,0.0,0
2015-05-28,87.46,87.88,87.02,87.43,68.79,1235500,0.0,0
2015-05-29,87.06,87.58,86.46,86.52,68.07,1303700,0.0,0
2015-06-01,86.59,86.82,85.98,86.41,67.99,1304700,0.0,0
2015-06-02,86.37,86.89,85.86,86.19,67.81,1172800,0.0,0
2015-06-03,85.79,86.79,85.28,86.16,68.18,1504800,0.5,0
2015-06-04,86.17,88.26,86.17,87.17,68.98,2007500,0.0,0
2015-06-05,86.95,87.06,85.44,85.46,67.63,1659100,0.0,0
2015-06-08,85.39,85.42,84.0,84.11,66.56,1888600,0.0,0
2015-06-09,84.01,84.59,83.42,83.93,66.42,1521900,0.0,0
2015-06-10,83.96,84.95,83.83,84.74,67.06,1744800,0.0,0
2015-06-11,84.98,85.57,84.57,84.69,67.02,1109600,0.0,0
2015-06-12,84.31,85.01,83.91,84.68,67.01,1466000,0.0,0
2015-06-15,84.03,84.5,83.5,84.24,66.67,1300100,0.0,0
2015-06-16,84.31,84.76,83.87,84.5,66.87,1174800,0.0,0
2015-06-17,84.53,85.2,84.29,84.77,67.08,1318800,0.0,0
2015-06-18,84.93,86.71,84.81,86.08,68.12,1394600,0.0,0
2015-06-19,86.03,86.42,85.44,85.63,67.77,4845200,0.0,0
2015-06-22,86.19,87.35,86.17,86.87,68.75,2021600,0.0,0
2015-06-23,87.09,87.87,86.99,87.58,69.31,1782600,0.0,0
2015-06-24,87.48,87.88,86.63,86.73,68.64,982200,0.0,0
2015-06-25,87.74,88.25,87.06,87.07,68.9,1005100,0.0,0
2015-06-26,87.55,88.43,87.54,88.06,69.69,3080300,0.0,0
2015-06-29,87.12,87.58,84.94,85.08,67.33,1315900,0.0,0
2015-06-30,85.92,86.35,85.35,85.73,67.84,1690000,0.0,0
2015-07-01,86.34,86.5,85.49,86.14,68.17,1543400,0.0,0
2015-07-02,85.89,86.61,85.61,86.36,68.34,2126400,0.0,0
2015-07-06,85.61,87.32,85.48,86.13,68.16,1794900,0.0,0
2015-07-07,86.33,87.18,85.05,87.0,68.85,1974700,0.0,0
2015-07-08,86.58,87.42,85.99,85.99,68.05,1980400,0.0,0
2015-07-09,86.51,86.7,83.62,83.92,66.41,3768700,0.0,0
2015-07-10,84.42,85.25,84.22,84.44,66.82,1879900,0.0,0
2015-07-13,85.18,85.5,84.77,84.98,67.25,1597800,0.0,0
2015-07-14,84.98,85.26,83.97,84.0,66.48,2092200,0.0,0
2015-07-15,84.11,84.69,83.7,84.12,66.57,1516900,0.0,0
