Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,42.18,42.32,41.91,42.1,27.72,290200,0.0,0
2015-04-28,42.01,42.64,41.74,42.6,28.05,347400,0.0,0
2015-04-29,42.5,42.5,41.78,42.02,27.67,341700,0.0,0
2015-04-30,41.88,42.11,41.39,41.64,27.42,379800,0.0,0
2015-05-01,41.7,41.9,41.43,41.89,27.59,198900,0.0,0
2015-05-04,41.85,42.5,41.77,42.2,27.79,213000,0.0,0
2015-05-05,42.03,42.38,41.39,41.46,27.3,238300,0.0,0
2015-05-06,41.47,41.47,40.97,41.31,27.2,184900,0.0,0
2015-05-07,41.15,42.31,41.1,42.19,27.78,372500,0.0,0
2015-05-08,42.6,42.99,42.35,42.71,28.13,231200,0.0,0
2015-05-11,42.6,42.98,42.54,42.88,28.24,437100,0.0,0
2015-05-12,42.56,42.56,38.36,39.63,26.1,1554700,0.0,0
2015-05-13,40.18,40.64,39.67,40.49,26.66,659800,0.0,0
2015-05-14,40.71,41.02,40.54,40.99,26.99,355600,0.0,0
2015-05-15,41.09,41.43,40.61,41.38,27.25,451800,0.0,0
2015-05-18,41.34,42.42,41.25,42.31,27.86,434400,0.0,0
2015-05-19,42.27,42.5,42.12,42.43,27.94,356400,0.0,0
2015-05-20,42.87,43.09,42.49,42.77,28.17,413300,0.0,0
2015-05-21,42.66,42.69,42.31,42.38,27.91,302800,0.0,0
2015-05-22,42.27,42.54,42.02,42.23,27.81,285300,0.0,0
2015-05-26,42.07,42.07,41.47,41.62,27.41,359000,0.0,0
2015-05-27,41.63,42.53,41.39,42.53,28.01,359800,0.0,0
2015-05-28,42.41,42.5,42.0,42.22,27.8,482700,0.0,0
2015-05-29,42.22,42.54,41.96,42.5,27.99,625900,0.0,0
2015-06-01,42.75,42.98,42.53,42.77,28.17,383700,0.0,0
2015-06-02,42.48,42.98,42.1,42.67,28.1,232000,0.0,0
2015-06-03,42.81,43.29,42.59,43.2,28.45,456400,0.0,0
2015-06-04,42.93,43.28,42.59,42.71,28.13,402800,0.0,0
