Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,44.47,44.47,43.62,43.72,37.21,526800,0.0,0
2015-04-28,43.54,44.05,43.17,43.96,37.42,892500,0.0,0
2015-04-29,43.85,43.93,43.2,43.23,36.8,564700,0.0,0
2015-04-30,43.18,43.47,42.34,42.47,36.15,1579600,0.0,0
2015-05-01,42.53,46.22,42.53,45.9,39.07,2476400,0.0,0
2015-05-04,45.93,46.43,45.8,46.17,39.3,1420900,0.0,0
2015-05-05,46.19,46.48,45.67,45.7,38.9,974400,0.0,0
2015-05-06,45.67,45.92,45.21,45.51,38.74,1335900,0.0,0
2015-05-07,45.57,46.42,45.43,46.28,39.39,1009800,0.0,0
2015-05-08,46.63,47.2,46.47,46.54,39.61,866700,0.0,0
2015-05-11,46.43,47.27,46.28,46.79,39.83,1318700,0.0,0
2015-05-12,46.48,46.74,46.11,46.35,39.45,728900,0.0,0
2015-05-13,46.48,46.81,46.04,46.2,39.32,929200,0.0,0
2015-05-14,46.46,47.39,46.34,47.32,40.28,917600,0.0,0
2015-05-15,47.53,47.61,46.92,47.13,40.12,2198800,0.0,0
2015-05-18,46.96,47.47,46.96,47.34,40.29,768000,0.0,0
2015-05-19,47.57,47.92,47.4,47.69,40.59,712600,0.0,0
2015-05-20,47.75,47.75,47.34,47.59,40.51,738300,0.0,0
2015-05-21,47.37,47.66,47.25,47.51,40.44,433300,0.0,0
2015-05-22,47.43,47.75,47.22,47.23,40.2,436100,0.0,0
2015-05-26,47.17,47.33,46.82,46.87,39.89,488100,0.0,0
2015-05-27,46.94,47.32,46.53,47.3,40.26,613900,0.0,0
2015-05-28,47.06,47.6,46.81,47.57,40.49,1403800,0.0,0
2015-05-29,47.7,47.75,47.23,47.28,40.24,692200,0.0,0
2015-06-01,47.41,47.57,47.04,47.31,40.27,525600,0.0,0
2015-06-02,47.07,47.65,46.82,47.39,40.34,552100,0.0,0
2015-06-03,47.43,47.64,47.16,47.5,40.43,557100,0.0,0
2015-06-04,47.32,47.77,47.17,47.74,40.63,905700,0.0,0
2015-06-05,47.65,48.09,47.29,48.07,40.92,915600,0.0,0
2015-06-08,47.96,48.34,47.8,48.13,40.97,1002700,0.0,0
2015-06-09,48.23,48.42,47.94,48.0,40.86,820100,0.0,0
2015-06-10,48.21,49.39,48.21,49.27,41.94,1478600,0.0,0
2015-06-11,49.2,49.71,49.0,49.25,42.19,2462200,0.31,0
2015-06-12,49.04,49.16,48.8,48.88,41.87,1040600,0.0,0
2015-06-15,48.64,48.69,48.15,48.19,41.28,722200,0.0,0
2015-06-16,48.26,48.53,48.07,48.22,41.3,1083200,0.0,0
2015-06-17,48.36,48.66,48.17,48.46,41.51,1147900,0.0,0
2015-06-18,48.62,49.01,48.33,48.98,41.95,1213900,0.0,0
2015-06-19,48.86,49.31,48.86,49.09,42.05,1452400,0.0,0
2015-06-22,49.37,49.6,49.2,49.52,42.42,627800,0.0,0
2015-06-23,49.55,49.95,49.34,49.43,42.34,672300,0.0,0
2015-06-24,49.5,49.74,49.16,49.21,42.15,766200,0.0,0
2015-06-25,49.32,49.61,49.21,49.21,42.15,619300,0.0,0
2015-06-26,49.41,49.81,49.16,49.72,42.59,1739100,0.0,0
2015-06-29,49.36,49.78,48.75,48.78,41.78,869700,0.0,0
2015-06-30,49.06,49.2,48.52,48.68,41.7,925900,0.0,0
2015-07-01,49.27,49.49,49.06,49.44,42.35,1466200,0.0,0
2015-07-02,49.56,49.71,48.91,49.2,42.14,619200,0.0,0
2015-07-06,48.94,49.49,48.73,49.18,42.13,860700,0.0,0
2015-07-07,49.12,49.5,48.68,49.46,42.36,885200,0.0,0
2015-07-08,49.06,49.33,48.53,48.64,41.66,497800,0.0,0
2015-07-09,49.45,49.68,49.06,49.17,42.12,902400,0.0,0
2015-07-10,49.65,50.18,49.42,50.02,42.84,752900,0.0,0
2015-07-13,50.53,50.82,50.33,50.75,43.47,727800,0.0,0
2015-07-14,50.93,50.98,50.52,50.8,43.51,486200,0.0,0
2015-07-15,50.77,50.99,50.47,50.97,43.66,846000,0.0,0
2015-07-16,51.28,51.28,50.64,51.0,43.68,763000,0.0,0
2015-07-17,51.04,51.13,50.37,50.64,43.38,499000,0.0,0
2015-07-20,50.75,50.8,50.45,50.63,43.37,538900,0.0,0
2015-07-21,50.59,50.66,50.04,50.31,43.09,528300,0.0,0
2015-07-22,50.37,51.06,50.27,50.8,43.51,575900,0.0,0
2015-07-23,50.87,50.97,50.33,50.38,43.15,543400,0.0,0
2015-07-24,50.27,50.49,49.57,49.66,42.54,826600,0.0,0
2015-07-27,49.56,49.63,48.63,48.78,41.78,967700,0.0,0
2015-07-28,49.03,49.52,48.72,49.47,42.37,1520000,0.0,0
2015-07-29,49.42,49.99,49.37,49.79,42.65,703100,0.0,0
2015-07-30,49.52,50.27,49.47,50.22,43.02,849900,0.0,0
2015-07-31,50.05,50.05,47.26,47.81,40.95,3180800,0.0,0
2015-08-03,47.74,48.3,47.6,47.96,41.08,1253800,0.0,0
2015-08-04,51.01,51.01,47.5,47.67,40.83,910700,0.0,0
2015-08-05,48.11,48.18,47.7,47.96,41.08,882400,0.0,0
2015-08-06,47.79,48.27,47.27,47.33,40.54,699400,0.0,0
2015-08-07,47.36,47.55,47.01,47.51,40.69,725400,0.0,0
2015-08-10,47.98,48.19,47.82,48.04,41.15,743800,0.0,0
2015-08-11,47.52,48.03,47.46,47.69,40.85,1202500,0.0,0
2015-08-12,47.23,47.84,46.88,47.73,40.88,1208900,0.0,0
2015-08-13,47.88,48.47,47.66,48.1,41.2,691400,0.0,0
2015-08-14,47.99,48.64,47.91,48.59,41.62,609900,0.0,0
2015-08-17,48.22,48.71,48.0,48.69,41.71,617900,0.0,0
2015-08-18,48.66,49.25,48.57,49.19,42.13,697300,0.0,0
2015-08-19,48.99,49.6,48.55,49.42,42.33,1005600,0.0,0
2015-08-20,48.89,48.93,47.97,48.05,41.16,933600,0.0,0
2015-08-21,47.6,48.19,46.68,47.08,40.33,3509800,0.0,0
2015-08-24,44.64,47.07,39.58,45.32,38.82,2169600,0.0,0
2015-08-25,46.43,46.43,44.02,44.02,37.71,1494100,0.0,0
2015-08-26,44.71,44.71,42.74,43.66,37.4,2817500,0.0,0
2015-08-27,44.2,44.3,42.92,43.75,37.47,2182100,0.0,0
2015-08-28,43.87,44.33,43.51,44.14,37.81,965200,0.0,0
2015-08-31,45.11,45.11,44.39,44.42,38.05,1137800,0.0,0
2015-09-01,43.57,43.8,43.05,43.24,37.04,952100,0.0,0
2015-09-02,43.71,43.93,43.1,43.92,37.62,1067700,0.0,0
2015-09-03,44.05,44.55,43.77,43.86,37.57,997000,0.0,0
