Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,46.66,46.67,45.5,45.59,44.72,2682300,0.0,0.0
2015-04-28,45.52,45.74,44.91,45.73,44.85,3078200,0.0,0.0
2015-04-29,45.43,45.51,44.74,45.44,44.56,3572400,0.0,0.0
2015-04-30,45.18,45.56,44.86,45.03,44.17,3948600,0.0,0.0
2015-05-01,44.96,46.31,44.96,46.04,45.15,2767900,0.0,0.0
2015-05-04,46.16,46.55,45.44,45.61,44.74,2198700,0.0,0.0
2015-05-05,45.59,45.99,44.53,44.56,43.71,3475300,0.0,0.0
2015-05-06,44.73,44.9,44.01,44.53,43.68,2903700,0.0,0.0
2015-05-07,44.48,45.84,44.45,45.69,44.81,2741800,0.0,0.0
2015-05-08,46.99,47.81,46.62,46.7,45.8,3880100,0.0,0.0
2015-05-11,46.62,46.9,45.89,45.92,45.04,2643900,0.0,0.0
2015-05-12,45.59,46.2,45.12,45.91,45.03,2627300,0.0,0.0
2015-05-13,45.99,46.53,45.77,45.85,44.97,1824500,0.0,0.0
2015-05-14,46.23,46.61,45.94,46.49,45.6,1616000,0.0,0.0
2015-05-15,46.03,46.86,45.77,46.8,45.9,2079800,0.0,0.0
2015-05-18,46.86,47.71,46.4,47.63,46.71,3567800,0.0,0.0
2015-05-19,48.55,49.3,47.5,47.86,46.94,3899300,0.0,0.0
2015-05-20,48.04,48.26,47.22,47.94,47.01,1989200,0.0,0.0
2015-05-21,47.76,48.04,47.3,47.6,46.69,1834600,0.0,0.0
2015-05-22,47.52,47.85,47.2,47.72,46.8,2495200,0.0,0.0
2015-05-26,47.64,47.71,46.59,46.61,45.71,2368800,0.0,0.0
2015-05-27,46.79,46.84,46.06,46.39,45.5,3595500,0.0,0.0
2015-05-28,46.27,47.13,46.18,46.73,45.83,3082500,0.0,0.0
2015-05-29,46.53,46.79,45.85,45.85,44.97,5171300,0.0,0.0
2015-06-01,46.09,46.33,45.83,46.24,45.35,2305300,0.0,0.0
2015-06-02,46.0,46.73,45.78,46.26,45.37,1653000,0.0,0.0
2015-06-03,46.33,46.92,45.92,46.49,45.6,3980200,0.0,0.0
2015-06-04,46.14,46.52,45.47,45.64,44.77,3596800,0.0,0.0
2015-06-05,45.48,46.07,45.24,45.93,45.05,1993300,0.0,0.0
2015-06-08,45.78,46.12,45.42,45.47,44.59,1995200,0.0,0.0
2015-06-09,45.33,45.73,45.01,45.56,44.68,1593700,0.0,0.0
2015-06-10,45.75,46.6,45.54,46.38,45.49,2169800,0.0,0.0
2015-06-11,46.58,47.06,46.35,46.41,45.52,2079300,0.0,0.0
2015-06-12,46.3,46.75,46.05,46.68,45.78,1128400,0.0,0.0
2015-06-15,46.64,47.6,46.46,47.01,46.11,2473400,0.0,0.0
2015-06-16,46.94,46.99,46.41,46.76,45.87,1768600,0.0,0.0
2015-06-17,46.81,46.92,45.75,46.21,45.33,2718000,0.0,0.0
2015-06-18,46.27,47.04,46.22,46.52,45.62,2408000,0.0,0.0
2015-06-19,46.83,48.24,46.83,47.83,46.91,4564300,0.0,0.0
2015-06-22,48.15,48.81,48.08,48.67,47.74,3512200,0.0,0.0
2015-06-23,48.89,49.16,47.93,48.18,47.25,5064400,0.0,0.0
2015-06-24,51.09,51.5,49.75,50.21,49.24,7723400,0.0,0.0
2015-06-25,50.54,51.62,50.53,50.58,49.61,4036200,0.0,0.0
2015-06-26,50.84,51.13,50.18,51.11,50.13,4128800,0.0,0.0
2015-06-29,50.83,51.07,49.96,49.98,49.02,3050600,0.0,0.0
2015-06-30,50.46,50.99,50.17,50.19,49.22,3202700,0.0,0.0
2015-07-01,50.73,50.73,49.62,50.24,49.27,2479000,0.0,0.0
2015-07-02,50.54,50.71,49.81,50.34,49.38,2200000,0.0,0.0
2015-07-06,49.83,50.78,49.57,50.08,49.15,2820100,0.04,0.0
2015-07-07,50.15,51.95,50.15,51.89,50.93,4850100,0.0,0.0
2015-07-08,51.62,52.07,51.22,51.51,50.56,3544100,0.0,0.0
2015-07-09,51.97,52.52,51.82,51.84,50.88,3361800,0.0,0.0
2015-07-10,52.31,52.68,52.02,52.41,51.44,2411100,0.0,0.0
2015-07-13,52.75,52.94,52.03,52.52,51.55,2366400,0.0,0.0
2015-07-14,52.43,53.06,52.36,52.83,51.86,3380300,0.0,0.0
2015-07-15,52.83,52.99,52.02,52.46,51.49,2804600,0.0,0.0
2015-07-16,52.66,52.74,51.52,52.0,51.04,3204800,0.0,0.0
2015-07-17,52.08,52.17,51.34,51.56,50.61,1904900,0.0,0.0
2015-07-20,51.65,51.77,50.77,50.88,49.95,2741800,0.0,0.0
2015-07-21,50.83,51.46,50.64,51.12,50.18,1764100,0.0,0.0
2015-07-22,50.99,52.65,50.94,52.3,51.34,2860200,0.0,0.0
2015-07-23,52.46,52.61,50.93,51.58,50.63,2292700,0.0,0.0
2015-07-24,51.63,51.63,49.38,49.72,48.81,3635300,0.0,0.0
2015-07-27,49.36,50.0,49.22,49.71,48.8,2367400,0.0,0.0
2015-07-28,50.1,50.51,49.36,50.15,49.22,2174300,0.0,0.0
2015-07-29,50.24,50.9,49.79,50.75,49.81,1727000,0.0,0.0
2015-07-30,50.64,51.4,50.01,51.31,50.36,1989800,0.0,0.0
2015-07-31,51.51,52.52,50.94,52.15,51.19,3576100,0.0,0.0
2015-08-03,52.11,52.15,51.21,51.64,50.69,1691200,0.0,0.0
2015-08-04,51.47,51.62,50.34,50.44,49.51,3950700,0.0,0.0
2015-08-05,50.71,50.96,49.14,49.55,48.63,2977700,0.0,0.0
2015-08-06,49.76,49.91,48.76,49.21,48.31,2014200,0.0,0.0
2015-08-07,49.12,49.36,48.84,49.09,48.18,1525300,0.0,0.0
2015-08-10,49.58,50.43,49.53,50.12,49.19,1475900,0.0,0.0
2015-08-11,49.97,50.7,49.56,50.59,49.66,1625500,0.0,0.0
2015-08-12,50.3,50.88,49.6,50.87,49.93,1508400,0.0,0.0
2015-08-13,50.77,51.97,50.74,51.55,50.6,1537900,0.0,0.0
2015-08-14,51.41,51.73,50.82,51.66,50.71,1568700,0.0,0.0
2015-08-17,51.47,53.07,51.34,53.04,52.06,2898100,0.0,0.0
2015-08-18,53.88,55.07,53.61,54.66,53.65,5137000,0.0,0.0
2015-08-19,54.43,55.1,53.89,54.07,53.07,4234500,0.0,0.0
2015-08-20,53.38,54.12,53.35,53.42,52.44,2834800,0.0,0.0
2015-08-21,52.99,53.52,52.13,52.56,51.59,3638700,0.0,0.0
2015-08-24,49.16,51.38,46.0,49.24,48.33,5058600,0.0,0.0
2015-08-25,50.66,50.66,47.36,47.37,46.5,4220100,0.0,0.0
2015-08-26,48.71,49.04,47.29,48.87,47.97,3951700,0.0,0.0
2015-08-27,49.52,50.61,48.95,50.45,49.52,3283700,0.0,0.0
2015-08-28,50.33,50.74,49.36,49.59,48.67,3972400,0.0,0.0
2015-08-31,49.64,50.57,49.5,50.05,49.13,2635000,0.0,0.0
2015-09-01,49.09,50.16,48.18,48.6,47.71,2437800,0.0,0.0
2015-09-02,49.12,50.17,48.7,50.16,49.23,2074900,0.0,0.0
2015-09-03,50.47,51.17,50.26,50.78,49.84,2142600,0.0,0.0
2015-09-04,50.24,50.51,49.44,49.57,48.65,1617700,0.0,0.0
2015-09-08,50.3,51.48,49.94,51.46,50.51,2520200,0.0,0.0
2015-09-09,51.93,52.07,50.7,50.79,49.85,2646600,0.0,0.0
2015-09-10,50.26,50.61,49.21,50.36,49.43,2810800,0.0,0.0
2015-09-11,50.34,51.37,50.05,51.37,50.42,2491100,0.0,0.0
2015-09-14,51.43,51.64,50.74,51.47,50.53,2940200,0.0,0.0
2015-09-15,51.57,51.63,51.11,51.48,50.53,2871000,0.0,0.0
2015-09-16,51.41,51.58,50.88,51.43,50.48,2296300,0.0,0.0
2015-09-17,51.39,53.32,51.19,52.09,51.13,3033600,0.0,0.0
2015-09-18,51.47,51.85,50.63,50.88,49.95,5644100,0.0,0.0
2015-09-21,52.15,52.5,49.89,50.73,49.79,5689600,0.0,0.0
2015-09-22,50.15,50.29,47.97,48.62,47.73,5427500,0.0,0.0
2015-09-23,48.78,49.6,48.44,48.97,48.06,2711200,0.0,0.0
2015-09-24,48.39,49.36,47.88,49.28,48.37,2808000,0.0,0.0
2015-09-25,49.88,50.33,49.35,49.62,48.7,1974900,0.0,0.0
2015-09-28,49.49,49.49,46.32,46.8,45.94,3880800,0.0,0.0
2015-09-29,46.84,47.17,45.46,46.21,45.36,4604400,0.0,0.0
2015-09-30,46.89,47.44,46.18,47.33,46.45,3305700,0.0,0.0
2015-10-01,47.29,48.1,46.78,48.01,47.13,2482300,0.0,0.0
2015-10-02,47.34,48.27,46.48,48.26,47.37,3066000,0.0,0.0
2015-10-05,48.74,49.71,48.64,49.57,48.65,2131000,0.0,0.0
2015-10-06,49.42,49.74,48.14,48.26,47.37,2062000,0.0,0.0
2015-10-07,48.61,49.67,48.51,49.65,48.73,2161600,0.0,0.0
2015-10-08,49.55,50.29,49.24,50.22,49.29,1699200,0.0,0.0
2015-10-09,50.09,50.57,49.68,50.47,49.54,2395400,0.0,0.0
2015-10-12,50.47,50.58,49.63,50.33,49.41,1419100,0.0,0.0
2015-10-13,50.11,51.06,49.83,49.95,49.03,2557900,0.0,0.0
2015-10-14,49.84,49.97,48.11,48.29,47.4,3638200,0.0,0.0
2015-10-15,48.5,49.02,47.59,48.96,48.05,2858100,0.0,0.0
2015-10-16,48.98,49.46,48.32,49.22,48.32,1351800,0.0,0.0
2015-10-19,49.11,49.71,48.76,49.63,48.71,1904100,0.0,0.0
2015-10-20,49.71,51.11,49.56,50.95,50.05,2170000,0.04,0.0
2015-10-21,51.21,51.47,50.56,51.22,50.31,2533200,0.0,0.0
2015-10-22,51.14,51.56,49.61,50.97,50.07,3136700,0.0,0.0
2015-10-23,51.38,51.52,50.12,51.25,50.34,2831000,0.0,0.0
2015-10-26,51.32,51.62,49.9,50.78,49.88,3266100,0.0,0.0
2015-10-27,50.6,50.68,49.53,49.7,48.82,2410200,0.0,0.0
2015-10-28,49.77,50.81,49.45,50.33,49.45,2376400,0.0,0.0
2015-10-29,49.82,49.86,47.98,48.44,47.58,3219000,0.0,0.0
2015-10-30,48.17,49.67,48.11,49.23,48.36,2230700,0.0,0.0
2015-11-02,49.19,49.63,49.06,49.5,48.62,1799000,0.0,0.0
2015-11-03,49.39,49.99,48.66,49.56,48.68,1987000,0.0,0.0
2015-11-04,49.69,49.93,49.01,49.14,48.28,2938900,0.0,0.0
2015-11-05,49.12,49.12,47.62,48.25,47.4,4871600,0.0,0.0
2015-11-06,47.81,48.29,46.86,47.71,46.87,3701300,0.0,0.0
2015-11-09,47.67,47.67,46.48,47.0,46.17,3134600,0.0,0.0
2015-11-10,47.18,48.66,46.97,48.57,47.72,3468700,0.0,0.0
2015-11-11,48.56,49.81,48.29,49.2,48.33,2198900,0.0,0.0
2015-11-12,48.75,48.89,47.68,47.89,47.04,1996100,0.0,0.0
2015-11-13,47.9,48.49,47.51,47.54,46.7,1561000,0.0,0.0
2015-11-16,47.53,48.87,47.52,48.79,47.93,2641000,0.0,0.0
2015-11-17,48.89,49.47,48.52,48.7,47.84,2360000,0.0,0.0
2015-11-18,48.63,49.84,48.55,49.71,48.83,1863900,0.0,0.0
2015-11-19,49.68,50.18,49.62,49.74,48.87,1282100,0.0,0.0
2015-11-20,50.02,50.41,49.8,50.14,49.25,1270300,0.0,0.0
2015-11-23,50.15,50.57,49.97,50.18,49.29,1672700,0.0,0.0
2015-11-24,49.9,51.03,49.81,50.78,49.88,2178600,0.0,0.0
2015-11-25,50.74,51.24,50.58,51.06,50.16,1279700,0.0,0.0
2015-11-27,50.92,51.31,50.65,51.09,50.19,795900,0.0,0.0
2015-11-30,51.22,51.26,50.29,50.35,49.46,1800100,0.0,0.0
2015-12-01,50.56,51.61,50.37,51.44,50.53,1801100,0.0,0.0
2015-12-02,51.48,51.56,49.92,50.44,49.55,2196200,0.0,0.0
2015-12-03,50.52,50.67,48.89,49.25,48.38,1915200,0.0,0.0
2015-12-04,49.41,50.61,49.07,50.53,49.64,1567000,0.0,0.0
2015-12-07,50.33,50.72,50.14,50.61,49.72,1539100,0.0,0.0
2015-12-08,49.98,50.34,48.86,49.26,48.39,2376400,0.0,0.0
2015-12-09,49.06,49.52,48.01,48.46,47.6,2109600,0.0,0.0
2015-12-10,48.55,49.4,48.4,48.95,48.08,1634600,0.0,0.0
2015-12-11,48.38,48.49,47.81,48.09,47.24,1961100,0.0,0.0
2015-12-14,48.02,48.21,47.25,47.8,46.95,4207400,0.0,0.0
2015-12-15,48.13,48.82,47.94,48.4,47.54,2693400,0.0,0.0
2015-12-16,49.04,49.82,48.68,49.65,48.77,3603400,0.0,0.0
2015-12-17,49.79,49.94,47.85,47.87,47.02,4940900,0.0,0.0
2015-12-18,48.36,48.57,45.92,46.7,45.87,8677200,0.0,0.0
2015-12-21,47.17,48.18,46.7,47.25,46.41,3842200,0.0,0.0
2015-12-22,47.39,48.41,46.84,48.18,47.33,3591800,0.0,0.0
2015-12-23,48.22,49.02,47.26,48.0,47.16,6815600,0.0,0.0
2015-12-24,47.94,48.53,47.85,48.06,47.21,2965900,0.0,0.0
2015-12-28,47.86,48.42,47.49,48.35,47.49,2738400,0.0,0.0
2015-12-29,48.71,49.14,48.4,48.77,47.91,2329700,0.0,0.0
2015-12-30,48.9,49.27,48.44,48.53,47.68,1541100,0.0,0.0
