Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,128.0,129.33,125.13,125.61,125.61,1703500,0,0
2015-04-28,125.38,125.91,120.26,123.46,123.46,2882700,0,0
2015-04-29,123.1,123.58,119.42,120.65,120.65,1266100,0,0
2015-04-30,120.92,121.13,118.73,119.56,119.56,1387300,0,0
2015-05-01,119.7,120.61,118.36,119.77,119.77,1396600,0,0
2015-05-04,119.33,120.58,118.87,119.19,119.19,1178200,0,0
2015-05-05,118.28,118.87,117.22,117.3,117.3,1260500,0,0
2015-05-06,117.41,118.04,116.72,117.21,117.21,991800,0,0
2015-05-07,117.22,118.86,117.22,118.39,118.39,836200,0,0
2015-05-08,119.62,120.0,118.19,118.4,118.4,722700,0,0
2015-05-11,118.12,118.55,117.4,117.46,117.46,854000,0,0
2015-05-12,116.61,117.38,116.18,116.3,116.3,939200,0,0
2015-05-13,116.79,117.64,116.0,116.56,116.56,1283600,0,0
2015-05-14,117.21,117.72,116.66,117.69,117.69,2046900,0,0
2015-05-15,117.98,118.03,117.15,117.29,117.29,1025300,0,0
2015-05-18,117.6,118.95,117.26,118.74,118.74,2009200,0,0
2015-05-19,119.19,119.38,118.29,118.34,118.34,1937100,0,0
2015-05-20,118.73,120.54,118.51,119.55,119.55,1730600,0,0
2015-05-21,119.55,120.56,119.19,120.36,120.36,1081500,0,0
2015-05-22,120.43,125.45,119.85,121.42,121.42,2501500,0,0
2015-05-26,120.76,121.54,119.52,119.82,119.82,1372600,0,0
2015-05-27,119.74,120.44,119.29,119.45,119.45,929800,0,0
2015-05-28,119.45,119.84,118.49,118.91,118.91,849800,0,0
2015-05-29,119.08,119.48,117.69,117.95,117.95,1239800,0,0
2015-06-01,118.14,118.88,117.71,118.68,118.68,858400,0,0
2015-06-02,118.21,118.45,117.51,118.0,118.0,770600,0,0
2015-06-03,117.93,118.29,116.94,117.37,117.37,1006100,0,0
2015-06-04,116.63,120.08,116.63,119.73,119.73,1952900,0,0
2015-06-05,119.38,119.84,118.69,119.35,119.35,1397600,0,0
2015-06-08,119.8,121.0,119.25,120.53,120.53,1378700,0,0
2015-06-09,120.35,120.44,119.59,119.91,119.91,1254800,0,0
2015-06-10,119.86,121.31,119.79,120.69,120.69,1235000,0,0
2015-06-11,121.0,121.52,120.85,121.14,121.14,903500,0,0
2015-06-12,120.29,121.08,119.85,119.88,119.88,710200,0,0
2015-06-15,119.11,119.52,118.46,119.29,119.29,941900,0,0
2015-06-16,119.61,120.79,119.22,120.48,120.48,950800,0,0
2015-06-17,120.85,120.94,119.68,120.08,120.08,632800,0,0
2015-06-18,120.48,120.96,119.95,120.24,120.24,686600,0,0
2015-06-19,120.65,121.53,120.09,121.03,121.03,780700,0,0
2015-06-22,122.18,122.5,120.42,120.76,120.76,638500,0,0
2015-06-23,120.71,121.11,119.57,119.9,119.9,846700,0,0
2015-06-24,119.7,119.75,118.63,118.63,118.63,861800,0,0
2015-06-25,119.06,122.06,118.51,120.95,120.95,1326800,0,0
2015-06-26,121.3,121.77,120.76,121.62,121.62,1248600,0,0
2015-06-29,120.71,121.32,119.29,119.39,119.39,1168100,0,0
2015-06-30,120.21,121.28,119.53,121.22,121.22,1242600,0,0
2015-07-01,121.64,123.34,120.74,122.19,122.19,1415900,0,0
2015-07-02,121.91,122.13,120.41,120.75,120.75,1299200,0,0
2015-07-06,119.48,120.23,119.16,120.23,120.23,1380700,0,0
2015-07-07,120.62,120.79,118.89,120.56,120.56,1376800,0,0
2015-07-08,119.81,120.25,117.76,118.03,118.03,1208700,0,0
2015-07-09,119.11,120.05,119.06,119.44,119.44,1095900,0,0
2015-07-10,120.65,121.21,120.14,120.26,120.26,663900,0,0
2015-07-13,121.04,122.37,120.67,122.16,122.16,645400,0,0
2015-07-14,122.29,124.2,122.05,123.74,123.74,822300,0,0
2015-07-15,123.63,123.99,122.21,122.76,122.76,646800,0,0
2015-07-16,122.92,123.81,122.27,123.69,123.69,613900,0,0
2015-07-17,123.27,123.45,122.23,122.3,122.3,1220000,0,0
2015-07-20,122.3,122.75,120.84,122.43,122.43,565500,0,0
2015-07-21,122.68,122.86,120.44,121.07,121.07,976500,0,0
2015-07-22,120.75,121.47,120.68,121.18,121.18,658900,0,0
2015-07-23,121.08,124.08,121.08,122.78,122.78,980000,0,0
2015-07-24,122.48,122.74,121.91,122.18,122.18,527800,0,0
2015-07-27,122.0,122.3,121.1,121.71,121.71,1152900,0,0
2015-07-28,121.9,122.48,117.85,122.21,122.21,2544900,0,0
2015-07-29,122.89,126.82,122.73,126.32,126.32,1821900,0,0
2015-07-30,126.27,126.75,124.89,125.62,125.62,1104200,0,0
2015-07-31,125.96,127.99,125.89,127.29,127.29,1265400,0,0
2015-08-03,127.82,128.84,126.89,127.35,127.35,1351400,0,0
2015-08-04,127.47,127.78,126.62,127.01,127.01,868800,0,0
2015-08-05,127.5,127.91,125.8,127.34,127.34,1031100,0,0
2015-08-06,127.51,127.62,124.87,125.5,125.5,919000,0,0
2015-08-07,125.56,125.59,123.34,124.74,124.74,671700,0,0
2015-08-10,125.45,125.88,124.93,125.19,125.19,446400,0,0
2015-08-11,124.82,125.19,123.47,124.49,124.49,488700,0,0
2015-08-12,123.68,124.15,122.48,123.95,123.95,746000,0,0
2015-08-13,124.19,124.86,123.58,123.81,123.81,752800,0,0
2015-08-14,124.01,124.68,123.33,124.06,124.06,697300,0,0
2015-08-17,123.78,124.85,122.86,124.76,124.76,917900,0,0
2015-08-18,125.39,126.53,124.93,125.16,125.16,1143700,0,0
2015-08-19,124.5,125.85,123.89,125.24,125.24,696300,0,0
2015-08-20,124.27,124.82,122.16,122.16,122.16,736600,0,0
2015-08-21,121.45,122.16,119.9,120.3,120.3,1448200,0,0
2015-08-24,116.37,118.4,114.83,115.37,115.37,2068100,0,0
2015-08-25,118.12,118.12,114.44,114.76,114.76,1494300,0,0
2015-08-26,116.61,117.91,115.02,117.8,117.8,1106000,0,0
2015-08-27,118.54,120.35,117.97,119.82,119.82,1010300,0,0
2015-08-28,119.63,120.28,118.86,119.61,119.61,717500,0,0
2015-08-31,119.55,120.53,117.59,117.81,117.81,667700,0,0
2015-09-01,115.7,116.85,115.09,115.75,115.75,1977800,0,0
2015-09-02,116.52,116.85,114.77,116.38,116.38,1091900,0,0
2015-09-03,116.72,119.67,116.63,117.52,117.52,793100,0,0
2015-09-04,116.24,117.21,115.67,116.39,116.39,940700,0,0
2015-09-08,117.77,118.88,116.86,118.59,118.59,895500,0,0
2015-09-09,119.35,123.17,117.24,117.5,117.5,955200,0,0
2015-09-10,117.18,118.01,116.85,117.52,117.52,830000,0,0
2015-09-11,116.94,118.52,116.01,118.52,118.52,1011300,0,0
2015-09-14,118.83,118.97,117.72,118.29,118.29,707600,0,0
2015-09-15,118.7,120.38,117.94,119.94,119.94,761800,0,0
2015-09-16,120.25,120.68,119.35,119.89,119.89,670100,0,0
2015-09-17,120.1,121.83,119.48,120.45,120.45,655600,0,0
2015-09-18,119.13,120.33,119.0,119.4,119.4,1364100,0,0
2015-09-21,120.0,120.89,118.03,118.84,118.84,1478800,0,0
2015-09-22,117.95,117.98,116.77,117.52,117.52,1050000,0,0
2015-09-23,117.39,117.93,116.42,116.8,116.8,839500,0,0
2015-09-24,116.05,116.26,114.58,115.31,115.31,1385600,0,0
2015-09-25,115.82,115.98,112.17,112.99,112.99,1404900,0,0
2015-09-28,111.73,111.73,106.79,108.27,108.27,2186100,0,0
2015-09-29,108.27,109.95,105.77,106.86,106.86,1894100,0,0
2015-09-30,108.21,108.93,107.4,108.47,108.47,1130100,0,0
2015-10-01,108.29,110.68,107.3,110.18,110.18,1476700,0,0
2015-10-02,108.99,112.4,108.71,112.29,112.29,1040200,0,0
2015-10-05,113.2,113.69,112.14,113.43,113.43,833600,0,0
2015-10-06,113.38,113.57,109.36,110.29,110.29,775000,0,0
2015-10-07,110.46,112.02,109.58,111.67,111.67,761500,0,0
2015-10-08,111.43,112.19,110.17,111.71,111.71,894400,0,0
2015-10-09,111.77,113.4,111.35,112.35,112.35,623500,0,0
2015-10-12,112.3,112.82,109.96,112.6,112.6,1325300,0,0
2015-10-13,112.49,112.54,110.84,111.1,111.1,725900,0,0
2015-10-14,111.37,112.18,110.2,111.55,111.55,1415300,0,0
2015-10-15,111.65,115.59,111.34,115.38,115.38,2190900,0,0
2015-10-16,115.8,118.18,115.59,117.41,117.41,1260000,0,0
2015-10-19,117.22,117.65,116.51,117.39,117.39,1152300,0,0
2015-10-20,117.53,118.18,116.35,117.58,117.58,530300,0,0
2015-10-21,118.07,118.52,114.55,116.04,116.04,1184700,0,0
2015-10-22,115.51,115.69,107.9,109.51,109.51,2751900,0,0
2015-10-23,110.75,112.87,109.92,111.95,111.95,1696600,0,0
2015-10-26,113.98,118.16,113.68,117.74,117.74,1885000,0,0
2015-10-27,117.64,121.14,117.01,120.67,120.67,1695900,0,0
2015-10-28,120.98,123.09,119.85,122.81,122.81,1718200,0,0
2015-10-29,122.5,124.5,122.45,123.35,123.35,1011800,0,0
2015-10-30,122.57,123.9,121.88,122.74,122.74,879100,0,0
