Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,81.14,81.84,80.5,80.74,73.31,878400,0.0,0
2015-04-28,80.87,81.17,80.22,81.09,73.63,739100,0.0,0
2015-04-29,80.69,80.9,78.76,79.26,71.97,905500,0.0,0
2015-04-30,79.09,80.79,78.75,80.24,72.86,1359300,0.0,0
2015-05-01,80.77,81.43,80.16,80.45,73.05,838400,0.0,0
2015-05-04,80.67,80.97,80.3,80.47,73.07,695000,0.0,0
2015-05-05,80.32,81.42,78.59,79.27,71.98,1035100,0.0,0
2015-05-06,79.18,80.06,78.28,78.5,71.28,746700,0.0,0
2015-05-07,78.4,79.11,77.58,78.2,71.01,1184800,0.0,0
2015-05-08,78.53,79.17,78.41,78.87,71.61,1131800,0.0,0
2015-05-11,79.04,79.05,77.97,78.26,71.06,747000,0.0,0
2015-05-12,77.93,78.2,77.17,77.77,70.61,699900,0.0,0
2015-05-13,77.81,78.31,77.2,77.35,70.23,1250800,0.0,0
2015-05-14,77.87,78.79,77.71,78.75,71.5,854000,0.0,0
2015-05-15,78.96,79.3,78.25,78.67,71.43,533000,0.0,0
2015-05-18,78.69,79.43,78.46,79.21,71.92,727300,0.0,0
2015-05-19,79.4,79.5,78.47,79.4,72.09,742500,0.0,0
2015-05-20,78.93,79.84,78.88,79.41,72.53,691200,0.47,0
2015-05-21,79.44,79.67,78.98,79.32,72.45,580300,0.0,0
2015-05-22,79.31,80.74,79.31,80.26,73.31,1323600,0.0,0
2015-05-26,79.94,80.23,78.47,79.09,72.24,1334400,0.0,0
2015-05-27,79.38,80.89,79.36,80.19,73.25,1478900,0.0,0
2015-05-28,80.03,80.47,79.0,79.25,72.39,5354600,0.0,0
2015-05-29,79.47,80.47,78.74,79.22,72.36,1635300,0.0,0
2015-06-01,79.92,79.99,78.0,79.7,72.8,1206300,0.0,0
2015-06-02,79.2,79.63,78.24,78.81,71.99,876100,0.0,0
2015-06-03,78.81,78.99,78.12,78.55,71.75,940600,0.0,0
2015-06-04,78.45,78.77,77.42,77.8,71.06,909300,0.0,0
2015-06-05,77.92,78.66,77.8,78.49,71.69,854100,0.0,0
2015-06-08,78.56,78.72,77.88,78.0,71.25,1392400,0.0,0
2015-06-09,78.11,78.19,77.83,78.01,71.25,667400,0.0,0
2015-06-10,77.94,79.36,77.94,78.91,72.08,713700,0.0,0
2015-06-11,78.89,78.99,78.52,78.64,71.83,590100,0.0,0
2015-06-12,78.33,78.73,78.11,78.25,71.47,515600,0.0,0
2015-06-15,77.82,78.26,77.47,78.02,71.26,729000,0.0,0
2015-06-16,78.02,78.66,78.0,78.6,71.79,449500,0.0,0
2015-06-17,78.78,79.06,78.19,78.6,71.79,490200,0.0,0
2015-06-18,78.6,79.18,78.55,79.03,72.19,656400,0.0,0
