Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,122.5,123.73,121.97,123.59,110.29,1804400,0.0,0
2015-04-28,123.16,123.94,122.25,122.79,109.58,1563300,0.0,0
2015-04-29,120.0,124.99,119.81,124.69,111.27,2635200,0.0,0
2015-04-30,124.18,124.3,121.24,121.93,108.81,3068600,0.0,0
2015-05-01,122.25,123.66,122.08,122.75,109.54,1204300,0.0,0
2015-05-04,123.01,123.35,122.04,122.27,109.11,826100,0.0,0
2015-05-05,122.48,122.83,120.53,120.91,107.9,796500,0.0,0
2015-05-06,121.76,121.96,119.44,119.85,106.95,1453000,0.0,0
2015-05-07,119.43,121.03,119.14,120.77,107.78,1039000,0.0,0
2015-05-08,122.07,122.24,120.91,121.02,108.0,1408700,0.0,0
2015-05-11,120.71,121.1,118.97,119.15,106.33,1696000,0.0,0
2015-05-12,118.84,118.84,117.46,117.84,105.16,1810800,0.0,0
2015-05-13,117.82,118.24,117.19,117.81,105.13,1509900,0.0,0
2015-05-14,118.76,120.7,118.32,120.61,107.63,1515300,0.0,0
2015-05-15,120.27,123.07,120.27,122.4,109.23,1920100,0.0,0
2015-05-18,122.02,122.23,121.14,121.85,108.74,938700,0.0,0
2015-05-19,121.88,121.88,120.74,121.33,108.28,887700,0.0,0
2015-05-20,121.78,122.35,121.0,121.48,108.41,1083900,0.0,0
2015-05-21,121.33,121.87,121.07,121.86,108.75,830200,0.0,0
2015-05-22,121.7,122.3,121.16,122.01,108.88,1430900,0.0,0
2015-05-26,121.22,121.68,120.87,121.67,108.58,1429900,0.0,0
2015-05-27,121.23,121.64,120.67,121.53,108.45,1229500,0.0,0
2015-05-28,121.29,122.76,121.15,122.75,109.54,1354800,0.0,0
2015-05-29,122.56,123.33,122.24,122.86,109.64,2269000,0.0,0
2015-06-01,123.01,123.09,121.8,122.46,109.28,1448400,0.0,0
2015-06-02,122.38,122.68,121.7,122.54,109.36,1212900,0.0,0
2015-06-03,121.9,122.82,121.9,122.82,110.25,1319600,0.715,0
2015-06-04,120.9,122.14,120.9,121.38,108.96,1691700,0.0,0
2015-06-05,120.9,121.74,120.57,121.38,108.96,1220600,0.0,0
2015-06-08,121.38,121.98,121.1,121.79,109.32,2319300,0.0,0
2015-06-09,121.93,122.3,121.6,121.96,109.48,1628700,0.0,0
2015-06-10,122.65,123.06,122.03,123.01,110.42,1007600,0.0,0
2015-06-11,123.18,123.4,122.67,123.24,110.63,1103100,0.0,0
2015-06-12,123.17,123.31,122.7,123.18,110.57,1253600,0.0,0
2015-06-15,122.24,122.54,121.13,121.22,108.81,1339600,0.0,0
2015-06-16,121.08,121.82,121.05,121.74,109.28,800200,0.0,0
2015-06-17,122.11,122.87,121.45,122.67,110.11,1061900,0.0,0
2015-06-18,123.02,124.17,122.56,123.79,111.12,1032500,0.0,0
2015-06-19,123.79,123.81,122.87,123.0,110.41,1216400,0.0,0
2015-06-22,123.5,123.65,123.0,123.35,110.72,562500,0.0,0
