Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,71.93,72.17,70.63,70.89,62.23,5328400,0.0,0
2015-04-28,70.62,71.28,70.2,71.18,62.48,4557900,0.0,0
2015-04-29,71.86,72.82,71.84,72.28,63.45,6789600,0.0,0
2015-04-30,71.96,72.61,71.43,71.87,63.09,5479300,0.0,0
2015-05-01,72.26,73.33,71.25,73.12,64.19,6533400,0.0,0
2015-05-04,73.25,73.59,72.85,73.05,64.12,4040700,0.0,0
2015-05-05,72.83,72.97,71.82,71.91,63.12,3735900,0.0,0
2015-05-06,71.97,72.28,71.54,72.05,63.25,3567600,0.0,0
2015-05-07,71.75,72.29,71.72,71.82,63.05,3628100,0.0,0
2015-05-08,72.5,73.7,72.5,73.26,64.31,3713300,0.0,0
2015-05-11,73.26,73.99,73.19,73.47,64.49,2958600,0.0,0
2015-05-12,73.14,73.14,72.31,72.44,63.59,3152800,0.0,0
2015-05-13,72.76,73.23,72.49,72.8,63.91,2682100,0.0,0
2015-05-14,72.68,73.22,72.43,73.06,64.58,3364300,0.5,0
2015-05-15,73.23,73.42,72.59,72.9,64.44,3464400,0.0,0
2015-05-18,73.05,73.09,72.62,72.94,64.47,2162000,0.0,0
2015-05-19,72.82,73.58,72.63,73.45,64.92,3548000,0.0,0
2015-05-20,73.45,73.69,73.18,73.36,64.84,1980300,0.0,0
2015-05-21,73.34,74.35,73.18,74.27,65.65,3288200,0.0,0
2015-05-22,74.05,74.33,73.87,74.3,65.67,3023400,0.0,0
2015-05-26,73.96,74.37,73.82,74.31,65.68,4194600,0.0,0
2015-05-27,74.36,74.99,74.14,74.9,66.2,2901100,0.0,0
2015-05-28,74.8,76.48,74.74,76.41,67.54,4823600,0.0,0
2015-05-29,76.15,79.55,76.02,78.9,69.74,11917000,0.0,0
2015-06-01,78.92,79.85,78.78,79.0,69.83,4866500,0.0,0
2015-06-02,78.76,78.76,77.51,77.95,68.9,4467700,0.0,0
2015-06-03,78.0,78.17,77.28,77.83,68.79,3270800,0.0,0
2015-06-04,77.34,78.6,77.33,77.68,68.66,3786500,0.0,0
2015-06-05,77.56,78.26,76.99,78.12,69.05,2788900,0.0,0
2015-06-08,77.98,78.85,77.83,78.52,69.4,6065900,0.0,0
2015-06-09,78.37,82.89,78.01,82.77,73.16,10109100,0.0,0
2015-06-10,81.99,83.49,81.31,83.18,73.52,13169400,0.0,0
2015-06-11,83.11,87.24,83.08,86.59,76.54,16740800,0.0,0
2015-06-12,85.89,86.0,83.09,84.21,74.43,12630500,0.0,0
2015-06-15,83.57,84.61,83.09,84.08,74.32,5462700,0.0,0
2015-06-16,83.91,85.32,83.63,84.78,74.94,5694500,0.0,0
2015-06-17,84.68,84.68,83.01,83.53,73.83,5968200,0.0,0
2015-06-18,83.89,84.37,82.75,83.04,73.4,7251500,0.0,0
2015-06-19,82.47,83.21,82.32,82.63,73.04,6907000,0.0,0
