Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,195.64,196.58,193.53,193.84,169.67,1377700,0.0,0
2015-04-28,193.75,194.27,191.59,194.02,169.83,1095600,0.0,0
2015-04-29,193.38,194.07,190.93,191.29,167.44,1427200,0.0,0
2015-04-30,190.97,191.46,185.65,186.6,163.34,2257200,0.0,0
2015-05-01,186.8,189.15,186.8,189.0,165.44,1196000,0.0,0
2015-05-04,189.2,190.85,189.15,189.69,166.04,912400,0.0,0
2015-05-05,189.25,189.9,187.11,187.35,163.99,993600,0.0,0
2015-05-06,188.51,189.07,185.91,186.83,163.54,1192200,0.0,0
2015-05-07,186.65,188.95,186.34,188.21,164.74,1040700,0.0,0
2015-05-08,189.96,191.04,189.48,190.48,166.73,950500,0.0,0
2015-05-11,189.81,191.18,189.54,190.47,166.72,832000,0.0,0
2015-05-12,189.22,191.31,188.55,190.61,166.85,941800,0.0,0
2015-05-13,190.97,191.99,190.81,191.0,167.19,980900,0.0,0
2015-05-14,191.62,193.35,191.47,193.05,168.98,1004500,0.0,0
2015-05-15,193.03,193.81,192.1,192.36,168.38,1356500,0.0,0
2015-05-18,192.45,193.63,192.36,193.08,169.01,822100,0.0,0
2015-05-19,193.02,194.31,192.91,193.38,169.27,772100,0.0,0
2015-05-20,193.9,193.9,192.46,193.25,169.16,826500,0.0,0
2015-05-21,193.57,193.94,192.52,193.11,169.03,769700,0.0,0
2015-05-22,193.26,193.36,192.16,192.86,168.81,995600,0.0,0
2015-05-26,192.68,192.68,190.14,190.51,166.76,1380400,0.0,0
2015-05-27,190.45,191.59,190.04,191.35,167.49,1196100,0.0,0
2015-05-28,189.41,190.76,188.93,190.12,167.73,1468900,1.5,0
2015-05-29,189.93,190.1,187.62,188.2,166.04,1517400,0.0,0
2015-06-01,189.48,192.25,188.37,191.07,168.57,2003600,0.0,0
2015-06-02,190.61,191.29,188.8,190.77,168.3,1469200,0.0,0
2015-06-03,191.42,192.33,190.79,191.89,169.29,1340300,0.0,0
2015-06-04,190.76,192.29,189.99,190.17,167.78,1854000,0.0,0
2015-06-05,189.41,189.77,188.43,189.33,167.03,1389100,0.0,0
2015-06-08,189.34,190.83,189.06,189.37,167.07,964800,0.0,0
