Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,31.77,31.86,31.09,31.16,26.55,1346400,0.0,0.0
2015-04-28,30.85,31.19,30.67,31.11,26.75,1207400,0.275,0.0
2015-04-29,30.85,31.04,30.64,30.88,26.55,856200,0.0,0.0
2015-04-30,30.72,30.94,30.1,30.24,26.0,2226800,0.0,0.0
2015-05-01,30.17,30.5,30.04,30.5,26.23,1453400,0.0,0.0
2015-05-04,30.52,31.19,30.51,30.93,26.6,2048800,0.0,0.0
2015-05-05,30.8,30.9,30.11,30.22,25.98,1299400,0.0,0.0
2015-05-06,30.26,30.4,29.81,30.09,25.88,838200,0.0,0.0
2015-05-07,30.16,30.39,30.06,30.15,25.92,1144800,0.0,0.0
2015-05-08,30.49,30.7,29.95,30.13,25.91,2431800,0.0,0.0
2015-05-11,30.06,30.46,29.95,30.05,25.83,1255400,0.0,0.0
2015-05-12,29.89,30.08,29.64,29.95,25.75,1080200,0.0,0.0
2015-05-13,30.08,30.2,29.67,29.74,25.57,1000400,0.0,0.0
2015-05-14,29.83,30.14,29.82,30.14,25.91,930000,0.0,0.0
2015-05-15,30.15,30.53,30.12,30.5,26.23,1158400,0.0,0.0
2015-05-18,30.35,30.7,30.32,30.61,26.32,1119200,0.0,0.0
2015-05-19,30.5,30.7,30.39,30.63,26.34,852600,0.0,0.0
2015-05-20,30.61,30.89,30.58,30.7,26.4,616600,0.0,0.0
2015-05-21,30.65,30.76,30.48,30.67,26.37,575800,0.0,0.0
2015-05-22,30.57,30.67,30.38,30.6,26.32,648800,0.0,0.0
2015-05-26,30.56,30.56,30.09,30.34,26.09,1002400,0.0,0.0
2015-05-27,30.45,30.68,30.31,30.63,26.34,1307000,0.0,0.0
2015-05-28,30.62,30.8,30.54,30.73,26.42,693600,0.0,0.0
2015-05-29,30.71,30.84,30.55,30.65,26.35,1151400,0.0,0.0
2015-06-01,30.7,30.82,30.55,30.69,26.39,1267800,0.0,0.0
2015-06-02,30.55,30.55,30.02,30.26,26.02,2646600,0.0,0.0
2015-06-03,30.23,30.26,29.68,29.81,25.63,1444600,0.0,0.0
2015-06-04,29.65,29.92,29.49,29.53,25.39,1422400,0.0,0.0
2015-06-05,29.33,29.4,29.03,29.15,25.06,1827000,0.0,0.0
2015-06-08,29.12,29.2,28.98,29.02,24.95,935000,0.0,0.0
2015-06-09,29.0,29.16,28.91,28.91,24.85,1284600,0.0,0.0
2015-06-10,29.1,29.23,29.0,29.02,24.95,987200,0.0,0.0
2015-06-11,29.21,29.45,29.16,29.4,25.28,1525800,0.0,0.0
2015-06-12,29.23,29.31,29.04,29.06,24.99,666200,0.0,0.0
2015-06-15,29.03,29.1,28.84,28.93,24.88,917200,0.0,0.0
2015-06-16,28.86,29.2,28.78,29.14,25.06,1204600,0.0,0.0
2015-06-17,29.15,29.4,28.99,29.3,25.19,1106600,0.0,0.0
2015-06-18,29.36,29.89,29.32,29.72,25.55,1401400,0.0,0.0
2015-06-19,29.8,29.86,29.57,29.57,25.43,2195600,0.0,0.0
2015-06-22,29.69,29.69,29.44,29.52,25.39,691200,0.0,0.0
2015-06-23,29.49,29.5,29.02,29.06,24.99,1135000,0.0,0.0
2015-06-24,29.0,29.2,28.83,28.84,24.8,959400,0.0,0.0
2015-06-25,28.86,28.94,28.65,28.68,24.66,1059200,0.0,0.0
2015-06-26,28.61,28.97,28.53,28.92,24.87,1019600,0.0,0.0
2015-06-29,28.91,29.23,28.76,28.77,24.74,1208600,0.0,0.0
2015-06-30,28.94,29.0,28.73,28.86,24.82,1752200,0.0,0.0
2015-07-01,28.94,29.12,28.8,29.07,24.99,1241400,0.0,0.0
2015-07-02,29.25,29.55,29.09,29.5,25.37,1427400,0.0,0.0
2015-07-06,29.52,29.63,29.25,29.55,25.41,1133200,0.0,0.0
2015-07-07,29.69,30.42,29.67,30.39,26.13,1388200,0.0,0.0
2015-07-08,30.26,30.43,30.11,30.2,25.97,949600,0.0,0.0
2015-07-09,30.29,30.39,29.72,29.8,25.62,802800,0.0,0.0
2015-07-10,29.8,30.21,29.57,30.05,25.83,1074000,0.0,0.0
2015-07-13,30.14,30.28,29.97,30.14,25.91,1121400,0.0,0.0
2015-07-14,30.12,30.28,30.06,30.15,25.92,963800,0.0,0.0
2015-07-15,30.09,30.22,29.92,30.2,25.97,1699400,0.0,0.0
2015-07-16,30.24,30.74,30.24,30.67,26.37,1235000,0.0,0.0
2015-07-17,30.56,30.67,30.22,30.24,26.0,1361800,0.0,0.0
2015-07-20,30.22,30.22,29.92,30.12,25.9,561600,0.0,0.0
2015-07-21,30.09,30.18,29.7,29.82,25.64,734000,0.0,0.0
2015-07-22,29.81,30.18,29.81,30.03,25.83,833000,0.0,0.0
2015-07-23,29.93,29.93,29.42,29.58,25.44,1147800,0.0,0.0
2015-07-24,29.59,29.76,29.43,29.63,25.48,938200,0.0,0.0
2015-07-27,29.68,30.19,29.5,30.12,25.9,1185800,0.0,0.0
2015-07-28,30.09,30.3,29.96,30.27,26.03,1238000,0.0,0.0
2015-07-29,29.92,30.22,29.72,30.21,26.21,1220600,0.275,0.0
2015-07-30,30.12,30.62,30.07,30.49,26.45,970000,0.0,0.0
2015-07-31,30.73,31.03,30.59,30.75,26.69,864400,0.0,0.0
2015-08-03,30.75,31.03,30.62,30.8,26.72,768000,0.0,0.0
2015-08-04,30.72,30.72,30.33,30.4,26.38,805000,0.0,0.0
2015-08-05,30.52,30.75,30.4,30.54,26.5,1107400,0.0,0.0
2015-08-06,30.24,30.55,29.88,30.32,26.31,3700800,0.0,0.0
2015-08-07,30.3,30.6,30.04,30.36,26.34,2373600,0.0,0.0
2015-08-10,30.4,30.58,30.23,30.32,26.31,1271600,0.0,0.0
2015-08-11,30.39,30.69,30.19,30.33,26.31,1301600,0.0,0.0
2015-08-12,30.28,30.73,30.22,30.66,26.6,1591400,0.0,0.0
2015-08-13,30.56,30.89,30.35,30.76,26.69,1617600,0.0,0.0
2015-08-14,30.68,30.9,30.52,30.87,26.79,1642000,0.0,0.0
2015-08-17,30.99,31.47,30.86,31.46,27.3,1944200,0.0,0.0
2015-08-18,31.46,31.46,31.15,31.17,27.04,1168200,0.0,0.0
2015-08-19,31.05,31.41,30.94,31.25,27.11,1517000,0.0,0.0
2015-08-20,31.08,31.33,30.85,30.92,26.83,1197200,0.0,0.0
2015-08-21,30.77,30.93,30.36,30.36,26.35,1571200,0.0,0.0
2015-08-24,29.61,29.86,28.92,29.02,25.18,2026400,0.0,0.0
2015-08-25,29.39,29.4,27.99,28.05,24.34,2494200,0.0,0.0
2015-08-26,28.24,28.42,27.76,28.33,24.58,1695200,0.0,0.0
2015-08-27,28.42,28.88,28.33,28.86,25.05,1901200,0.0,0.0
2015-08-28,28.79,28.99,28.49,28.9,25.08,1311200,0.0,0.0
2015-08-31,28.78,28.78,28.11,28.33,24.59,1442800,0.0,0.0
2015-09-01,28.06,28.06,27.44,27.56,23.91,1497600,0.0,0.0
2015-09-02,27.85,27.95,27.33,27.57,23.92,1632400,0.0,0.0
2015-09-03,27.61,27.88,27.58,27.69,24.03,1187200,0.0,0.0
2015-09-04,27.45,27.52,27.14,27.27,23.67,1190600,0.0,0.0
2015-09-08,27.48,27.82,27.42,27.8,24.12,1171000,0.0,0.0
2015-09-09,27.87,27.96,27.47,27.5,23.87,1209800,0.0,0.0
2015-09-10,27.39,27.74,27.35,27.42,23.79,983200,0.0,0.0
2015-09-11,27.33,27.63,27.25,27.62,23.97,985800,0.0,0.0
2015-09-14,27.7,27.84,27.5,27.7,24.04,1018600,0.0,0.0
2015-09-15,27.69,27.85,27.47,27.8,24.12,712000,0.0,0.0
2015-09-16,27.8,28.17,27.7,28.1,24.39,1002800,0.0,0.0
2015-09-17,28.06,28.91,28.05,28.54,24.77,1101000,0.0,0.0
2015-09-18,28.25,28.71,28.19,28.38,24.62,1775600,0.0,0.0
2015-09-21,28.48,28.75,28.4,28.58,24.8,942000,0.0,0.0
2015-09-22,28.38,28.6,28.28,28.35,24.6,774200,0.0,0.0
2015-09-23,28.36,28.51,28.27,28.39,24.63,1096600,0.0,0.0
2015-09-24,28.33,28.74,28.25,28.68,24.89,1085800,0.0,0.0
2015-09-25,28.73,29.32,28.56,28.99,25.16,881600,0.0,0.0
2015-09-28,28.9,29.1,28.8,29.02,25.18,1263400,0.0,0.0
2015-09-29,29.0,29.16,28.68,28.87,25.05,1315800,0.0,0.0
2015-09-30,29.03,29.31,28.93,29.25,25.38,1696200,0.0,0.0
2015-10-01,29.28,29.31,28.59,28.8,24.99,1453600,0.0,0.0
2015-10-02,28.99,29.18,28.64,29.18,25.32,1800600,0.0,0.0
2015-10-05,29.28,29.53,29.1,29.48,25.58,1363000,0.0,0.0
2015-10-06,29.41,29.5,29.14,29.24,25.37,1164200,0.0,0.0
2015-10-07,29.29,29.35,29.02,29.11,25.26,949600,0.0,0.0
2015-10-08,29.05,29.54,29.01,29.47,25.57,743400,0.0,0.0
2015-10-09,29.48,29.51,29.29,29.36,25.48,829800,0.0,0.0
2015-10-12,29.44,29.83,29.41,29.68,25.76,818600,0.0,0.0
2015-10-13,29.65,29.83,29.57,29.7,25.77,1501600,0.0,0.0
2015-10-14,29.77,30.01,29.73,29.76,25.83,1248000,0.0,0.0
2015-10-15,29.91,30.28,29.76,30.26,26.26,1082600,0.0,0.0
2015-10-16,30.32,30.51,30.2,30.36,26.34,1033200,0.0,0.0
2015-10-19,30.28,30.5,30.08,30.5,26.46,818800,0.0,0.0
2015-10-20,30.41,30.74,30.34,30.6,26.55,911400,0.0,0.0
2015-10-21,30.66,30.83,30.39,30.41,26.39,735600,0.0,0.0
2015-10-22,30.46,30.83,30.41,30.77,26.7,835800,0.0,0.0
2015-10-23,30.72,30.75,30.15,30.18,26.19,1009600,0.0,0.0
2015-10-26,30.22,30.33,29.95,30.3,26.29,842600,0.0,0.0
2015-10-27,30.21,30.39,30.08,30.19,26.2,943400,0.0,0.0
2015-10-28,30.03,30.11,29.22,29.65,25.96,1037400,0.275,0.0
2015-10-29,29.41,29.5,29.02,29.33,25.69,1411800,0.0,0.0
2015-10-30,29.43,29.59,29.26,29.51,25.84,1678400,0.0,0.0
2015-11-02,29.53,29.8,29.29,29.77,26.07,1112000,0.0,0.0
2015-11-03,29.69,29.92,29.51,29.86,26.15,905400,0.0,0.0
2015-11-04,29.85,30.17,29.85,30.06,26.32,833600,0.0,0.0
2015-11-05,29.99,30.22,29.9,30.01,26.28,1139600,0.0,0.0
2015-11-06,29.11,29.42,28.38,28.5,24.95,2494400,0.0,0.0
2015-11-09,28.36,28.51,28.07,28.41,24.87,1789000,0.0,0.0
2015-11-10,28.38,29.08,28.38,29.08,25.46,1527400,0.0,0.0
2015-11-11,29.17,29.47,29.13,29.42,25.76,1127600,0.0,0.0
2015-11-12,29.28,29.64,29.09,29.22,25.58,1357400,0.0,0.0
2015-11-13,29.24,29.5,29.09,29.25,25.61,1736000,0.0,0.0
2015-11-16,29.48,30.01,29.32,29.99,26.26,1266800,0.0,0.0
2015-11-17,29.48,30.18,29.39,29.49,25.82,931600,0.0,0.0
2015-11-18,29.41,29.69,29.2,29.65,25.96,934200,0.0,0.0
2015-11-19,29.67,30.3,29.66,30.23,26.47,1214800,0.0,0.0
2015-11-20,30.26,30.58,30.26,30.54,26.74,883400,0.0,0.0
2015-11-23,30.44,30.56,30.11,30.12,26.38,754200,0.0,0.0
2015-11-24,29.98,30.17,29.75,30.05,26.31,807200,0.0,0.0
2015-11-25,30.01,30.01,29.75,29.85,26.14,558000,0.0,0.0
2015-11-27,29.89,30.14,29.89,29.94,26.22,404600,0.0,0.0
2015-11-30,29.93,30.27,29.88,30.09,26.35,1889800,0.0,0.0
2015-12-01,30.31,30.71,30.28,30.7,26.88,1781400,0.0,0.0
2015-12-02,30.61,30.67,30.1,30.31,26.54,1660400,0.0,0.0
2015-12-03,30.26,30.26,29.58,29.69,26.0,1756600,0.0,0.0
2015-12-04,29.78,30.19,29.78,30.17,26.42,815000,0.0,0.0
2015-12-07,30.05,30.19,29.9,30.17,26.42,1115800,0.0,0.0
