Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,73.57,73.57,71.79,71.84,65.47,5629100,0.0,0
2015-04-28,71.6,72.28,71.05,71.74,65.38,4181000,0.0,0
2015-04-29,71.53,71.58,69.91,70.44,64.19,4526700,0.0,0
2015-04-30,70.37,70.89,68.6,68.86,62.75,10950700,0.0,0
2015-05-01,67.67,70.77,67.6,70.7,64.43,9932000,0.0,0
2015-05-04,70.89,71.41,70.57,71.25,64.93,4888600,0.0,0
2015-05-05,71.16,71.41,70.37,70.43,64.18,4017500,0.0,0
2015-05-06,70.43,70.87,69.94,70.77,64.49,4356300,0.0,0
2015-05-07,70.88,72.68,70.87,72.29,65.88,5523400,0.0,0
2015-05-08,73.05,73.93,72.99,73.26,66.76,4171200,0.0,0
2015-05-11,73.03,73.93,72.96,73.22,66.72,3940400,0.0,0
2015-05-12,73.35,73.93,72.94,73.67,67.13,3850000,0.0,0
2015-05-13,73.88,73.88,73.0,73.11,66.62,3292400,0.0,0
2015-05-14,73.24,73.44,72.02,72.26,65.85,5763000,0.0,0
2015-05-15,72.44,73.11,72.04,73.09,66.61,4784800,0.0,0
2015-05-18,73.22,73.28,72.62,73.06,66.58,4982900,0.0,0
2015-05-19,73.68,73.75,71.8,71.83,65.46,8728300,0.0,0
2015-05-20,68.66,69.65,68.11,68.5,62.42,16012500,0.0,0
2015-05-21,68.5,69.88,68.25,68.72,62.62,8765500,0.0,0
2015-05-22,68.86,69.84,68.62,69.54,63.37,4862500,0.0,0
2015-05-26,69.52,69.96,69.19,69.58,63.41,6815900,0.0,0
2015-05-27,69.94,71.17,69.84,70.72,64.45,5265300,0.0,0
2015-05-28,70.49,70.88,70.33,70.45,64.2,2814500,0.0,0
2015-05-29,70.22,70.73,69.78,69.98,63.77,4131300,0.0,0
2015-06-01,69.96,70.39,69.7,70.14,63.92,4165400,0.0,0
2015-06-02,69.86,70.69,69.77,70.15,63.93,4807600,0.0,0
2015-06-03,70.19,71.08,70.15,70.65,64.38,3433100,0.0,0
2015-06-04,70.04,70.78,69.8,70.14,63.92,4554600,0.0,0
2015-06-05,70.05,70.25,69.72,69.79,63.6,4291500,0.0,0
2015-06-08,69.7,69.94,68.68,68.68,62.59,4433000,0.0,0
2015-06-09,68.79,69.03,67.77,68.53,62.45,5228600,0.0,0
2015-06-10,68.74,69.28,68.35,69.17,63.03,4768600,0.0,0
2015-06-11,69.33,70.15,68.93,69.04,62.91,3605600,0.0,0
2015-06-12,68.75,69.64,68.73,69.03,62.91,4350900,0.0,0
2015-06-15,68.86,69.19,68.48,69.11,62.98,4989000,0.0,0
2015-06-16,68.87,69.6,68.83,69.4,63.24,3426000,0.0,0
2015-06-17,69.4,69.96,69.13,69.67,63.49,3380600,0.0,0
2015-06-18,69.76,70.7,69.76,70.15,63.93,4462400,0.0,0
2015-06-19,69.93,70.49,69.71,69.99,63.78,11947400,0.0,0
