Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,43.44,43.48,42.25,42.29,40.21,5231600,0.0,0
2015-04-28,42.14,42.45,41.34,41.89,39.83,5913300,0.0,0
2015-04-29,41.65,41.81,40.1,40.95,38.94,7815200,0.0,0
2015-04-30,40.56,41.48,40.38,40.56,38.57,6492100,0.0,0
2015-05-01,40.83,42.7,40.83,42.6,40.51,7753100,0.0,0
2015-05-04,42.57,42.72,41.75,41.83,39.77,5539200,0.0,0
2015-05-05,41.12,41.51,40.49,40.53,38.54,6285900,0.0,0
2015-05-06,40.36,41.22,39.72,40.88,38.87,6719600,0.0,0
2015-05-07,41.11,42.18,41.11,42.1,40.03,6493200,0.0,0
2015-05-08,42.63,43.45,42.58,43.23,41.11,7417500,0.0,0
2015-05-11,42.95,43.29,42.72,43.02,40.91,5081900,0.0,0
2015-05-12,42.64,42.64,42.0,42.25,40.17,4428400,0.0,0
2015-05-13,42.59,42.95,41.16,41.27,39.24,8717300,0.0,0
2015-05-14,41.54,42.25,41.39,42.12,40.05,5154200,0.0,0
2015-05-15,42.33,42.48,41.8,41.89,39.83,4706400,0.0,0
2015-05-18,41.93,42.26,41.68,42.14,40.07,4147000,0.0,0
2015-05-19,42.3,42.4,40.85,40.91,38.9,9519600,0.0,0
2015-05-20,40.45,40.47,37.15,37.19,35.36,30351200,0.0,0
2015-05-21,37.46,37.8,37.05,37.23,35.4,14993600,0.0,0
2015-05-22,37.32,37.53,36.61,36.86,35.05,11237900,0.0,0
2015-05-26,37.19,37.19,35.54,36.0,34.23,16384700,0.0,0
2015-05-27,36.13,36.99,36.11,36.99,35.17,12013300,0.0,0
2015-05-28,36.9,36.96,36.37,36.81,35.0,9324900,0.0,0
2015-05-29,36.75,37.31,36.42,37.05,35.23,9649000,0.0,0
2015-06-01,37.11,38.25,36.56,37.85,36.06,16136400,0.075,0
2015-06-02,37.3,38.3,37.19,37.82,36.03,12634700,0.0,0
2015-06-03,37.85,38.15,37.47,37.72,35.94,6945500,0.0,0
2015-06-04,37.56,38.2,37.1,37.32,35.56,9341600,0.0,0
2015-06-05,37.28,37.48,36.87,37.17,35.42,7162200,0.0,0
2015-06-08,36.89,37.09,35.8,36.11,34.41,11017700,0.0,0
2015-06-09,35.17,35.22,33.82,34.59,32.96,33278400,0.0,0
2015-06-10,34.42,35.12,34.33,34.45,32.82,17768400,0.0,0
2015-06-11,34.76,35.1,34.51,34.7,33.06,8612200,0.0,0
2015-06-12,34.54,35.29,34.36,35.0,33.35,9808000,0.0,0
2015-06-15,34.71,34.75,34.12,34.19,32.58,10169300,0.0,0
2015-06-16,34.18,34.39,33.56,33.91,32.31,8300600,0.0,0
2015-06-17,33.82,34.2,33.53,33.84,32.24,7515400,0.0,0
2015-06-18,33.04,33.91,33.02,33.86,32.26,11884700,0.0,0
2015-06-19,33.92,34.32,33.7,34.22,32.6,14482800,0.0,0
2015-06-22,34.71,35.01,34.6,34.79,33.15,7638800,0.0,0
2015-06-23,34.81,35.03,34.49,34.58,32.95,8032700,0.0,0
2015-06-24,34.53,34.68,34.18,34.35,32.73,7059900,0.0,0
2015-06-25,34.55,35.02,34.45,34.49,32.86,5939300,0.0,0
2015-06-26,34.6,34.85,34.28,34.32,32.7,7406100,0.0,0
2015-06-29,33.72,34.22,33.16,33.18,31.61,6423600,0.0,0
2015-06-30,33.56,33.75,33.09,33.09,31.53,10601600,0.0,0
2015-07-01,33.86,33.97,31.36,32.62,31.08,17940200,0.0,0
2015-07-02,32.74,33.03,32.25,32.51,30.98,9447000,0.0,0
2015-07-06,32.47,33.16,32.39,33.03,31.47,9842600,0.0,0
2015-07-07,33.29,33.62,32.68,33.41,31.83,8259600,0.0,0
2015-07-08,32.96,33.09,32.31,32.36,30.83,6700600,0.0,0
2015-07-09,32.79,32.89,32.46,32.52,30.98,8008900,0.0,0
2015-07-10,33.16,34.02,33.13,33.83,32.23,9102800,0.0,0
2015-07-13,34.87,34.9,33.88,33.93,32.33,9942500,0.0,0
2015-07-14,33.69,34.06,33.23,33.86,32.26,7441200,0.0,0
2015-07-15,33.51,34.2,33.27,33.92,32.32,8498000,0.0,0
2015-07-16,34.13,34.82,33.84,34.57,32.94,8272600,0.0,0
2015-07-17,34.58,35.21,34.42,34.76,33.12,8699100,0.0,0
2015-07-20,34.9,34.95,34.25,34.31,32.69,4810900,0.0,0
2015-07-21,34.31,34.73,34.22,34.71,33.07,6094500,0.0,0
2015-07-22,34.69,35.2,34.52,35.12,33.46,7572800,0.0,0
2015-07-23,37.59,38.7,36.28,36.48,34.76,15720500,0.0,0
2015-07-24,36.87,36.87,34.94,35.0,33.35,10687700,0.0,0
2015-07-27,34.82,35.31,34.33,35.09,33.43,8717600,0.0,0
2015-07-28,35.34,36.22,35.06,36.06,34.36,9830200,0.0,0
2015-07-29,36.04,36.17,35.2,35.52,33.84,5287100,0.0,0
2015-07-30,35.9,36.54,35.82,36.31,34.6,9055700,0.0,0
2015-07-31,36.46,36.51,35.86,36.2,34.49,5307700,0.0,0
2015-08-03,36.66,37.84,36.54,37.53,35.76,9904600,0.0,0
2015-08-04,37.83,38.37,37.48,37.93,36.14,9204200,0.0,0
2015-08-05,38.03,38.16,37.67,37.89,36.1,7188700,0.0,0
2015-08-06,37.99,38.5,37.43,37.81,36.03,7093800,0.0,0
2015-08-07,37.63,38.25,37.28,37.58,35.81,7381900,0.0,0
2015-08-10,37.95,38.49,37.7,37.79,36.01,6916300,0.0,0
2015-08-11,37.63,38.89,37.63,38.36,36.55,9349000,0.0,0
2015-08-12,37.97,38.86,36.84,38.68,36.85,8952600,0.0,0
2015-08-13,38.92,39.27,38.33,38.97,37.13,7180100,0.0,0
2015-08-14,38.9,39.41,38.71,39.36,37.5,5717400,0.0,0
2015-08-17,39.3,40.7,39.07,40.45,38.54,9333100,0.0,0
2015-08-18,40.65,40.87,39.97,40.19,38.36,6829700,0.075,0
2015-08-19,39.9,40.85,39.77,40.45,38.61,8804500,0.0,0
2015-08-20,39.8,40.15,38.94,39.06,37.29,8659100,0.0,0
2015-08-21,38.62,39.04,37.82,37.91,36.19,14474900,0.0,0
2015-08-24,35.19,38.18,32.94,37.21,35.52,11954100,0.0,0
2015-08-25,38.34,38.34,36.52,36.52,34.86,9192200,0.0,0
2015-08-26,37.55,37.62,35.89,37.39,35.69,15118800,0.0,0
2015-08-27,37.78,38.09,36.58,37.31,35.61,10535700,0.0,0
2015-08-28,37.37,37.73,36.8,37.1,35.41,6960800,0.0,0
2015-08-31,37.07,37.6,36.57,36.7,35.03,7051800,0.0,0
2015-09-01,36.17,36.78,36.0,36.36,34.71,8753100,0.0,0
2015-09-02,36.93,37.73,36.69,37.72,36.01,10401700,0.0,0
2015-09-03,37.9,38.17,37.32,37.43,35.73,6203300,0.0,0
2015-09-04,36.85,37.72,36.74,37.23,35.54,5651100,0.0,0
2015-09-08,37.78,38.32,37.68,38.11,36.38,6164900,0.0,0
2015-09-09,38.44,38.93,37.74,38.3,36.56,7344800,0.0,0
2015-09-10,38.4,38.99,38.18,38.36,36.62,5762700,0.0,0
2015-09-11,38.18,38.77,38.1,38.54,36.79,7218500,0.0,0
2015-09-14,38.53,39.05,38.46,38.87,37.1,5460100,0.0,0
2015-09-15,38.98,39.12,38.51,38.9,37.13,5932500,0.0,0
2015-09-16,38.76,39.46,38.5,39.14,37.36,6382400,0.0,0
2015-09-17,39.3,40.0,39.2,39.49,37.7,5507100,0.0,0
2015-09-18,39.35,39.78,38.83,39.47,37.68,9841400,0.0,0
2015-09-21,39.49,39.87,39.07,39.38,37.59,6247800,0.0,0
2015-09-22,39.01,39.24,38.07,38.24,36.5,6978100,0.0,0
2015-09-23,38.42,38.75,38.1,38.58,36.83,4772600,0.0,0
2015-09-24,38.16,38.49,37.75,38.17,36.44,5263000,0.0,0
2015-09-25,38.5,38.63,37.83,38.09,36.36,5326500,0.0,0
2015-09-28,37.81,38.14,36.95,37.45,35.75,8383400,0.0,0
