Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,101.4,103.77,101.09,103.53,84.03,6129400,0.0,0
2015-04-28,102.24,104.16,101.6,104.14,84.53,6156900,0.0,0
2015-04-29,102.52,105.2,101.5,104.45,84.78,6294000,0.0,0
2015-04-30,104.1,105.23,103.18,103.52,84.03,3846400,0.0,0
2015-05-01,104.31,105.1,103.05,104.5,84.82,3724200,0.0,0
2015-05-04,104.75,104.96,103.7,103.87,84.31,2939200,0.0,0
2015-05-05,104.28,105.95,102.48,102.97,83.58,4511100,0.0,0
2015-05-06,104.25,104.99,102.83,103.26,83.81,4341500,0.0,0
2015-05-07,101.38,102.48,100.02,101.79,82.62,4461100,0.0,0
2015-05-08,107.03,107.32,102.66,103.83,84.28,3905800,0.0,0
2015-05-11,103.84,104.38,103.27,103.42,83.94,2007600,0.0,0
2015-05-12,103.15,104.35,102.34,103.23,83.79,2169300,0.0,0
2015-05-13,103.36,105.18,103.21,104.4,84.74,3190600,0.0,0
2015-05-14,104.9,105.78,103.96,104.21,84.59,2451700,0.0,0
2015-05-15,103.77,104.82,102.84,104.74,85.02,2438700,0.0,0
2015-05-18,104.2,104.66,103.34,104.4,84.74,1949400,0.0,0
2015-05-19,103.56,104.07,100.17,101.23,82.17,4413200,0.0,0
2015-05-20,101.51,102.43,100.82,101.81,82.64,2459900,0.0,0
2015-05-21,101.9,104.12,101.9,103.42,83.94,2077600,0.0,0
2015-05-22,103.12,103.85,102.24,102.9,83.52,2071200,0.0,0
2015-05-26,101.88,102.11,99.8,100.62,81.67,3000000,0.0,0
2015-05-27,100.73,101.82,99.92,101.34,82.26,2669300,0.0,0
2015-05-28,99.64,101.55,99.64,101.46,82.99,2599700,0.78,0
2015-05-29,101.12,102.37,100.74,101.1,82.7,4396700,0.0,0
2015-06-01,101.79,102.41,100.64,101.43,82.97,2130800,0.0,0
2015-06-02,101.36,103.33,101.36,102.32,83.7,3617500,0.0,0
2015-06-03,103.03,104.35,102.61,102.78,84.07,4929600,0.0,0
2015-06-04,100.84,101.19,99.4,99.48,81.37,5154400,0.0,0
2015-06-05,99.27,100.62,98.62,99.68,81.54,3291900,0.0,0
2015-06-08,99.78,100.38,99.34,99.48,81.37,2726600,0.0,0
2015-06-09,100.3,102.7,100.24,101.83,83.3,3013700,0.0,0
2015-06-10,103.0,104.91,102.67,104.06,85.12,3442400,0.0,0
2015-06-11,104.26,104.79,103.81,104.32,85.33,1907800,0.0,0
2015-06-12,103.95,104.58,103.5,104.28,85.3,2091900,0.0,0
2015-06-15,103.06,104.31,102.49,103.87,84.96,1649800,0.0,0
2015-06-16,103.39,104.77,102.72,104.67,85.62,1764000,0.0,0
2015-06-17,105.22,105.72,102.56,103.64,84.78,4748200,0.0,0
2015-06-18,104.51,105.38,103.76,104.82,85.74,3366200,0.0,0
2015-06-19,104.52,105.05,103.93,103.94,85.02,3179800,0.0,0
2015-06-22,104.97,105.48,104.01,104.96,85.86,2012100,0.0,0
2015-06-23,105.0,105.33,103.71,104.45,85.44,3171600,0.0,0
2015-06-24,104.65,105.1,103.76,104.81,85.73,2980500,0.0,0
