Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,81.78,83.07,81.28,81.37,75.93,2220700,0.0,0
2015-04-28,81.21,81.82,80.09,81.32,75.88,1803700,0.0,0
2015-04-29,82.42,84.33,82.06,83.87,78.26,5530200,0.0,0
2015-04-30,82.3,82.71,79.18,80.05,74.7,5499500,0.0,0
2015-05-01,80.65,81.83,80.39,80.97,75.56,1877700,0.0,0
2015-05-04,81.01,81.28,80.06,80.51,75.13,1678300,0.0,0
2015-05-05,80.28,80.31,78.18,78.21,72.98,2694100,0.0,0
2015-05-06,78.35,79.42,77.91,78.82,73.55,2273600,0.0,0
2015-05-07,78.78,79.46,78.33,78.48,73.23,2587000,0.0,0
2015-05-08,79.4,80.87,79.24,80.3,74.93,1865600,0.0,0
2015-05-11,80.15,80.44,79.59,79.72,74.39,1852800,0.0,0
2015-05-12,79.15,79.75,78.61,79.16,73.87,1247200,0.0,0
2015-05-13,78.94,79.81,78.51,78.68,73.42,1647200,0.0,0
2015-05-14,79.37,80.69,79.22,80.58,75.19,1847400,0.0,0
2015-05-15,80.93,81.5,80.3,80.9,75.49,1965800,0.0,0
2015-05-18,80.65,81.55,80.65,81.23,75.8,1416300,0.0,0
2015-05-19,81.18,81.52,80.68,80.9,75.49,1553500,0.0,0
2015-05-20,80.92,81.53,79.75,80.66,75.5,1246600,0.25,0
2015-05-21,80.36,80.82,80.03,80.47,75.32,1330400,0.0,0
2015-05-22,80.39,80.76,79.57,80.15,75.02,934900,0.0,0
2015-05-26,80.14,80.23,78.52,78.71,73.68,1209200,0.0,0
2015-05-27,79.02,79.68,78.78,79.2,74.14,1530600,0.0,0
2015-05-28,79.12,79.21,78.34,79.03,73.98,1308400,0.0,0
2015-05-29,79.32,79.47,77.82,77.99,73.0,2532200,0.0,0
2015-06-01,78.2,78.75,77.36,77.97,72.98,1928200,0.0,0
2015-06-02,77.74,78.68,77.6,78.43,73.41,1378000,0.0,0
2015-06-03,78.87,79.88,78.56,79.38,74.3,1677800,0.0,0
2015-06-04,78.85,79.41,78.32,78.48,73.46,1515000,0.0,0
2015-06-05,78.24,78.67,77.8,78.38,73.37,837900,0.0,0
2015-06-08,78.07,78.21,76.89,76.96,72.04,2038200,0.0,0
2015-06-09,76.84,77.49,76.58,77.32,72.38,1205500,0.0,0
2015-06-10,77.47,78.13,77.23,77.23,72.29,1344500,0.0,0
2015-06-11,77.41,77.52,76.63,77.27,72.33,2253900,0.0,0
2015-06-12,76.95,77.36,76.4,76.63,71.73,2104500,0.0,0
2015-06-15,76.05,77.19,75.86,77.02,72.09,1754400,0.0,0
2015-06-16,76.71,77.25,76.57,76.73,71.82,1463700,0.0,0
2015-06-17,76.75,77.11,76.02,77.02,72.09,1546400,0.0,0
2015-06-18,77.37,78.5,77.36,78.15,73.15,1506700,0.0,0
2015-06-19,78.13,78.27,77.59,77.64,72.67,1810700,0.0,0
2015-06-22,78.0,78.39,77.8,77.91,72.93,1312300,0.0,0
2015-06-23,77.8,77.99,77.32,77.59,72.63,1212300,0.0,0
2015-06-24,77.57,77.61,76.24,76.37,71.49,2098400,0.0,0
2015-06-25,76.44,76.86,76.1,76.17,71.3,1335100,0.0,0
2015-06-26,76.54,76.79,75.88,76.02,71.16,3597100,0.0,0
2015-06-29,75.24,75.5,73.77,73.83,69.11,2025800,0.0,0
2015-06-30,74.46,75.09,73.95,74.39,69.63,1828800,0.0,0
2015-07-01,75.22,75.42,74.57,74.99,70.19,1854600,0.0,0
2015-07-02,75.06,75.28,74.5,74.8,70.02,1226500,0.0,0
2015-07-06,74.06,74.77,73.84,74.31,69.56,1700100,0.0,0
2015-07-07,74.31,75.52,73.36,75.44,70.62,2767900,0.0,0
2015-07-08,74.68,74.95,73.9,73.96,69.23,2016200,0.0,0
2015-07-09,75.22,75.66,74.17,74.18,69.44,1598800,0.0,0
2015-07-10,75.23,76.19,74.59,75.97,71.11,1416800,0.0,0
2015-07-13,76.76,77.38,76.52,76.98,72.06,1756000,0.0,0
2015-07-14,76.6,77.66,76.6,77.26,72.32,1214100,0.0,0
2015-07-15,77.14,78.02,76.9,77.36,72.41,1637200,0.0,0
2015-07-16,77.67,78.76,77.67,78.25,73.25,1756500,0.0,0
2015-07-17,77.0,78.28,77.0,77.7,72.73,1715700,0.0,0
2015-07-20,77.74,78.26,77.68,77.83,72.85,1276000,0.0,0
2015-07-21,78.11,78.11,76.39,76.6,71.7,2271100,0.0,0
