Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,23.15,23.5,22.99,23.1,21.71,8010200,0.0,0.0
2015-04-28,23.3,23.91,23.22,23.67,22.25,11242800,0.0,0.0
2015-04-29,23.6,23.67,23.3,23.53,22.12,5134000,0.0,0.0
2015-04-30,23.45,23.59,23.12,23.28,21.88,5313400,0.0,0.0
2015-05-01,23.27,24.07,23.16,23.85,22.41,4712500,0.0,0.0
2015-05-04,23.87,24.13,23.77,24.06,22.61,5516300,0.0,0.0
2015-05-05,23.95,24.17,23.5,23.51,22.1,5630200,0.0,0.0
2015-05-06,23.59,23.69,22.69,22.94,21.56,8584100,0.0,0.0
2015-05-07,22.93,23.28,22.91,23.19,21.8,5403700,0.0,0.0
2015-05-08,23.54,23.75,23.18,23.24,21.84,5446800,0.0,0.0
2015-05-11,23.17,23.5,23.06,23.39,21.99,5622600,0.0,0.0
2015-05-12,23.2,23.23,22.89,23.14,21.75,2888000,0.0,0.0
2015-05-13,23.15,23.45,23.05,23.28,21.88,3452000,0.0,0.0
2015-05-14,23.47,23.92,23.29,23.87,22.43,4774000,0.0,0.0
2015-05-15,23.85,23.88,23.53,23.55,22.13,4400300,0.0,0.0
2015-05-18,23.48,23.93,23.43,23.9,22.46,2385700,0.0,0.0
2015-05-19,24.08,24.54,24.08,24.4,22.93,5318800,0.0,0.0
2015-05-20,24.48,24.48,23.96,24.02,22.57,3450400,0.0,0.0
2015-05-21,23.93,24.52,23.78,24.44,22.97,4367900,0.0,0.0
2015-05-22,24.41,24.46,24.02,24.02,22.58,2549500,0.0,0.0
2015-05-26,23.94,24.02,23.73,23.89,22.46,2850500,0.0,0.0
2015-05-27,23.93,24.23,23.8,24.18,22.73,1991000,0.0,0.0
2015-05-28,24.09,24.29,24.01,24.24,22.79,2663700,0.0,0.0
2015-05-29,24.17,24.23,23.78,23.79,22.36,3476500,0.0,0.0
2015-06-01,23.91,24.33,23.73,24.04,22.6,3622800,0.0,0.0
2015-06-02,23.96,24.28,23.79,24.14,22.69,2031200,0.0,0.0
2015-06-03,24.21,24.47,24.07,24.38,22.92,3204600,0.0,0.0
2015-06-04,24.21,24.26,23.94,24.02,22.58,2315900,0.0,0.0
2015-06-05,24.04,24.17,23.86,24.09,22.65,2020700,0.0,0.0
2015-06-08,24.01,24.15,23.77,23.78,22.35,2311700,0.0,0.0
2015-06-09,23.78,24.04,23.72,23.97,22.53,2305900,0.0,0.0
2015-06-10,24.06,24.62,24.0,24.5,23.03,3539700,0.0,0.0
2015-06-11,24.62,24.94,24.47,24.53,23.06,3397100,0.0,0.0
2015-06-12,24.45,24.67,24.38,24.38,22.92,2834100,0.0,0.0
2015-06-15,24.25,24.39,24.05,24.1,22.65,2780300,0.0,0.0
2015-06-16,24.02,24.2,23.94,24.06,22.61,3306900,0.0,0.0
2015-06-17,24.06,24.23,23.88,24.12,22.67,3395500,0.0,0.0
2015-06-18,24.18,24.45,24.18,24.37,22.9,4658500,0.0,0.0
2015-06-19,24.38,24.59,24.3,24.35,22.89,4252800,0.0,0.0
2015-06-22,24.51,24.53,24.16,24.27,22.81,3432600,0.0,0.0
2015-06-23,24.27,24.38,24.06,24.18,22.73,3862200,0.0,0.0
2015-06-24,24.31,24.38,23.97,24.02,22.57,2626900,0.0,0.0
2015-06-25,24.03,24.24,23.99,24.09,22.64,3224500,0.0,0.0
2015-06-26,24.1,24.27,23.91,23.99,22.55,3285100,0.0,0.0
2015-06-29,23.82,23.97,23.22,23.23,21.84,4091100,0.0,0.0
2015-06-30,23.39,23.64,23.32,23.44,22.03,4961400,0.0,0.0
2015-07-01,23.81,24.11,23.54,23.77,22.34,5291800,0.0,1.138
2015-07-02,23.82,23.87,23.47,23.6,22.18,3243000,0.0,0.0
2015-07-06,23.4,23.77,23.33,23.5,22.09,2871300,0.0,0.0
2015-07-07,23.52,23.65,22.99,23.62,22.2,6215100,0.0,0.0
2015-07-08,23.43,23.45,22.88,23.03,21.65,4062500,0.0,0.0
2015-07-09,23.3,23.33,23.04,23.05,21.75,3634100,0.09,0.0
2015-07-10,23.26,23.55,23.21,23.48,22.15,3162900,0.0,0.0
2015-07-13,23.64,23.75,23.4,23.52,22.19,4043100,0.0,0.0
2015-07-14,23.45,23.67,23.42,23.64,22.31,4163500,0.0,0.0
2015-07-15,23.67,23.71,23.39,23.4,22.08,3895800,0.0,0.0
2015-07-16,23.58,23.72,23.23,23.27,21.96,5570500,0.0,0.0
2015-07-17,23.21,23.26,22.84,22.86,21.57,2591800,0.0,0.0
2015-07-20,22.89,23.12,22.87,23.01,21.71,3580100,0.0,0.0
2015-07-21,22.9,23.03,22.52,22.63,21.35,5949500,0.0,0.0
2015-07-22,22.59,23.16,22.58,23.08,21.78,7639100,0.0,0.0
2015-07-23,23.39,24.25,23.25,23.8,22.46,9118700,0.0,0.0
2015-07-24,23.8,23.94,23.15,23.37,22.05,5728300,0.0,0.0
2015-07-27,23.2,23.39,23.02,23.16,21.85,5525300,0.0,0.0
2015-07-28,24.2,25.92,24.14,25.63,24.18,12562300,0.0,0.0
2015-07-29,25.78,26.54,25.78,26.41,24.92,7496000,0.0,0.0
2015-07-30,26.35,26.69,26.07,26.4,24.91,6269200,0.0,0.0
2015-07-31,26.51,26.79,26.31,26.39,24.9,6419300,0.0,0.0
2015-08-03,26.36,26.53,26.2,26.44,24.95,6074100,0.0,0.0
2015-08-04,26.49,26.7,26.32,26.46,24.97,4198800,0.0,0.0
2015-08-05,26.67,26.71,26.06,26.2,24.72,4826300,0.0,0.0
2015-08-06,26.35,26.87,26.28,26.44,24.95,7649600,0.0,0.0
2015-08-07,26.46,26.85,26.36,26.83,25.32,4958600,0.0,0.0
2015-08-10,27.0,27.33,26.91,26.94,25.42,3655600,0.0,0.0
2015-08-11,26.67,27.12,26.52,27.1,25.57,4121000,0.0,0.0
2015-08-12,26.85,27.25,26.46,27.09,25.56,3667500,0.0,0.0
2015-08-13,27.09,27.26,26.94,27.04,25.51,2733000,0.0,0.0
2015-08-14,27.04,27.36,27.01,27.22,25.68,3039800,0.0,0.0
2015-08-17,27.2,27.62,27.09,27.62,26.06,2082500,0.0,0.0
2015-08-18,27.69,28.59,27.65,28.35,26.75,8066200,0.0,0.0
2015-08-19,28.08,28.34,27.93,28.09,26.5,3393000,0.0,0.0
2015-08-20,27.85,27.96,27.24,27.25,25.71,4056500,0.0,0.0
2015-08-21,26.99,27.2,26.53,26.53,25.03,5988400,0.0,0.0
2015-08-24,24.96,26.18,24.89,25.29,23.86,10774600,0.0,0.0
2015-08-25,26.11,26.13,24.88,24.89,23.48,8173300,0.0,0.0
2015-08-26,25.61,25.86,24.81,25.75,24.3,7597300,0.0,0.0
2015-08-27,26.03,26.38,25.79,26.29,24.81,5540800,0.0,0.0
2015-08-28,26.18,26.52,26.06,26.29,24.81,3696100,0.0,0.0
2015-08-31,26.12,26.56,25.88,26.23,24.75,3617500,0.0,0.0
2015-09-01,25.75,26.02,25.49,25.64,24.19,5380400,0.0,0.0
2015-09-02,25.96,26.21,25.55,26.2,24.72,4311400,0.0,0.0
2015-09-03,26.34,26.9,26.34,26.59,25.09,4938400,0.0,0.0
2015-09-04,26.15,26.4,26.01,26.23,24.75,4963300,0.0,0.0
2015-09-08,26.71,26.77,26.39,26.76,25.25,4637000,0.0,0.0
2015-09-09,27.0,27.17,26.56,26.6,25.1,3643300,0.0,0.0
2015-09-10,26.61,26.96,26.49,26.85,25.33,3611100,0.0,0.0
2015-09-11,26.73,27.11,26.65,27.11,25.58,2801700,0.0,0.0
2015-09-14,27.11,27.26,26.94,27.1,25.57,3829700,0.0,0.0
2015-09-15,27.21,27.6,26.97,27.5,25.95,3265100,0.0,0.0
2015-09-16,27.47,27.63,27.3,27.55,25.99,3399400,0.0,0.0
2015-09-17,27.53,28.07,27.3,27.55,25.99,5112000,0.0,0.0
2015-09-18,27.18,27.49,26.99,27.26,25.72,6393800,0.0,0.0
2015-09-21,27.44,27.67,27.1,27.29,25.75,3747100,0.0,0.0
