Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,98.74,98.94,96.26,96.44,84.17,7282700,0.0,0
2015-04-28,96.27,96.89,95.78,96.83,84.51,4357400,0.0,0
2015-04-29,96.58,97.67,96.07,97.02,84.67,5697200,0.0,0
2015-04-30,96.65,97.37,96.41,96.55,84.26,8300300,0.0,0
2015-05-01,96.73,97.97,96.73,97.8,85.35,6280300,0.0,0
2015-05-04,96.57,98.63,96.05,96.13,83.9,8426300,0.0,0
2015-05-05,96.39,96.47,95.57,96.13,83.9,7637000,0.0,0
2015-05-06,96.1,96.66,95.88,96.39,84.12,6614500,0.0,0
2015-05-07,96.27,97.33,96.12,96.78,84.46,5018900,0.0,0
2015-05-08,98.19,99.15,97.79,98.23,85.73,7543100,0.0,0
2015-05-11,98.07,98.39,97.15,97.51,85.1,4123700,0.0,0
2015-05-12,97.39,98.35,96.92,97.95,85.48,4848100,0.0,0
2015-05-13,98.07,98.49,97.28,97.35,84.96,6526900,0.0,0
2015-05-14,97.66,97.87,97.28,97.71,85.27,4744000,0.0,0
2015-05-15,97.74,99.04,97.54,98.04,85.56,7607200,0.0,0
2015-05-18,97.97,98.25,97.62,98.02,85.54,4100800,0.0,0
2015-05-19,98.09,101.08,97.65,100.68,87.87,10809200,0.0,0
2015-05-20,100.88,100.98,99.42,100.11,87.37,6185100,0.0,0
2015-05-21,99.89,99.96,99.06,99.28,86.64,4729500,0.0,0
2015-05-22,99.15,99.48,98.84,98.99,86.39,4559500,0.0,0
2015-05-26,98.85,99.2,98.04,98.46,85.93,7123100,0.0,0
2015-05-27,98.97,99.22,98.2,98.66,86.1,8129500,0.0,0
2015-05-28,98.0,98.21,96.2,96.48,84.93,10204000,0.85,0
2015-05-29,97.59,97.77,95.84,95.93,84.45,6439100,0.0,0
2015-06-01,95.84,96.91,95.84,96.22,84.7,4919200,0.0,0
2015-06-02,96.3,96.97,95.81,96.29,84.77,4430300,0.0,0
2015-06-03,96.38,97.07,95.97,96.52,84.97,4165700,0.0,0
2015-06-04,96.3,96.97,96.01,96.31,84.78,4702800,0.0,0
2015-06-05,95.93,96.09,95.47,95.54,84.11,3959300,0.0,0
2015-06-08,96.0,96.04,95.25,95.32,83.91,4594600,0.0,0
2015-06-09,95.52,95.56,94.49,94.73,83.39,7770900,0.0,0
2015-06-10,95.02,95.63,94.81,95.3,83.89,4828600,0.0,0
2015-06-11,95.5,96.33,95.5,95.59,84.15,4203900,0.0,0
2015-06-12,95.42,95.55,95.0,95.06,83.68,3702400,0.0,0
2015-06-15,94.74,95.0,94.02,94.3,83.01,5861800,0.0,0
2015-06-16,94.25,94.67,94.1,94.63,83.3,3094800,0.0,0
2015-06-17,94.54,95.52,94.54,95.22,83.82,3941000,0.0,0
2015-06-18,95.69,96.63,95.28,96.17,84.66,5101000,0.0,0
2015-06-19,96.39,97.14,95.98,96.08,84.58,8279300,0.0,0
2015-06-22,96.31,97.03,96.14,96.87,85.28,3893300,0.0,0
2015-06-23,97.59,97.96,97.12,97.18,85.55,4541700,0.0,0
2015-06-24,96.75,97.45,96.64,96.64,85.07,3927100,0.0,0
2015-06-25,96.7,96.91,95.78,95.79,84.33,4322300,0.0,0
2015-06-26,96.13,97.35,95.93,97.29,85.65,6039500,0.0,0
2015-06-29,96.62,97.23,95.42,95.44,84.02,8412800,0.0,0
2015-06-30,95.93,96.3,94.54,95.07,83.69,6656000,0.0,0
2015-07-01,95.1,95.82,94.73,95.76,84.3,4446200,0.0,0
2015-07-02,96.13,96.6,95.58,96.17,84.66,3250900,0.0,0
2015-07-06,95.89,96.28,95.25,95.65,84.2,3852500,0.0,0
2015-07-07,95.93,96.78,95.24,96.68,85.11,4794400,0.0,0
2015-07-08,95.65,96.59,95.65,95.84,84.37,4914300,0.0,0
2015-07-09,96.64,97.27,96.44,96.49,84.94,5482500,0.0,0
2015-07-10,97.25,97.78,96.95,97.65,85.96,5179200,0.0,0
2015-07-13,98.0,98.51,97.7,98.43,86.65,4578700,0.0,0
2015-07-14,98.12,99.05,97.96,98.78,86.96,5746100,0.0,0
2015-07-15,98.15,99.63,97.85,99.07,87.21,7572500,0.0,0
2015-07-16,99.11,99.11,97.21,97.86,86.15,7696200,0.0,0
2015-07-17,97.7,98.22,97.0,97.5,85.83,6429800,0.0,0
2015-07-20,97.78,98.21,97.4,97.49,85.82,4947000,0.0,0
2015-07-21,97.6,97.72,96.96,97.32,85.67,4206700,0.0,0
2015-07-22,97.71,98.25,97.43,97.58,85.9,5392600,0.0,0
2015-07-23,98.9,99.0,96.15,97.09,85.47,10380700,0.0,0
2015-07-24,97.41,97.41,96.09,96.1,84.6,5554600,0.0,0
2015-07-27,96.0,96.75,95.7,96.04,84.55,5818600,0.0,0
2015-07-28,96.48,97.42,96.32,97.33,85.68,4863000,0.0,0
2015-07-29,97.48,98.39,97.0,98.21,86.46,6006500,0.0,0
2015-07-30,97.59,99.34,97.59,99.17,87.3,5372500,0.0,0
2015-07-31,99.65,101.1,99.3,99.86,87.91,7647000,0.0,0
2015-08-03,100.0,100.18,99.02,99.42,87.52,4427300,0.0,0
2015-08-04,99.47,99.52,98.77,99.14,87.27,2842100,0.0,0
2015-08-05,99.83,100.14,99.26,99.8,87.86,3560600,0.0,0
2015-08-06,99.72,100.18,99.21,99.35,87.46,6740200,0.0,0
2015-08-07,99.29,99.42,98.45,98.92,87.08,3463700,0.0,0
2015-08-10,99.49,99.95,98.87,99.39,87.49,3994500,0.0,0
2015-08-11,98.69,99.16,98.4,98.81,86.98,3585000,0.0,0
