Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,107.54,108.17,106.78,107.34,100.68,608900,0.0,0
2015-04-28,107.14,107.87,105.98,107.7,101.02,885100,0.0,0
2015-04-29,107.33,107.92,106.8,107.45,100.79,815500,0.0,0
2015-04-30,107.3,107.84,106.56,107.52,100.85,1473100,0.0,0
2015-05-01,110.0,110.01,106.89,107.22,100.57,1429800,0.0,0
2015-05-04,107.72,108.72,107.13,108.4,101.68,1215200,0.0,0
2015-05-05,108.33,108.77,107.91,108.24,101.53,1020600,0.0,0
2015-05-06,108.36,109.27,106.34,106.63,100.02,1077100,0.0,0
2015-05-07,106.46,107.11,105.96,107.01,100.37,1002300,0.0,0
2015-05-08,107.97,108.49,107.47,107.88,101.19,961500,0.0,0
2015-05-11,107.65,108.08,106.63,106.7,100.08,900400,0.0,0
2015-05-12,105.96,106.76,104.91,106.49,99.89,1213700,0.0,0
2015-05-13,106.67,107.73,106.67,107.2,100.55,1250500,0.0,0
2015-05-14,107.7,108.91,107.18,108.73,101.99,913100,0.0,0
2015-05-15,109.05,110.05,108.74,109.98,103.16,1199000,0.0,0
2015-05-18,109.5,110.22,109.33,109.45,102.98,675400,0.34,0
2015-05-19,109.68,110.51,109.63,110.1,103.59,718700,0.0,0
2015-05-20,109.72,110.41,109.45,110.27,103.75,829500,0.0,0
2015-05-21,109.94,110.24,108.84,109.89,103.4,746300,0.0,0
2015-05-22,109.92,110.27,109.45,110.11,103.6,800800,0.0,0
2015-05-26,110.07,110.07,108.35,108.58,102.16,1069900,0.0,0
2015-05-27,108.94,109.51,108.25,109.22,102.76,673600,0.0,0
2015-05-28,108.59,109.27,108.18,108.83,102.4,530100,0.0,0
2015-05-29,109.02,109.4,107.58,108.1,101.71,1297600,0.0,0
2015-06-01,108.36,109.09,107.97,108.5,102.09,865200,0.0,0
2015-06-02,108.34,108.78,107.51,108.41,102.0,514500,0.0,0
2015-06-03,108.81,109.75,108.28,109.19,102.74,744400,0.0,0
2015-06-04,108.76,109.17,107.5,107.65,101.29,622400,0.0,0
2015-06-05,107.86,108.35,106.96,107.15,100.82,725900,0.0,0
2015-06-08,106.97,107.5,105.55,105.57,99.33,1190800,0.0,0
2015-06-09,105.65,106.45,104.87,106.01,99.74,936300,0.0,0
2015-06-10,106.35,107.69,106.11,107.53,101.17,1133200,0.0,0
2015-06-11,107.82,108.77,107.4,108.75,102.32,882700,0.0,0
2015-06-12,108.6,108.95,107.88,108.71,102.28,1366100,0.0,0
2015-06-15,107.93,107.97,107.07,107.95,101.57,815400,0.0,0
2015-06-16,107.64,108.37,107.5,108.03,101.64,638200,0.0,0
2015-06-17,108.4,108.85,107.91,108.42,102.01,632400,0.0,0
2015-06-18,108.84,110.29,108.29,110.0,103.5,1698800,0.0,0
2015-06-19,109.7,110.55,109.1,110.06,103.55,2973300,0.0,0
2015-06-22,110.83,111.06,109.96,110.82,104.27,703400,0.0,0
2015-06-23,110.75,111.06,109.96,110.57,104.03,552100,0.0,0
2015-06-24,110.2,111.0,109.91,109.95,103.45,520500,0.0,0
2015-06-25,110.04,110.31,109.23,109.24,102.78,470900,0.0,0
2015-06-26,109.63,110.6,109.27,110.55,104.02,735700,0.0,0
2015-06-29,109.54,109.9,106.96,107.17,100.84,803700,0.0,0
2015-06-30,108.0,108.44,107.14,107.96,101.58,1060000,0.0,0
2015-07-01,108.72,109.36,108.15,108.99,102.55,654500,0.0,0
2015-07-02,109.29,109.31,108.12,108.71,102.28,566000,0.0,0
2015-07-06,107.86,109.19,107.85,108.45,102.04,1024200,0.0,0
2015-07-07,108.76,109.67,107.4,109.46,102.99,787300,0.0,0
2015-07-08,108.38,109.11,107.69,108.07,101.68,871600,0.0,0
2015-07-09,109.33,110.0,107.94,108.38,101.97,929800,0.0,0
2015-07-10,109.44,110.8,108.71,110.48,103.95,797400,0.0,0
2015-07-13,111.48,111.7,110.72,111.18,104.61,633100,0.0,0
2015-07-14,111.32,112.48,110.94,112.1,105.47,483000,0.0,0
2015-07-15,112.05,112.4,111.53,112.33,105.69,756200,0.0,0
2015-07-16,112.99,113.33,112.7,112.75,106.09,853000,0.0,0
2015-07-17,112.72,112.97,112.08,112.74,106.08,536200,0.0,0
2015-07-20,112.87,113.54,112.38,112.9,106.23,641400,0.0,0
2015-07-21,113.1,113.87,112.04,112.31,105.67,880500,0.0,0
2015-07-22,111.9,112.87,111.73,112.37,105.73,726700,0.0,0
2015-07-23,112.46,112.74,111.23,111.76,105.15,869100,0.0,0
2015-07-24,111.27,113.44,111.02,111.82,105.21,994400,0.0,0
2015-07-27,111.56,111.92,109.83,110.32,103.8,1394200,0.0,0
2015-07-28,111.06,111.06,109.36,109.75,103.26,653900,0.0,0
2015-07-29,109.93,110.5,109.38,110.33,103.81,669100,0.0,0
2015-07-30,110.21,111.76,109.73,111.53,104.94,643500,0.0,0
2015-07-31,111.78,111.93,110.32,110.43,103.9,729400,0.0,0
2015-08-03,110.66,110.66,109.34,110.62,104.08,837800,0.0,0
2015-08-04,110.4,111.76,110.4,111.19,104.62,544700,0.0,0
2015-08-05,111.8,112.58,111.34,111.8,105.19,732500,0.0,0
2015-08-06,111.87,111.87,110.14,110.31,103.79,573000,0.0,0
2015-08-07,110.31,110.34,109.28,109.81,103.32,509100,0.0,0
2015-08-10,110.66,111.74,110.54,111.67,105.07,630000,0.0,0
2015-08-11,110.83,111.44,110.21,110.54,104.01,510200,0.0,0
2015-08-12,109.61,110.05,108.01,109.43,102.96,881400,0.0,0
2015-08-13,109.66,110.61,109.24,110.18,103.67,711500,0.0,0
2015-08-14,110.06,111.5,110.06,110.81,104.26,804200,0.0,0
2015-08-17,110.11,111.35,109.53,111.28,104.7,475500,0.0,0
2015-08-18,110.97,111.69,110.76,110.98,104.74,397200,0.34,0
2015-08-19,110.76,111.48,109.84,110.6,104.38,619300,0.0,0
2015-08-20,109.53,109.78,107.54,107.57,101.52,788900,0.0,0
2015-08-21,107.0,107.56,103.58,103.63,97.8,1258600,0.0,0
2015-08-24,98.33,103.0,96.0,99.47,93.88,1831400,0.0,0
2015-08-25,102.2,104.9,98.82,98.94,93.38,1809600,0.0,0
2015-08-26,100.84,102.77,98.84,102.52,96.76,1256800,0.0,0
2015-08-27,103.55,104.86,102.76,104.57,98.69,1264100,0.0,0
2015-08-28,104.57,104.73,103.45,104.39,98.52,871400,0.0,0
2015-08-31,103.83,104.38,102.26,102.31,96.56,841000,0.0,0
2015-09-01,99.91,101.06,98.41,98.99,93.42,1264200,0.0,0
2015-09-02,99.95,101.18,98.44,100.56,94.91,1084400,0.0,0
2015-09-03,100.84,102.34,100.61,100.94,95.27,1020900,0.0,0
2015-09-04,99.59,101.06,98.55,99.2,93.62,923300,0.0,0
2015-09-08,101.1,101.59,100.01,101.41,95.71,1139400,0.0,0
2015-09-09,102.53,102.97,99.93,100.17,94.54,679900,0.0,0
2015-09-10,99.86,101.49,99.86,100.82,95.15,1076800,0.0,0
2015-09-11,100.33,101.83,100.0,101.56,95.85,693200,0.0,0
2015-09-14,101.57,101.98,100.7,100.92,95.25,828500,0.0,0
2015-09-15,101.23,102.73,100.99,102.43,96.67,795800,0.0,0
2015-09-16,102.43,103.24,102.16,102.9,97.11,801700,0.0,0
2015-09-17,103.07,103.91,102.0,102.31,96.56,873100,0.0,0
2015-09-18,99.84,102.23,99.84,100.75,95.09,1829100,0.0,0
2015-09-21,101.52,102.64,100.98,101.78,96.06,599900,0.0,0
2015-09-22,100.41,101.05,99.89,100.63,94.97,632600,0.0,0
2015-09-23,100.5,101.56,99.55,101.12,95.43,492600,0.0,0
2015-09-24,100.1,100.38,98.71,99.94,94.32,1112700,0.0,0
2015-09-25,101.0,101.28,99.68,100.42,94.77,661500,0.0,0
2015-09-28,99.61,100.04,96.86,96.89,91.44,2040900,0.0,0
2015-09-29,97.28,97.75,96.85,97.53,92.05,993300,0.0,0
2015-09-30,98.5,99.01,96.95,98.2,92.68,1375200,0.0,0
2015-10-01,98.04,98.76,96.23,97.49,92.01,1458000,0.0,0
2015-10-02,95.89,99.19,95.64,99.05,93.48,1401100,0.0,0
2015-10-05,100.37,101.96,99.82,101.08,95.4,1368100,0.0,0
2015-10-06,100.61,101.08,99.03,99.1,93.53,875700,0.0,0
2015-10-07,99.64,100.13,98.19,99.44,93.85,1112600,0.0,0
