Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,45.25,45.39,44.71,44.79,37.44,6048400,0.0,0.0
2015-04-28,44.88,45.37,44.5,45.32,37.89,6562600,0.0,0.0
2015-04-29,45.51,46.77,45.45,46.47,38.85,11089600,0.0,0.0
2015-04-30,46.38,46.52,45.64,45.71,38.22,7570100,0.0,0.0
2015-05-01,46.12,46.63,45.93,46.34,38.74,7408500,0.0,0.0
2015-05-04,46.55,46.85,46.36,46.75,39.08,4586100,0.0,0.0
2015-05-05,46.52,47.07,46.35,46.44,38.83,5175200,0.0,0.0
2015-05-06,46.72,46.78,45.79,46.15,38.58,7344200,0.0,0.0
2015-05-07,46.26,46.98,45.19,46.41,39.12,10946700,0.375,0.0
2015-05-08,46.28,46.74,45.71,46.57,39.25,8607600,0.0,0.0
2015-05-11,46.61,47.6,46.45,47.5,40.04,10609800,0.0,0.0
2015-05-12,47.46,47.73,47.05,47.34,39.9,8485600,0.0,0.0
2015-05-13,47.06,47.49,46.97,47.33,39.89,6762400,0.0,0.0
2015-05-14,47.49,47.66,47.15,47.37,39.93,5164000,0.0,0.0
2015-05-15,47.42,47.42,46.6,46.86,39.5,5520600,0.0,0.0
2015-05-18,47.0,47.51,46.91,47.29,39.86,4691600,0.0,0.0
2015-05-19,47.72,47.72,47.31,47.63,40.15,5752300,0.0,0.0
2015-05-20,47.58,47.76,47.0,47.5,40.03,6742800,0.0,0.0
2015-05-21,47.3,47.84,47.24,47.76,40.26,7927100,0.0,0.0
2015-05-22,47.53,48.01,47.43,47.44,39.99,4833200,0.0,0.0
2015-05-26,47.36,47.42,46.6,46.77,39.43,5642900,0.0,0.0
2015-05-27,47.01,47.22,46.69,47.03,39.64,5171500,0.0,0.0
2015-05-28,47.03,47.21,46.53,47.14,39.73,4716500,0.0,0.0
2015-05-29,47.05,47.08,46.23,46.58,39.26,5796700,0.0,0.0
2015-06-01,46.43,46.79,46.26,46.59,39.27,5075400,0.0,0.0
2015-06-02,46.62,47.39,46.49,47.09,39.7,5683200,0.0,0.0
2015-06-03,47.48,48.24,47.22,48.12,40.56,7951000,0.0,0.0
2015-06-04,47.59,48.22,47.59,47.96,40.43,6783300,0.0,0.0
2015-06-05,48.96,49.7,48.43,48.53,40.91,11541100,0.0,0.0
2015-06-08,48.56,48.86,48.32,48.43,40.82,7334400,0.0,0.0
2015-06-09,48.61,48.98,48.31,48.72,41.06,6973000,0.0,0.0
2015-06-10,49.47,50.15,49.12,50.12,42.24,9891100,0.0,0.0
2015-06-11,50.15,50.42,49.88,49.97,42.12,7547100,0.0,0.0
