Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,22.19,22.29,21.79,21.92,20.72,5461300,0.0,0
2015-04-28,21.91,22.43,21.69,22.36,21.14,11003600,0.0,0
2015-04-29,21.48,21.73,20.88,21.11,19.96,19828800,0.0,0
2015-04-30,21.21,21.51,21.01,21.15,20.0,10572800,0.0,0
2015-05-01,21.3,21.55,21.16,21.4,20.23,9936400,0.0,0
2015-05-04,20.91,21.62,20.77,21.27,20.11,23156800,0.0,0
2015-05-05,21.21,21.4,19.88,20.14,19.04,20688200,0.0,0
2015-05-06,20.4,20.48,19.36,19.58,18.51,26287700,0.0,0
2015-05-07,19.57,19.9,19.5,19.75,18.67,13083300,0.0,0
2015-05-08,19.96,20.26,19.8,19.93,18.84,10564000,0.0,0
2015-05-11,19.94,19.99,19.32,19.35,18.29,9701800,0.0,0
2015-05-12,19.4,19.45,19.03,19.12,18.08,16855600,0.0,0
2015-05-13,19.22,19.51,19.2,19.36,18.3,11291100,0.0,0
2015-05-14,19.46,19.47,19.23,19.32,18.27,7295900,0.0,0
2015-05-15,19.38,19.56,19.32,19.47,18.41,5845200,0.0,0
2015-05-18,19.41,19.73,19.32,19.68,18.61,6839500,0.0,0
2015-05-19,19.65,19.78,19.61,19.71,18.63,7910900,0.0,0
2015-05-20,19.64,20.17,19.6,20.07,18.97,9734100,0.0,0
2015-05-21,20.15,20.26,20.07,20.2,19.1,8029400,0.0,0
2015-05-22,20.17,20.59,20.17,20.51,19.39,11485500,0.0,0
2015-05-26,20.31,20.36,19.78,19.87,18.79,11332200,0.0,0
2015-05-27,19.89,19.96,19.74,19.91,18.82,4945900,0.0,0
2015-05-28,19.83,20.21,19.8,20.19,19.09,7333000,0.0,0
2015-05-29,20.18,20.28,20.0,20.05,18.96,8360300,0.0,0
2015-06-01,19.96,19.99,19.5,19.58,18.51,6377300,0.0,0
2015-06-02,19.52,19.9,19.52,19.77,18.69,3733600,0.0,0
2015-06-03,19.88,20.06,19.54,19.71,18.63,7628000,0.0,0
2015-06-04,20.15,20.58,19.97,20.28,19.17,15202600,0.0,0
2015-06-05,20.27,20.48,20.09,20.28,19.17,7621900,0.0,0
2015-06-08,19.67,19.83,19.15,19.17,18.12,12287600,0.0,0
2015-06-09,19.2,19.51,19.19,19.35,18.29,6771600,0.0,0
2015-06-10,19.49,19.64,19.4,19.53,18.46,5377200,0.0,0
2015-06-11,19.6,19.83,19.36,19.82,18.74,6701200,0.0,0
2015-06-12,19.68,19.78,19.38,19.43,18.37,6142000,0.0,0
2015-06-15,19.25,19.43,19.17,19.23,18.18,6668400,0.0,0
2015-06-16,19.15,19.64,19.03,19.09,18.05,12755900,0.0,0
2015-06-17,19.2,19.48,19.13,19.42,18.36,9902800,0.0,0
2015-06-18,19.52,19.65,19.38,19.5,18.44,6778600,0.0,0
2015-06-19,19.49,19.64,19.41,19.5,18.44,9631900,0.0,0
2015-06-22,19.61,19.68,19.09,19.09,18.05,7360000,0.0,0
2015-06-23,19.1,19.47,18.97,19.38,18.32,9875000,0.0,0
2015-06-24,19.36,19.43,18.59,18.63,17.61,9662300,0.0,0
2015-06-25,18.75,18.8,18.45,18.64,17.62,6979200,0.0,0
2015-06-26,18.52,18.56,18.16,18.38,17.38,10993200,0.0,0
