Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,180.09,180.76,177.0,178.01,178.01,558900,0,0
2015-04-28,177.91,179.25,175.78,177.7,177.7,461400,0,0
2015-04-29,177.33,178.11,174.7,174.75,174.75,753600,0,0
2015-04-30,175.01,176.57,172.97,173.5,173.5,765800,0,0
2015-05-01,174.58,178.05,174.32,177.69,177.69,843800,0,0
2015-05-04,178.87,179.98,177.59,178.97,178.97,602000,0,0
2015-05-05,178.56,179.16,175.97,176.55,176.55,465400,0,0
2015-05-06,176.59,176.72,174.17,175.47,175.47,536900,0,0
2015-05-07,175.5,180.05,174.89,179.19,179.19,805500,0,0
2015-05-08,184.18,188.0,182.0,184.25,184.25,1339900,0,0
2015-05-11,184.49,185.49,182.48,182.57,182.57,872500,0,0
2015-05-12,181.03,181.98,179.93,180.83,180.83,483300,0,0
2015-05-13,181.2,181.89,179.87,181.35,181.35,385600,0,0
2015-05-14,182.8,183.67,180.47,183.12,183.12,554700,0,0
2015-05-15,183.06,184.0,181.92,183.05,183.05,450600,0,0
2015-05-18,182.98,186.16,182.32,185.79,185.79,618400,0,0
2015-05-19,186.74,189.5,185.6,188.89,188.89,756100,0,0
2015-05-20,189.2,189.52,187.4,188.45,188.45,433500,0,0
2015-05-21,187.89,189.63,187.39,188.62,188.62,451000,0,0
2015-05-22,188.31,189.09,187.0,187.18,187.18,289800,0,0
2015-05-26,187.22,187.6,185.88,186.56,186.56,338700,0,0
2015-05-27,186.72,189.93,184.47,189.5,189.5,490400,0,0
2015-05-28,188.79,190.16,188.39,188.83,188.83,347500,0,0
2015-05-29,189.05,189.16,186.49,186.64,186.64,363700,0,0
2015-06-01,186.89,189.67,186.36,188.8,188.8,362600,0,0
2015-06-02,188.5,189.8,187.72,189.45,189.45,379400,0,0
2015-06-03,189.49,189.82,188.04,189.47,189.47,427900,0,0
2015-06-04,188.67,189.87,188.28,188.57,188.57,358700,0,0
2015-06-05,187.98,188.8,187.19,188.6,188.6,420800,0,0
2015-06-08,188.06,188.94,186.84,186.87,186.87,304000,0,0
2015-06-09,186.84,187.93,186.1,186.95,186.95,311700,0,0
2015-06-10,188.07,192.66,187.21,192.44,192.44,611400,0,0
2015-06-11,191.89,194.14,189.98,189.99,189.99,496000,0,0
2015-06-12,189.11,191.13,188.6,190.62,190.62,233900,0,0
2015-06-15,189.12,190.52,188.32,189.05,189.05,374100,0,0
2015-06-16,189.18,191.34,188.57,191.08,191.08,295200,0,0
2015-06-17,191.43,193.59,190.13,192.39,192.39,236900,0,0
