Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,88.0,88.37,87.28,87.84,84.53,488600,0.0,0
2015-04-28,87.99,90.17,87.67,89.84,86.45,415900,0.0,0
2015-04-29,89.64,89.81,88.23,89.06,85.7,302500,0.0,0
2015-04-30,88.46,89.08,85.83,85.85,82.61,314100,0.0,0
2015-05-01,85.86,86.93,84.58,84.96,81.76,192100,0.0,0
2015-05-04,84.99,85.47,84.57,84.98,81.78,143600,0.0,0
2015-05-05,84.59,85.37,83.05,83.3,80.35,241000,0.2,0
2015-05-06,83.23,84.65,82.65,83.9,80.93,223200,0.0,0
2015-05-07,83.95,85.46,83.09,85.02,82.01,157200,0.0,0
2015-05-08,85.98,86.49,84.43,84.67,81.67,188400,0.0,0
2015-05-11,84.68,86.39,84.67,86.07,83.02,194700,0.0,0
2015-05-12,85.48,86.32,84.65,86.02,82.97,275700,0.0,0
2015-05-13,86.12,86.98,85.28,86.07,83.02,197500,0.0,0
2015-05-14,86.39,87.35,85.59,87.27,84.18,183100,0.0,0
2015-05-15,87.29,88.39,86.99,87.49,84.39,142200,0.0,0
2015-05-18,87.78,89.15,87.12,89.1,85.94,179700,0.0,0
2015-05-19,89.25,89.85,87.87,88.68,85.54,183700,0.0,0
2015-05-20,89.01,89.01,87.93,88.36,85.23,165100,0.0,0
2015-05-21,88.16,88.4,87.66,88.0,84.88,184700,0.0,0
2015-05-22,88.08,88.51,87.34,87.72,84.61,157800,0.0,0
2015-05-26,87.28,87.81,85.72,86.56,83.49,232500,0.0,0
2015-05-27,86.54,89.32,86.54,89.23,86.07,278900,0.0,0
2015-05-28,89.25,89.25,88.35,89.02,85.87,134000,0.0,0
2015-05-29,88.77,88.83,87.12,88.45,85.32,199500,0.0,0
2015-06-01,88.8,89.48,87.34,88.96,85.81,164800,0.0,0
2015-06-02,88.46,89.0,88.07,88.49,85.35,131200,0.0,0
2015-06-03,89.0,89.61,87.8,87.89,84.78,295800,0.0,0
2015-06-04,87.0,88.89,86.41,86.49,83.42,142900,0.0,0
2015-06-05,86.57,87.27,86.27,86.65,83.58,254500,0.0,0
2015-06-08,86.19,86.99,86.06,86.28,83.22,139500,0.0,0
2015-06-09,86.0,86.56,85.08,85.39,82.36,141100,0.0,0
2015-06-10,85.98,87.16,85.81,86.57,83.5,204100,0.0,0
2015-06-11,86.65,87.06,86.41,86.68,83.61,157900,0.0,0
2015-06-12,86.53,86.8,85.12,86.31,83.25,130900,0.0,0
2015-06-15,85.4,87.34,83.89,86.99,83.91,162300,0.0,0
2015-06-16,86.57,87.78,86.52,87.3,84.21,148200,0.0,0
2015-06-17,87.77,89.0,87.23,88.71,85.57,165200,0.0,0
2015-06-18,89.0,89.33,88.39,89.21,86.05,238200,0.0,0
2015-06-19,89.41,91.98,88.64,91.51,88.27,326200,0.0,0
2015-06-22,92.33,95.34,92.06,95.27,91.89,271900,0.0,0
2015-06-23,95.42,96.41,95.29,96.2,92.79,264000,0.0,0
2015-06-24,96.18,97.81,96.12,97.25,93.8,372000,0.0,0
2015-06-25,97.72,98.88,96.6,97.34,93.89,293900,0.0,0
2015-06-26,97.7,97.99,96.49,96.86,93.43,452700,0.0,0
2015-06-29,94.75,95.18,92.3,92.32,89.05,243300,0.0,0
2015-06-30,92.68,93.49,92.2,92.77,89.48,214100,0.0,0
2015-07-01,93.65,95.22,93.65,94.76,91.4,276800,0.0,0
2015-07-02,94.78,95.27,94.16,94.49,91.14,166800,0.0,0
2015-07-06,94.2,96.97,93.75,96.87,93.44,232800,0.0,0
2015-07-07,97.21,97.66,94.39,97.47,94.02,282000,0.0,0
2015-07-08,96.87,97.98,95.83,97.78,94.31,295600,0.0,0
2015-07-09,98.85,100.29,97.89,99.62,96.09,367300,0.0,0
2015-07-10,100.42,103.41,99.77,103.28,99.62,291400,0.0,0
2015-07-13,104.03,104.69,101.38,101.74,98.13,303200,0.0,0
2015-07-14,101.74,101.88,100.2,100.91,97.33,240300,0.0,0
2015-07-15,101.17,101.25,99.47,99.88,96.34,259800,0.0,0
2015-07-16,100.35,101.91,99.74,101.5,97.9,273300,0.0,0
2015-07-17,101.8,102.17,100.86,101.31,97.72,206100,0.0,0
2015-07-20,101.69,102.09,100.62,100.94,97.36,201800,0.0,0
2015-07-21,101.06,101.58,99.46,100.22,96.67,195200,0.0,0
2015-07-22,99.2,99.2,95.11,97.95,94.48,361700,0.0,0
2015-07-23,98.31,102.81,95.97,97.95,94.48,223300,0.0,0
2015-07-24,97.67,98.3,96.38,96.54,93.12,176000,0.0,0
2015-07-27,96.08,98.08,95.0,97.95,94.48,201800,0.0,0
2015-07-28,98.34,98.67,96.1,97.66,94.2,189700,0.0,0
2015-07-29,97.44,98.53,97.21,98.16,94.68,245000,0.0,0
2015-07-30,97.41,98.58,96.64,97.07,93.63,250200,0.0,0
2015-07-31,97.57,99.3,97.07,97.8,94.33,170300,0.0,0
2015-08-03,98.01,98.88,97.02,97.92,94.45,130800,0.0,0
2015-08-04,97.67,97.96,96.35,96.96,93.72,144300,0.2,0
2015-08-05,97.04,99.76,97.01,99.25,95.93,132400,0.0,0
2015-08-06,99.12,99.87,97.21,97.93,94.65,155100,0.0,0
2015-08-07,97.4,98.1,95.47,97.57,94.3,233400,0.0,0
2015-08-10,97.76,99.68,96.83,97.41,94.15,178200,0.0,0
2015-08-11,96.83,97.14,94.58,96.16,92.94,130400,0.0,0
2015-08-12,95.45,95.88,93.47,95.37,92.18,118600,0.0,0
2015-08-13,95.44,96.2,94.31,94.54,91.38,135600,0.0,0
2015-08-14,94.05,96.61,93.38,96.38,93.15,98600,0.0,0
2015-08-17,96.09,97.53,95.4,97.53,94.27,125000,0.0,0
2015-08-18,97.3,98.32,96.83,97.49,94.23,102700,0.0,0
2015-08-19,97.09,98.35,96.62,98.06,94.78,160900,0.0,0
2015-08-20,97.31,97.98,95.97,96.57,93.34,231800,0.0,0
2015-08-21,95.66,96.49,93.84,93.96,90.82,217800,0.0,0
2015-08-24,89.43,93.25,88.01,89.61,86.61,269900,0.0,0
2015-08-25,92.46,92.59,88.68,88.91,85.93,205400,0.0,0
2015-08-26,90.89,91.38,87.8,90.97,87.93,208000,0.0,0
2015-08-27,91.44,92.57,90.42,91.83,88.76,204900,0.0,0
2015-08-28,91.25,91.67,89.73,91.45,88.39,244200,0.0,0
2015-08-31,90.55,91.46,89.87,90.42,87.39,225100,0.0,0
2015-09-01,88.8,92.07,87.57,91.71,88.64,272400,0.0,0
2015-09-02,92.78,96.68,92.46,96.63,93.4,438100,0.0,0
2015-09-03,96.95,97.77,95.81,96.2,92.98,391500,0.0,0
2015-09-04,94.87,96.18,94.12,94.85,91.68,159100,0.0,0
2015-09-08,96.45,97.06,94.67,96.5,93.27,215200,0.0,0
2015-09-09,97.67,98.35,96.48,96.62,93.39,163600,0.0,0
2015-09-10,96.27,97.76,96.27,97.14,93.89,116800,0.0,0
2015-09-11,96.54,97.7,96.54,97.35,94.09,175800,0.0,0
2015-09-14,97.39,98.0,96.37,96.96,93.72,115300,0.0,0
2015-09-15,97.4,98.0,96.67,97.3,94.04,232500,0.0,0
2015-09-16,97.52,97.84,96.32,97.5,94.24,190000,0.0,0
2015-09-17,97.32,98.34,96.05,96.5,93.27,199100,0.0,0
2015-09-18,95.27,96.79,94.85,96.32,93.1,359900,0.0,0
2015-09-21,97.28,98.27,95.98,97.04,93.79,221400,0.0,0
2015-09-22,96.0,97.32,95.05,95.92,92.71,108000,0.0,0
2015-09-23,95.9,99.43,95.55,98.99,95.68,205000,0.0,0
2015-09-24,98.52,98.86,96.77,97.15,93.9,273500,0.0,0
2015-09-25,98.15,101.21,97.88,99.52,96.19,321700,0.0,0
2015-09-28,98.95,99.13,94.55,94.7,91.53,236300,0.0,0
2015-09-29,94.7,95.15,89.79,90.82,87.78,260700,0.0,0
2015-09-30,91.52,93.15,90.19,92.88,89.77,328800,0.0,0
2015-10-01,92.92,94.15,91.07,94.02,90.87,256600,0.0,0
2015-10-02,92.41,95.35,91.72,95.01,91.83,297900,0.0,0
2015-10-05,96.13,97.21,95.02,96.93,93.69,177000,0.0,0
2015-10-06,96.66,96.66,92.85,93.33,90.21,143800,0.0,0
2015-10-07,93.98,94.89,93.01,94.84,91.67,165700,0.0,0
2015-10-08,94.94,95.58,93.9,95.5,92.3,157800,0.0,0
2015-10-09,95.79,96.84,94.04,94.7,91.53,123000,0.0,0
2015-10-12,94.55,96.98,93.52,96.96,93.72,119200,0.0,0
2015-10-13,96.41,97.01,94.52,94.56,91.4,87500,0.0,0
2015-10-14,94.49,95.44,93.31,94.24,91.09,167300,0.0,0
2015-10-15,94.42,96.72,94.42,96.5,93.27,173400,0.0,0
2015-10-16,96.88,97.31,95.4,96.73,93.49,143200,0.0,0
2015-10-19,96.04,96.46,94.62,95.94,92.73,224900,0.0,0
2015-10-20,96.07,98.0,94.75,96.1,92.88,175300,0.0,0
2015-10-21,95.52,97.44,86.19,86.86,83.95,1235700,0.0,0
2015-10-22,87.86,90.88,87.42,89.55,86.55,468300,0.0,0
2015-10-23,90.58,90.71,88.83,90.01,87.0,213000,0.0,0
2015-10-26,91.15,95.86,90.98,95.86,92.65,282000,0.0,0
2015-10-27,95.39,96.08,94.8,95.26,92.07,171200,0.0,0
2015-10-28,96.24,100.6,95.97,100.2,96.85,409000,0.0,0
2015-10-29,99.37,103.08,99.06,102.89,99.45,420100,0.0,0
2015-10-30,102.81,104.56,100.09,101.31,97.92,4926500,0.0,0
2015-11-02,101.77,102.41,98.92,99.0,95.88,473900,0.2,0
2015-11-03,98.85,101.47,97.99,98.88,95.76,188600,0.0,0
2015-11-04,99.12,100.12,96.0,98.55,95.44,307900,0.0,0
2015-11-05,98.5,99.11,97.28,98.98,95.86,176000,0.0,0
2015-11-06,98.87,99.85,98.11,99.82,96.67,217900,0.0,0
2015-11-09,99.85,99.87,97.5,99.16,96.03,210300,0.0,0
2015-11-10,98.65,100.7,97.64,99.97,96.82,207100,0.0,0
2015-11-11,100.35,101.62,99.91,101.18,97.99,361100,0.0,0
2015-11-12,100.5,101.08,99.1,100.01,96.85,263700,0.0,0
2015-11-13,99.28,99.92,98.49,98.58,95.47,257500,0.0,0
2015-11-16,98.63,100.91,98.2,100.75,97.57,178900,0.0,0
2015-11-17,100.68,102.56,99.81,101.73,98.52,230100,0.0,0
2015-11-18,101.76,103.64,100.63,103.61,100.34,293400,0.0,0
2015-11-19,103.1,104.54,102.36,103.49,100.22,204100,0.0,0
2015-11-20,104.15,106.78,103.4,106.68,103.31,269800,0.0,0
2015-11-23,106.15,107.96,106.15,107.35,103.96,321500,0.0,0
2015-11-24,106.53,106.8,104.09,105.2,101.88,488100,0.0,0
2015-11-25,105.22,106.11,104.72,106.0,102.66,220500,0.0,0
2015-11-27,105.56,108.13,105.28,107.66,104.26,131800,0.0,0
2015-11-30,107.87,108.25,105.98,106.78,103.41,281900,0.0,0
2015-12-01,107.38,107.5,105.39,106.7,103.33,339900,0.0,0
2015-12-02,106.96,108.09,106.23,106.44,103.08,140600,0.0,0
2015-12-03,107.44,109.62,106.84,109.5,106.04,410100,0.0,0
2015-12-04,109.48,113.94,108.71,113.88,110.29,224300,0.0,0
2015-12-07,113.89,114.56,111.69,113.56,109.98,235500,0.0,0
2015-12-08,112.87,113.54,111.62,112.92,109.36,200700,0.0,0
2015-12-09,112.58,112.58,109.04,109.51,106.05,201900,0.0,0
2015-12-10,109.29,110.22,106.18,109.18,105.73,178900,0.0,0
2015-12-11,107.3,110.0,105.98,106.65,103.28,214600,0.0,0
2015-12-14,106.94,109.93,105.68,108.27,104.85,255200,0.0,0
2015-12-15,109.22,109.45,107.19,108.0,104.59,345600,0.0,0
2015-12-16,108.57,109.53,107.4,109.22,105.77,210100,0.0,0
2015-12-17,109.66,112.75,107.59,107.92,104.51,250500,0.0,0
2015-12-18,107.26,108.06,104.75,104.88,101.57,747300,0.0,0
2015-12-21,105.88,105.92,104.12,105.62,102.29,347900,0.0,0
2015-12-22,106.23,106.23,103.18,104.8,101.49,203700,0.0,0
2015-12-23,105.08,105.79,104.08,104.76,101.45,140600,0.0,0
2015-12-24,105.28,111.96,105.28,111.13,107.62,195900,0.0,0
2015-12-28,110.63,112.98,110.63,112.7,109.14,175700,0.0,0
2015-12-29,113.7,115.54,113.33,114.24,110.64,183200,0.0,0
2015-12-30,114.02,115.89,112.83,112.96,109.4,219300,0.0,0
2015-12-31,112.75,113.53,110.72,111.59,108.07,492300,0.0,0
2016-01-04,109.86,110.72,107.64,109.28,105.83,301400,0.0,0
2016-01-05,109.33,111.1,108.89,110.09,106.62,194000,0.0,0
2016-01-06,108.33,109.6,107.35,108.76,105.33,234800,0.0,0
2016-01-07,106.71,107.79,105.98,107.06,103.68,228600,0.0,0
2016-01-08,107.56,108.09,105.44,105.73,102.39,416700,0.0,0
2016-01-11,106.14,107.37,105.56,106.52,103.16,243000,0.0,0
2016-01-12,107.27,107.72,101.07,106.28,102.93,172900,0.0,0
2016-01-13,106.98,107.68,101.76,102.9,99.65,207100,0.0,0
2016-01-14,103.17,105.45,102.04,104.44,101.14,145700,0.0,0
2016-01-15,101.68,103.7,100.39,101.77,98.56,240300,0.0,0
2016-01-19,103.15,104.51,98.0,102.38,99.15,249600,0.0,0
2016-01-20,100.87,104.1,99.6,103.31,100.05,290100,0.0,0
2016-01-21,103.5,104.26,101.66,101.91,98.69,236100,0.0,0
2016-01-22,103.2,103.91,101.75,103.3,100.04,281800,0.0,0
2016-01-25,102.54,103.66,101.79,101.97,98.75,163900,0.0,0
2016-01-26,102.28,104.58,102.0,104.38,101.09,267000,0.0,0
2016-01-27,104.87,109.42,102.0,108.28,104.86,372000,0.0,0
2016-01-28,109.2,113.33,108.83,111.97,108.44,332900,0.0,0
2016-01-29,112.52,117.03,112.52,116.23,112.56,416700,0.0,0
2016-02-01,115.34,116.9,114.63,115.76,112.11,383700,0.0,0
2016-02-02,114.76,115.29,113.52,114.63,111.01,203600,0.0,0
2016-02-03,115.78,116.6,112.92,113.84,110.25,241500,0.0,0
2016-02-04,114.02,114.21,110.27,111.51,107.99,205400,0.0,0
2016-02-05,111.42,112.74,106.56,106.6,103.24,289900,0.0,0
2016-02-08,105.55,105.91,102.32,105.34,102.02,333800,0.0,0
2016-02-09,103.69,107.51,103.24,106.98,103.86,151700,0.26,0
2016-02-10,107.42,109.19,104.69,105.29,102.22,266600,0.0,0
2016-02-11,103.73,107.27,102.71,106.12,103.03,210300,0.0,0
2016-02-12,107.51,109.63,106.28,108.82,105.65,175600,0.0,0
2016-02-16,110.26,112.07,109.0,110.79,107.56,194000,0.0,0
2016-02-17,111.79,114.69,111.79,114.15,110.82,363500,0.0,0
2016-02-18,114.48,115.0,111.83,111.91,108.65,215800,0.0,0
2016-02-19,111.66,114.74,110.07,114.13,110.8,197100,0.0,0
2016-02-22,114.59,116.36,111.07,111.25,108.01,207700,0.0,0
2016-02-23,111.0,116.0,111.0,115.25,111.89,367500,0.0,0
2016-02-24,113.92,116.01,113.26,116.0,112.62,242800,0.0,0
2016-02-25,116.8,119.72,116.43,119.25,115.77,255200,0.0,0
2016-02-26,120.25,120.94,119.17,119.9,116.4,224500,0.0,0
2016-02-29,119.33,119.96,118.16,118.46,115.01,385700,0.0,0
2016-03-01,119.46,120.3,117.57,118.31,114.86,198700,0.0,0
2016-03-02,118.18,120.91,117.83,119.96,116.46,197200,0.0,0
2016-03-03,120.17,120.93,118.22,120.76,117.24,264100,0.0,0
2016-03-04,121.21,126.36,119.63,126.29,122.61,335400,0.0,0
2016-03-07,125.61,125.81,121.54,122.03,118.47,275200,0.0,0
2016-03-08,121.41,127.3,121.03,123.79,120.18,391400,0.0,0
2016-03-09,124.39,125.23,121.08,122.6,119.03,432200,0.0,0
