Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,159.48,160.07,157.81,157.98,137.65,3448800,0.0,0
2015-04-28,157.69,158.36,156.18,158.33,137.95,3387900,0.0,0
2015-04-29,157.42,157.93,156.18,156.97,136.77,3078600,0.0,0
2015-04-30,156.82,157.92,156.01,156.39,136.26,3510200,0.0,0
2015-05-01,156.79,158.09,156.79,157.68,137.39,2160100,0.0,0
2015-05-04,158.4,159.85,157.88,159.02,138.55,2240300,0.0,0
2015-05-05,158.86,159.45,157.41,157.91,137.59,1947700,0.0,0
2015-05-06,157.92,159.08,156.55,157.64,137.35,2203100,0.0,0
2015-05-07,157.23,159.2,157.23,158.61,138.2,2112900,0.0,0
2015-05-08,160.25,161.4,160.06,160.6,139.93,2025500,0.0,0
2015-05-11,160.26,161.0,159.8,159.9,139.32,1708700,0.0,0
2015-05-12,158.71,160.4,158.01,160.07,139.47,1864800,0.0,0
2015-05-13,160.43,161.74,160.36,161.31,140.55,2587900,0.0,0
2015-05-14,162.09,163.3,161.8,163.15,142.15,2462500,0.0,0
2015-05-15,163.15,163.77,162.65,163.3,142.28,1923800,0.0,0
2015-05-18,163.0,163.59,162.31,162.87,141.91,1747800,0.0,0
2015-05-19,163.07,163.59,162.55,163.12,142.13,2075100,0.0,0
2015-05-20,162.42,163.07,161.84,161.9,141.95,1978100,1.025,0
2015-05-21,161.9,162.35,161.8,162.06,142.09,2400800,0.0,0
2015-05-22,161.99,162.33,160.66,160.98,141.15,1822700,0.0,0
2015-05-26,160.98,161.32,159.04,159.59,139.93,2471100,0.0,0
2015-05-27,159.82,161.31,159.53,161.02,141.18,2625900,0.0,0
2015-05-28,160.35,160.89,159.61,160.87,141.05,1578100,0.0,0
2015-05-29,160.44,160.79,158.74,159.08,139.48,2880500,0.0,0
2015-06-01,159.1,159.76,158.57,158.98,139.39,1906100,0.0,0
2015-06-02,158.28,159.88,157.95,159.08,139.48,2481100,0.0,0
2015-06-03,159.61,160.5,158.98,160.16,140.43,2074500,0.0,0
2015-06-04,159.51,160.38,158.09,158.35,138.84,2237600,0.0,0
2015-06-05,157.5,157.97,156.97,157.08,137.73,2314800,0.0,0
2015-06-08,156.5,157.41,156.3,156.59,137.3,1608600,0.0,0
2015-06-09,156.85,158.26,156.6,156.98,137.64,1810800,0.0,0
2015-06-10,156.95,159.57,156.95,159.04,139.45,1758900,0.0,0
2015-06-11,159.12,160.36,159.0,159.86,140.17,1854200,0.0,0
2015-06-12,159.85,159.99,157.88,158.04,138.57,1910500,0.0,0
2015-06-15,157.08,157.32,155.39,155.87,136.67,2353100,0.0,0
2015-06-16,155.49,157.04,155.37,156.49,137.21,1729300,0.0,0
2015-06-17,156.6,157.59,155.75,156.95,137.61,1839400,0.0,0
2015-06-18,157.59,160.24,157.39,159.62,139.96,2528900,0.0,0
2015-06-19,159.36,159.88,158.94,158.95,139.37,3287200,0.0,0
2015-06-22,159.85,160.7,159.45,159.68,140.01,1447400,0.0,0
2015-06-23,160.41,160.87,159.51,159.84,140.15,2286400,0.0,0
2015-06-24,159.68,159.96,157.54,157.54,138.13,2862900,0.0,0
2015-06-25,157.85,158.32,155.92,155.92,136.71,2564000,0.0,0
2015-06-26,156.16,157.99,155.93,157.09,137.74,2625500,0.0,0
2015-06-29,155.92,156.44,153.92,153.95,134.98,2475000,0.0,0
2015-06-30,155.0,155.3,154.07,154.3,135.29,2561000,0.0,0
2015-07-01,156.13,156.43,154.66,155.65,136.47,1726800,0.0,0
2015-07-02,156.08,156.08,154.9,155.38,136.24,2022400,0.0,0
2015-07-06,153.89,155.58,153.83,155.08,135.97,2172200,0.0,0
2015-07-07,155.14,155.63,153.16,155.43,136.28,2865300,0.0,0
2015-07-08,154.08,154.5,152.7,152.71,133.9,2613300,0.0,0
2015-07-09,154.59,155.5,153.75,153.75,134.81,2069200,0.0,0
2015-07-10,154.74,155.86,154.5,154.95,135.86,2061300,0.0,0
2015-07-13,156.42,156.77,155.65,156.47,137.19,2107200,0.0,0
2015-07-14,156.49,157.08,156.28,156.78,137.47,1811400,0.0,0
2015-07-15,156.57,157.0,155.9,156.0,136.78,1786100,0.0,0
2015-07-16,157.58,157.94,156.69,157.17,137.81,2023900,0.0,0
2015-07-17,156.5,157.37,156.43,156.69,137.39,2429000,0.0,0
2015-07-20,156.77,157.65,156.27,157.12,137.76,2349000,0.0,0
2015-07-21,156.75,157.18,155.34,155.76,136.57,2743900,0.0,0
2015-07-22,155.59,156.31,154.44,155.41,136.26,3067700,0.0,0
2015-07-23,151.92,153.69,149.02,149.5,131.08,5176400,0.0,0
2015-07-24,148.86,150.8,148.7,149.33,130.93,3433600,0.0,0
2015-07-27,148.64,149.0,147.7,148.71,130.39,3117600,0.0,0
2015-07-28,148.85,151.72,148.32,151.11,132.49,3277700,0.0,0
2015-07-29,151.44,151.69,150.71,151.45,132.79,2176900,0.0,0
2015-07-30,151.0,151.73,150.33,151.57,132.9,2119100,0.0,0
2015-07-31,152.53,152.81,151.03,151.34,132.7,1619600,0.0,0
2015-08-03,150.79,151.78,148.94,150.12,131.63,2355100,0.0,0
2015-08-04,150.93,151.54,150.11,150.4,131.87,1811900,0.0,0
2015-08-05,151.85,153.24,150.92,151.01,132.41,1765600,0.0,0
2015-08-06,150.89,151.22,148.9,149.26,130.87,1764800,0.0,0
2015-08-07,148.48,150.0,148.16,148.89,130.55,1668700,0.0,0
2015-08-10,150.0,151.4,149.89,151.24,132.61,1571800,0.0,0
2015-08-11,150.0,150.0,148.26,148.48,130.19,1810800,0.0,0
2015-08-12,147.24,148.71,146.07,148.52,130.22,2036700,0.0,0
2015-08-13,148.0,148.56,147.08,147.4,129.24,1793100,0.0,0
