Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,51.9,52.04,51.38,51.47,43.88,4899400,0.0,0.0
2015-04-28,51.32,51.74,51.06,51.26,43.69,3160400,0.0,0.0
2015-04-29,51.69,51.94,50.79,51.26,43.7,4841200,0.0,0.0
2015-04-30,52.1,52.28,48.88,49.28,42.01,10060400,0.0,0.0
2015-05-01,49.49,51.6,49.33,51.33,43.76,5698400,0.0,0.0
2015-05-04,51.22,51.6,50.54,50.62,43.16,4090800,0.0,0.0
2015-05-05,50.85,51.15,50.58,50.92,43.4,3847800,0.0,0.0
2015-05-06,51.4,51.46,49.88,50.51,43.06,4899400,0.0,0.0
2015-05-07,50.5,51.74,49.97,51.35,43.77,4755600,0.0,0.0
2015-05-08,51.52,52.76,50.85,52.44,44.7,5191200,0.0,0.0
2015-05-11,53.01,53.07,50.72,51.14,43.59,4492600,0.0,0.0
2015-05-12,51.1,51.1,50.31,50.67,43.19,3628400,0.0,0.0
2015-05-13,51.01,51.35,50.72,51.14,43.59,2999600,0.0,0.0
2015-05-14,51.35,52.49,51.28,52.35,44.63,3743400,0.0,0.0
2015-05-15,52.28,52.31,51.22,51.72,44.09,3199400,0.0,0.0
2015-05-18,51.6,52.24,51.22,52.13,44.88,2567800,0.5,0.0
2015-05-19,51.41,52.24,51.41,52.13,44.87,3442600,0.0,0.0
2015-05-20,52.38,52.47,51.74,52.17,44.9,3563200,0.0,0.0
2015-05-21,52.15,52.42,51.76,51.83,44.61,4210200,0.0,0.0
2015-05-22,51.64,52.28,51.44,51.54,44.36,4338000,0.0,0.0
2015-05-26,51.35,51.49,49.85,50.22,43.23,6473000,0.0,0.0
2015-05-27,50.71,51.1,50.15,50.48,43.45,4688800,0.0,0.0
2015-05-28,50.46,51.54,50.18,51.38,44.23,3650800,0.0,0.0
2015-05-29,51.49,52.5,51.24,51.73,44.53,5635200,0.0,0.0
2015-06-01,51.58,52.45,51.58,51.78,44.57,4692800,0.0,0.0
2015-06-02,51.7,51.89,50.95,51.51,44.34,3849200,0.0,0.0
2015-06-03,51.35,51.6,50.82,51.1,43.99,5167200,0.0,0.0
2015-06-04,50.67,50.99,49.98,50.17,43.18,6044400,0.0,0.0
2015-06-05,50.08,50.75,49.98,50.46,43.44,5814000,0.0,0.0
2015-06-08,50.4,51.08,50.14,50.23,43.24,3041800,0.0,0.0
2015-06-09,50.4,50.62,49.65,49.67,42.75,4973800,0.0,0.0
2015-06-10,49.91,51.12,49.91,50.9,43.81,4799600,0.0,0.0
2015-06-11,51.2,52.45,50.92,52.03,44.79,4141700,0.0,2.0
2015-06-12,51.69,51.69,50.4,51.03,43.93,4201700,0.0,0.0
2015-06-15,50.62,51.2,50.5,51.06,43.95,3648800,0.0,0.0
2015-06-16,50.93,51.4,50.47,51.19,44.06,3049600,0.0,0.0
2015-06-17,51.6,52.45,50.61,51.3,44.16,4327200,0.0,0.0
2015-06-18,51.55,52.51,51.37,51.94,44.71,3742900,0.0,0.0
2015-06-19,51.8,52.78,51.74,51.9,44.67,4295600,0.0,0.0
2015-06-22,52.16,52.21,51.54,51.89,44.67,2555400,0.0,0.0
