Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,57.83,58.03,56.88,57.1,49.05,10599600,0.0,0
2015-04-28,57.1,60.48,57.1,59.98,51.52,34731200,0.0,0
2015-04-29,59.33,60.43,59.23,59.68,51.26,17192000,0.0,0
2015-04-30,59.79,60.14,59.24,59.56,51.16,13012400,0.0,0
2015-05-01,59.76,60.38,59.68,59.86,51.42,9357500,0.0,0
2015-05-04,60.14,60.95,60.03,60.64,52.09,9050400,0.0,0
2015-05-05,60.32,60.7,60.06,60.49,51.96,12082100,0.0,0
2015-05-06,60.45,60.59,59.93,60.26,51.76,11570900,0.0,0
2015-05-07,60.05,60.73,59.93,60.3,51.8,9001000,0.0,0
2015-05-08,61.0,61.38,60.7,60.74,52.17,10143400,0.0,0
2015-05-11,60.66,60.69,59.84,60.0,51.54,9718900,0.0,0
2015-05-12,59.55,59.73,59.11,59.44,51.06,13191900,0.0,0
2015-05-13,59.62,59.85,58.97,59.18,50.83,7320900,0.0,0
2015-05-14,59.47,59.89,59.05,59.78,51.35,7127300,0.0,0
2015-05-15,59.94,60.23,59.81,60.23,51.74,7665700,0.0,0
2015-05-18,60.17,60.45,60.01,60.01,51.55,7190400,0.0,0
2015-05-19,59.96,60.92,59.94,60.52,51.98,8128700,0.0,0
2015-05-20,60.67,60.85,60.44,60.46,51.93,6034900,0.0,0
2015-05-21,60.55,60.79,60.09,60.1,51.62,8039000,0.0,0
2015-05-22,60.07,60.07,59.34,59.38,51.0,8990400,0.0,0
2015-05-26,59.28,59.44,58.85,58.97,50.65,10857700,0.0,0
2015-05-27,59.09,59.78,58.87,59.46,51.07,9726700,0.0,0
2015-05-28,59.45,59.85,59.38,59.7,51.28,9530100,0.0,0
2015-05-29,59.88,61.12,59.47,60.89,52.3,20015600,0.0,0
2015-06-01,60.85,61.7,60.34,60.75,52.18,11807400,0.0,0
2015-06-02,60.45,60.46,59.82,60.24,51.74,8993000,0.0,0
2015-06-03,60.66,60.88,60.26,60.39,51.87,8662400,0.0,0
2015-06-04,59.96,60.21,59.27,59.47,51.08,10830300,0.0,0
2015-06-05,59.36,59.41,58.8,58.99,50.67,10881800,0.0,0
2015-06-08,58.89,59.17,58.76,58.87,50.57,8047800,0.0,0
2015-06-09,58.96,59.29,58.71,58.84,50.54,6445200,0.0,0
2015-06-10,58.98,59.66,58.91,59.61,51.2,10223200,0.0,0
2015-06-11,59.2,59.37,58.84,58.91,50.99,11640300,0.45,0
2015-06-12,58.79,58.8,57.79,57.87,50.09,15812300,0.0,0
2015-06-15,57.6,57.64,57.02,57.12,49.44,10106500,0.0,0
2015-06-16,57.24,57.73,56.88,57.71,49.95,6968900,0.0,0
2015-06-17,57.71,58.17,57.47,57.91,50.12,7917300,0.0,0
2015-06-18,57.91,58.87,57.91,58.59,50.71,7440500,0.0,0
2015-06-19,58.41,58.84,57.95,58.04,50.23,12613500,0.0,0
2015-06-22,58.79,59.2,58.43,58.83,50.92,8362500,0.0,0
2015-06-23,58.88,59.05,58.52,59.03,51.09,8371000,0.0,0
2015-06-24,58.92,59.03,58.24,58.24,50.41,7908400,0.0,0
2015-06-25,58.25,58.6,57.72,57.9,50.11,9951200,0.0,0
2015-06-26,58.22,58.53,57.85,58.49,50.62,13083700,0.0,0
2015-06-29,57.93,58.22,57.25,57.29,49.58,9601200,0.0,0
2015-06-30,57.71,57.71,56.71,56.93,49.27,11847300,0.0,0
2015-07-01,56.93,57.87,56.61,57.6,49.85,9380100,0.0,0
2015-07-02,57.94,58.33,57.5,57.67,49.91,8518400,0.0,0
2015-07-06,57.24,57.84,56.64,57.55,49.81,8054100,0.0,0
2015-07-07,57.75,58.1,57.18,57.99,50.19,9034300,0.0,0
2015-07-08,57.73,57.74,57.12,57.35,49.64,9111600,0.0,0
2015-07-09,58.04,58.17,57.35,57.38,49.66,8677800,0.0,0
2015-07-10,58.07,58.25,57.58,57.95,50.16,8047400,0.0,0
2015-07-13,58.25,58.55,57.68,57.87,50.09,9133800,0.0,0
2015-07-14,57.9,58.28,57.68,58.19,50.36,7235100,0.0,0
2015-07-15,58.16,58.56,58.07,58.22,50.39,5748600,0.0,0
2015-07-16,58.51,58.87,58.35,58.82,50.91,5324700,0.0,0
2015-07-17,58.7,58.92,58.59,58.82,50.91,6988900,0.0,0
2015-07-20,58.96,59.2,58.86,59.0,51.06,5697200,0.0,0
2015-07-21,58.99,59.02,58.65,58.67,50.78,6932800,0.0,0
2015-07-22,58.51,59.03,58.01,58.13,50.31,8617800,0.0,0
