Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,37.44,37.64,37.0,37.05,33.09,8924200,0.0,0
2015-04-28,36.83,37.16,36.62,37.04,33.21,7525400,0.15,0
2015-04-29,36.72,37.69,36.72,37.49,33.62,9518400,0.0,0
2015-04-30,37.32,37.7,37.09,37.31,33.46,10413900,0.0,0
2015-05-01,37.5,37.63,37.31,37.51,33.63,6469600,0.0,0
2015-05-04,37.58,37.94,37.53,37.91,33.99,7375700,0.0,0
2015-05-05,37.72,37.95,37.36,37.45,33.58,10339600,0.0,0
2015-05-06,37.53,37.63,36.76,37.05,33.22,9532500,0.0,0
2015-05-07,36.98,37.62,36.85,37.54,33.66,12404700,0.0,0
2015-05-08,37.63,37.96,37.53,37.89,33.98,10037900,0.0,0
2015-05-11,37.85,38.5,37.84,38.25,34.3,12349100,0.0,0
2015-05-12,38.0,38.03,37.46,37.72,33.82,9689300,0.0,0
2015-05-13,37.79,37.93,37.47,37.78,33.88,7016100,0.0,0
2015-05-14,37.97,38.17,37.83,38.14,34.2,7291300,0.0,0
2015-05-15,38.11,38.19,37.74,37.85,33.94,7093800,0.0,0
2015-05-18,37.89,38.4,37.85,38.33,34.37,6061400,0.0,0
2015-05-19,38.33,38.85,38.33,38.69,34.69,7380900,0.0,0
2015-05-20,38.6,38.65,38.19,38.33,34.37,6339300,0.0,0
2015-05-21,38.18,38.34,38.0,38.04,34.11,7141500,0.0,0
2015-05-22,38.04,38.35,38.02,38.17,34.23,5513900,0.0,0
2015-05-26,38.02,38.15,37.59,37.79,33.89,8434000,0.0,0
2015-05-27,38.01,38.73,37.87,38.62,34.63,8252300,0.0,0
2015-05-28,38.57,38.78,38.41,38.73,34.73,9717600,0.0,0
2015-05-29,38.64,38.71,38.17,38.2,34.25,7858800,0.0,0
2015-06-01,38.42,38.72,38.16,38.58,34.59,8830700,0.0,0
2015-06-02,38.43,38.74,38.27,38.52,34.54,6178700,0.0,0
2015-06-03,38.79,39.24,38.61,39.01,34.98,7812600,0.0,0
2015-06-04,38.63,39.21,38.59,38.7,34.7,7713400,0.0,0
2015-06-05,39.23,39.4,38.95,39.29,35.23,9808100,0.0,0
2015-06-08,39.64,39.75,38.99,39.09,35.05,7327000,0.0,0
2015-06-09,39.08,39.28,38.79,39.13,35.09,7807900,0.0,0
2015-06-10,39.3,39.95,39.16,39.89,35.77,9546900,0.0,0
2015-06-11,40.0,40.18,39.63,39.87,35.75,6981000,0.0,0
2015-06-12,39.65,39.86,39.51,39.61,35.52,5896300,0.0,0
2015-06-15,39.22,39.64,38.95,39.53,35.45,5635300,0.0,0
2015-06-16,39.39,39.81,39.35,39.74,35.63,4580300,0.0,0
2015-06-17,39.89,39.96,39.53,39.58,35.49,7029500,0.0,0
2015-06-18,39.68,39.93,39.32,39.79,35.68,7593800,0.0,0
2015-06-19,39.63,39.93,39.22,39.37,35.3,10338800,0.0,0
2015-06-22,39.86,40.05,39.71,39.85,35.73,8676300,0.0,0
2015-06-23,40.06,40.24,39.98,40.21,36.06,9380300,0.0,0
2015-06-24,39.97,40.26,39.54,39.64,35.54,8065700,0.0,0
2015-06-25,39.82,39.87,39.14,39.22,35.17,8939700,0.0,0
2015-06-26,39.47,39.72,39.36,39.5,35.42,8325600,0.0,0
2015-06-29,38.82,39.2,38.3,38.31,34.35,10819300,0.0,0
2015-06-30,38.82,39.09,38.56,38.79,34.78,11102300,0.0,0
2015-07-01,39.46,39.53,39.18,39.36,35.29,10549900,0.0,0
2015-07-02,39.26,39.39,38.73,39.0,34.97,6801200,0.0,0
2015-07-06,38.41,38.92,38.4,38.85,34.84,8044500,0.0,0
2015-07-07,38.74,38.9,37.65,38.62,34.63,12759200,0.0,0
2015-07-08,38.17,38.33,37.77,37.79,33.89,9113300,0.0,0
2015-07-09,38.49,38.58,38.05,38.1,34.16,7286000,0.0,0
2015-07-10,38.75,38.85,38.45,38.64,34.65,6780400,0.0,0
2015-07-13,39.08,39.38,38.95,39.32,35.26,7183900,0.0,0
2015-07-14,39.33,39.91,39.26,39.71,35.61,8054600,0.0,0
2015-07-15,39.95,39.95,39.48,39.7,35.6,7649400,0.0,0
2015-07-16,40.01,40.09,39.84,39.91,35.79,7969800,0.0,0
2015-07-17,39.76,40.25,39.67,40.2,36.05,8153700,0.0,0
2015-07-20,40.9,41.04,39.9,40.04,35.9,15141800,0.0,0
2015-07-21,39.71,40.32,39.71,40.08,35.94,11773400,0.0,0
2015-07-22,40.17,40.62,40.08,40.54,36.35,9435900,0.0,0
2015-07-23,40.48,40.74,39.81,39.94,35.81,10281600,0.0,0
2015-07-24,40.11,40.12,39.24,39.6,35.51,8370100,0.0,0
2015-07-27,39.26,39.38,38.87,39.25,35.19,11948000,0.0,0
2015-07-28,39.6,39.72,39.03,39.25,35.19,9201100,0.0,0
2015-07-29,39.02,39.45,38.92,39.29,35.37,9677800,0.15,0
2015-07-30,39.15,39.4,38.85,39.3,35.37,5512100,0.0,0
2015-07-31,39.28,39.35,38.79,38.84,34.96,7347600,0.0,0
2015-08-03,38.96,38.97,38.42,38.76,34.89,7078100,0.0,0
2015-08-04,38.85,39.18,38.74,38.92,35.03,6365800,0.0,0
2015-08-05,39.29,39.35,38.8,39.0,35.1,4981000,0.0,0
2015-08-06,39.04,39.18,38.66,38.93,35.04,7573500,0.0,0
2015-08-07,38.95,39.18,38.26,38.58,34.73,8329500,0.0,0
2015-08-10,38.8,39.16,38.8,39.08,35.18,5585000,0.0,0
2015-08-11,38.48,38.54,37.73,37.92,34.13,11188900,0.0,0
2015-08-12,37.57,37.64,36.57,37.57,33.82,13981400,0.0,0
2015-08-13,37.71,37.95,37.47,37.75,33.98,6554200,0.0,0
2015-08-14,37.69,38.06,37.61,38.05,34.25,5029500,0.0,0
2015-08-17,37.73,38.18,37.55,38.14,34.33,5109200,0.0,0
2015-08-18,38.07,38.21,37.79,37.82,34.04,8794400,0.0,0
2015-08-19,37.61,37.78,37.24,37.44,33.7,8549700,0.0,0
2015-08-20,36.94,37.0,36.17,36.17,32.56,14129400,0.0,0
2015-08-21,35.57,35.89,34.16,34.21,30.79,30185700,0.0,0
2015-08-24,31.62,33.61,30.4,32.26,29.04,24624100,0.0,0
2015-08-25,33.8,33.8,31.73,31.76,28.59,19890100,0.0,0
2015-08-26,32.75,33.5,32.13,33.3,29.97,25346400,0.0,0
