Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,47.23,48.13,47.22,48.03,43.31,59248200,0.0,0
2015-04-28,47.78,49.21,47.7,49.16,44.33,60730800,0.0,0
2015-04-29,48.72,49.31,48.5,49.06,44.24,47804600,0.0,0
2015-04-30,48.7,49.54,48.6,48.64,43.86,64725500,0.0,0
2015-05-01,48.58,48.88,48.4,48.66,43.88,38937300,0.0,0
2015-05-04,48.37,48.87,48.18,48.24,43.5,34039500,0.0,0
2015-05-05,47.82,48.16,47.31,47.6,42.92,50369200,0.0,0
2015-05-06,47.57,47.77,46.02,46.28,41.73,52433000,0.0,0
2015-05-07,46.27,47.09,46.16,46.7,42.11,32971700,0.0,0
2015-05-08,47.55,47.98,47.52,47.75,43.06,35364900,0.0,0
2015-05-11,47.55,47.91,47.37,47.37,42.71,24609400,0.0,0
2015-05-12,46.85,47.68,46.42,47.35,42.69,29928300,0.0,0
2015-05-13,48.19,48.32,47.57,47.63,42.95,34184600,0.0,0
2015-05-14,48.03,48.82,48.03,48.72,43.93,32980900,0.0,0
2015-05-15,48.87,48.91,48.05,48.3,43.55,28642700,0.0,0
2015-05-18,47.98,48.22,47.61,48.01,43.29,24136500,0.0,0
2015-05-19,47.56,47.81,47.18,47.58,43.18,28574800,0.31,0
2015-05-20,47.39,47.93,47.27,47.58,43.18,25047900,0.0,0
2015-05-21,47.28,47.6,47.01,47.42,43.04,22410700,0.0,0
2015-05-22,47.3,47.35,46.82,46.9,42.56,25720600,0.0,0
2015-05-26,46.83,46.88,46.19,46.59,42.28,29581900,0.0,0
2015-05-27,46.82,47.77,46.62,47.61,43.21,27335600,0.0,0
2015-05-28,47.5,48.02,47.39,47.45,43.06,19283700,0.0,0
2015-05-29,47.43,47.57,46.59,46.86,42.53,36519600,0.0,0
2015-06-01,47.06,47.77,46.62,47.23,42.86,28837300,0.0,0
2015-06-02,46.93,47.35,46.62,46.92,42.58,21498300,0.0,0
2015-06-03,47.37,47.74,46.82,46.85,42.52,28002200,0.0,0
2015-06-04,46.79,47.16,46.2,46.36,42.07,27745500,0.0,0
2015-06-05,46.31,46.52,45.84,46.14,41.87,25438100,0.0,0
2015-06-08,46.3,46.43,45.67,45.73,41.5,22121600,0.0,0
2015-06-09,45.76,45.94,45.46,45.65,41.43,24406100,0.0,0
2015-06-10,45.79,46.83,45.69,46.61,42.3,28417400,0.0,0
2015-06-11,46.66,46.92,46.13,46.44,42.15,27347800,0.0,0
2015-06-12,46.22,46.47,45.9,45.97,41.72,23931000,0.0,0
2015-06-15,45.45,45.65,45.02,45.48,41.28,33254500,0.0,0
2015-06-16,45.35,46.24,45.3,45.83,41.59,27070300,0.0,0
2015-06-17,45.73,46.07,45.36,45.97,41.72,28704100,0.0,0
2015-06-18,46.22,46.8,46.17,46.72,42.4,32658300,0.0,0
2015-06-19,46.79,46.83,45.99,46.1,41.84,63837000,0.0,0
2015-06-22,46.33,46.72,46.16,46.23,41.96,20318100,0.0,0
2015-06-23,46.13,46.28,45.62,45.91,41.67,25896500,0.0,0
