Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,119.69,120.53,117.86,118.37,105.77,1074100,0.0,0
2015-04-28,118.38,120.65,118.09,120.43,107.61,925800,0.0,0
2015-04-29,119.95,121.19,119.76,120.17,107.38,1024500,0.0,0
2015-04-30,120.01,120.88,119.18,119.67,106.93,846600,0.0,0
2015-05-01,120.45,120.74,118.8,119.29,106.59,497300,0.0,0
2015-05-04,119.71,121.8,119.44,121.72,108.76,1176300,0.0,0
2015-05-05,120.95,121.76,120.21,120.3,107.49,1243300,0.0,0
2015-05-06,120.82,121.3,119.92,120.82,107.96,672100,0.0,0
2015-05-07,120.93,121.05,119.6,120.18,107.39,704700,0.0,0
2015-05-08,121.04,121.8,120.35,121.5,108.57,606500,0.0,0
2015-05-11,121.22,121.83,120.96,121.25,108.34,486800,0.0,0
2015-05-12,120.58,121.7,119.94,121.3,108.39,795600,0.0,0
2015-05-13,121.11,122.18,120.47,122.02,109.03,919800,0.0,0
2015-05-14,122.94,122.98,121.89,122.8,109.73,737500,0.0,0
2015-05-15,122.94,122.97,120.62,121.2,108.3,1241200,0.0,0
2015-05-18,121.2,122.7,120.99,122.51,109.47,528000,0.0,0
2015-05-19,122.95,124.05,122.58,124.05,110.85,1150700,0.0,0
2015-05-20,123.76,124.35,122.91,123.58,110.43,507900,0.0,0
2015-05-21,123.13,123.93,122.93,123.61,110.45,493600,0.0,0
2015-05-22,123.38,123.93,122.98,123.16,110.05,636300,0.0,0
2015-05-26,122.76,123.16,121.51,122.09,109.09,574100,0.0,0
2015-05-27,122.56,122.91,121.87,122.27,109.25,753500,0.0,0
2015-05-28,121.54,121.98,121.0,121.79,109.45,667400,0.7,0
2015-05-29,121.91,121.98,120.72,120.88,108.63,808300,0.0,0
2015-06-01,121.49,121.94,119.7,119.85,107.71,616500,0.0,0
2015-06-02,119.71,121.15,119.56,121.02,108.76,568900,0.0,0
2015-06-03,121.21,123.18,120.56,122.64,110.22,641500,0.0,0
2015-06-04,121.92,122.96,121.62,122.0,109.64,978100,0.0,0
2015-06-05,123.21,124.08,122.66,123.86,111.31,618200,0.0,0
2015-06-08,123.54,124.75,123.16,123.97,111.41,710700,0.0,0
2015-06-09,123.85,125.48,123.62,124.84,112.19,545900,0.0,0
2015-06-10,125.23,127.13,125.12,126.43,113.62,544900,0.0,0
2015-06-11,126.48,127.0,125.86,126.21,113.42,498300,0.0,0
2015-06-12,125.95,126.22,125.42,126.13,113.35,320300,0.0,0
2015-06-15,125.29,126.45,124.74,125.75,113.01,482600,0.0,0
2015-06-16,125.64,126.58,125.32,126.33,113.53,346600,0.0,0
2015-06-17,126.84,126.88,125.13,125.3,112.61,748900,0.0,0
2015-06-18,125.77,126.96,124.94,126.57,113.75,814000,0.0,0
2015-06-19,126.21,126.64,125.54,125.63,112.9,1069700,0.0,0
2015-06-22,126.75,127.23,126.59,127.02,114.15,565700,0.0,0
2015-06-23,127.6,128.62,127.27,128.16,115.18,642300,0.0,0
2015-06-24,127.84,128.7,127.49,127.51,114.59,516300,0.0,0
2015-06-25,128.12,128.45,127.01,127.3,114.4,562300,0.0,0
2015-06-26,127.99,128.48,127.64,127.96,115.0,349300,0.0,0
2015-06-29,126.57,127.04,124.62,124.66,112.03,512500,0.0,0
2015-06-30,126.11,126.89,124.58,124.93,112.27,750100,0.0,0
2015-07-01,126.57,127.41,125.84,127.29,114.4,794000,0.0,0
2015-07-02,126.95,127.54,125.27,125.91,113.16,426900,0.0,0
2015-07-06,124.34,125.69,123.97,125.64,112.91,410200,0.0,0
2015-07-07,125.33,125.48,123.07,125.03,112.36,593800,0.0,0
2015-07-08,123.89,124.56,122.65,123.01,110.55,455900,0.0,0
2015-07-09,124.7,125.11,123.43,124.19,111.61,490200,0.0,0
2015-07-10,126.01,126.48,125.3,126.21,113.42,604000,0.0,0
2015-07-13,127.31,127.75,126.95,127.31,114.41,466400,0.0,0
2015-07-14,126.76,127.69,126.56,127.18,114.3,869800,0.0,0
2015-07-15,127.43,128.45,126.84,127.98,115.02,789700,0.0,0
2015-07-16,127.11,131.11,126.12,130.81,117.56,1140000,0.0,0
2015-07-17,130.31,131.45,129.99,131.22,117.93,906700,0.0,0
2015-07-20,131.5,132.44,130.99,132.0,118.63,763800,0.0,0
2015-07-21,132.12,133.19,131.08,131.86,118.5,861100,0.0,0
2015-07-22,131.77,133.78,131.77,133.2,119.71,553700,0.0,0
2015-07-23,133.63,134.0,132.06,132.27,118.87,489700,0.0,0
2015-07-24,131.94,132.37,131.29,131.61,118.28,459600,0.0,0
2015-07-27,130.61,131.05,130.0,130.73,117.49,548100,0.0,0
2015-07-28,131.58,131.88,130.26,131.81,118.46,588400,0.0,0
2015-07-29,131.99,132.8,130.6,132.16,118.77,788000,0.0,0
2015-07-30,132.0,132.73,131.59,132.22,118.83,426800,0.0,0
2015-07-31,132.21,132.31,130.98,131.15,117.86,511900,0.0,0
2015-08-03,131.1,131.37,129.53,130.65,117.41,624700,0.0,0
