Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-04-27,32.82,33.4,32.78,33.1,28.19,4009000,0.0,0
2015-04-28,33.12,33.31,32.67,33.14,28.22,2855000,0.0,0
2015-04-29,32.87,33.32,32.53,32.86,27.98,2470600,0.0,0
2015-04-30,32.75,33.1,32.62,32.83,27.96,2369300,0.0,0
2015-05-01,32.91,33.13,32.61,33.1,28.19,2556600,0.0,0
2015-05-04,33.26,33.31,33.02,33.09,28.18,1135700,0.0,0
2015-05-05,32.89,33.01,32.24,32.28,27.49,1671000,0.0,0
2015-05-06,32.39,32.55,31.97,32.26,27.47,1710300,0.0,0
2015-05-07,32.36,32.64,32.2,32.28,27.49,1555700,0.0,0
2015-05-08,32.39,32.84,32.38,32.54,27.71,1270000,0.0,0
2015-05-11,32.45,33.05,32.45,32.92,28.03,1967100,0.0,0
2015-05-12,32.79,32.79,32.25,32.38,27.58,2836700,0.0,0
2015-05-13,32.57,32.84,32.29,32.52,27.69,1190800,0.0,0
2015-05-14,32.66,34.86,32.53,34.1,29.04,4760900,0.0,0
2015-05-15,34.06,34.6,33.68,34.19,29.12,4282700,0.0,0
2015-05-18,33.82,34.44,33.81,34.36,29.26,2379600,0.0,0
2015-05-19,34.31,34.48,33.95,34.11,29.29,2010100,0.28,0
2015-05-20,34.09,34.47,34.03,34.25,29.41,4272000,0.0,0
2015-05-21,34.25,34.36,33.91,34.26,29.42,1653900,0.0,0
2015-05-22,34.22,34.55,34.21,34.4,29.54,1565200,0.0,0
2015-05-26,34.04,34.19,33.8,33.97,29.17,1726100,0.0,0
2015-05-27,33.95,34.72,33.87,34.44,29.57,4378100,0.0,0
2015-05-28,34.4,34.82,33.94,34.72,29.81,4457100,0.0,0
2015-05-29,34.77,35.17,34.49,35.07,30.11,3564900,0.0,0
2015-06-01,35.06,35.18,34.64,34.67,29.77,2464800,0.0,0
2015-06-02,34.49,34.63,33.96,34.0,29.19,3177000,0.0,0
2015-06-03,34.31,34.56,34.16,34.2,29.36,2573600,0.0,0
2015-06-04,33.95,34.2,33.88,34.02,29.21,2507800,0.0,0
2015-06-05,34.04,34.19,33.74,34.09,29.27,2019900,0.0,0
2015-06-08,34.2,34.24,33.72,33.83,29.05,2297400,0.0,0
2015-06-09,33.7,33.75,33.29,33.63,28.87,2226100,0.0,0
2015-06-10,33.72,34.23,33.62,34.14,29.31,2309100,0.0,0
2015-06-11,34.25,34.35,34.05,34.34,29.48,1078600,0.0,0
2015-06-12,34.16,34.21,33.78,33.95,29.15,2363400,0.0,0
2015-06-15,33.82,34.19,33.46,34.18,29.35,1640800,0.0,0
2015-06-16,34.12,34.27,33.9,34.08,29.26,1874100,0.0,0
2015-06-17,34.23,34.28,34.02,34.23,29.39,1661400,0.0,0
